00000001ebe038d0 (__DATA,__data) external _NDR_record
0000000180434868 (__TEXT,__text) external _madvise
00000001804385e8 (__TEXT,__text) non-external _malloc
00000001ebe03910 (__DATA,__bss) non-external _master_host_port
0000000180431eec (__TEXT,__text) non-external _memcpy
0000000180431eec (__TEXT,__text) non-external _memmove
000000018043aa90 (__TEXT,__text) external _memorystatus_control
00000001804403d8 (__TEXT,__text) external _memorystatus_get_level
00000001804444d8 (__TEXT,__text) external _mig_allocate
0000000180434e18 (__TEXT,__text) external _mig_dealloc_reply_port
000000018044f398 (__TEXT,__text) external _mig_dealloc_special_reply_port
000000018043776c (__TEXT,__text) external _mig_deallocate
0000000180431efc (__TEXT,__text) external _mig_get_reply_port
0000000180433360 (__TEXT,__text) external _mig_get_special_reply_port
0000000180436f8c (__TEXT,__text) external _mig_put_reply_port
00000001804365ac (__TEXT,__text) external _mig_reply_setup
0000000180436f90 (__TEXT,__text) external _mig_strncpy
000000018043339c (__TEXT,__text) external _mig_strncpy_zerofill
0000000180440404 (__TEXT,__text) external _mincore
0000000180440430 (__TEXT,__text) external _minherit
0000000180431d1c (__TEXT,__text) external _mk_timer_arm
0000000180431d34 (__TEXT,__text) external _mk_timer_arm_leeway
0000000180431d28 (__TEXT,__text) external _mk_timer_cancel
0000000180431d04 (__TEXT,__text) external _mk_timer_create
0000000180431d10 (__TEXT,__text) external _mk_timer_destroy
0000000180433640 (__TEXT,__text) external _mkdir
0000000180435664 (__TEXT,__text) external _mkdirat
000000018044045c (__TEXT,__text) external _mkfifo
0000000180440488 (__TEXT,__text) external _mkfifoat
00000001804404b4 (__TEXT,__text) external _mknod
00000001804404e0 (__TEXT,__text) external _mknodat
000000018043b978 (__TEXT,__text) external _mlock
000000018044050c (__TEXT,__text) external _mlockall
000000018043282c (__TEXT,__text) external _mmap
000000018043e028 (__TEXT,__text) external _mount
00000001804359bc (__TEXT,__text) external _mprotect
0000000180440538 (__TEXT,__text) external _mremap_encrypted
0000000180444678 (__TEXT,__text) external _msg_receive
0000000180444668 (__TEXT,__text) external _msg_rpc
0000000180444670 (__TEXT,__text) external _msg_send
000000018043f130 (__TEXT,__text) external _msgctl
0000000180440564 (__TEXT,__text) external _msgget
0000000180440590 (__TEXT,__text) external _msgrcv
000000018043f15c (__TEXT,__text) external _msgrcv$NOCANCEL
00000001804405bc (__TEXT,__text) external _msgsnd
000000018043f188 (__TEXT,__text) external _msgsnd$NOCANCEL
000000018043e810 (__TEXT,__text) external _msgsys
00000001804380f8 (__TEXT,__text) external _msync
000000018043f1e0 (__TEXT,__text) external _msync$NOCANCEL
000000018043b9a4 (__TEXT,__text) external _munlock
00000001804405e8 (__TEXT,__text) external _munlockall
0000000180435578 (__TEXT,__text) external _munmap
0000000180435d94 (__TEXT,__text) external _necp_client_action
000000018043cbf8 (__TEXT,__text) external _necp_match_policy
0000000180435d3c (__TEXT,__text) external _necp_open
0000000180440614 (__TEXT,__text) external _necp_session_action
0000000180440640 (__TEXT,__text) external _necp_session_open
000000018044066c (__TEXT,__text) external _net_qos_guideline
0000000180440698 (__TEXT,__text) external _netagent_trigger
000000018045bc54 (__TEXT,__text) external _netname_check_in
000000018045c044 (__TEXT,__text) external _netname_check_out
000000018045bdf8 (__TEXT,__text) external _netname_look_up
000000018045c1e4 (__TEXT,__text) external _netname_version
0000000180446614 (__TEXT,__text) external _nfsclnt
00000001804406c4 (__TEXT,__text) external _nfssvc
00000001ebe038c0 (__DATA,__data) external _non_boost_assertion_token
00000001ebe038b8 (__DATA,__data) external _normal_boost_assertion_token
00000001804406f0 (__TEXT,__text) external _ntp_adjtime
000000018044071c (__TEXT,__text) external _ntp_gettime
0000000180440748 (__TEXT,__text) external _objc_bp_assist_cfg_np
000000018043d664 (__TEXT,__text) external _open
000000018044669c (__TEXT,__text) external _open$NOCANCEL
0000000180437554 (__TEXT,__text) external _open_dprotected_np
000000018044ddf4 (__TEXT,__text) external _openat
0000000180446764 (__TEXT,__text) external _openat$NOCANCEL
000000018044e66c (__TEXT,__text) external _openat_authenticated_np
000000018044e608 (__TEXT,__text) external _openat_dprotected_np
0000000180440774 (__TEXT,__text) external _openbyid_np
0000000180443790 (__TEXT,__text) external _os_buflet_get_data_address
0000000180443760 (__TEXT,__text) external _os_buflet_get_data_length
0000000180443798 (__TEXT,__text) external _os_buflet_get_data_limit
0000000180443758 (__TEXT,__text) external _os_buflet_get_data_offset
0000000180443780 (__TEXT,__text) external _os_buflet_get_object_address
0000000180443788 (__TEXT,__text) external _os_buflet_get_object_limit
0000000180443774 (__TEXT,__text) external _os_buflet_set_data_length
0000000180443768 (__TEXT,__text) external _os_buflet_set_data_offset
0000000180449964 (__TEXT,__text) external _os_channel_advance_slot
000000018044a5a4 (__TEXT,__text) external _os_channel_attr_clone
000000018044a510 (__TEXT,__text) external _os_channel_attr_create
000000018044a7c4 (__TEXT,__text) external _os_channel_attr_destroy
000000018044aa2c (__TEXT,__text) external _os_channel_attr_get
000000018044abe0 (__TEXT,__text) external _os_channel_attr_get_key
000000018044a89c (__TEXT,__text) external _os_channel_attr_set
000000018044a638 (__TEXT,__text) external _os_channel_attr_set_key
000000018044990c (__TEXT,__text) external _os_channel_available_slot_count
000000018044c148 (__TEXT,__text) external _os_channel_buflet_alloc
000000018044bb04 (__TEXT,__text) external _os_channel_buflet_free
000000018044c114 (__TEXT,__text) external _os_channel_configure_interface_advisory
0000000180449568 (__TEXT,__text) external _os_channel_create
0000000180448b48 (__TEXT,__text) external _os_channel_create_extended
00000001804496f0 (__TEXT,__text) external _os_channel_destroy
000000018044c078 (__TEXT,__text) external _os_channel_event_free
000000018044f318 (__TEXT,__text) external _os_channel_event_get_event_data
000000018044f264 (__TEXT,__text) external _os_channel_event_get_next_event
000000018044a15c (__TEXT,__text) external _os_channel_flow_admissible
000000018044a334 (__TEXT,__text) external _os_channel_flow_adv_get_ce_count
000000018044a138 (__TEXT,__text) external _os_channel_get_advisory_region
0000000180449578 (__TEXT,__text) external _os_channel_get_fd
000000018044c07c (__TEXT,__text) external _os_channel_get_interface_advisory
000000018044bc94 (__TEXT,__text) external _os_channel_get_next_event_handle
00000001804499f0 (__TEXT,__text) external _os_channel_get_next_slot
000000018044a0c8 (__TEXT,__text) external _os_channel_get_stats_region
0000000180449340 (__TEXT,__text) non-external _os_channel_info2attr
0000000180449458 (__TEXT,__text) non-external _os_channel_init_ring
00000001804497dc (__TEXT,__text) external _os_channel_is_defunct
000000018044b0c0 (__TEXT,__text) external _os_channel_large_packet_alloc
000000018044ac5c (__TEXT,__text) external _os_channel_packet_alloc
000000018044ac64 (__TEXT,__text) non-external _os_channel_packet_alloc_common
000000018044b0c8 (__TEXT,__text) external _os_channel_packet_free
000000018044b57c (__TEXT,__text) external _os_channel_packet_pool_purge
00000001804498dc (__TEXT,__text) external _os_channel_pending
000000018044b860 (__TEXT,__text) non-external _os_channel_purge_packet_alloc_ring_common
0000000180449580 (__TEXT,__text) external _os_channel_read_attr
00000001804496a0 (__TEXT,__text) external _os_channel_read_nexus_extension_info
00000001804497f0 (__TEXT,__text) external _os_channel_ring_id
0000000180449900 (__TEXT,__text) external _os_channel_ring_notify_time
00000001804498f4 (__TEXT,__text) external _os_channel_ring_sync_time
0000000180449880 (__TEXT,__text) external _os_channel_rx_ring
0000000180449e28 (__TEXT,__text) external _os_channel_set_slot_properties
000000018044b250 (__TEXT,__text) external _os_channel_slot_attach_packet
000000018044b3dc (__TEXT,__text) external _os_channel_slot_detach_packet
0000000180449f64 (__TEXT,__text) external _os_channel_slot_get_packet
00000001804496c4 (__TEXT,__text) external _os_channel_sync
000000018044983c (__TEXT,__text) external _os_channel_tx_ring
00000001804495d4 (__TEXT,__text) external _os_channel_write_attr
000000018044371c (__TEXT,__text) external _os_copy_and_inet_checksum
000000018043e580 (__TEXT,__text) external _os_cpu_copy_in_cksum
000000018044e514 (__TEXT,__text) external _os_cpu_in_cksum
000000018043e2e0 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
00000001804407a0 (__TEXT,__text) external _os_fault_with_payload
0000000180443718 (__TEXT,__text) external _os_inet_checksum
0000000180448508 (__TEXT,__text) external _os_log_coprocessor_as_kernel
000000018044850c (__TEXT,__text) external _os_log_coprocessor_register_as_kernel
000000018044cb58 (__TEXT,__text) external _os_nexus_attr_clone
000000018044cac4 (__TEXT,__text) external _os_nexus_attr_create
000000018044cdd4 (__TEXT,__text) external _os_nexus_attr_destroy
000000018044cda0 (__TEXT,__text) external _os_nexus_attr_get
000000018044cbb4 (__TEXT,__text) external _os_nexus_attr_set
000000018044d51c (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
000000018044d200 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
000000018044d220 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
000000018044ce20 (__TEXT,__text) external _os_nexus_controller_create
000000018044d1f4 (__TEXT,__text) external _os_nexus_controller_deregister_provider
000000018044d8e8 (__TEXT,__text) external _os_nexus_controller_destroy
000000018044d214 (__TEXT,__text) external _os_nexus_controller_free_provider_instance
000000018044cf14 (__TEXT,__text) external _os_nexus_controller_get_fd
000000018044d710 (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
000000018044d3c0 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
000000018044cf1c (__TEXT,__text) external _os_nexus_controller_register_provider
000000018044d678 (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
000000018044d344 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
000000018044dc70 (__TEXT,__text) external _os_nexus_flow_set_wake_from_sleep
00000001804435e8 (__TEXT,__text) external _os_packet_add_buflet
0000000180442bd4 (__TEXT,__text) external _os_packet_add_inet_csum_flags
0000000180442d0c (__TEXT,__text) external _os_packet_clear_flow_uuid
0000000180443694 (__TEXT,__text) external _os_packet_decrement_use_count
000000018044343c (__TEXT,__text) external _os_packet_finalize
00000001804436bc (__TEXT,__text) external _os_packet_get_aggregation_type
000000018044334c (__TEXT,__text) external _os_packet_get_buflet_count
0000000180442a58 (__TEXT,__text) external _os_packet_get_compression_generation_count
0000000180443340 (__TEXT,__text) external _os_packet_get_data_length
0000000180442dd0 (__TEXT,__text) external _os_packet_get_expire_time
0000000180442e5c (__TEXT,__text) external _os_packet_get_expiry_action
0000000180442c5c (__TEXT,__text) external _os_packet_get_flow_uuid
0000000180442da4 (__TEXT,__text) external _os_packet_get_group_end
0000000180442d48 (__TEXT,__text) external _os_packet_get_group_start
00000001804424e0 (__TEXT,__text) external _os_packet_get_headroom
0000000180442c10 (__TEXT,__text) external _os_packet_get_inet_checksum
0000000180443284 (__TEXT,__text) external _os_packet_get_keep_alive
00000001804425d4 (__TEXT,__text) external _os_packet_get_link_broadcast
00000001804426f4 (__TEXT,__text) external _os_packet_get_link_ethfcs
0000000180442560 (__TEXT,__text) external _os_packet_get_link_header_length
0000000180442664 (__TEXT,__text) external _os_packet_get_link_multicast
0000000180443388 (__TEXT,__text) external _os_packet_get_next_buflet
000000018044304c (__TEXT,__text) external _os_packet_get_packetid
0000000180443414 (__TEXT,__text) external _os_packet_get_segment_count
0000000180442968 (__TEXT,__text) external _os_packet_get_service_class
0000000180442ef0 (__TEXT,__text) external _os_packet_get_token
00000001804437a0 (__TEXT,__text) external _os_packet_get_trace_id
0000000180442ad0 (__TEXT,__text) external _os_packet_get_traffic_class
000000018044282c (__TEXT,__text) external _os_packet_get_transport_retransmit
000000018044276c (__TEXT,__text) external _os_packet_get_transport_traffic_background
00000001804427cc (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
00000001804432cc (__TEXT,__text) external _os_packet_get_truncated
0000000180443204 (__TEXT,__text) external _os_packet_get_vlan_id
000000018044320c (__TEXT,__text) external _os_packet_get_vlan_priority
000000018044319c (__TEXT,__text) external _os_packet_get_vlan_tag
0000000180443274 (__TEXT,__text) external _os_packet_get_wake_flag
0000000180443668 (__TEXT,__text) external _os_packet_increment_use_count
0000000180443214 (__TEXT,__text) external _os_packet_set_app_metadata
0000000180442a2c (__TEXT,__text) external _os_packet_set_compression_generation_count
0000000180442e1c (__TEXT,__text) external _os_packet_set_expire_time
0000000180442ea8 (__TEXT,__text) external _os_packet_set_expiry_action
0000000180442cb4 (__TEXT,__text) external _os_packet_set_flow_uuid
0000000180442d74 (__TEXT,__text) external _os_packet_set_group_end
0000000180442d18 (__TEXT,__text) external _os_packet_set_group_start
0000000180442488 (__TEXT,__text) external _os_packet_set_headroom
0000000180442b94 (__TEXT,__text) external _os_packet_set_inet_checksum
0000000180443294 (__TEXT,__text) external _os_packet_set_keep_alive
0000000180443310 (__TEXT,__text) external _os_packet_set_l4s_flag
0000000180442588 (__TEXT,__text) external _os_packet_set_link_broadcast
00000001804426a8 (__TEXT,__text) external _os_packet_set_link_ethfcs
0000000180442520 (__TEXT,__text) external _os_packet_set_link_header_length
0000000180442618 (__TEXT,__text) external _os_packet_set_link_multicast
00000001804430c8 (__TEXT,__text) external _os_packet_set_packetid
000000018044385c (__TEXT,__text) external _os_packet_set_protocol_segment_size
000000018044288c (__TEXT,__text) external _os_packet_set_service_class
0000000180442fa8 (__TEXT,__text) external _os_packet_set_token
00000001804437c0 (__TEXT,__text) external _os_packet_set_trace_id
0000000180442aa0 (__TEXT,__text) external _os_packet_set_traffic_class
0000000180442858 (__TEXT,__text) external _os_packet_set_transport_last_packet
00000001804427f8 (__TEXT,__text) external _os_packet_set_transport_retransmit
0000000180442738 (__TEXT,__text) external _os_packet_set_transport_traffic_background
0000000180442798 (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
0000000180443888 (__TEXT,__text) external _os_packet_set_tso_flags
00000001804436e4 (__TEXT,__text) external _os_packet_set_tx_timestamp
000000018044313c (__TEXT,__text) external _os_packet_set_vlan_tag
00000001804437e8 (__TEXT,__text) external _os_packet_trace_event
0000000180444ce8 (__TEXT,__text) external _os_proc_available_memory
00000001804445a0 (__TEXT,__text) external _panic
0000000180444594 (__TEXT,__text) external _panic_init
00000001804407cc (__TEXT,__text) external _panic_with_data
0000000180439df4 (__TEXT,__text) external _pathconf
00000001804407f8 (__TEXT,__text) external _peeloff
0000000180431c20 (__TEXT,__text) external _pid_for_task
0000000180440824 (__TEXT,__text) external _pid_hibernate
0000000180440850 (__TEXT,__text) external _pid_resume
000000018044c3e8 (__TEXT,__text) external _pid_shutdown_networking
000000018044087c (__TEXT,__text) external _pid_shutdown_sockets
00000001804408a8 (__TEXT,__text) external _pid_suspend
0000000180438124 (__TEXT,__text) external _pipe
00000001804408d4 (__TEXT,__text) external _pivot_root
0000000180442438 (__TEXT,__text) external _pkt_subtype_assert_fail
0000000180442460 (__TEXT,__text) external _pkt_type_assert_fail
000000018043a490 (__TEXT,__text) external _poll
000000018043f3c4 (__TEXT,__text) external _poll$NOCANCEL
0000000180442364 (__TEXT,__text) non-external _port_for_id_internal
00000001804445f0 (__TEXT,__text) external _port_obj_init
00000001ebe038e8 (__DATA,__common) external _port_obj_table
00000001ebe038a8 (__DATA,__data) external _port_obj_table_size
0000000180434868 (__TEXT,__text) external _posix_madvise
0000000180438bf8 (__TEXT,__text) external _posix_spawn
000000018043d3d8 (__TEXT,__text) non-external _posix_spawn_appendportaction_np
0000000180447790 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
0000000180447844 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
000000018043e1f8 (__TEXT,__text) external _posix_spawn_file_actions_addclose
0000000180438638 (__TEXT,__text) external _posix_spawn_file_actions_adddup2
0000000180447908 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
000000018043e15c (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
000000018043d87c (__TEXT,__text) external _posix_spawn_file_actions_addopen
000000018043916c (__TEXT,__text) external _posix_spawn_file_actions_destroy
0000000180438554 (__TEXT,__text) external _posix_spawn_file_actions_init
00000001ebe03928 (__DATA,__bss) non-external _posix_spawn_with_filter
0000000180438e68 (__TEXT,__text) external _posix_spawnattr_destroy
00000001804476e0 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
0000000180447cc8 (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
0000000180447c84 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
0000000180447324 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
00000001804472bc (__TEXT,__text) external _posix_spawnattr_getbinpref_np
00000001804479c4 (__TEXT,__text) external _posix_spawnattr_getcpumonitor
000000018044722c (__TEXT,__text) external _posix_spawnattr_getflags
0000000180438924 (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
0000000180447398 (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
0000000180447274 (__TEXT,__text) external _posix_spawnattr_getpgroup
00000001804473bc (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
0000000180447250 (__TEXT,__text) external _posix_spawnattr_getsigdefault
0000000180447298 (__TEXT,__text) external _posix_spawnattr_getsigmask
00000001804387ac (__TEXT,__text) external _posix_spawnattr_init
0000000180447708 (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
00000001804482e0 (__TEXT,__text) external _posix_spawnattr_set_conclave_id_np
0000000180447750 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
0000000180447730 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
0000000180447770 (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
0000000180447ecc (__TEXT,__text) external _posix_spawnattr_set_csm_np
0000000180447ca8 (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
00000001804483ec (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
0000000180447ff4 (__TEXT,__text) external _posix_spawnattr_set_gid_np
00000001804480c8 (__TEXT,__text) external _posix_spawnattr_set_groups_np
0000000180447a10 (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
000000018044842c (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
0000000180465ed8 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
000000018044840c (__TEXT,__text) external _posix_spawnattr_set_kqworklooplimit_ext
00000001804484e8 (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
00000001804481d0 (__TEXT,__text) external _posix_spawnattr_set_login_np
0000000180447e88 (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
0000000180447dec (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
0000000180447e20 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
0000000180447cec (__TEXT,__text) external _posix_spawnattr_set_persona_np
0000000180447dbc (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
00000001804476c0 (__TEXT,__text) external _posix_spawnattr_set_platform_np
00000001804483cc (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
0000000180447b38 (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
0000000180447c54 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
0000000180447aa4 (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
0000000180447554 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
00000001804479f0 (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
0000000180447f24 (__TEXT,__text) external _posix_spawnattr_set_uid_np
0000000180447518 (__TEXT,__text) external _posix_spawnattr_set_use_sec_transition_shims_np
0000000180447400 (__TEXT,__text) external _posix_spawnattr_setarchpref_np
000000018043d3a0 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
000000018043d980 (__TEXT,__text) external _posix_spawnattr_setbinpref_np
0000000180447b70 (__TEXT,__text) external _posix_spawnattr_setcoalition_np
00000001804479a4 (__TEXT,__text) external _posix_spawnattr_setcpumonitor
000000018043d824 (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
00000001804474ec (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
000000018043e294 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
0000000180438904 (__TEXT,__text) external _posix_spawnattr_setflags
000000018043a4bc (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
00000001804389e4 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
0000000180447ea8 (__TEXT,__text) external _posix_spawnattr_setnosmt_np
00000001804474ac (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
00000001804473e0 (__TEXT,__text) external _posix_spawnattr_setpgroup
00000001804474cc (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
00000001804388e0 (__TEXT,__text) external _posix_spawnattr_setsigdefault
00000001804388bc (__TEXT,__text) external _posix_spawnattr_setsigmask
000000018043d84c (__TEXT,__text) external _posix_spawnattr_setspecialport_np
0000000180433508 (__TEXT,__text) external _pread
000000018043f3f0 (__TEXT,__text) external _pread$NOCANCEL
0000000180440900 (__TEXT,__text) external _preadv
000000018043f41c (__TEXT,__text) external _preadv$NOCANCEL
0000000180446970 (__TEXT,__text) non-external _prepare_times_array_and_attrs
0000000180445dc8 (__TEXT,__text) external _proc_clear_cpulimits
0000000180445fa0 (__TEXT,__text) external _proc_clear_delayidlesleep
00000001804457d8 (__TEXT,__text) external _proc_clear_dirty
0000000180445e80 (__TEXT,__text) external _proc_clear_vmpressure
0000000180445690 (__TEXT,__text) external _proc_current_thread_schedinfo
000000018043bc8c (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
000000018043bd50 (__TEXT,__text) external _proc_denap_assertion_complete
0000000180446000 (__TEXT,__text) external _proc_disable_apptype
000000018043d064 (__TEXT,__text) external _proc_disable_cpumon
000000018043b944 (__TEXT,__text) external _proc_disable_wakemon
0000000180445e28 (__TEXT,__text) external _proc_donate_importance_boost
0000000180446078 (__TEXT,__text) external _proc_enable_apptype
000000018043b8c4 (__TEXT,__text) external _proc_get_cpumon_params
000000018044575c (__TEXT,__text) external _proc_get_dirty
0000000180445cc4 (__TEXT,__text) external _proc_get_wakemon_params
000000018043bc94 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
000000018043bd54 (__TEXT,__text) external _proc_importance_assertion_complete
0000000180445594 (__TEXT,__text) external _proc_kmsgbuf
000000018044573c (__TEXT,__text) external _proc_libversion
0000000180445d30 (__TEXT,__text) external _proc_list_dynkqueueids
0000000180445d14 (__TEXT,__text) external _proc_list_uptrs
00000001804452a4 (__TEXT,__text) external _proc_listallpids
000000018044531c (__TEXT,__text) external _proc_listchildpids
0000000180445358 (__TEXT,__text) external _proc_listcoalitions
00000001804452e0 (__TEXT,__text) external _proc_listpgrppids
000000018043bc3c (__TEXT,__text) external _proc_listpids
000000018044e6d4 (__TEXT,__text) external _proc_listpidspath
0000000180437bfc (__TEXT,__text) external _proc_name
0000000180439880 (__TEXT,__text) external _proc_pid_rusage
0000000180445448 (__TEXT,__text) external _proc_piddynkqueueinfo
00000001804453d8 (__TEXT,__text) external _proc_pidfdinfo
0000000180445410 (__TEXT,__text) external _proc_pidfileportinfo
0000000180432f90 (__TEXT,__text) external _proc_pidinfo
0000000180439530 (__TEXT,__text) external _proc_pidoriginatorinfo
00000001804337c0 (__TEXT,__text) external _proc_pidpath
00000001804455cc (__TEXT,__text) external _proc_pidpath_audittoken
000000018044549c (__TEXT,__text) external _proc_regionfilename
0000000180445dbc (__TEXT,__text) external _proc_reset_footprint_interval
0000000180445b0c (__TEXT,__text) external _proc_resume_cpumon
000000018043a354 (__TEXT,__text) external _proc_rlimit_control
0000000180439834 (__TEXT,__text) external _proc_set_cpumon_defaults
00000001804397bc (__TEXT,__text) external _proc_set_cpumon_params
0000000180445b2c (__TEXT,__text) external _proc_set_cpumon_params_fatal
00000001804461c0 (__TEXT,__text) external _proc_set_csm
0000000180445f40 (__TEXT,__text) external _proc_set_delayidlesleep
000000018043500c (__TEXT,__text) external _proc_set_dirty
00000001804460f8 (__TEXT,__text) external _proc_set_no_smt
0000000180445ee0 (__TEXT,__text) external _proc_set_owner_vmpressure
000000018043b9d0 (__TEXT,__text) external _proc_set_wakemon_defaults
0000000180445c90 (__TEXT,__text) external _proc_set_wakemon_params
0000000180445d4c (__TEXT,__text) external _proc_setcpu_percentage
00000001804340b8 (__TEXT,__text) external _proc_setpcontrol
0000000180445390 (__TEXT,__text) external _proc_setthread_cpupercent
0000000180446284 (__TEXT,__text) external _proc_setthread_csm
000000018044615c (__TEXT,__text) external _proc_setthread_no_smt
00000001804458b4 (__TEXT,__text) external _proc_signal_delegate
00000001804459b8 (__TEXT,__text) external _proc_signal_with_audittoken
00000001804460f0 (__TEXT,__text) external _proc_suppress
0000000180445838 (__TEXT,__text) external _proc_terminate
0000000180445a94 (__TEXT,__text) external _proc_terminate_all_rsr
0000000180445924 (__TEXT,__text) external _proc_terminate_delegate
0000000180445a14 (__TEXT,__text) external _proc_terminate_with_audittoken
000000018044092c (__TEXT,__text) external _proc_trace_log
0000000180434fac (__TEXT,__text) external _proc_track_dirty
0000000180445480 (__TEXT,__text) external _proc_udata_info
0000000180440958 (__TEXT,__text) external _proc_uuid_policy
000000018045b9cc (__TEXT,__text) external _processor_assign
000000018045b874 (__TEXT,__text) external _processor_control
000000018045b550 (__TEXT,__text) external _processor_exit
000000018045baf8 (__TEXT,__text) external _processor_get_assignment
000000018045b660 (__TEXT,__text) external _processor_info
0000000180453d98 (__TEXT,__text) external _processor_set_create
0000000180453c3c (__TEXT,__text) external _processor_set_default
000000018045a628 (__TEXT,__text) external _processor_set_destroy
000000018045b0a4 (__TEXT,__text) external _processor_set_info
000000018045a73c (__TEXT,__text) external _processor_set_max_priority
000000018045ada4 (__TEXT,__text) external _processor_set_policy_control
000000018045a97c (__TEXT,__text) external _processor_set_policy_disable
000000018045a85c (__TEXT,__text) external _processor_set_policy_enable
000000018045af18 (__TEXT,__text) external _processor_set_stack_usage
000000018045a444 (__TEXT,__text) external _processor_set_statistics
000000018045aa9c (__TEXT,__text) external _processor_set_tasks
000000018045b2ac (__TEXT,__text) external _processor_set_tasks_with_flavor
000000018045ac20 (__TEXT,__text) external _processor_set_threads
000000018045b440 (__TEXT,__text) external _processor_start
000000018044c7ac (__TEXT,__text) external _pselect
0000000180437d28 (__TEXT,__text) external _pselect$DARWIN_EXTSN
0000000180444820 (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
000000018044c938 (__TEXT,__text) external _pselect$NOCANCEL
000000018043373c (__TEXT,__text) external _pthread_getugid_np
000000018043b258 (__TEXT,__text) external _pthread_setugid_np
000000018043a80c (__TEXT,__text) external _ptrace
00000001804352e8 (__TEXT,__text) external _pwrite
000000018043f5a8 (__TEXT,__text) external _pwrite$NOCANCEL
0000000180440984 (__TEXT,__text) external _pwritev
000000018043f5d4 (__TEXT,__text) external _pwritev$NOCANCEL
0000000180444534 (__TEXT,__text) external _quota
0000000180437eb4 (__TEXT,__text) external _quotactl
00000001804327d4 (__TEXT,__text) external _read
0000000180433b64 (__TEXT,__text) external _read$NOCANCEL
0000000180434014 (__TEXT,__text) external _readlink
00000001804409b0 (__TEXT,__text) external _readlinkat
00000001804409dc (__TEXT,__text) external _readv
000000018043f600 (__TEXT,__text) external _readv$NOCANCEL
0000000180441124 (__TEXT,__text) non-external _reallocf
00000001804438bc (__TEXT,__text) external _reboot
00000001804438c4 (__TEXT,__text) external _reboot_np
000000018044c7a8 (__TEXT,__text) external _record_system_event_as_kernel
0000000180436150 (__TEXT,__text) external _recvfrom
0000000180436018 (__TEXT,__text) external _recvfrom$NOCANCEL
0000000180436580 (__TEXT,__text) external _recvmsg
000000018043f684 (__TEXT,__text) external _recvmsg$NOCANCEL
0000000180440a08 (__TEXT,__text) external _recvmsg_x
0000000180440a34 (__TEXT,__text) external _register_uexc_handler
0000000180436aa4 (__TEXT,__text) external _removexattr
