00007ff841a606e8 (__DATA,__data) non-external _C
00007ff80026ed20 (__TEXT,__const) non-external _blanks
00007ff80026edf0 (__TEXT,__const) non-external _blanks
00007ff841a60b80 (__DATA,__data) non-external _blanks
                 (undefined) external _bootstrap_parent (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
00007ff8002289dc (__TEXT,__text) non-external _both_ftw
00007ff80026aa94 (__TEXT,__text) non-external _both_ftw
00007ff841a626c8 (__DATA,__bss) non-external _brapreg
00007ff8002262dc (__TEXT,__text) external _brk
00007ff8002262f4 (__TEXT,__text) external _bsd_signal
00007ff8001f458e (__TEXT,__text) external _bsearch
00007ff8001fda18 (__TEXT,__text) external _bsearch_b
00007ff800233a9f (__TEXT,__text) non-external _bt_broot
00007ff8002337f4 (__TEXT,__text) non-external _bt_page
00007ff800233be0 (__TEXT,__text) non-external _bt_preserve
00007ff800233c20 (__TEXT,__text) non-external _bt_psplit
00007ff80023371a (__TEXT,__text) non-external _bt_root
00007ff80023399e (__TEXT,__text) non-external _bt_rroot
00007ff8002256ff (__TEXT,__text) external _btowc
00007ff800225727 (__TEXT,__text) external _btowc_l
00007ff841a63190 (__DATA,__bss) non-external _buf_asctime
00007ff80024c2a8 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
00007ff80026db18 (__TEXT,__const) non-external (was a private external) _cVersionNumber
00007ff80026daf0 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
00007ff80024938e (__TEXT,__text) external _catclose
00007ff840020e80 (__DATA_CONST,__const) non-external _categories
00007ff800249091 (__TEXT,__text) external _catgets
00007ff80024897b (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00007ff8002400f8 (__TEXT,__text) external _cfgetispeed
00007ff800212ed2 (__TEXT,__text) external _cfgetospeed
00007ff80024012a (__TEXT,__text) external _cfmakeraw
00007ff80024010e (__TEXT,__text) external _cfsetispeed
00007ff800240102 (__TEXT,__text) external _cfsetospeed
00007ff80024011a (__TEXT,__text) external _cfsetspeed
00007ff80023d207 (__TEXT,__text) external _cgetcap
00007ff80023daef (__TEXT,__text) external _cgetclose
00007ff80023d27e (__TEXT,__text) external _cgetent
00007ff80023da9e (__TEXT,__text) external _cgetfirst
00007ff80023da46 (__TEXT,__text) external _cgetmatch
00007ff80023db2c (__TEXT,__text) external _cgetnext
00007ff80023e212 (__TEXT,__text) external _cgetnum
00007ff80023d188 (__TEXT,__text) external _cgetset
00007ff80023dedf (__TEXT,__text) external _cgetstr
00007ff80023e134 (__TEXT,__text) external _cgetustr
00007ff800241a4f (__TEXT,__text) non-external _chainsearch
                 (undefined) external _chdir (from libsystem_kernel)
00007ff80021be7f (__TEXT,__text) non-external _check_env_var
                 (undefined) external _chflags (from libsystem_kernel)
00007ff800206a0c (__TEXT,__text) non-external _chmodx1
00007ff8002069e5 (__TEXT,__text) external _chmodx_np
00007ff800206c1e (__TEXT,__text) non-external _chmodx_syscall
00007ff800249501 (__TEXT,__text) external _clearerr
00007ff800249521 (__TEXT,__text) external _clearerr_unlocked
00007ff800217a73 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00007ff800226184 (__TEXT,__text) external _clock_getres
00007ff8001fc656 (__TEXT,__text) external _clock_gettime
00007ff8001ec184 (__TEXT,__text) external _clock_gettime_nsec_np
00007ff841a3de34 (__DATA_DIRTY,__common) external _clock_port
00007ff841a3de30 (__DATA_DIRTY,__common) external _clock_sem
00007ff8002261fe (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00007ff800205a59 (__TEXT,__text) non-external _close_directory
00007ff80026a77d (__TEXT,__text) non-external _close_directory
00007ff8001f2cd5 (__TEXT,__text) external _closedir
00007ff840021420 (__DATA_CONST,__const) non-external _cnames
00007ff800235c2a (__TEXT,__text) non-external _collect_data
00007ff800235df0 (__TEXT,__text) non-external _collect_key
00007ff80026f040 (__TEXT,__const) non-external _command_substitution_str
00007ff80021bcd9 (__TEXT,__text) external _compat_mode
00007ff8001f2118 (__TEXT,__text) external _confstr
00007ff841a62588 (__DATA,__bss) non-external _constdatablock
00007ff80022eaa4 (__TEXT,__text) external _copy_printf_domain
00007ff80021f133 (__TEXT,__text) external _creat
00007ff8002304aa (__TEXT,__text) external _creat$NOCANCEL
00007ff80022668a (__TEXT,__text) external _crypt
00007ff841a62570 (__DATA,__bss) non-external _cryptresult
00007ff80023b5b0 (__TEXT,__text) external _ctermid
00007ff841a60748 (__DATA,__data) non-external _ctermid.def
00007ff80023b5d9 (__TEXT,__text) external _ctermid_r
00007ff80021cb11 (__TEXT,__text) external _ctime
00007ff80021126c (__TEXT,__text) external _ctime_r
00007ff841a60890 (__DATA,__data) non-external _current_categories
00007ff800212edc (__TEXT,__text) non-external _currentlocale
00007ff841a630d0 (__DATA,__bss) non-external _currentlocale.current_locale_string
00007ff841a62728 (__DATA,__bss) non-external _curshell
00007ff800266f20 (__TEXT,__text) external _daemon
00007ff80023b5fa (__TEXT,__text) external _daemon$1050
00007ff841a60a40 (__DATA,__data) non-external _dash_prefix
00007ff841a3de50 (__DATA_DIRTY,__common) external _daylight
00007ff800237c8e (__TEXT,__text) external _dbm_clearerr
00007ff800237b50 (__TEXT,__text) external _dbm_close
00007ff800237c24 (__TEXT,__text) external _dbm_delete
00007ff800237ca4 (__TEXT,__text) external _dbm_dirfno
00007ff800237c7e (__TEXT,__text) external _dbm_error
00007ff800237b58 (__TEXT,__text) external _dbm_fetch
00007ff800237b94 (__TEXT,__text) external _dbm_firstkey
00007ff800237be0 (__TEXT,__text) external _dbm_nextkey
00007ff800237a83 (__TEXT,__text) external _dbm_open
00007ff800237c49 (__TEXT,__text) external _dbm_store
00007ff8002342c9 (__TEXT,__text) external _dbopen
00007ff841a62df8 (__DATA,__bss) non-external _dbp
00007ff841a626e8 (__DATA,__bss) non-external _decpreg
00007ff80026f1b0 (__TEXT,__const) non-external _degrees
00007ff80022386b (__TEXT,__text) external _devname
00007ff841a62648 (__DATA,__bss) non-external _devname.buf
00007ff8002238b7 (__TEXT,__text) external _devname_r
00007ff80021e0e6 (__TEXT,__text) external _difftime
00007ff80022aeb7 (__TEXT,__text) external _digittoint
00007ff80022b12f (__TEXT,__text) external _digittoint_l
00007ff80021e7ff (__TEXT,__text) external _dirfd
00007ff800220371 (__TEXT,__text) external _dirname
00007ff841a62d80 (__DATA,__bss) non-external _dirname.dname
00007ff80021767b (__TEXT,__text) external _dirname_r
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_group_async_f (from libdispatch)
                 (undefined) external _dispatch_group_create (from libdispatch)
                 (undefined) external _dispatch_group_wait (from libdispatch)
                 (undefined) external _dispatch_release (from libdispatch)
00007ff80021bcab (__TEXT,__text) external _div
00007ff841a605d0 (__DATA,__data) non-external _dktypenames
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _dlopen (from libdyld)
                 (undefined) external _dlsym (from libdyld)
00007ff800241059 (__TEXT,__text) non-external _do_hvis
00007ff80024114d (__TEXT,__text) non-external _do_mvis
00007ff8002161bc (__TEXT,__text) non-external _do_svis
00007ff800239948 (__TEXT,__text) non-external _dorounding
00007ff80021f288 (__TEXT,__text) external _dprintf
00007ff80024952b (__TEXT,__text) external _dprintf_l
00007ff80021a8a5 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00007ff80020379c (__TEXT,__text) external _duplocale
00007ff80022e58d (__TEXT,__text) external _dxprintf
00007ff80022edf6 (__TEXT,__text) external _dxprintf_exec
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_image_header_containing_address (from libdyld)
                 (undefined) external _dyld_sdk_at_least (from libdyld)
00007ff80025cebc (__TEXT,__text) external _ecvt
00007ff841a62ee0 (__DATA,__bss) non-external _empty
00007ff841a62ef0 (__DATA,__bss) non-external _empty
00007ff841a62f04 (__DATA,__bss) non-external _empty
00007ff800227320 (__TEXT,__text) external _encrypt
00007ff800229dfc (__TEXT,__text) non-external _end_asl
00007ff800229e2c (__TEXT,__text) non-external _end_file
00007ff841a60a88 (__DATA,__data) non-external _end_ptr
00007ff800228602 (__TEXT,__text) external _endttyent
00007ff80022890a (__TEXT,__text) external _endusershell
00007ff800261bbe (__TEXT,__text) external _endutxent
00007ff800229c84 (__TEXT,__text) external _endutxent_wtmp
00007ff800258c70 (__TEXT,__text) external _environ_lock_np
00007ff841a3c588 (__DATA_DIRTY,__bss) non-external _environ_pointer
00007ff800258c86 (__TEXT,__text) external _environ_unlock_np
00007ff8001fa016 (__TEXT,__text) non-external _eofread
00007ff80025563f (__TEXT,__text) non-external _eofread
00007ff80023b76a (__TEXT,__text) external _erand48
00007ff80026c0cb (__TEXT,__text) external _err
00007ff80023e65f (__TEXT,__text) non-external _err_aborted
00007ff80026817a (__TEXT,__text) non-external _err_aborted
00007ff80023b95c (__TEXT,__text) external _err_set_exit
00007ff80023b998 (__TEXT,__text) external _err_set_exit_b
00007ff80023b940 (__TEXT,__text) external _err_set_file
00007ff80026c24f (__TEXT,__text) external _errc
00007ff80026c2b9 (__TEXT,__text) external _errx
00007ff80026e5f0 (__TEXT,__const) non-external _escape
00007ff80023b9e0 (__TEXT,__text) external _execl
00007ff80023bb21 (__TEXT,__text) external _execle
00007ff80023bc74 (__TEXT,__text) external _execlp
00007ff80023bdf7 (__TEXT,__text) external _execv
00007ff80023be2c (__TEXT,__text) external _execvP
00007ff80023be65 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
00007ff80023bda7 (__TEXT,__text) external _execvp
00007ff800219bdb (__TEXT,__text) external _exit
00007ff800249b94 (__TEXT,__text) external _f_prealloc
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00007ff800206cb7 (__TEXT,__text) external _fchmodx_np
00007ff800206cdd (__TEXT,__text) non-external _fchmodx_syscall
00007ff800210984 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
00007ff80025d07e (__TEXT,__text) external _fcvt
00007ff80021b70a (__TEXT,__text) external _fdopen
00007ff800213991 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
00007ff800268263 (__TEXT,__text) external _fdopendir
00007ff80021b688 (__TEXT,__text) external _fdopendir$INODE64
                 (undefined) external _fegetenv (from libsystem_m)
00007ff800224fea (__TEXT,__text) external _feof
00007ff8002495c1 (__TEXT,__text) external _feof_unlocked
00007ff80021e201 (__TEXT,__text) external _ferror
00007ff8002495d0 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
00007ff800237a12 (__TEXT,__text) non-external _fetch_bitmap
00007ff800228ebf (__TEXT,__text) external _fflagstostr
00007ff8001fda8e (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
00007ff80021e820 (__TEXT,__text) external _fgetc
00007ff800222cc5 (__TEXT,__text) external _fgetln
00007ff800249609 (__TEXT,__text) external _fgetpos
00007ff80022fa7f (__TEXT,__text) external _fgetrune
00007ff841a62d5c (__DATA,__bss) non-external _fgetrune.warn_depreciated
00007ff80021085d (__TEXT,__text) external _fgets
00007ff80024962e (__TEXT,__text) external _fgetwc
00007ff800249750 (__TEXT,__text) external _fgetwc_l
00007ff80024986d (__TEXT,__text) external _fgetwln
00007ff8002497b6 (__TEXT,__text) external _fgetwln_l
00007ff800249a47 (__TEXT,__text) external _fgetws
00007ff800249895 (__TEXT,__text) external _fgetws_l
00007ff841a3c308 (__DATA_DIRTY,__data) non-external _filelist_lock
00007ff8002045a2 (__TEXT,__text) external _fileno
00007ff800249a6f (__TEXT,__text) external _fileno_unlocked
00007ff8001fbbcd (__TEXT,__text) non-external _filesec_discard_aclbuf
00007ff800206957 (__TEXT,__text) external _filesec_dup
00007ff8001fbf15 (__TEXT,__text) external _filesec_free
00007ff8001fbc00 (__TEXT,__text) external _filesec_get_property
00007ff8001fb9b8 (__TEXT,__text) external _filesec_init
00007ff800227aa0 (__TEXT,__text) external _filesec_query_property
00007ff8001fb9d4 (__TEXT,__text) external _filesec_set_property
00007ff8002253a0 (__TEXT,__text) external _filesec_unset_property
00007ff800204741 (__TEXT,__text) non-external _find_temp_path
00007ff800219920 (__TEXT,__text) non-external _first_wday_of
00007ff8001fdac9 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
00007ff800235044 (__TEXT,__text) non-external _flush_meta
00007ff80026125a (__TEXT,__text) non-external _flush_queues
00007ff800257f16 (__TEXT,__text) external _fmemopen
00007ff8002581a0 (__TEXT,__text) non-external _fmemopen_close
00007ff80025808b (__TEXT,__text) non-external _fmemopen_read
00007ff800258146 (__TEXT,__text) non-external _fmemopen_seek
00007ff8002580d5 (__TEXT,__text) non-external _fmemopen_write
00007ff840021000 (__DATA_CONST,__const) non-external _fmt_padding
00007ff80021b108 (__TEXT,__text) external _fmtcheck
00007ff80023c170 (__TEXT,__text) external _fmtmsg
00007ff80021c2c6 (__TEXT,__text) external _fnmatch
00007ff80021c372 (__TEXT,__text) non-external _fnmatch1
00007ff8001fdfa8 (__TEXT,__text) external _fopen
00007ff800266de5 (__TEXT,__text) external _fopen$DARWIN_EXTSN
00007ff8002157d9 (__TEXT,__text) external _fork
00007ff8002154e5 (__TEXT,__text) external _forkpty
00007ff8002229f0 (__TEXT,__text) external _fparseln
00007ff80026dfcc (__TEXT,__const) non-external _fparseln.dstr
00007ff8001ffb59 (__TEXT,__text) external _fprintf
00007ff800249bf4 (__TEXT,__text) external _fprintf_l
00007ff841a60a78 (__DATA,__data) non-external _fptr
00007ff800249c8a (__TEXT,__text) external _fpurge
00007ff800223f03 (__TEXT,__text) external _fputc
00007ff80022fc04 (__TEXT,__text) external _fputrune
00007ff841a62d64 (__DATA,__bss) non-external _fputrune.warn_depreciated
00007ff80021e62a (__TEXT,__text) external _fputs
00007ff800249dd0 (__TEXT,__text) external _fputwc
00007ff800249e36 (__TEXT,__text) external _fputwc_l
00007ff800249ffd (__TEXT,__text) external _fputws
00007ff800249eab (__TEXT,__text) external _fputws_l
00007ff800204500 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
00007ff80022e8a5 (__TEXT,__text) external _free_printf_comp
00007ff80022eb45 (__TEXT,__text) external _free_printf_domain
                 (undefined) external _freeifaddrs (from libsystem_info)
00007ff800203c94 (__TEXT,__text) external _freelocale
00007ff80024a1ce (__TEXT,__text) external _freopen
00007ff80024a4db (__TEXT,__text) external _fscanf
00007ff80024a5c5 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
00007ff800203fa8 (__TEXT,__text) external _fseek
00007ff800204016 (__TEXT,__text) external _fseeko
00007ff80024a6c2 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstat$INODE64 (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatat$INODE64 (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
                 (undefined) external _fstatfs$INODE64 (from libsystem_kernel)
00007ff8002263d0 (__TEXT,__text) external _fstatvfs
00007ff80022f9c3 (__TEXT,__text) external _fstatx64_np
00007ff80026b0fc (__TEXT,__text) external _fstatx_np
00007ff800206c72 (__TEXT,__text) external _fstatx_np$INODE64
00007ff800206cab (__TEXT,__text) non-external _fstatx_syscall
00007ff80026b135 (__TEXT,__text) non-external _fstatx_syscall
00007ff841a60630 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
00007ff8002303b5 (__TEXT,__text) external _fsync_volume_np
00007ff800204547 (__TEXT,__text) external _ftell
00007ff800204389 (__TEXT,__text) external _ftello
00007ff800255e2b (__TEXT,__text) external _ftime
00007ff80023cf5f (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
00007ff800249439 (__TEXT,__text) external _ftrylockfile
00007ff8001ff2fc (__TEXT,__text) non-external _fts_alloc
00007ff80026a604 (__TEXT,__text) non-external _fts_alloc
00007ff800204bd8 (__TEXT,__text) non-external _fts_build
00007ff8002697ac (__TEXT,__text) non-external _fts_build
00007ff80026b63a (__TEXT,__text) non-external _fts_build.cold.1
00007ff80026d3e4 (__TEXT,__text) non-external _fts_build.cold.1
00007ff80026b64f (__TEXT,__text) non-external _fts_build.cold.2
00007ff80026d3f9 (__TEXT,__text) non-external _fts_build.cold.2
00007ff80026b664 (__TEXT,__text) non-external _fts_build.cold.3
00007ff80026d40e (__TEXT,__text) non-external _fts_build.cold.3
00007ff80026b679 (__TEXT,__text) non-external _fts_build.cold.4
00007ff80026d423 (__TEXT,__text) non-external _fts_build.cold.4
00007ff80026b68e (__TEXT,__text) non-external _fts_build.cold.5
00007ff80026d438 (__TEXT,__text) non-external _fts_build.cold.5
00007ff80026b6a3 (__TEXT,__text) non-external _fts_build.cold.6
00007ff80026d44d (__TEXT,__text) non-external _fts_build.cold.6
00007ff80026a453 (__TEXT,__text) external _fts_children
00007ff800227bab (__TEXT,__text) external _fts_children$INODE64
00007ff80026909a (__TEXT,__text) external _fts_close
00007ff8001ffa4e (__TEXT,__text) external _fts_close$INODE64
00007ff800268d38 (__TEXT,__text) external _fts_open
00007ff8001fefbc (__TEXT,__text) external _fts_open$INODE64
00007ff80026900b (__TEXT,__text) external _fts_open_b
00007ff800227b1b (__TEXT,__text) external _fts_open_b$INODE64
00007ff8001ff290 (__TEXT,__text) non-external _fts_palloc
00007ff80026a598 (__TEXT,__text) non-external _fts_palloc
00007ff8002691a5 (__TEXT,__text) external _fts_read
00007ff8001ff58d (__TEXT,__text) external _fts_read$INODE64
00007ff800205911 (__TEXT,__text) non-external _fts_safe_changedir
00007ff800269665 (__TEXT,__text) non-external _fts_safe_changedir
00007ff80026a430 (__TEXT,__text) external _fts_set
00007ff800212a54 (__TEXT,__text) external _fts_set$INODE64
00007ff800227cf2 (__TEXT,__text) non-external _fts_sort
00007ff80026a696 (__TEXT,__text) non-external _fts_sort
00007ff8001ff38e (__TEXT,__text) non-external _fts_stat2
00007ff80026a7c6 (__TEXT,__text) non-external _fts_stat2
00007ff80026aa80 (__TEXT,__text) external _ftw
00007ff8002289c8 (__TEXT,__text) external _ftw$INODE64
00007ff80022fb79 (__TEXT,__text) external _fungetrune
00007ff841a62d60 (__DATA,__bss) non-external _fungetrune.warn_depreciated
00007ff8001fdc66 (__TEXT,__text) external _funlockfile
00007ff8002179d3 (__TEXT,__text) external _funopen
00007ff80024a6d1 (__TEXT,__text) external _fwide
00007ff80024a728 (__TEXT,__text) external _fwprintf
00007ff80024a7e6 (__TEXT,__text) external _fwprintf_l
00007ff800212c84 (__TEXT,__text) external _fwrite
00007ff80024a87c (__TEXT,__text) external _fwscanf
00007ff80024a93a (__TEXT,__text) external _fwscanf_l
00007ff80022e62c (__TEXT,__text) external _fxprintf
00007ff80022eea0 (__TEXT,__text) external _fxprintf_exec
00007ff841a60580 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00007ff80025d08d (__TEXT,__text) external _gcvt
00007ff800202d4d (__TEXT,__text) non-external _gdtoa_freelist_free
00007ff841a3c5b8 (__DATA_DIRTY,__bss) non-external _gdtoa_tsd_key
00007ff841a3be78 (__DATA_DIRTY,__data) non-external _gdtoa_tsd_lock
00007ff800229e67 (__TEXT,__text) non-external _get_asl
00007ff841a62758 (__DATA,__bss) non-external _get_asl.utx
00007ff841a62d1c (__DATA,__bss) non-external _get_clock.adjustment
00007ff841a62d30 (__DATA,__bss) non-external _get_clock.clock_seq
00007ff841a62d20 (__DATA,__bss) non-external _get_clock.last
00007ff80022a1a3 (__TEXT,__text) non-external _get_file
00007ff841a629d8 (__DATA,__bss) non-external _get_file.ux
00007ff80021b17c (__TEXT,__text) non-external _get_next_format
00007ff80021b2b7 (__TEXT,__text) non-external _get_next_format_from_precision
00007ff80021b25e (__TEXT,__text) non-external _get_next_format_from_width
00007ff80025d672 (__TEXT,__text) non-external _getargs
00007ff80025e1d7 (__TEXT,__text) non-external _getargs
00007ff80025ec53 (__TEXT,__text) non-external _getargs
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
00007ff800247a8a (__TEXT,__text) non-external _getbits
00007ff80026ec5c (__TEXT,__const) non-external _getbits.digits
00007ff80023cfa8 (__TEXT,__text) external _getbsize
00007ff841a62dc0 (__DATA,__bss) non-external _getbsize.header
00007ff800224e3a (__TEXT,__text) external _getc
00007ff80024a9d0 (__TEXT,__text) external _getc_unlocked
00007ff80024a9f6 (__TEXT,__text) external _getchar
00007ff80024aa41 (__TEXT,__text) external _getchar_unlocked
00007ff800219fd0 (__TEXT,__text) external _getcwd
00007ff80022dfbc (__TEXT,__text) external _getdate
00007ff841a62cc8 (__DATA,__bss) non-external _getdate.tm
00007ff841a63454 (__DATA,__common) external _getdate_err
00007ff80021e282 (__TEXT,__text) external _getdelim
                 (undefined) external _getdirentries (from libsystem_kernel)
00007ff80022742f (__TEXT,__text) external _getdiskbyname
00007ff841a62650 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
00007ff80023d2a3 (__TEXT,__text) non-external _getent
00007ff8001ec0a0 (__TEXT,__text) external _getenv
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getfsstat (from libsystem_kernel)
                 (undefined) external _getfsstat$INODE64 (from libsystem_kernel)
                 (undefined) external _getfsstat64 (from libsystem_kernel)
                 (undefined) external _getgrgid (from libsystem_info)
                 (undefined) external _getgrnam (from libsystem_info)
                 (undefined) external _getgroupcount (from libsystem_info)
                 (undefined) external _getgrouplist (from libsystem_info)
00007ff800266eb6 (__TEXT,__text) external _getgroups$DARWIN_EXTSN
00007ff8002304bb (__TEXT,__text) external _gethostid
00007ff800205cb8 (__TEXT,__text) external _gethostname
                 (undefined) external _getifaddrs (from libsystem_info)
00007ff800248609 (__TEXT,__text) external _getipv4sourcefilter
00007ff80026c96f (__TEXT,__text) non-external _getipv4sourcefilter.cold.1
00007ff80026c992 (__TEXT,__text) non-external _getipv4sourcefilter.cold.2
00007ff80026c9b5 (__TEXT,__text) non-external _getipv4sourcefilter.cold.3
00007ff8002292d8 (__TEXT,__text) external _getlastlogx
00007ff8002293a4 (__TEXT,__text) external _getlastlogxbyname
00007ff80021e270 (__TEXT,__text) external _getline
00007ff800227dd9 (__TEXT,__text) external _getloadavg
00007ff80022436c (__TEXT,__text) external _getlogin
00007ff8002243a6 (__TEXT,__text) non-external _getlogin_basic
00007ff80023e2a7 (__TEXT,__text) external _getlogin_r
00007ff80026702e (__TEXT,__text) external _getmntinfo
00007ff80021f4cf (__TEXT,__text) external _getmntinfo$INODE64
00007ff841a62e08 (__DATA,__bss) non-external _getmntinfo$INODE64.vars
00007ff841a63438 (__DATA,__bss) non-external _getmntinfo.vars
00007ff80025f8da (__TEXT,__text) external _getmntinfo64
00007ff841a633f8 (__DATA,__bss) non-external _getmntinfo64.bufsize
00007ff841a633e8 (__DATA,__bss) non-external _getmntinfo64.mntbuf
00007ff841a633f0 (__DATA,__bss) non-external _getmntinfo64.mntsize
00007ff8001facbd (__TEXT,__text) non-external _getmntinfo_internal
00007ff800267054 (__TEXT,__text) non-external _getmntinfo_internal
00007ff80026711c (__TEXT,__text) external _getmntinfo_r_np
00007ff8001fac65 (__TEXT,__text) external _getmntinfo_r_np$INODE64
00007ff80023f7c0 (__TEXT,__text) external _getmode
00007ff8001f5b10 (__TEXT,__text) non-external _getoffset
00007ff80021aeec (__TEXT,__text) external _getopt
00007ff841a60a28 (__DATA,__data) non-external _getopt.place
00007ff80021a93a (__TEXT,__text) non-external _getopt_internal
00007ff80021a92a (__TEXT,__text) external _getopt_long
00007ff800225ce4 (__TEXT,__text) external _getopt_long_only
00007ff8001fbfbf (__TEXT,__text) external _getpagesize
00007ff841a3c5d8 (__DATA_DIRTY,__bss) non-external _getpagesize.value
00007ff80023f65e (__TEXT,__text) external _getpass
00007ff841a62ea0 (__DATA,__bss) non-external _getpass.buf
00007ff80023e30d (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
00007ff8001fad85 (__TEXT,__text) external _getprogname
                 (undefined) external _getpwnam (from libsystem_info)
                 (undefined) external _getpwuid (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getrlimit (from libsystem_kernel)
00007ff8001f5d52 (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
00007ff80024aa71 (__TEXT,__text) external _gets
00007ff80026ec70 (__TEXT,__const) non-external _gets.w
00007ff841a63150 (__DATA,__bss) non-external _gets.warned
00007ff8001f5b54 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsectiondata (from libmacho)
                 (undefined) external _getsockopt (from libsystem_kernel)
00007ff80024880c (__TEXT,__text) external _getsourcefilter
00007ff800258d90 (__TEXT,__text) external _getsubopt
00007ff8001f467f (__TEXT,__text) external _gettimeofday
00007ff841a62d54 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
00007ff841a62d58 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
00007ff841a62d50 (__DATA,__bss) non-external _gettimeofday.validtz
00007ff800227fe7 (__TEXT,__text) external _getttyent
00007ff841a626a0 (__DATA,__bss) non-external _getttyent.line
00007ff8400205a8 (__DATA_CONST,__const) non-external _getttyent.nonexistent
00007ff841a62660 (__DATA,__bss) non-external _getttyent.tty
00007ff800227e97 (__TEXT,__text) external _getttynam
00007ff800227a31 (__TEXT,__text) non-external _gettype
                 (undefined) external _getuid (from libsystem_kernel)
00007ff8002286e4 (__TEXT,__text) external _getusershell
00007ff80026261e (__TEXT,__text) external _getutmp
00007ff80026265d (__TEXT,__text) external _getutmpx
00007ff800261e6d (__TEXT,__text) external _getutxent
00007ff800229c8f (__TEXT,__text) external _getutxent_wtmp
00007ff800261fc3 (__TEXT,__text) external _getutxid
00007ff800262099 (__TEXT,__text) external _getutxline
00007ff80026ec51 (__TEXT,__const) non-external _getv4.digits
00007ff80022503a (__TEXT,__text) external _getvfsbyname
00007ff80024ab26 (__TEXT,__text) external _getw
00007ff80024ab5b (__TEXT,__text) external _getwc
00007ff80024ab83 (__TEXT,__text) external _getwc_l
00007ff80024ab8d (__TEXT,__text) external _getwchar
00007ff80024abbf (__TEXT,__text) external _getwchar_l
00007ff800230526 (__TEXT,__text) external _getwd
00007ff8001f5a91 (__TEXT,__text) non-external _getzname
00007ff800267180 (__TEXT,__text) external _glob
00007ff80021cb40 (__TEXT,__text) external _glob$INODE64
00007ff80021cea5 (__TEXT,__text) non-external _glob0
00007ff800267504 (__TEXT,__text) non-external _glob0
00007ff80021d3c8 (__TEXT,__text) non-external _glob2
00007ff800267a93 (__TEXT,__text) non-external _glob2
00007ff8002674e4 (__TEXT,__text) external _glob_b
00007ff80023e374 (__TEXT,__text) external _glob_b$INODE64
00007ff80023e3b6 (__TEXT,__text) non-external _globexp1
00007ff8002677a0 (__TEXT,__text) non-external _globexp1
00007ff80021e001 (__TEXT,__text) non-external _globfinal
00007ff800267a1c (__TEXT,__text) non-external _globfinal
00007ff80021e08d (__TEXT,__text) external _globfree
00007ff80026ef14 (__TEXT,__const) non-external _gmt
00007ff800217ba7 (__TEXT,__text) non-external _gmt_init
00007ff841a609f8 (__DATA,__data) non-external _gmt_notify
