
/usr/lib/dyld (for architecture i386):
0004ee90 (__TEXT,__const) non-external K_XMM_AR
0000000000032b04 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile14forEachSectionEU13block_pointerFvRKNS0_11SectionInfoEbRbE
0000000000032738 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile14forEachSegmentEU13block_pointerFvRKNS0_11SegmentInfoERbE
0000000000032004 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile14hasLoadCommandEj
0000000000031c28 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile14machHeaderSizeEv
00000000000334f6 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile15hasOpcodeFixupsEv
0000000000031d04 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile16builtForPlatformENS_8PlatformEb
00000000000334aa (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile16hasChainedFixupsEv
0000000000031fdc (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile16isMainExecutableEv
0000000000031c42 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile16maskedCpuSubtypeEv
0000000000001d32 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile18forEachLoadCommandER11DiagnosticsU13block_pointerFvPK12load_commandRbE
00000000000320b4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile18isStaticExecutableEv
00000000000321cc (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile19getDylibInstallNameEPPKcPjS4_
0000000000031fea (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile19isDynamicExecutableEv
000000000003329c (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile19isFairPlayEncryptedERjS1_
0000000000031e1a (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile19loadableIntoProcessENS_8PlatformEPKc
0000000000032a3e (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile20preferredLoadAddressEv
00000000000322f8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile21forEachDependentDylibEU13block_pointerFvPKcbbbjjRbE
00000000000326d4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile22entryAddrFromThreadCmdEPK14thread_command
000000000005c3c5 (__TEXT,__text) non-external __ZNK5dyld39MachOFile22entryAddrFromThreadCmdEPK14thread_command.cold.1
00000000000333cc (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile23allowsAlternatePlatformEv
0000000000033252 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile23hasThreadLocalVariablesEv
00000000000043d2 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile24forEachSupportedPlatformEU13block_pointerFvNS_8PlatformEjjE
0000000000032fbe (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile25forEachInterposingSectionER11DiagnosticsU13block_pointerFvyyRbE
00000000000332d8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile33findFairPlayEncryptionLoadCommandEv
0000000000031c18 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile4is64Ev
0000000000031c68 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile6isArchEPKc
0000000000001c4e (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile7getUuidEPh
0000000000031fc0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile7isDylibEv
00000000000314e2 (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile7isMachOER11Diagnosticsy
0000000000031cbe (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile8archNameEv
0000000000031fce (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile8isBundleEv
00000000000320de (__TEXT,__text) non-external (was a private external) __ZNK5dyld39MachOFile9isFileSetEv
000000000000721c (__TEXT,__text) non-external (was a private external) __ZNK5dyld410KernelArgs9findAppleEv
000000000001dbb4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld412MissingPaths11forEachPathEU13block_pointerFvPKcE
0000000000029494 (__TEXT,__text) non-external (was a private external) __ZNK5dyld412ObjCClassOpt12forEachClassEPKcRNS_12RuntimeStateEU13block_pointerFvPvbPbE
000000000005b3aa (__TEXT,__text) non-external __ZNK5dyld412ObjCClassOpt12forEachClassEPKcRNS_12RuntimeStateEU13block_pointerFvPvbPbE.cold.1
000000000005b3cb (__TEXT,__text) non-external __ZNK5dyld412ObjCClassOpt12forEachClassEPKcRNS_12RuntimeStateEU13block_pointerFvPvbPbE.cold.2
000000000005b3ee (__TEXT,__text) non-external __ZNK5dyld412ObjCClassOpt12forEachClassEPKcRNS_12RuntimeStateEU13block_pointerFvPvbPbE.cold.3
000000000005b40f (__TEXT,__text) non-external __ZNK5dyld412ObjCClassOpt12forEachClassEPKcRNS_12RuntimeStateEU13block_pointerFvPvbPbE.cold.4
000000000005b430 (__TEXT,__text) non-external __ZNK5dyld412ObjCClassOpt12forEachClassEPKcRNS_12RuntimeStateEU13block_pointerFvPvbPbE.cold.5
0000000000029706 (__TEXT,__text) non-external (was a private external) __ZNK5dyld412ObjCClassOpt12forEachClassERNS_12RuntimeStateEU13block_pointerFvRKNS_14PrebuiltLoader13BindTargetRefERKN5dyld35ArrayIS4_EEE
000000000005b472 (__TEXT,__text) non-external __ZNK5dyld412ObjCClassOpt12forEachClassERNS_12RuntimeStateEU13block_pointerFvRKNS_14PrebuiltLoader13BindTargetRefERKN5dyld35ArrayIS4_EEE.cold.1
000000000005b493 (__TEXT,__text) non-external __ZNK5dyld412ObjCClassOpt12forEachClassERNS_12RuntimeStateEU13block_pointerFvRKNS_14PrebuiltLoader13BindTargetRefERKN5dyld35ArrayIS4_EEE.cold.2
000000000005b4b4 (__TEXT,__text) non-external __ZNK5dyld412ObjCClassOpt12forEachClassERNS_12RuntimeStateEU13block_pointerFvRKNS_14PrebuiltLoader13BindTargetRefERKN5dyld35ArrayIS4_EEE.cold.3
000000000005b4d7 (__TEXT,__text) non-external __ZNK5dyld412ObjCClassOpt12forEachClassERNS_12RuntimeStateEU13block_pointerFvRKNS_14PrebuiltLoader13BindTargetRefERKN5dyld35ArrayIS4_EEE.cold.4
000000000005b4f8 (__TEXT,__text) non-external __ZNK5dyld412ObjCClassOpt12forEachClassERNS_12RuntimeStateEU13block_pointerFvRKNS_14PrebuiltLoader13BindTargetRefERKN5dyld35ArrayIS4_EEE.cold.5
000000000002ca22 (__TEXT,__text) non-external (was a private external) __ZNK5dyld412PrebuiltObjC15serializeFixupsERKNS_6LoaderERNS_13BumpAllocatorE
000000000005bace (__TEXT,__text) non-external __ZNK5dyld412PrebuiltObjC15serializeFixupsERKNS_6LoaderERNS_13BumpAllocatorE.cold.1
000000000005baf1 (__TEXT,__text) non-external __ZNK5dyld412PrebuiltObjC15serializeFixupsERKNS_6LoaderERNS_13BumpAllocatorE.cold.2
000000000005bb14 (__TEXT,__text) non-external __ZNK5dyld412PrebuiltObjC15serializeFixupsERKNS_6LoaderERNS_13BumpAllocatorE.cold.3
000000000000fe1c (__TEXT,__text) non-external (was a private external) __ZNK5dyld412RuntimeState14buildBootTokenERN5dyld35ArrayIhEE
0000000000010af8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld412RuntimeState16inPrebuiltLoaderEPKvm
0000000000010542 (__TEXT,__text) non-external (was a private external) __ZNK5dyld412RuntimeState18findPrebuiltLoaderEPKc
000000000005a212 (__TEXT,__text) non-external __ZNK5dyld412RuntimeState18findPrebuiltLoaderEPKc.cold.1
000000000000b732 (__TEXT,__text) non-external (was a private external) __ZNK5dyld412RuntimeState20checkHiddenCacheAddrEPKNS_6LoaderEPKvPKcRN5dyld317OverflowSafeArrayINS0_15HiddenCacheAddrELm4294967295EEE
000000000000fffc (__TEXT,__text) non-external (was a private external) __ZNK5dyld412RuntimeState23fileAlreadyHasBootTokenEPKcRKN5dyld35ArrayIhEE
0000000000010274 (__TEXT,__text) non-external (was a private external) __ZNK5dyld412RuntimeState24saveAppPrebuiltLoaderSetEPKNS_17PrebuiltLoaderSetE
000000000000d050 (__TEXT,__text) non-external (was a private external) __ZNK5dyld412RuntimeState25hasMissingFlatLazySymbolsEv
000000000000ac00 (__TEXT,__text) non-external (was a private external) __ZNK5dyld412RuntimeState3logEPKcz
000000000000a368 (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig10fileExistsEPKcPNS_6FileIDEPb
0000000000009928 (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig13PathOverrides18forEachImageSuffixEPKcNS1_4TypeERbU13block_pointerFvS3_S4_S5_E
0000000000009a7a (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig13PathOverrides18forEachPathVariantEPKcN5dyld38PlatformEbRbU13block_pointerFvS3_NS1_4TypeES6_E
00000000000095d6 (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig13PathOverrides20forEachDylibFallbackEN5dyld38PlatformEbU13block_pointerFvPKcNS1_4TypeERbE
00000000000093a2 (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig13PathOverrides20forEachInsertedDylibEU13block_pointerFvPKcRbE
000000000000a25e (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig13PathOverrides21dontUsePrebuiltForAppEv
0000000000009daa (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig13PathOverrides23getFrameworkPartialPathEPKc
0000000000009760 (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig13PathOverrides24forEachFrameworkFallbackEN5dyld38PlatformEbU13block_pointerFvPKcNS1_4TypeERbE
00000000000098ac (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig13PathOverrides9addSuffixEPKcS3_Pc
000000000000a3ac (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig25canonicalDylibPathInCacheEPKc
000000000000a29e (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig29simulatorFileMatchesDyldCacheEPKc
00000000000077f6 (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig7Process10appleParamEPKc
0000000000007982 (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig7Process24findVersionSetEquivalentEN5dyld38PlatformEj
000000000000781a (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig7Process6strdupEPKc
0000000000059c0c (__TEXT,__text) non-external __ZNK5dyld413ProcessConfig7Process6strdupEPKc.cold.1
0000000000007804 (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig7Process7environEPKc
0000000000008732 (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig9DyldCache11indexOfPathEPKcRj
000000000000826e (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig9DyldCache21makeDataConstWritableERKNS0_7LoggingERKNS_15SyscallDelegateEb
00000000000084f4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld413ProcessConfig9DyldCache26uuidOfFileMatchesDyldCacheERKNS0_7ProcessERKNS_15SyscallDelegateEPKc
000000000001a2b0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader11applyFixupsER11DiagnosticsRNS_12RuntimeStateERNS_34DyldCacheDataConstLazyScopedWriterEb
000000000005aada (__TEXT,__text) non-external __ZNK5dyld414PrebuiltLoader11applyFixupsER11DiagnosticsRNS_12RuntimeStateERNS_34DyldCacheDataConstLazyScopedWriterEb.cold.1
000000000005aafb (__TEXT,__text) non-external __ZNK5dyld414PrebuiltLoader11applyFixupsER11DiagnosticsRNS_12RuntimeStateERNS_34DyldCacheDataConstLazyScopedWriterEb.cold.2
0000000000019c2c (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader11loadAddressERNS_12RuntimeStateE
0000000000019dac (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader11matchesPathEPKc
0000000000019bc0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader13BindTargetRef5valueERNS_12RuntimeStateE
0000000000019b7a (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader13BindTargetRef6offsetEv
000000000005aa26 (__TEXT,__text) non-external __ZNK5dyld414PrebuiltLoader13BindTargetRef6offsetEv.cold.1
0000000000019e30 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader14dependentCountEv
000000000001abbc (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader14getExportsTrieERyRj
000000000001b5c6 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader14hasBeenFixedUpERNS_12RuntimeStateE
000000000001abd4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader14hiddenFromFlatEb
000000000001a060 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader14setLoadAddressERNS_12RuntimeStateEPKN5dyld311MachOLoadedE
000000000005aa94 (__TEXT,__text) non-external __ZNK5dyld414PrebuiltLoader14setLoadAddressERNS_12RuntimeStateEPKN5dyld311MachOLoadedE.cold.1
000000000001a79a (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader15applyObjCFixupsERNS_12RuntimeStateE
000000000001b63c (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader15runInitializersERNS_12RuntimeStateE
0000000000019e3a (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader16recordedCdHashIsEPKh
000000000001b450 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader17invalidateShallowERKNS_12RuntimeStateE
000000000001b14e (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader21invalidateInIsolationERKNS_12RuntimeStateE
000000000001c8b4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader21overridesDylibInCacheERPKNS_6Loader10DylibPatchERt
000000000001abdc (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader26representsCachedDylibIndexEt
000000000001abe4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader27recursiveMarkBeingValidatedERKNS_12RuntimeStateE
000000000005ab1f (__TEXT,__text) non-external __ZNK5dyld414PrebuiltLoader27recursiveMarkBeingValidatedERKNS_12RuntimeStateE.cold.1
0000000000019e78 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader3mapER11DiagnosticsRNS_12RuntimeStateERKNS_6Loader11LoadOptionsE
0000000000019cf2 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader4pathEv
000000000001a284 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader5unmapERNS_12RuntimeStateEb
0000000000019e06 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader6fileIDEv
000000000001acda (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader7isValidERKNS_12RuntimeStateE
000000000005ab42 (__TEXT,__text) non-external __ZNK5dyld414PrebuiltLoader7isValidERKNS_12RuntimeStateE.cold.1
000000000005ab65 (__TEXT,__text) non-external __ZNK5dyld414PrebuiltLoader7isValidERKNS_12RuntimeStateE.cold.2
0000000000019d08 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader8containsERNS_12RuntimeStateEPKvPS4_PyPh
000000000001a1e2 (__TEXT,__text) non-external (was a private external) __ZNK5dyld414PrebuiltLoader9dependentERKNS_12RuntimeStateEjPNS_6Loader13DependentKindE
000000000005aab7 (__TEXT,__text) non-external __ZNK5dyld414PrebuiltLoader9dependentERKNS_12RuntimeStateEjPNS_6Loader13DependentKindE.cold.1
0000000000029224 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415ObjCStringTable18getPotentialTargetEPKc
000000000005b2e4 (__TEXT,__text) non-external __ZNK5dyld415ObjCStringTable18getPotentialTargetEPKc.cold.1
0000000000029682 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415ObjCStringTable8getIndexEPKc
000000000005b451 (__TEXT,__text) non-external __ZNK5dyld415ObjCStringTable8getIndexEPKc.cold.1
00000000000291b4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415ObjCStringTable9getStringEPKcRNS_12RuntimeStateE
000000000001e96a (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate10fileExistsEPKcPNS_6FileIDEPb
000000000001f58a (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate10vm_protectEjmmbj
000000000001e2f8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate11openLogFileEPKc
000000000001e3fc (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate12getDyldCacheERKN5dyld318SharedCacheOptionsERNS1_19SharedCacheLoadInfoE
000000000001e62c (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate12getDylibInfoEPKcN5dyld38PlatformERKNS3_11GradedArchsERjPc
000000000001e274 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate12isTranslatedEv
000000000001e2ea (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate14getGradedArchsEPKcb
000000000001e25e (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate15internalInstallEv
000000000001e91a (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate15isContainerizedEPKc
000000000001ec6e (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate15mapFileReadOnlyER11DiagnosticsPKcPmPNS_6FileIDEPbPc
000000000001eff4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate16getFileAttributeEPKcS2_RN5dyld35ArrayIhEE
000000000005afe2 (__TEXT,__text) non-external __ZNK5dyld415SyscallDelegate16getFileAttributeEPKcS2_RN5dyld35ArrayIhEE.cold.1
000000000001f03c (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate16setFileAttributeEPKcS2_RKN5dyld35ArrayIhEE
000000000001f426 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate17dyldCommPageFlagsEv
000000000001f466 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate18bootVolumeWritableEv
000000000001e492 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate18forEachInDirectoryEPKcbU13block_pointerFvS2_E
000000000001f3dc (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate18sandboxBlockedMmapEPKc
000000000001ef64 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate18sandboxBlockedOpenEPKc
000000000001ef18 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate18sandboxBlockedStatEPKc
000000000001e944 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate20isMaybeContainerizedEPKc
000000000001f43a (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate20setDyldCommPageFlagsENS0_12DyldCommPageE
000000000001f0c4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate21saveFileWithAttributeER11DiagnosticsPKcPKvmS4_RKN5dyld35ArrayIhEE
000000000001e784 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate22withReadOnlyMappedFileER11DiagnosticsPKcbU13block_pointerFvPKvmbRKNS_6FileIDES4_E
000000000001e352 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate23dtraceUserProbesEnabledEv
000000000001e366 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate24dtraceRegisterUserProbesEP14dof_ioctl_data
000000000001e3b4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate25dtraceUnregisterUserProbeEi
000000000001f538 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate4mmapEPvmiiim
000000000001ef52 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate4openEPKcii
000000000001e9ee (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate4statEPKcP4stat
000000000001f4e0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate5closeEi
000000000001ec5a (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate5fcntlEiiPv
000000000001f528 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate5fstatEiP4stat
000000000001f4ec (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate5preadEiPvmm
000000000001e28c (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate6getCWDEPc
000000000001f3d0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate6getpidEv
000000000001ea3e (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate6mkdirsEPKc
000000000001f558 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate6munmapEPvm
000000000001f568 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate6socketEiii
000000000001f51a (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate6unlinkEPKc
000000000001f578 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate7connectEiPK8sockaddrj
000000000001f508 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate8mprotectEPvmi
000000000001eb1e (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate8realpathEPKcPc
000000000001e220 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate9amfiFlagsEbb
000000000001e9fe (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate9dirExistsEPKc
000000000001f5ac (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate9fsgetpathEPcmyy
000000000001e312 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate9onHaswellEv
000000000001efe4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld415SyscallDelegate9unmapFileEPKvm
0000000000018052 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader11applyFixupsER11DiagnosticsRNS_12RuntimeStateERNS_34DyldCacheDataConstLazyScopedWriterEb
0000000000017470 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader11loadAddressERNS_12RuntimeStateE
00000000000175be (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader11matchesPathEPKc
0000000000017cbc (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader14dependentCountEv
0000000000017d28 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader14getExportsTrieERyRj
0000000000018b72 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader14hasBeenFixedUpERNS_12RuntimeStateE
0000000000017d44 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader14hiddenFromFlatEb
0000000000017638 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader14makePatchTableERNS_12RuntimeStateEj
000000000005a877 (__TEXT,__text) non-external __ZNK5dyld416JustInTimeLoader14makePatchTableERNS_12RuntimeStateEj.cold.1
0000000000018ba4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader15runInitializersERNS_12RuntimeStateE
00000000000184ee (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader17forEachBindTargetER11DiagnosticsRNS_12RuntimeStateEU13block_pointerFvjjRKNS_6Loader14ResolvedSymbolEEbU13block_pointerFvS8_RbESD_
000000000001911e (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader21getFileValidationInfoEv
0000000000017da4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader21overridesDylibInCacheERPKNS_6Loader10DylibPatchERt
0000000000019280 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader25getCatalystMacTwinPatchesEv
0000000000017d62 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader26representsCachedDylibIndexEt
000000000001747a (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader4pathEv
0000000000018aac (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader5unmapERNS_12RuntimeStateEb
000000000005a947 (__TEXT,__text) non-external __ZNK5dyld416JustInTimeLoader5unmapERNS_12RuntimeStateEb.cold.1
0000000000017620 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader6fileIDEv
0000000000017490 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader8containsERNS_12RuntimeStateEPKvPS4_PyPh
0000000000017cce (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader9dependentERKNS_12RuntimeStateEjPNS_6Loader13DependentKindE
000000000005a8de (__TEXT,__text) non-external __ZNK5dyld416JustInTimeLoader9dependentERKNS_12RuntimeStateEjPNS_6Loader13DependentKindE.cold.1
000000000001dcf4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet10deallocateEv
000000000001cc1e (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet10findLoaderEPKc
000000000005ad8f (__TEXT,__text) non-external __ZNK5dyld417PrebuiltLoaderSet10findLoaderEPKc.cold.1
000000000001c90c (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet11validHeaderERNS_12RuntimeStateE
000000000001cd00 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet12objcClassOptEv
000000000001cd14 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet15objcProtocolOptEv
000000000001ccec (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet15objcSelectorOptEv
000000000001d1a6 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet17forEachCachePatchEU13block_pointerFvRKNS0_10CachePatchEE
000000000001cd28 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet23logDuplicateObjCClassesERNS_12RuntimeStateE
000000000001cb50 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet24forEachMustBeMissingPathEU13block_pointerFvPKcRbE
000000000001c97e (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet7isValidERNS_12RuntimeStateE
000000000005ad6c (__TEXT,__text) non-external __ZNK5dyld417PrebuiltLoaderSet7isValidERNS_12RuntimeStateE.cold.1
000000000001c8ee (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet8containsEPKvm
000000000001cc5a (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet9findIndexEPKcRt
000000000005adb2 (__TEXT,__text) non-external __ZNK5dyld417PrebuiltLoaderSet9findIndexEPKcRt.cold.1
0000000000026d48 (__TEXT,__text) non-external (was a private external) __ZNK5dyld419objc_headeropt_rw_t8isLoadedEj
000000000005b181 (__TEXT,__text) non-external __ZNK5dyld419objc_headeropt_rw_t8isLoadedEj.cold.1
0000000000010d60 (__TEXT,__text) non-external (was a private external) __ZNK5dyld434DyldCacheDataConstLazyScopedWriter13makeWriteableEv
0000000000026b7e (__TEXT,__text) non-external (was a private external) __ZNK5dyld44APIs31_dyld_find_protocol_conformanceEPKvS2_S2_
0000000000026e88 (__TEXT,__text) non-external (was a private external) __ZNK5dyld44APIs33_dyld_swift_optimizations_versionEv
