00000001eada60b0 (__DATA,__data) non-external _C
00000001803d7078 (__TEXT,__text) external _at_quick_exit
000000018038b504 (__TEXT,__text) external _atexit
000000018038d5cc (__TEXT,__text) external _atexit_b
00000001eceae1e0 (__DATA_DIRTY,__data) non-external _atexit_mutex
000000018036b17c (__TEXT,__text) non-external _atexit_register
00000001803de958 (__TEXT,__text) non-external _atexit_register.cold.1
0000000180398678 (__TEXT,__text) external _atof
0000000180386104 (__TEXT,__text) external _atof_l
0000000180372140 (__TEXT,__text) external _atoi
00000001803cf364 (__TEXT,__text) external _atoi_l
000000018037a460 (__TEXT,__text) external _atol
00000001803cf388 (__TEXT,__text) external _atol_l
0000000180373b5c (__TEXT,__text) external _atoll
00000001803cf398 (__TEXT,__text) external _atoll_l
00000001803735d8 (__TEXT,__text) external _backtrace
000000018039ca20 (__TEXT,__text) external _backtrace_async
000000018039ca9c (__TEXT,__text) external _backtrace_from_fp
00000001edb54070 (__AUTH,__data) non-external _backtrace_get_pcs_func
0000000180379f34 (__TEXT,__text) external _backtrace_image_offsets
000000018039ca00 (__TEXT,__text) external _backtrace_set_pcs_func
000000018037858c (__TEXT,__text) external _backtrace_symbols
000000018039cb04 (__TEXT,__text) external _backtrace_symbols_fd
0000000180379ec4 (__TEXT,__text) external _basename
00000001eceaea28 (__DATA_DIRTY,__bss) non-external _basename.bname
00000001803794e4 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00000001803662c4 (__TEXT,__text) external _bcopy
000000018039c5c4 (__TEXT,__text) non-external _bitCountMP
00000001803dd1bc (__TEXT,__text) non-external _bitCountMP.cold.1
00000001803e1a28 (__TEXT,__const) non-external _blanks
00000001803e1ae8 (__TEXT,__const) non-external _blanks
00000001eada6318 (__DATA,__data) non-external _blanks
                 (undefined) external _bootstrap_parent (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
000000018039f9dc (__TEXT,__text) non-external _both_ftw
00000001eada7370 (__DATA,__bss) non-external _brapreg
000000018039a3b4 (__TEXT,__text) external _brk
000000018039a3d8 (__TEXT,__text) external _bsd_signal
000000018036bc24 (__TEXT,__text) external _bsearch
0000000180375170 (__TEXT,__text) external _bsearch_b
00000001803abe10 (__TEXT,__text) non-external _bt_broot
00000001803abb5c (__TEXT,__text) non-external _bt_page
00000001803abf78 (__TEXT,__text) non-external _bt_preserve
00000001803abfd0 (__TEXT,__text) non-external _bt_psplit
00000001803aba78 (__TEXT,__text) non-external _bt_root
00000001803abd10 (__TEXT,__text) non-external _bt_rroot
0000000180398ff8 (__TEXT,__text) external _btowc
000000018039901c (__TEXT,__text) external _btowc_l
00000001eada7172 (__DATA,__bss) non-external _buf_asctime
00000001803c5220 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
00000001803e0248 (__TEXT,__const) non-external (was a private external) _cVersionNumber
00000001803e0220 (__TEXT,__const) non-external (was a private external) _cVersionString
00000001803c2704 (__TEXT,__text) external _catclose
00000001e6b64b10 (__DATA_CONST,__const) non-external _categories
00000001803c2434 (__TEXT,__text) external _catgets
00000001803c1d58 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00000001803b8a60 (__TEXT,__text) external _cfgetispeed
0000000180386198 (__TEXT,__text) external _cfgetospeed
00000001803b8a8c (__TEXT,__text) external _cfmakeraw
00000001803b8a74 (__TEXT,__text) external _cfsetispeed
00000001803b8a68 (__TEXT,__text) external _cfsetospeed
00000001803b8a80 (__TEXT,__text) external _cfsetspeed
00000001803b4eb4 (__TEXT,__text) external _cgetcap
00000001803b56b4 (__TEXT,__text) external _cgetclose
00000001803b4f40 (__TEXT,__text) external _cgetent
00000001803b5644 (__TEXT,__text) external _cgetfirst
00000001803b55cc (__TEXT,__text) external _cgetmatch
00000001803b5700 (__TEXT,__text) external _cgetnext
00000001803b5e6c (__TEXT,__text) external _cgetnum
00000001803b4e1c (__TEXT,__text) external _cgetset
00000001803b5ac8 (__TEXT,__text) external _cgetstr
00000001803b5d6c (__TEXT,__text) external _cgetustr
00000001803bab14 (__TEXT,__text) non-external _chainsearch
00000001803e17a8 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
000000018038f470 (__TEXT,__text) non-external _check_env_var
000000018037c1f8 (__TEXT,__text) non-external _chmodx1
000000018037c1bc (__TEXT,__text) external _chmodx_np
000000018037c418 (__TEXT,__text) non-external _chmodx_syscall
00000001803c2858 (__TEXT,__text) external _clearerr
00000001803c289c (__TEXT,__text) external _clearerr_unlocked
000000018038b494 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
000000018039a190 (__TEXT,__text) external _clock_getres
0000000180373dcc (__TEXT,__text) external _clock_gettime
0000000180365fe8 (__TEXT,__text) external _clock_gettime_nsec_np
00000001eceb03b0 (__DATA_DIRTY,__common) external _clock_port
00000001eceb0368 (__DATA_DIRTY,__common) external _clock_sem
000000018039a234 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
000000018037b334 (__TEXT,__text) non-external _close_directory
000000018036b830 (__TEXT,__text) external _closedir
00000001e6b650d8 (__DATA_CONST,__const) non-external _cnames
00000001803ae1f4 (__TEXT,__text) non-external _collect_data
00000001803ae3bc (__TEXT,__text) non-external _collect_key
00000001803e1cd2 (__TEXT,__const) non-external _command_substitution_str
000000018038f270 (__TEXT,__text) external _compat_mode
000000018036acf8 (__TEXT,__text) external _confstr
00000001eada7238 (__DATA,__bss) non-external _constdatablock
00000001803a6694 (__TEXT,__text) external _copy_printf_domain
0000000180392760 (__TEXT,__text) external _creat
00000001803a86cc (__TEXT,__text) external _creat$NOCANCEL
000000018039cbe4 (__TEXT,__text) external _crypt
00000001eada7220 (__DATA,__bss) non-external _cryptresult
                 (undefined) external _csops (from libsystem_kernel)
00000001803b3384 (__TEXT,__text) external _ctermid
00000001eada60e0 (__DATA,__data) non-external _ctermid.def
00000001803b33b0 (__TEXT,__text) external _ctermid_r
0000000180390198 (__TEXT,__text) external _ctime
0000000180384764 (__TEXT,__text) external _ctime_r
00000001eada616c (__DATA,__data) non-external _current_categories
00000001803861a0 (__TEXT,__text) non-external _currentlocale
00000001eceae928 (__DATA_DIRTY,__bss) non-external _currentlocale.current_locale_string
00000001eada73d0 (__DATA,__bss) non-external _curshell
00000001803b33d0 (__TEXT,__text) external _daemon
00000001eada5da8 (__DATA,__data) non-external _dash_prefix
00000001eceb0330 (__DATA_DIRTY,__common) external _daylight
00000001803b043c (__TEXT,__text) external _dbm_clearerr
00000001803b0284 (__TEXT,__text) external _dbm_close
00000001803b03b8 (__TEXT,__text) external _dbm_delete
00000001803b044c (__TEXT,__text) external _dbm_dirfno
00000001803b0430 (__TEXT,__text) external _dbm_error
00000001803b028c (__TEXT,__text) external _dbm_fetch
00000001803b02d4 (__TEXT,__text) external _dbm_firstkey
00000001803b0340 (__TEXT,__text) external _dbm_nextkey
00000001803b0198 (__TEXT,__text) external _dbm_open
00000001803b03f0 (__TEXT,__text) external _dbm_store
00000001803ac73c (__TEXT,__text) external _dbopen
00000001eada7a48 (__DATA,__bss) non-external _dbp
00000001eada7390 (__DATA,__bss) non-external _decpreg
00000001803e1e40 (__TEXT,__const) non-external _degrees
00000001803ba890 (__TEXT,__text) non-external _destruct_collate
00000001803d2e2c (__TEXT,__text) non-external _destruct_ctype
00000001803bcc14 (__TEXT,__text) non-external (was a private external) _destruct_ldpart
00000001803a434c (__TEXT,__text) non-external _destruct_locale
0000000180397900 (__TEXT,__text) external _devname
00000001eada7110 (__DATA,__bss) non-external _devname.buf
0000000180397980 (__TEXT,__text) external _devname_r
0000000180391490 (__TEXT,__text) external _difftime
00000001803a23cc (__TEXT,__text) external _digittoint
00000001803a26cc (__TEXT,__text) external _digittoint_l
0000000180391d28 (__TEXT,__text) external _dirfd
000000018039421c (__TEXT,__text) external _dirname
00000001eada71c0 (__DATA,__bss) non-external _dirname.dname
000000018038affc (__TEXT,__text) external _dirname_r
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_group_async_f (from libdispatch)
                 (undefined) external _dispatch_group_create (from libdispatch)
                 (undefined) external _dispatch_group_wait (from libdispatch)
                 (undefined) external _dispatch_release (from libdispatch)
000000018038f240 (__TEXT,__text) external _div
00000001eada5fc0 (__DATA,__data) non-external _dktypenames
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _dlopen (from libdyld)
                 (undefined) external _dlsym (from libdyld)
00000001803b99a0 (__TEXT,__text) non-external _do_hvis
00000001803b9ad8 (__TEXT,__text) non-external _do_mvis
000000018038995c (__TEXT,__text) non-external _do_svis
00000001803928b8 (__TEXT,__text) external _dprintf
00000001803c28ac (__TEXT,__text) external _dprintf_l
000000018038de04 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
0000000180378f10 (__TEXT,__text) external _duplocale
00000001803a6320 (__TEXT,__text) external _dxprintf
00000001803a69c8 (__TEXT,__text) external _dxprintf_exec
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_image_header_containing_address (from libdyld)
                 (undefined) external _dyld_sdk_at_least (from libdyld)
00000001803d28f8 (__TEXT,__text) external _ecvt
00000001eada7af8 (__DATA,__bss) non-external _empty
00000001eada7b08 (__DATA,__bss) non-external _empty
00000001eada7b1c (__DATA,__bss) non-external _empty
000000018039d8d8 (__TEXT,__text) external _encrypt
00000001803a1140 (__TEXT,__text) non-external _end_asl
00000001803a1180 (__TEXT,__text) non-external _end_file
00000001eada62c0 (__DATA,__data) non-external _end_ptr
000000018039f4fc (__TEXT,__text) external _endttyent
000000018039f868 (__TEXT,__text) external _endusershell
00000001803d73cc (__TEXT,__text) external _endutxent
00000001803a0f9c (__TEXT,__text) external _endutxent_wtmp
00000001803cf3a8 (__TEXT,__text) external _environ_lock_np
00000001eceb0268 (__DATA_DIRTY,__bss) non-external _environ_pointer
00000001803cf3b8 (__TEXT,__text) external _environ_unlock_np
0000000180371244 (__TEXT,__text) non-external _eofread
000000018037124c (__TEXT,__text) non-external _eofread
00000001803b3560 (__TEXT,__text) external _erand48
00000001803dda84 (__TEXT,__text) external _err
00000001803b6534 (__TEXT,__text) non-external _err_aborted
00000001803b3740 (__TEXT,__text) external _err_set_exit
00000001803b3798 (__TEXT,__text) external _err_set_exit_b
00000001803b3720 (__TEXT,__text) external _err_set_file
00000001803ddbec (__TEXT,__text) external _errc
00000001803ddc0c (__TEXT,__text) external _errx
00000001803e1248 (__TEXT,__const) non-external _escape
00000001803b37f4 (__TEXT,__text) external _execl
00000001803b38e8 (__TEXT,__text) external _execle
00000001803b39e4 (__TEXT,__text) external _execlp
00000001803b3b38 (__TEXT,__text) external _execv
00000001803b3b74 (__TEXT,__text) external _execvP
00000001803b3bc0 (__TEXT,__text) non-external _execvPe
00000001803e1348 (__TEXT,__const) non-external _execvPe_err_preamble
00000001803e1351 (__TEXT,__const) non-external _execvPe_err_trailer
                 (undefined) external _execve (from libsystem_kernel)
00000001803b3ad4 (__TEXT,__text) external _execvp
000000018038d1c0 (__TEXT,__text) external _exit
00000001803a5c7c (__TEXT,__text) non-external _extract_next_subsystem_root_path
00000001803c2fa4 (__TEXT,__text) external _f_prealloc
000000018039ac28 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
000000018037c430 (__TEXT,__text) external _fchmodx_np
000000018037c46c (__TEXT,__text) non-external _fchmodx_syscall
0000000180383ce8 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
00000001803d2ae4 (__TEXT,__text) external _fcvt
000000018038ecac (__TEXT,__text) external _fdopen
0000000180386a3c (__TEXT,__text) external _fdopen$DARWIN_EXTSN
00000001803b691c (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
00000001803988b8 (__TEXT,__text) external _feof
00000001803c28d8 (__TEXT,__text) external _feof_unlocked
0000000180391598 (__TEXT,__text) external _ferror
00000001803c28e4 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
00000001803b00f8 (__TEXT,__text) non-external _fetch_bitmap
000000018039ff90 (__TEXT,__text) external _fflagstostr
0000000180375208 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
0000000180391d60 (__TEXT,__text) external _fgetc
0000000180396ca8 (__TEXT,__text) external _fgetln
00000001803c292c (__TEXT,__text) external _fgetpos
00000001803a76b4 (__TEXT,__text) external _fgetrune
00000001eada79dc (__DATA,__bss) non-external _fgetrune.warn_depreciated
0000000180383b14 (__TEXT,__text) external _fgets
00000001803c295c (__TEXT,__text) external _fgetwc
00000001803c2ae4 (__TEXT,__text) external _fgetwc_l
00000001803c2c40 (__TEXT,__text) external _fgetwln
00000001803c2b68 (__TEXT,__text) external _fgetwln_l
00000001803c2e2c (__TEXT,__text) external _fgetws
00000001803c2c64 (__TEXT,__text) external _fgetws_l
00000001eceadbd0 (__DATA_DIRTY,__data) non-external _filelist_lock
0000000180379e04 (__TEXT,__text) external _fileno
00000001803c2e50 (__TEXT,__text) external _fileno_unlocked
000000018037319c (__TEXT,__text) non-external _filesec_discard_aclbuf
000000018037c124 (__TEXT,__text) external _filesec_dup
0000000180373578 (__TEXT,__text) external _filesec_free
00000001803731e8 (__TEXT,__text) external _filesec_get_property
0000000180372f14 (__TEXT,__text) external _filesec_init
000000018039e128 (__TEXT,__text) external _filesec_query_property
0000000180372f48 (__TEXT,__text) external _filesec_set_property
0000000180398cb0 (__TEXT,__text) external _filesec_unset_property
000000018037a048 (__TEXT,__text) non-external _find_temp_path
000000018038ce9c (__TEXT,__text) non-external _first_wday_of
00000001803752c0 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
00000001803ad5e8 (__TEXT,__text) non-external _flush_meta
00000001803d6ac0 (__TEXT,__text) non-external _flush_queues
00000001803ce4b8 (__TEXT,__text) external _fmemopen
00000001803ce814 (__TEXT,__text) non-external _fmemopen_close
00000001803ce6a4 (__TEXT,__text) non-external _fmemopen_read
00000001803ce78c (__TEXT,__text) non-external _fmemopen_seek
00000001803ce700 (__TEXT,__text) non-external _fmemopen_write
00000001e6b64c88 (__DATA_CONST,__const) non-external _fmt_padding
000000018038e79c (__TEXT,__text) external _fmtcheck
00000001803b3ecc (__TEXT,__text) external _fmtmsg
000000018038fa10 (__TEXT,__text) external _fnmatch
00000001803757c0 (__TEXT,__text) external _fopen
00000001803dc9cc (__TEXT,__text) external _fopen$DARWIN_EXTSN
0000000180388ce0 (__TEXT,__text) external _fork
0000000180388984 (__TEXT,__text) external _forkpty
00000001803969a8 (__TEXT,__text) external _fparseln
00000001803e0f04 (__TEXT,__const) non-external _fparseln.dstr
0000000180377000 (__TEXT,__text) external _fprintf
00000001803c3078 (__TEXT,__text) external _fprintf_l
00000001eada5f08 (__DATA,__data) non-external _fptr
00000001803c30a4 (__TEXT,__text) external _fpurge
0000000180397ff8 (__TEXT,__text) external _fputc
00000001803a78b0 (__TEXT,__text) external _fputrune
00000001eada79e4 (__DATA,__bss) non-external _fputrune.warn_depreciated
0000000180391a0c (__TEXT,__text) external _fputs
00000001803c3224 (__TEXT,__text) external _fputwc
00000001803c32a4 (__TEXT,__text) external _fputwc_l
00000001803c3484 (__TEXT,__text) external _fputws
00000001803c3334 (__TEXT,__text) external _fputws_l
0000000180379ce4 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
00000001803a64a0 (__TEXT,__text) external _free_printf_comp
00000001803a6744 (__TEXT,__text) external _free_printf_domain
                 (undefined) external _freeifaddrs (from libsystem_info)
0000000180379448 (__TEXT,__text) external _freelocale
00000001803c3654 (__TEXT,__text) external _freopen
00000001803c3a60 (__TEXT,__text) external _fscanf
00000001803c3b30 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
00000001803795bc (__TEXT,__text) external _fseek
0000000180379644 (__TEXT,__text) external _fseeko
00000001803c3c14 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
000000018039c914 (__TEXT,__text) external _fstatvfs
00000001803a7530 (__TEXT,__text) external _fstatx_np
000000018037c428 (__TEXT,__text) non-external _fstatx_syscall
00000001eada6020 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
00000001803a8214 (__TEXT,__text) external _fsync_volume_np
0000000180379d98 (__TEXT,__text) external _ftell
0000000180379b54 (__TEXT,__text) external _ftello
00000001803cc574 (__TEXT,__text) external _ftime
00000001803b4bfc (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
00000001803c27e4 (__TEXT,__text) external _ftrylockfile
0000000180376d10 (__TEXT,__text) non-external _fts_alloc
000000018037a578 (__TEXT,__text) non-external _fts_build
00000001803dd1e8 (__TEXT,__text) non-external _fts_build.cold.1
00000001803dd1e8 (__TEXT,__text) non-external _fts_build.cold.2
00000001803dd1e8 (__TEXT,__text) non-external _fts_build.cold.3
00000001803dd1e8 (__TEXT,__text) non-external _fts_build.cold.4
00000001803dd1e8 (__TEXT,__text) non-external _fts_build.cold.5
00000001803dd1e8 (__TEXT,__text) non-external _fts_build.cold.6
000000018039e9f0 (__TEXT,__text) external _fts_children
000000018039e324 (__TEXT,__text) external _fts_close
000000018039e49c (__TEXT,__text) non-external _fts_fchdir
000000018039e448 (__TEXT,__text) non-external _fts_free
000000018039e910 (__TEXT,__text) non-external _fts_load
000000018039e1c4 (__TEXT,__text) external _fts_open
000000018039e26c (__TEXT,__text) external _fts_open_b
0000000180376c88 (__TEXT,__text) non-external _fts_palloc
000000018039e4b4 (__TEXT,__text) external _fts_read
000000018037b188 (__TEXT,__text) non-external _fts_safe_changedir
000000018039e9b4 (__TEXT,__text) external _fts_set
000000018039eb60 (__TEXT,__text) non-external _fts_sort
0000000180376db8 (__TEXT,__text) non-external _fts_stat2
000000018039f9cc (__TEXT,__text) external _ftw
00000001803a77f8 (__TEXT,__text) external _fungetrune
00000001eada79e0 (__DATA,__bss) non-external _fungetrune.warn_depreciated
000000018037546c (__TEXT,__text) external _funlockfile
000000018038b3f8 (__TEXT,__text) external _funopen
00000001803c3c20 (__TEXT,__text) external _fwide
00000001803c3c88 (__TEXT,__text) external _fwprintf
00000001803c3cd8 (__TEXT,__text) external _fwprintf_l
0000000180385e54 (__TEXT,__text) external _fwrite
00000001803c3d04 (__TEXT,__text) external _fwscanf
00000001803c3d54 (__TEXT,__text) external _fwscanf_l
00000001803a635c (__TEXT,__text) external _fxprintf
00000001803a6a08 (__TEXT,__text) external _fxprintf_exec
00000001eada5c00 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001803b6484 (__TEXT,__text) non-external _g_opendir
00000001803b63d8 (__TEXT,__text) non-external _g_stat
00000001803d2aec (__TEXT,__text) external _gcvt
0000000180378518 (__TEXT,__text) non-external _gdtoa_freelist_free
00000001eceaea50 (__DATA_DIRTY,__bss) non-external _gdtoa_tsd_key
00000001eceadab0 (__DATA_DIRTY,__data) non-external _gdtoa_tsd_lock
000000018039b928 (__TEXT,__text) non-external _generalSlowpath
00000001803dcf80 (__TEXT,__text) non-external _generalSlowpath.cold.1
00000001803dd10c (__TEXT,__text) non-external _generalSlowpath.cold.10
00000001803dd138 (__TEXT,__text) non-external _generalSlowpath.cold.11
00000001803dd164 (__TEXT,__text) non-external _generalSlowpath.cold.12
00000001803dd190 (__TEXT,__text) non-external _generalSlowpath.cold.13
00000001803dcfac (__TEXT,__text) non-external _generalSlowpath.cold.2
00000001803dcfd8 (__TEXT,__text) non-external _generalSlowpath.cold.3
00000001803dd004 (__TEXT,__text) non-external _generalSlowpath.cold.4
00000001803dd030 (__TEXT,__text) non-external _generalSlowpath.cold.5
00000001803dd05c (__TEXT,__text) non-external _generalSlowpath.cold.6
00000001803dd088 (__TEXT,__text) non-external _generalSlowpath.cold.7
00000001803dd0b4 (__TEXT,__text) non-external _generalSlowpath.cold.8
00000001803dd0e0 (__TEXT,__text) non-external _generalSlowpath.cold.9
00000001803a11c8 (__TEXT,__text) non-external _get_asl
00000001eada7468 (__DATA,__bss) non-external _get_asl.utx
00000001eada79c4 (__DATA,__bss) non-external _get_clock.adjustment
00000001eada79d8 (__DATA,__bss) non-external _get_clock.clock_seq
00000001eada79c8 (__DATA,__bss) non-external _get_clock.last
00000001803a1538 (__TEXT,__text) non-external _get_file
00000001eada76e8 (__DATA,__bss) non-external _get_file.ux
000000018038e81c (__TEXT,__text) non-external _get_next_format
000000018038e9b0 (__TEXT,__text) non-external _get_next_format_from_precision
000000018038e950 (__TEXT,__text) non-external _get_next_format_from_width
00000001803d2fb0 (__TEXT,__text) non-external _getargs
00000001803d447c (__TEXT,__text) non-external _getargs
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
00000001803c0d44 (__TEXT,__text) non-external _getbits
00000001803e1971 (__TEXT,__const) non-external _getbits.digits
00000001803b4c64 (__TEXT,__text) external _getbsize
00000001eada71d8 (__DATA,__bss) non-external _getbsize.header
00000001803986a0 (__TEXT,__text) external _getc
00000001803c3d80 (__TEXT,__text) external _getc_unlocked
00000001803c3dac (__TEXT,__text) external _getchar
00000001803c3e18 (__TEXT,__text) external _getchar_unlocked
000000018038d680 (__TEXT,__text) external _getcwd
00000001803a5dec (__TEXT,__text) external _getdate
00000001eada7970 (__DATA,__bss) non-external _getdate.tm
00000001eada7cdc (__DATA,__common) external _getdate_err
000000018039163c (__TEXT,__text) external _getdelim
000000018039da0c (__TEXT,__text) external _getdiskbyname
00000001eada72f8 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
00000001803b4f74 (__TEXT,__text) non-external _getent
0000000180365eb8 (__TEXT,__text) external _getenv
00000001803cf438 (__TEXT,__text) external _getenv_copy_np
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getfsstat (from libsystem_kernel)
                 (undefined) external _getgrgid (from libsystem_info)
                 (undefined) external _getgrnam (from libsystem_info)
                 (undefined) external _getgroupcount (from libsystem_info)
                 (undefined) external _getgrouplist (from libsystem_info)
00000001803dcb70 (__TEXT,__text) external _getgroups$DARWIN_EXTSN
00000001803a86d8 (__TEXT,__text) external _gethostid
000000018037b3f0 (__TEXT,__text) external _gethostname
                 (undefined) external _getifaddrs (from libsystem_info)
00000001803c19f0 (__TEXT,__text) external _getipv4sourcefilter
00000001803de340 (__TEXT,__text) non-external _getipv4sourcefilter.cold.1
00000001803de36c (__TEXT,__text) non-external _getipv4sourcefilter.cold.2
00000001803de398 (__TEXT,__text) non-external _getipv4sourcefilter.cold.3
00000001803a0618 (__TEXT,__text) external _getlastlogx
00000001803a071c (__TEXT,__text) external _getlastlogxbyname
0000000180391630 (__TEXT,__text) external _getline
000000018039ec44 (__TEXT,__text) external _getloadavg
000000018039859c (__TEXT,__text) external _getlogin
00000001803985e8 (__TEXT,__text) non-external _getlogin_basic
00000001803b5f30 (__TEXT,__text) external _getlogin_r
00000001803b5fb4 (__TEXT,__text) external _getmntinfo
00000001eada71f0 (__DATA,__bss) non-external _getmntinfo.vars
0000000180372048 (__TEXT,__text) non-external _getmntinfo_internal
00000001803b5fec (__TEXT,__text) external _getmntinfo_r_np
00000001803b7e30 (__TEXT,__text) external _getmode
000000018036d1e4 (__TEXT,__text) non-external _getoffset
000000018038e51c (__TEXT,__text) external _getopt
00000001eada5d50 (__DATA,__data) non-external _getopt.place
000000018038de90 (__TEXT,__text) non-external _getopt_internal
00000001803de984 (__TEXT,__text) non-external _getopt_internal.cold.1
00000001eada5fb0 (__DATA,__data) non-external _getopt_internal.posixly_correct
000000018038de88 (__TEXT,__text) external _getopt_long
0000000180399628 (__TEXT,__text) external _getopt_long_only
0000000180373680 (__TEXT,__text) external _getpagesize
00000001eceaea40 (__DATA_DIRTY,__bss) non-external _getpagesize.value
00000001803b7a68 (__TEXT,__text) external _getpass
00000001eada7ad8 (__DATA,__bss) non-external _getpass.buf
00000001803b6054 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
0000000180372124 (__TEXT,__text) external _getprogname
                 (undefined) external _getpwnam (from libsystem_info)
                 (undefined) external _getpwuid (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getrlimit (from libsystem_kernel)
000000018036d468 (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
00000001803c3e50 (__TEXT,__text) external _gets
00000001803e197c (__TEXT,__const) non-external _gets.w
00000001eada7b78 (__DATA,__bss) non-external _gets.warned
000000018036d238 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsectiondata (from libmacho)
                 (undefined) external _getsockopt (from libsystem_kernel)
00000001803c1bc8 (__TEXT,__text) external _getsourcefilter
00000001803cf5f8 (__TEXT,__text) external _getsubopt
000000018036bd28 (__TEXT,__text) external _gettimeofday
00000001eada7138 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
00000001eada7134 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
00000001eada7130 (__DATA,__bss) non-external _gettimeofday.validtz
000000018039ee80 (__TEXT,__text) external _getttyent
00000001eada7348 (__DATA,__bss) non-external _getttyent.line
00000001e6b642f8 (__DATA_CONST,__const) non-external _getttyent.nonexistent
00000001eada7308 (__DATA,__bss) non-external _getttyent.tty
000000018039ed14 (__TEXT,__text) external _getttynam
000000018039e098 (__TEXT,__text) non-external _gettype
                 (undefined) external _getuid (from libsystem_kernel)
000000018039f614 (__TEXT,__text) external _getusershell
00000001803d8010 (__TEXT,__text) external _getutmp
00000001803d8044 (__TEXT,__text) external _getutmpx
00000001803d76e4 (__TEXT,__text) external _getutxent
00000001803a0fa8 (__TEXT,__text) external _getutxent_wtmp
00000001803d78c8 (__TEXT,__text) external _getutxid
00000001803d79bc (__TEXT,__text) external _getutxline
00000001803e1966 (__TEXT,__const) non-external _getv4.digits
0000000180398914 (__TEXT,__text) external _getvfsbyname
00000001803c3f38 (__TEXT,__text) external _getw
00000001803c3f78 (__TEXT,__text) external _getwc
00000001803c3f9c (__TEXT,__text) external _getwc_l
00000001803c3fa0 (__TEXT,__text) external _getwchar
00000001803c3fd0 (__TEXT,__text) external _getwchar_l
00000001803a8764 (__TEXT,__text) external _getwd
000000018036d13c (__TEXT,__text) non-external _getzname
00000001803b60e0 (__TEXT,__text) external _glob
00000001803904ac (__TEXT,__text) non-external _glob0
00000001803909a8 (__TEXT,__text) non-external _glob2
00000001803b60f8 (__TEXT,__text) external _glob_b
00000001803b6110 (__TEXT,__text) non-external _globexp1
0000000180391384 (__TEXT,__text) non-external _globfinal
000000018039142c (__TEXT,__text) external _globfree
00000001803e1bd4 (__TEXT,__const) non-external _gmt
000000018038b604 (__TEXT,__text) non-external _gmt_init
00000001eada5f10 (__DATA,__data) non-external _gmt_notify
00000001eada5f98 (__DATA,__data) non-external _gmt_once
0000000180391dc4 (__TEXT,__text) external _gmtime
00000001eada7128 (__DATA,__bss) non-external _gmtime_key
00000001eada7bb4 (__DATA,__bss) non-external _gmtime_key_error
0000000180391ea4 (__TEXT,__text) non-external _gmtime_key_init
00000001eada5d70 (__DATA,__data) non-external _gmtime_once
