0000000184391f08 (__DATA,__data) non-external _C
0000000180285b3c (__TEXT,__text) external _getchar
0000000180285ba8 (__TEXT,__text) external _getchar_unlocked
000000018027389c (__TEXT,__text) external _getcwd
000000018025baa0 (__TEXT,__text) external _getdate
0000000184393b30 (__DATA,__bss) non-external _getdate.tm
000000018439e8a8 (__DATA,__common) external _getdate_err
0000000180285be0 (__TEXT,__text) external _getdelim
0000000180254150 (__TEXT,__text) external _getdiskbyname
0000000184393a38 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
00000001802722cc (__TEXT,__text) non-external _getent
00000001802a08e0 (__TEXT,__text) external _getenv
                 (undefined) external _getfsstat (from libsystem_kernel)
000000018025e498 (__TEXT,__text) external _gethostid
00000001802738a4 (__TEXT,__text) external _gethostname
0000000180285e9c (__TEXT,__text) external _getline
0000000180256888 (__TEXT,__text) external _getloadavg
00000001802739b4 (__TEXT,__text) external _getmntinfo
0000000184393c98 (__DATA,__bss) non-external _getmntinfo.vars
00000001802739ec (__TEXT,__text) non-external _getmntinfo_internal
0000000180273ab8 (__TEXT,__text) external _getmntinfo_r_np
0000000180275098 (__TEXT,__text) external _getmode
000000018029848c (__TEXT,__text) non-external _getoffset
00000001802a0940 (__TEXT,__text) external _getopt
0000000184392b78 (__DATA,__data) non-external _getopt.place
00000001802a0bb4 (__TEXT,__text) non-external _getopt_internal
00000001802a0bac (__TEXT,__text) external _getopt_long
00000001802a119c (__TEXT,__text) external _getopt_long_only
0000000180273b20 (__TEXT,__text) external _getpagesize
0000000184393cb0 (__DATA,__bss) non-external _getpagesize.value
0000000180273b94 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
0000000180273c10 (__TEXT,__text) external _getprogname
                 (undefined) external _getrlimit (from libsystem_kernel)
00000001802984fc (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
0000000180285ea8 (__TEXT,__text) external _gets
00000001802bd758 (__TEXT,__const) non-external _gets.w
0000000184395728 (__DATA,__bss) non-external _gets.warned
0000000180298944 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsockopt (from libsystem_kernel)
00000001802a160c (__TEXT,__text) external _getsubopt
000000018025dcbc (__TEXT,__text) external _gettimeofday
0000000184393bf4 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
0000000184393bf8 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
0000000184393bf0 (__DATA,__bss) non-external _gettimeofday.validtz
0000000180256a8c (__TEXT,__text) external _getttyent
0000000184393a88 (__DATA,__bss) non-external _getttyent.line
000000018237cb60 (__DATA_CONST,__const) non-external _getttyent.nonexistent
0000000184393a48 (__DATA,__bss) non-external _getttyent.tty
0000000180256930 (__TEXT,__text) external _getttynam
0000000180254788 (__TEXT,__text) non-external _gettype
0000000180257224 (__TEXT,__text) external _getusershell
00000001802574b4 (__TEXT,__text) external _getvfsbyname
0000000180285f90 (__TEXT,__text) external _getw
0000000180285fcc (__TEXT,__text) external _getwc
0000000180285ff0 (__TEXT,__text) external _getwc_l
0000000180285ff4 (__TEXT,__text) external _getwchar
0000000180286024 (__TEXT,__text) external _getwchar_l
000000018025e4f4 (__TEXT,__text) external _getwd
00000001802983e4 (__TEXT,__text) non-external _getzname
00000001802bd9ac (__TEXT,__const) non-external _gmt
0000000180298a74 (__TEXT,__text) non-external _gmt_init
0000000184392b10 (__DATA,__data) non-external _gmt_once
0000000180297aa4 (__TEXT,__text) external _gmtime
000000018439a040 (__DATA,__bss) non-external _gmtime_key
000000018439a03c (__DATA,__bss) non-external _gmtime_key_error
0000000180297b78 (__TEXT,__text) non-external _gmtime_key_init
0000000184392b00 (__DATA,__data) non-external _gmtime_once
0000000180297c44 (__TEXT,__text) external _gmtime_r
0000000180296f80 (__TEXT,__text) non-external _gmtload
000000018439a080 (__DATA,__bss) non-external _gmtmem
0000000180297bbc (__TEXT,__text) non-external _gmtsub
00000001802bdad5 (__TEXT,__const) non-external _gnuoptchar
0000000184393c78 (__DATA,__bss) non-external _gottoprec
00000001802a7a68 (__TEXT,__text) external _grantpt
000000018028d9e4 (__TEXT,__text) non-external _grouping_init
000000018029289c (__TEXT,__text) non-external _grouping_init
000000018028dbe0 (__TEXT,__text) non-external _grouping_print
0000000180292b14 (__TEXT,__text) non-external _grouping_print
00000001802648b4 (__TEXT,__text) non-external _hash4
00000001802633ec (__TEXT,__text) non-external _hash_access
0000000180262c10 (__TEXT,__text) non-external _hash_close
00000001802a5ee4 (__TEXT,__text) external _hash_create
0000000180262c54 (__TEXT,__text) non-external _hash_delete
00000001802a5f54 (__TEXT,__text) external _hash_destroy
0000000180262cd8 (__TEXT,__text) non-external _hash_fd
0000000180262d10 (__TEXT,__text) non-external _hash_get
00000001802a61c8 (__TEXT,__text) external _hash_purge
0000000180262d78 (__TEXT,__text) non-external _hash_put
00000001802a6034 (__TEXT,__text) external _hash_search
0000000180262e04 (__TEXT,__text) non-external _hash_seq
00000001802a6250 (__TEXT,__text) external _hash_stats
0000000180263048 (__TEXT,__text) non-external _hash_sync
00000001802a6148 (__TEXT,__text) external _hash_traverse
00000001802a1780 (__TEXT,__text) external _hcreate
0000000180262af8 (__TEXT,__text) non-external _hdestroy
00000001802a1848 (__TEXT,__text) external _hdestroy
00000001802a19a0 (__TEXT,__text) external _heapsort
00000001802a81b8 (__TEXT,__text) external _heapsort_b
00000001802c00f1 (__TEXT,__cstring) non-external _hexlist
0000000184393af0 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
00000001802a18cc (__TEXT,__text) external _hsearch
000000018439e830 (__DATA,__bss) non-external _htable
000000018439e838 (__DATA,__bss) non-external _htablesize
00000001802bdac0 (__TEXT,__const) non-external _illoptchar
00000001802bdb76 (__TEXT,__const) non-external _illoptstring
00000001802a1c30 (__TEXT,__text) external _imaxabs
00000001802a1c3c (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
0000000180257268 (__TEXT,__text) non-external _initshells
00000001802a4c5c (__TEXT,__text) external _initstate
00000001802a258c (__TEXT,__text) non-external _insertionsort
00000001802a953c (__TEXT,__text) non-external _insertionsort
00000001802a1c68 (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
0000000180258424 (__TEXT,__text) external _isalnum
0000000180258cac (__TEXT,__text) external _isalnum_l
000000018025849c (__TEXT,__text) external _isalpha
0000000180258d28 (__TEXT,__text) external _isalpha_l
0000000180258418 (__TEXT,__text) external _isascii
0000000180273c2c (__TEXT,__text) external _isatty
000000018025850c (__TEXT,__text) external _isblank
0000000180258d9c (__TEXT,__text) external _isblank_l
000000018025857c (__TEXT,__text) external _iscntrl
0000000180258e10 (__TEXT,__text) external _iscntrl_l
00000001802585ec (__TEXT,__text) external _isdigit
0000000180258e84 (__TEXT,__text) external _isdigit_l
0000000180258614 (__TEXT,__text) external _isgraph
0000000180258ef8 (__TEXT,__text) external _isgraph_l
00000001802589b0 (__TEXT,__text) external _ishexnumber
0000000180258f6c (__TEXT,__text) external _ishexnumber_l
0000000180258a20 (__TEXT,__text) external _isideogram
0000000180258fe0 (__TEXT,__text) external _isideogram_l
0000000180258684 (__TEXT,__text) external _islower
0000000180259054 (__TEXT,__text) external _islower_l
0000000180258a90 (__TEXT,__text) external _isnumber
00000001802590c8 (__TEXT,__text) external _isnumber_l
0000000180258b00 (__TEXT,__text) external _isphonogram
000000018025913c (__TEXT,__text) external _isphonogram_l
00000001802586f4 (__TEXT,__text) external _isprint
00000001802591b0 (__TEXT,__text) external _isprint_l
0000000180258764 (__TEXT,__text) external _ispunct
0000000180259224 (__TEXT,__text) external _ispunct_l
0000000180258b70 (__TEXT,__text) external _isrune
0000000180259298 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
00000001802587d4 (__TEXT,__text) external _isspace
000000018025931c (__TEXT,__text) external _isspace_l
0000000180258be4 (__TEXT,__text) external _isspecial
0000000180259390 (__TEXT,__text) external _isspecial_l
0000000180277a7c (__TEXT,__text) non-external _istrsenvisx
00000001802bb7e8 (__TEXT,__text) non-external _istrsenvisx.cold.1
00000001802bb814 (__TEXT,__text) non-external _istrsenvisx.cold.2
00000001802bb840 (__TEXT,__text) non-external _istrsenvisx.cold.3
0000000180277eb4 (__TEXT,__text) non-external _istrsenvisxl
0000000180258844 (__TEXT,__text) external _isupper
0000000180259404 (__TEXT,__text) external _isupper_l
000000018025953c (__TEXT,__text) external _iswalnum
0000000180259a7c (__TEXT,__text) external _iswalnum_l
00000001802595b4 (__TEXT,__text) external _iswalpha
0000000180259af8 (__TEXT,__text) external _iswalpha_l
000000018025a0c4 (__TEXT,__text) external _iswascii
000000018025a054 (__TEXT,__text) external _iswblank
000000018025a374 (__TEXT,__text) external _iswblank_l
0000000180259624 (__TEXT,__text) external _iswcntrl
0000000180259b6c (__TEXT,__text) external _iswcntrl_l
0000000180259694 (__TEXT,__text) external _iswctype
0000000180259be0 (__TEXT,__text) external _iswctype_l
0000000180259714 (__TEXT,__text) external _iswdigit
0000000180259c74 (__TEXT,__text) external _iswdigit_l
000000018025973c (__TEXT,__text) external _iswgraph
0000000180259ce8 (__TEXT,__text) external _iswgraph_l
000000018025a0d0 (__TEXT,__text) external _iswhexnumber
000000018025a3e8 (__TEXT,__text) external _iswhexnumber_l
000000018025a140 (__TEXT,__text) external _iswideogram
000000018025a45c (__TEXT,__text) external _iswideogram_l
00000001802597ac (__TEXT,__text) external _iswlower
0000000180259d5c (__TEXT,__text) external _iswlower_l
000000018025a1b0 (__TEXT,__text) external _iswnumber
000000018025a4d0 (__TEXT,__text) external _iswnumber_l
000000018025a220 (__TEXT,__text) external _iswphonogram
000000018025a544 (__TEXT,__text) external _iswphonogram_l
000000018025981c (__TEXT,__text) external _iswprint
0000000180259dd0 (__TEXT,__text) external _iswprint_l
000000018025988c (__TEXT,__text) external _iswpunct
0000000180259e44 (__TEXT,__text) external _iswpunct_l
000000018025a290 (__TEXT,__text) external _iswrune
000000018025a5b8 (__TEXT,__text) external _iswrune_l
00000001802598fc (__TEXT,__text) external _iswspace
0000000180259eb8 (__TEXT,__text) external _iswspace_l
000000018025a304 (__TEXT,__text) external _iswspecial
000000018025a63c (__TEXT,__text) external _iswspecial_l
000000018025996c (__TEXT,__text) external _iswupper
0000000180259f2c (__TEXT,__text) external _iswupper_l
00000001802599dc (__TEXT,__text) external _iswxdigit
0000000180259fa0 (__TEXT,__text) external _iswxdigit_l
00000001802588b4 (__TEXT,__text) external _isxdigit
0000000180259478 (__TEXT,__text) external _isxdigit_l
0000000180273cdc (__TEXT,__text) external _jrand48
000000018237cdb8 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
000000018025e53c (__TEXT,__text) external _killpg
00000001802a7c40 (__TEXT,__text) external _l64a
000000018439e888 (__DATA,__bss) non-external _l64a.buf
00000001802a1c8c (__TEXT,__text) external _labs
0000000180279b14 (__TEXT,__text) non-external _largesearch
000000018439e7e8 (__DATA,__bss) non-external _last_default_tzload_mtimespec
00000001843929c0 (__DATA,__data) non-external _lastglue
0000000180253730 (__TEXT,__text) external _lchflags
00000001802537c4 (__TEXT,__text) external _lchmod
00000001843957c4 (__DATA,__bss) non-external _lcl_TZname
00000001843957c0 (__DATA,__bss) non-external _lcl_is_set
0000000184392a18 (__DATA,__data) non-external (was a private external) _lcl_rwlock
00000001843958c8 (__DATA,__bss) non-external _lclmem
0000000180273d20 (__TEXT,__text) external _lcong48
00000001802a1c98 (__TEXT,__text) external _ldiv
00000001802a1d94 (__TEXT,__text) external _lfind
00000001802894bc (__TEXT,__text) non-external _lflush
0000000180281a54 (__TEXT,__text) external _link_addr
0000000180281c18 (__TEXT,__text) external _link_ntoa
0000000184393eec (__DATA,__bss) non-external _link_ntoa.obuf
00000001802a1cc4 (__TEXT,__text) external _llabs
00000001802a1cd0 (__TEXT,__text) external _lldiv
0000000180282134 (__TEXT,__text) non-external _loadCat
000000018027e020 (__TEXT,__text) non-external _loadlocale
000000018027c500 (__TEXT,__text) external _localeconv
000000018027c39c (__TEXT,__text) external _localeconv_l
00000001802bb86c (__TEXT,__text) non-external _localeconv_l.cold.1
00000001802bb888 (__TEXT,__text) non-external _localeconv_l.cold.2
0000000180297918 (__TEXT,__text) external _localtime
000000018439a038 (__DATA,__bss) non-external _localtime_key
000000018439a030 (__DATA,__bss) non-external _localtime_key_error
00000001802979fc (__TEXT,__text) non-external _localtime_key_init
0000000184392af0 (__DATA,__data) non-external _localtime_once
0000000180297a40 (__TEXT,__text) external _localtime_r
00000001802b91d0 (__TEXT,__text) external _lockf
0000000180273d64 (__TEXT,__text) external _lockf$NOCANCEL
000000018025cc64 (__TEXT,__text) external _login_tty
0000000180273e58 (__TEXT,__text) external _lrand48
00000001802a1cfc (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
0000000180253810 (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc (from libsystem_malloc)
000000018237cbb8 (__DATA_CONST,__const) non-external _mapping
000000018027c5a8 (__TEXT,__text) external _mblen
000000018027c524 (__TEXT,__text) external _mblen_l
000000018027c620 (__TEXT,__text) external _mbrlen
000000018027c5cc (__TEXT,__text) external _mbrlen_l
000000018027c6d0 (__TEXT,__text) external _mbrtowc
000000018027c690 (__TEXT,__text) external _mbrtowc_l
000000018027c764 (__TEXT,__text) external _mbsinit
000000018027c730 (__TEXT,__text) external _mbsinit_l
000000018027c7f8 (__TEXT,__text) external _mbsnrtowcs
000000018027c7b8 (__TEXT,__text) external _mbsnrtowcs_l
000000018027c9dc (__TEXT,__text) external _mbsrtowcs
000000018027c98c (__TEXT,__text) external _mbsrtowcs_l
000000018027caf0 (__TEXT,__text) external _mbstowcs
000000018027ca48 (__TEXT,__text) external _mbstowcs_l
000000018027cc2c (__TEXT,__text) external _mbtowc
000000018027cbb4 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
000000018029c5ac (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
00000001802ae094 (__TEXT,__text) external _memset_s
0000000180281a38 (__TEXT,__text) non-external _memstream_close
00000001802819a0 (__TEXT,__text) non-external _memstream_seek
00000001802bb8d0 (__TEXT,__text) non-external _memstream_seek.cold.1
00000001802bb8fc (__TEXT,__text) non-external _memstream_seek.cold.2
000000018028185c (__TEXT,__text) non-external _memstream_update
00000001802bb8a4 (__TEXT,__text) non-external _memstream_update.cold.1
0000000180281894 (__TEXT,__text) non-external _memstream_write
00000001802a1e0c (__TEXT,__text) external _mergesort
00000001802a8cf4 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
000000018028692c (__TEXT,__text) external _mkdtemp
00000001802869b8 (__TEXT,__text) external _mkdtempat_np
0000000180286850 (__TEXT,__text) external _mkostemp
00000001802863c4 (__TEXT,__text) external _mkostemps
0000000180286738 (__TEXT,__text) external _mkostempsat_np
000000018025d0f0 (__TEXT,__text) external _mkpath_np
000000018025d104 (__TEXT,__text) external _mkpathat_np
00000001802868d4 (__TEXT,__text) external _mkstemp
0000000180286b00 (__TEXT,__text) external _mkstemp_dprotected_np
00000001802867ac (__TEXT,__text) external _mkstemps
0000000180286804 (__TEXT,__text) external _mkstempsat_np
0000000180286aa8 (__TEXT,__text) external _mktemp
0000000180298018 (__TEXT,__text) external _mktime
00000001802bd9b8 (__TEXT,__const) non-external _mon_lengths
0000000180258400 (__TEXT,__text) external _monaddition
0000000180258410 (__TEXT,__text) external _moncontrol
0000000180258414 (__TEXT,__text) external _moncount
00000001802583f8 (__TEXT,__text) external _moninit
000000018025840c (__TEXT,__text) external _monitor
0000000180258408 (__TEXT,__text) external _monoutput
0000000180258404 (__TEXT,__text) external _monreset
00000001802583fc (__TEXT,__text) external _monstartup
0000000180283b64 (__TEXT,__text) non-external _moreglue
000000018026644c (__TEXT,__text) non-external _mpool_bkt
000000018026672c (__TEXT,__text) external _mpool_close
0000000180266394 (__TEXT,__text) external _mpool_filter
000000018026653c (__TEXT,__text) external _mpool_get
00000001802663a4 (__TEXT,__text) external _mpool_new
00000001802bb0e0 (__TEXT,__text) non-external _mpool_new.cold.1
00000001802662a0 (__TEXT,__text) external _mpool_open
0000000180266710 (__TEXT,__text) external _mpool_put
0000000180266788 (__TEXT,__text) external _mpool_sync
0000000180266800 (__TEXT,__text) non-external _mpool_write
0000000180273e8c (__TEXT,__text) external _mrand48
000000018025e91c (__TEXT,__text) non-external _mswap
                 (undefined) external _munmap (from libsystem_kernel)
                 (undefined) external _nan (from libsystem_m)
                 (undefined) external _nanf (from libsystem_m)
                 (undefined) external _nanl (from libsystem_m)
00000001802b946c (__TEXT,__text) external _nanosleep
0000000180257658 (__TEXT,__text) external _nanosleep$NOCANCEL
0000000184393d18 (__DATA,__bss) non-external _new_categories
000000018025c258 (__TEXT,__text) external _new_printf_comp
000000018025c640 (__TEXT,__text) external _new_printf_domain
000000018025aaf8 (__TEXT,__text) external _newlocale
0000000184392ba8 (__DATA,__data) non-external _next
0000000180271278 (__TEXT,__text) non-external _nextcomp
0000000184393c28 (__DATA,__bss) non-external _nextcomp.lmsgverb
0000000184393c48 (__DATA,__bss) non-external _nextcomp.state
000000018027cffc (__TEXT,__text) external _nextwctype
000000018027ce78 (__TEXT,__text) external _nextwctype_l
0000000180257c6c (__TEXT,__text) external _nftw
0000000180273ec0 (__TEXT,__text) external _nice
000000018027d458 (__TEXT,__text) external _nl_langinfo
000000018027d020 (__TEXT,__text) external _nl_langinfo_l
0000000184393d10 (__DATA,__bss) non-external _nl_langinfo_l.csym
00000001802bdb29 (__TEXT,__const) non-external _noarg
00000001802bd73c (__TEXT,__const) non-external _nogrouping
0000000184392b80 (__DATA,__data) non-external _nonopt_end
0000000184392b84 (__DATA,__data) non-external _nonopt_start
0000000180273f80 (__TEXT,__text) external _nrand48
00000001843925d4 (__DATA,__data) non-external _numempty
00000001802bd2e0 (__TEXT,__const) non-external _nv
0000000180278028 (__TEXT,__text) external _nvis
0000000184392ca0 (__DATA,__data) external _off32
0000000184392cf8 (__DATA,__data) external _off64
0000000180297c50 (__TEXT,__text) external _offtime
000000018237cba0 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
0000000180281730 (__TEXT,__text) external _open_memstream
000000018025b8c0 (__TEXT,__text) external _open_with_subsystem
00000001802957d4 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
0000000180273fc4 (__TEXT,__text) external _opendir
0000000180274540 (__TEXT,__text) non-external _opendir_compar
000000018439e968 (__DATA,__common) external _optarg
0000000184392b70 (__DATA,__data) external _opterr
0000000184392b74 (__DATA,__data) external _optind
000000018439e964 (__DATA,__common) external _optopt
000000018439e960 (__DATA,__common) external _optreset
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
0000000184393c08 (__DATA,__bss) non-external _p5s
00000001802bd78d (__TEXT,__const) non-external _padchar
0000000184393a42 (__DATA,__bss) non-external _parse_error
00000001802a1244 (__TEXT,__text) non-external _parse_long_options
0000000184393a40 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
00000001802b92c4 (__TEXT,__text) external _pause
0000000180274554 (__TEXT,__text) external _pause$NOCANCEL
00000001802748a8 (__TEXT,__text) external _pclose
00000001802a11a4 (__TEXT,__text) non-external _permute_args
00000001802bb954 (__TEXT,__text) external _perror
0000000184393c80 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
0000000184392b88 (__DATA,__data) non-external _place
0000000180274588 (__TEXT,__text) external _popen
00000001802b98d4 (__TEXT,__text) external _popen$DARWIN_EXTSN
0000000180298168 (__TEXT,__text) external _posix2time
00000001802a7a3c (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
000000018025dda0 (__TEXT,__text) external _posix_spawnp
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
0000000180288f50 (__TEXT,__text) external _printf
0000000180288fac (__TEXT,__text) external _printf_l
0000000180270fd4 (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
00000001802749c0 (__TEXT,__text) external _psignal
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
00000001802a7a74 (__TEXT,__text) external _ptsname
00000001802bbe40 (__TEXT,__text) non-external _ptsname.cold.1
00000001802bbe5c (__TEXT,__text) non-external _ptsname.cold.2
000000018439e880 (__DATA,__bss) non-external _ptsname_buffer_specific_key
000000018439e878 (__DATA,__bss) non-external _ptsname_once
00000001802a7b28 (__TEXT,__text) non-external _ptsname_once_init
00000001802bbe78 (__TEXT,__text) non-external _ptsname_once_init.cold.1
00000001802a7b64 (__TEXT,__text) external _ptsname_r
0000000180288fec (__TEXT,__text) external _putc
000000018028907c (__TEXT,__text) external _putc_unlocked
00000001802890c4 (__TEXT,__text) external _putchar
000000018028915c (__TEXT,__text) external _putchar_unlocked
00000001802a26cc (__TEXT,__text) external _putenv
00000001802651d0 (__TEXT,__text) non-external _putpair
00000001802891b0 (__TEXT,__text) external _puts
000000018028928c (__TEXT,__text) external _putw
00000001802892fc (__TEXT,__text) external _putwc
0000000180289320 (__TEXT,__text) external _putwc_l
0000000180289324 (__TEXT,__text) external _putwchar
0000000180289354 (__TEXT,__text) external _putwchar_l
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
00000001802a2768 (__TEXT,__text) external _qsort
00000001802a812c (__TEXT,__text) external _qsort_b
00000001802a3280 (__TEXT,__text) external _qsort_r
000000018025b144 (__TEXT,__text) external _querylocale
00000001802a3f5c (__TEXT,__text) non-external _r_sort_a
000000018439e84c (__DATA,__bss) non-external _r_sort_a.bmin
000000018439e840 (__DATA,__bss) non-external _r_sort_a.count
000000018439e848 (__DATA,__bss) non-external _r_sort_a.nc
000000018439e850 (__DATA,__bss) non-external _r_sort_a_count
00000001802a44d8 (__TEXT,__text) non-external _r_sort_b
000000018439e86c (__DATA,__bss) non-external _r_sort_b.bmin
000000018439e860 (__DATA,__bss) non-external _r_sort_b.count
000000018439e868 (__DATA,__bss) non-external _r_sort_b.nc
000000018439e858 (__DATA,__bss) non-external _r_sort_b_count
00000001802a4828 (__TEXT,__text) non-external _r_sort_count_allocate
0000000184392b98 (__DATA,__data) non-external _r_sort_count_control
00000001802a3e70 (__TEXT,__text) external _radixsort
000000018025d10c (__TEXT,__text) external _raise
00000001802a48cc (__TEXT,__text) external _rand
0000000184392bbc (__DATA,__data) non-external _rand_deg
00000001802a4864 (__TEXT,__text) external _rand_r
0000000184392bc0 (__DATA,__data) non-external _rand_sep
0000000184392bb8 (__DATA,__data) non-external _rand_type
00000001802a4aa8 (__TEXT,__text) external _random
0000000184392be0 (__DATA,__data) non-external _randtbl
0000000180271804 (__TEXT,__text) non-external (was a private external) _rangematch
00000001802ae7a4 (__TEXT,__text) external _rb_tree_count
00000001802ae108 (__TEXT,__text) external _rb_tree_find_node
00000001802ae178 (__TEXT,__text) external _rb_tree_find_node_geq
00000001802ae204 (__TEXT,__text) external _rb_tree_find_node_leq
00000001802ae0f8 (__TEXT,__text) external _rb_tree_init
00000001802ae290 (__TEXT,__text) external _rb_tree_insert_node
00000001802ae720 (__TEXT,__text) external _rb_tree_iterate
00000001802ae848 (__TEXT,__text) non-external _rb_tree_removal_rebalance
00000001802ae4b0 (__TEXT,__text) external _rb_tree_remove_node
00000001802ae7b0 (__TEXT,__text) non-external _rb_tree_reparent_nodes
00000001802bdbe0 (__TEXT,__const) non-external _rcsid
00000001802bdc6a (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
0000000180274c14 (__TEXT,__text) external _readdir
0000000180274c5c (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
                 (undefined) external _realloc (from libsystem_malloc)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
00000001802a4e98 (__TEXT,__text) external _reallocf
00000001802a4ee4 (__TEXT,__text) external _realpath
00000001802b9e40 (__TEXT,__text) external _realpath$DARWIN_EXTSN
000000018439e898 (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
000000018439e89c (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
000000018439e870 (__DATA,__bss) non-external _realpath.rootdev
000000018439e874 (__DATA,__bss) non-external _realpath.rootdev_inited
