00000001d71fa898 (__DATA,__data) non-external _C
000000018b4fe300 (__TEXT,__text) non-external _both_ftw
00000001d71fbab8 (__DATA,__bss) non-external _brapreg
000000018b4fb8b0 (__TEXT,__text) external _brk
000000018b4fb8d4 (__TEXT,__text) external _bsd_signal
000000018b4d6e3c (__TEXT,__text) external _bsearch
000000018b4d5a50 (__TEXT,__text) external _bsearch_b
000000018b50a390 (__TEXT,__text) non-external _bt_broot
000000018b50a0bc (__TEXT,__text) non-external _bt_page
000000018b50a4fc (__TEXT,__text) non-external _bt_preserve
000000018b50a554 (__TEXT,__text) non-external _bt_psplit
000000018b509fd8 (__TEXT,__text) non-external _bt_root
000000018b50a278 (__TEXT,__text) non-external _bt_rroot
000000018b51ad04 (__TEXT,__text) external _btowc
000000018b51ac48 (__TEXT,__text) external _btowc_l
00000001d71fc390 (__DATA,__bss) non-external _buf_asctime
000000018b526ad8 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
000000018b549c08 (__TEXT,__const) non-external (was a private external) _cVersionNumber
000000018b549be0 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
000000018b523ee0 (__TEXT,__text) external _catclose
00000001d253d210 (__DATA_CONST,__const) non-external _categories
000000018b523bb8 (__TEXT,__text) external _catgets
000000018b5234bc (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
000000018b4f0100 (__TEXT,__text) external _cfgetispeed
000000018b4f0cb0 (__TEXT,__text) external _cfgetospeed
000000018b4f1604 (__TEXT,__text) external _cfmakeraw
000000018b51949c (__TEXT,__text) external _cfsetispeed
000000018b519490 (__TEXT,__text) external _cfsetospeed
000000018b4eb424 (__TEXT,__text) external _cfsetspeed
000000018b514d00 (__TEXT,__text) external _cgetcap
000000018b5154e4 (__TEXT,__text) external _cgetclose
000000018b514d8c (__TEXT,__text) external _cgetent
000000018b515474 (__TEXT,__text) external _cgetfirst
000000018b5153fc (__TEXT,__text) external _cgetmatch
000000018b515530 (__TEXT,__text) external _cgetnext
000000018b515c74 (__TEXT,__text) external _cgetnum
000000018b514c70 (__TEXT,__text) external _cgetset
000000018b5158a8 (__TEXT,__text) external _cgetstr
000000018b515b78 (__TEXT,__text) external _cgetustr
000000018b51b82c (__TEXT,__text) non-external _chainsearch
                 (undefined) external _chdir (from libsystem_kernel)
000000018b4f4f74 (__TEXT,__text) non-external _check_env_var
                 (undefined) external _chflags (from libsystem_kernel)
000000018b4faa5c (__TEXT,__text) non-external _chmodx1
000000018b4f8964 (__TEXT,__text) external _chmodx_np
000000018b506334 (__TEXT,__text) non-external _chmodx_syscall
000000018b524034 (__TEXT,__text) external _clearerr
000000018b524078 (__TEXT,__text) external _clearerr_unlocked
000000018b4e1284 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
000000018b4fb68c (__TEXT,__text) external _clock_getres
000000018b4d85a0 (__TEXT,__text) external _clock_gettime
000000018b4d8cd8 (__TEXT,__text) external _clock_gettime_nsec_np
00000001d95b9c3c (__DATA_DIRTY,__common) external _clock_port
00000001d95b9c38 (__DATA_DIRTY,__common) external _clock_sem
000000018b4fb730 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
000000018b4f7100 (__TEXT,__text) non-external _close_directory
000000018b4d9d30 (__TEXT,__text) external _closedir
00000001d253d770 (__DATA_CONST,__const) non-external _cnames
000000018b50c794 (__TEXT,__text) non-external _collect_data
000000018b50c94c (__TEXT,__text) non-external _collect_key
000000018b4f2b7c (__TEXT,__text) external _compat_mode
000000018b4e3a84 (__TEXT,__text) external _confstr
00000001d71fb978 (__DATA,__bss) non-external _constdatablock
000000018b50505c (__TEXT,__text) external _copy_printf_domain
000000018b5465e8 (__TEXT,__text) external _creat
000000018b506d1c (__TEXT,__text) external _creat$NOCANCEL
000000018b4fae4c (__TEXT,__text) external _crypt
00000001d71fb960 (__DATA,__bss) non-external _cryptresult
000000018b512618 (__TEXT,__text) external _ctermid
00000001d71fa8c8 (__DATA,__data) non-external _ctermid.def
000000018b512640 (__TEXT,__text) external _ctermid_r
000000018b4e15ec (__TEXT,__text) external _ctime
000000018b4e390c (__TEXT,__text) external _ctime_r
00000001d71fa968 (__DATA,__data) non-external _current_categories
000000018b4f1e0c (__TEXT,__text) non-external _currentlocale
00000001d95b9b98 (__DATA_DIRTY,__bss) non-external _currentlocale.current_locale_string
00000001d71fbb18 (__DATA,__bss) non-external _curshell
000000018b512660 (__TEXT,__text) external _daemon
00000001d71faac0 (__DATA,__data) non-external _dash_prefix
00000001d95b9c68 (__DATA_DIRTY,__common) external _daylight
000000018b50eb7c (__TEXT,__text) external _dbm_clearerr
000000018b50e9c4 (__TEXT,__text) external _dbm_close
000000018b50eaf8 (__TEXT,__text) external _dbm_delete
000000018b50eb8c (__TEXT,__text) external _dbm_dirfno
000000018b50eb70 (__TEXT,__text) external _dbm_error
000000018b50e9cc (__TEXT,__text) external _dbm_fetch
000000018b50ea14 (__TEXT,__text) external _dbm_firstkey
000000018b50ea80 (__TEXT,__text) external _dbm_nextkey
000000018b50e8d8 (__TEXT,__text) external _dbm_open
000000018b50eb30 (__TEXT,__text) external _dbm_store
000000018b50ac58 (__TEXT,__text) external _dbopen
00000001d71fc220 (__DATA,__bss) non-external _dbp
00000001d71fbad8 (__DATA,__bss) non-external _decpreg
000000018b54af14 (__TEXT,__const) non-external _degrees
000000018b4fc934 (__TEXT,__text) external _devname
00000001d71fba38 (__DATA,__bss) non-external _devname.buf
000000018b4facec (__TEXT,__text) external _devname_r
000000018b52f02c (__TEXT,__text) external _difftime
000000018b50071c (__TEXT,__text) external _digittoint
000000018b500a14 (__TEXT,__text) external _digittoint_l
000000018b4f8c74 (__TEXT,__text) external _dirfd
000000018b5127f4 (__TEXT,__text) external _dirname
00000001d71fc1b8 (__DATA,__bss) non-external _dirname.dname
000000018b4e1740 (__TEXT,__text) external _dirname_r
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_group_async_f (from libdispatch)
                 (undefined) external _dispatch_group_create (from libdispatch)
                 (undefined) external _dispatch_group_wait (from libdispatch)
                 (undefined) external _dispatch_once (from libdispatch)
                 (undefined) external _dispatch_release (from libdispatch)
000000018b4f159c (__TEXT,__text) external _div
00000001d71fa7a8 (__DATA,__data) non-external _dktypenames
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _dlsym (from libdyld)
000000018b51a494 (__TEXT,__text) non-external _do_hvis
000000018b51a5cc (__TEXT,__text) non-external _do_mvis
000000018b4f2e04 (__TEXT,__text) non-external _do_svis
000000018b524088 (__TEXT,__text) external _dprintf
000000018b5240d8 (__TEXT,__text) external _dprintf_l
000000018b4f9394 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
000000018b502470 (__TEXT,__text) external _duplocale
000000018b504cbc (__TEXT,__text) external _dxprintf
000000018b5054e8 (__TEXT,__text) external _dxprintf_exec
                 (undefined) external _dyld_image_header_containing_address (from libdyld)
000000018b5371f8 (__TEXT,__text) external _ecvt
00000001d71fc2f8 (__DATA,__bss) non-external _empty
00000001d71fc308 (__DATA,__bss) non-external _empty
000000018b4fc7dc (__TEXT,__text) external _encrypt
000000018b4ff68c (__TEXT,__text) non-external _end_asl
000000018b4ff6cc (__TEXT,__text) non-external _end_file
00000001d71fab00 (__DATA,__data) non-external _end_ptr
000000018b4fde10 (__TEXT,__text) external _endttyent
000000018b4fe154 (__TEXT,__text) external _endusershell
000000018b53c00c (__TEXT,__text) external _endutxent
000000018b4ff4e8 (__TEXT,__text) external _endutxent_wtmp
000000018b533974 (__TEXT,__text) external _environ_lock_np
00000001d95b9960 (__DATA_DIRTY,__bss) non-external _environ_pointer
000000018b533984 (__TEXT,__text) external _environ_unlock_np
000000018b4dec98 (__TEXT,__text) non-external _eofread
000000018b52e9d4 (__TEXT,__text) non-external _eofread
000000018b512854 (__TEXT,__text) external _erand48
000000018b547998 (__TEXT,__text) external _err
000000018b51759c (__TEXT,__text) non-external _err_aborted
000000018b512a38 (__TEXT,__text) external _err_set_exit
000000018b512a90 (__TEXT,__text) external _err_set_exit_b
000000018b512a18 (__TEXT,__text) external _err_set_file
000000018b547af0 (__TEXT,__text) external _errc
000000018b547b10 (__TEXT,__text) external _errx
000000018b54a4e4 (__TEXT,__const) non-external _escape
000000018b512b38 (__TEXT,__text) external _execl
000000018b512c2c (__TEXT,__text) external _execle
000000018b512d28 (__TEXT,__text) external _execlp
000000018b4f64f4 (__TEXT,__text) external _execv
000000018b512e7c (__TEXT,__text) external _execvP
000000018b512ec8 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
000000018b512e18 (__TEXT,__text) external _execvp
000000018b4eb6e4 (__TEXT,__text) external _exit
000000018b5248c8 (__TEXT,__text) external _f_prealloc
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
000000018b50633c (__TEXT,__text) external _fchmodx_np
000000018b506378 (__TEXT,__text) non-external _fchmodx_syscall
000000018b4e3e44 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
000000018b5373bc (__TEXT,__text) external _fcvt
000000018b4e4a68 (__TEXT,__text) external _fdopen
000000018b4f5904 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
000000018b4df984 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
000000018b4de57c (__TEXT,__text) external _feof
000000018b524104 (__TEXT,__text) external _feof_unlocked
000000018b4f15cc (__TEXT,__text) external _ferror
000000018b524110 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
000000018b50e854 (__TEXT,__text) non-external _fetch_bitmap
000000018b4fe8a0 (__TEXT,__text) external _fflagstostr
000000018b4e6064 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
000000018b4df758 (__TEXT,__text) external _fgetc
000000018b5241d0 (__TEXT,__text) external _fgetln
000000018b52437c (__TEXT,__text) external _fgetpos
000000018b4d8f14 (__TEXT,__text) external _fgets
000000018b5243ac (__TEXT,__text) external _fgetwc
000000018b524538 (__TEXT,__text) external _fgetwc_l
000000018b52469c (__TEXT,__text) external _fgetwln
000000018b5245c0 (__TEXT,__text) external _fgetwln_l
000000018b52489c (__TEXT,__text) external _fgetws
000000018b5246c0 (__TEXT,__text) external _fgetws_l
00000001d95b9768 (__DATA_DIRTY,__data) non-external _filelist_lock
000000018b4dcbc4 (__TEXT,__text) external _fileno
000000018b5248c0 (__TEXT,__text) external _fileno_unlocked
000000018b4e4bac (__TEXT,__text) non-external _filesec_discard_aclbuf
000000018b4f8734 (__TEXT,__text) external _filesec_dup
000000018b4f019c (__TEXT,__text) external _filesec_free
000000018b4f87c4 (__TEXT,__text) external _filesec_get_property
000000018b4ed20c (__TEXT,__text) external _filesec_init
000000018b4fd104 (__TEXT,__text) external _filesec_query_property
000000018b4efed4 (__TEXT,__text) external _filesec_set_property
000000018b4fd0fc (__TEXT,__text) external _filesec_unset_property
000000018b4d7e04 (__TEXT,__text) non-external _find_temp_path
000000018b5315a8 (__TEXT,__text) non-external _first_wday_of
000000018b4dc6e4 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
000000018b50baf4 (__TEXT,__text) non-external _flush_meta
000000018b532a80 (__TEXT,__text) external _fmemopen
000000018b532dc4 (__TEXT,__text) non-external _fmemopen_close
000000018b532c54 (__TEXT,__text) non-external _fmemopen_read
000000018b532d3c (__TEXT,__text) non-external _fmemopen_seek
000000018b532cb0 (__TEXT,__text) non-external _fmemopen_write
00000001d253d358 (__DATA_CONST,__const) non-external _fmt_padding
000000018b51320c (__TEXT,__text) external _fmtcheck
000000018b513814 (__TEXT,__text) external _fmtmsg
000000018b513d90 (__TEXT,__text) external _fnmatch
000000018b513e3c (__TEXT,__text) non-external _fnmatch1
000000018b4dfb1c (__TEXT,__text) external _fopen
000000018b546da0 (__TEXT,__text) external _fopen$DARWIN_EXTSN
000000018b4eb5ec (__TEXT,__text) external _fork
000000018b505e88 (__TEXT,__text) external _forkpty
000000018b50568c (__TEXT,__text) external _fparseln
000000018b54a0ec (__TEXT,__const) non-external _fparseln.dstr
000000018b4d957c (__TEXT,__text) external _fprintf
000000018b4f0b0c (__TEXT,__text) external _fprintf_l
00000001d71faaf0 (__DATA,__data) non-external _fptr
000000018b524954 (__TEXT,__text) external _fpurge
000000018b4e93e4 (__TEXT,__text) external _fputc
000000018b4f42fc (__TEXT,__text) external _fputs
000000018b524ae0 (__TEXT,__text) external _fputwc
000000018b524b64 (__TEXT,__text) external _fputwc_l
000000018b524d54 (__TEXT,__text) external _fputws
000000018b524bfc (__TEXT,__text) external _fputws_l
000000018b4e823c (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
000000018b504e3c (__TEXT,__text) external _free_printf_comp
000000018b50510c (__TEXT,__text) external _free_printf_domain
                 (undefined) external _freeifaddrs (from libsystem_info)
000000018b5024d4 (__TEXT,__text) external _freelocale
000000018b4e86b8 (__TEXT,__text) external _freopen
000000018b4e82fc (__TEXT,__text) external _fscanf
000000018b524f58 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
000000018b4e3854 (__TEXT,__text) external _fseek
000000018b4ecf04 (__TEXT,__text) external _fseeko
000000018b524fec (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
000000018b4fba80 (__TEXT,__text) external _fstatvfs
000000018b4f613c (__TEXT,__text) external _fstatx_np
000000018b4f585c (__TEXT,__text) non-external _fstatx_syscall
00000001d71fa808 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
000000018b506b28 (__TEXT,__text) external _fsync_volume_np
000000018b4da73c (__TEXT,__text) external _ftell
000000018b4d7380 (__TEXT,__text) external _ftello
000000018b52f060 (__TEXT,__text) external _ftime
000000018b514a4c (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
000000018b523fc0 (__TEXT,__text) external _ftrylockfile
000000018b4ecf90 (__TEXT,__text) non-external _fts_alloc
000000018b4e54c8 (__TEXT,__text) non-external _fts_build
000000018b547208 (__TEXT,__text) non-external _fts_build.cold.1
000000018b547220 (__TEXT,__text) non-external _fts_build.cold.2
000000018b547238 (__TEXT,__text) non-external _fts_build.cold.3
000000018b547250 (__TEXT,__text) non-external _fts_build.cold.4
000000018b547268 (__TEXT,__text) non-external _fts_build.cold.5
000000018b547280 (__TEXT,__text) non-external _fts_build.cold.6
000000018b4fd3c0 (__TEXT,__text) external _fts_children
000000018b4eb7c4 (__TEXT,__text) external _fts_close
000000018b4e9a90 (__TEXT,__text) external _fts_open
000000018b4fd1b4 (__TEXT,__text) external _fts_open_b
000000018b4dfa2c (__TEXT,__text) non-external _fts_palloc
000000018b4e4bf4 (__TEXT,__text) external _fts_read
000000018b4e10f0 (__TEXT,__text) non-external _fts_safe_changedir
000000018b4fa648 (__TEXT,__text) external _fts_set
000000018b4fd52c (__TEXT,__text) non-external _fts_sort
000000018b4e3124 (__TEXT,__text) non-external _fts_stat2
000000018b4fe2f0 (__TEXT,__text) external _ftw
000000018b4d9484 (__TEXT,__text) external _funlockfile
000000018b4f1434 (__TEXT,__text) external _funopen
000000018b4ec568 (__TEXT,__text) external _fwide
000000018b524ff8 (__TEXT,__text) external _fwprintf
000000018b525048 (__TEXT,__text) external _fwprintf_l
000000018b4dfc28 (__TEXT,__text) external _fwrite
000000018b525074 (__TEXT,__text) external _fwscanf
000000018b5250c4 (__TEXT,__text) external _fwscanf_l
000000018b504cf8 (__TEXT,__text) external _fxprintf
000000018b505528 (__TEXT,__text) external _fxprintf_exec
00000001d71fa760 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
000000018b5373c4 (__TEXT,__text) external _gcvt
000000018b4d93d4 (__TEXT,__text) non-external _gdtoa_freelist_free
00000001d95b99a8 (__DATA_DIRTY,__bss) non-external _gdtoa_tsd_key
00000001d95b9278 (__DATA_DIRTY,__data) non-external _gdtoa_tsd_lock
000000018b4ff714 (__TEXT,__text) non-external _get_asl
00000001d71fbb40 (__DATA,__bss) non-external _get_asl.utx
00000001d71fc104 (__DATA,__bss) non-external _get_clock.adjustment
00000001d71fc118 (__DATA,__bss) non-external _get_clock.clock_seq
00000001d71fc108 (__DATA,__bss) non-external _get_clock.last
000000018b4ffa84 (__TEXT,__text) non-external _get_file
00000001d71fbdc0 (__DATA,__bss) non-external _get_file.ux
000000018b51328c (__TEXT,__text) non-external _get_next_format
000000018b513434 (__TEXT,__text) non-external _get_next_format_from_precision
000000018b5133cc (__TEXT,__text) non-external _get_next_format_from_width
000000018b537aa0 (__TEXT,__text) non-external _getargs
000000018b5384b4 (__TEXT,__text) non-external _getargs
000000018b5390d8 (__TEXT,__text) non-external _getargs
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
000000018b5224a4 (__TEXT,__text) non-external _getbits
000000018b54aaf1 (__TEXT,__const) non-external _getbits.digits
000000018b514ab4 (__TEXT,__text) external _getbsize
00000001d71fc1e8 (__DATA,__bss) non-external _getbsize.header
000000018b5250f0 (__TEXT,__text) external _getc
000000018b525154 (__TEXT,__text) external _getc_unlocked
000000018b525180 (__TEXT,__text) external _getchar
000000018b5251ec (__TEXT,__text) external _getchar_unlocked
000000018b4f1f8c (__TEXT,__text) external _getcwd
000000018b504750 (__TEXT,__text) external _getdate
00000001d71fc0b0 (__DATA,__bss) non-external _getdate.tm
00000001d71fc5cc (__DATA,__common) external _getdate_err
000000018b525224 (__TEXT,__text) external _getdelim
000000018b4fc9ac (__TEXT,__text) external _getdiskbyname
00000001d71fba40 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
000000018b514dc4 (__TEXT,__text) non-external _getent
000000018b4d8330 (__TEXT,__text) external _getenv
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getfsstat (from libsystem_kernel)
                 (undefined) external _getgrgid (from libsystem_info)
                 (undefined) external _getgrnam (from libsystem_info)
                 (undefined) external _getgroupcount (from libsystem_info)
                 (undefined) external _getgrouplist (from libsystem_info)
000000018b546eac (__TEXT,__text) external _getgroups$DARWIN_EXTSN
000000018b506d28 (__TEXT,__text) external _gethostid
000000018b4f56dc (__TEXT,__text) external _gethostname
                 (undefined) external _getifaddrs (from libsystem_info)
000000018b523178 (__TEXT,__text) external _getipv4sourcefilter
000000018b548130 (__TEXT,__text) non-external _getipv4sourcefilter.cold.1
000000018b54815c (__TEXT,__text) non-external _getipv4sourcefilter.cold.2
000000018b548188 (__TEXT,__text) non-external _getipv4sourcefilter.cold.3
000000018b4feb40 (__TEXT,__text) external _getlastlogx
000000018b4fec44 (__TEXT,__text) external _getlastlogxbyname
000000018b5254e0 (__TEXT,__text) external _getline
000000018b4e8bf0 (__TEXT,__text) external _getloadavg
000000018b515d44 (__TEXT,__text) external _getlogin
000000018b515d94 (__TEXT,__text) non-external _getlogin_basic
000000018b515e20 (__TEXT,__text) external _getlogin_r
000000018b515ea4 (__TEXT,__text) external _getmntinfo
00000001d71fc230 (__DATA,__bss) non-external _getmntinfo.vars
000000018b4f14d0 (__TEXT,__text) non-external _getmntinfo_internal
000000018b4e8060 (__TEXT,__text) external _getmntinfo_r_np
000000018b5184b0 (__TEXT,__text) external _getmode
000000018b4da500 (__TEXT,__text) non-external _getoffset
000000018b4f8a08 (__TEXT,__text) external _getopt
00000001d71faaa8 (__DATA,__data) non-external _getopt.place
000000018b4df170 (__TEXT,__text) non-external _getopt_internal
000000018b4ea200 (__TEXT,__text) external _getopt_long
000000018b5339fc (__TEXT,__text) external _getopt_long_only
000000018b4e3f5c (__TEXT,__text) external _getpagesize
00000001d95b99c0 (__DATA_DIRTY,__bss) non-external _getpagesize.value
000000018b5181c8 (__TEXT,__text) external _getpass
00000001d71fc2c8 (__DATA,__bss) non-external _getpass.buf
000000018b515edc (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
000000018b4dc56c (__TEXT,__text) external _getprogname
                 (undefined) external _getpwnam (from libsystem_info)
                 (undefined) external _getpwuid (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getrlimit (from libsystem_kernel)
000000018b4f066c (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
000000018b5254ec (__TEXT,__text) external _gets
000000018b54aafc (__TEXT,__const) non-external _gets.w
00000001d71fc378 (__DATA,__bss) non-external _gets.warned
000000018b4f90d0 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsectiondata (from libmacho)
                 (undefined) external _getsockopt (from libsystem_kernel)
000000018b523348 (__TEXT,__text) external _getsourcefilter
000000018b533aa4 (__TEXT,__text) external _getsubopt
000000018b4d1344 (__TEXT,__text) external _gettimeofday
00000001d71fc120 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
00000001d71fc124 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
00000001d71fc11c (__DATA,__bss) non-external _gettimeofday.validtz
000000018b4fd77c (__TEXT,__text) external _getttyent
00000001d71fba90 (__DATA,__bss) non-external _getttyent.line
00000001d253c908 (__DATA_CONST,__const) non-external _getttyent.nonexistent
00000001d71fba50 (__DATA,__bss) non-external _getttyent.tty
000000018b4fd620 (__TEXT,__text) external _getttynam
000000018b4fd028 (__TEXT,__text) non-external _gettype
                 (undefined) external _getuid (from libsystem_kernel)
000000018b4fdf18 (__TEXT,__text) external _getusershell
000000018b53c328 (__TEXT,__text) external _getutxent
000000018b4ff4f4 (__TEXT,__text) external _getutxent_wtmp
000000018b53c51c (__TEXT,__text) external _getutxid
000000018b53c624 (__TEXT,__text) external _getutxline
000000018b54aae6 (__TEXT,__const) non-external _getv4.digits
000000018b4fe1c0 (__TEXT,__text) external _getvfsbyname
000000018b5255d4 (__TEXT,__text) external _getw
000000018b525614 (__TEXT,__text) external _getwc
000000018b525638 (__TEXT,__text) external _getwc_l
000000018b52563c (__TEXT,__text) external _getwchar
000000018b52566c (__TEXT,__text) external _getwchar_l
000000018b506d88 (__TEXT,__text) external _getwd
000000018b4da740 (__TEXT,__text) non-external _getzname
000000018b515f68 (__TEXT,__text) external _glob
000000018b5169a8 (__TEXT,__text) non-external _glob0
000000018b516fac (__TEXT,__text) non-external _glob2
000000018b51623c (__TEXT,__text) external _glob_b
000000018b516c3c (__TEXT,__text) non-external _globexp1
000000018b516f14 (__TEXT,__text) non-external _globfinal
000000018b516944 (__TEXT,__text) external _globfree
000000018b54ad44 (__TEXT,__const) non-external _gmt
000000018b4f6d7c (__TEXT,__text) non-external _gmt_init
00000001d71faa88 (__DATA,__data) non-external _gmt_notify
00000001d95b98e0 (__DATA_DIRTY,__data) non-external _gmt_once
000000018b4fa3b4 (__TEXT,__text) external _gmtime
00000001d71fc4e0 (__DATA,__bss) non-external _gmtime_key
00000001d71fc4dc (__DATA,__bss) non-external _gmtime_key_error
000000018b52f0e8 (__TEXT,__text) non-external _gmtime_key_init
00000001d71faa78 (__DATA,__data) non-external _gmtime_once
000000018b4fa86c (__TEXT,__text) external _gmtime_r
000000018b4f89a0 (__TEXT,__text) non-external _gmtload
00000001d95b9c18 (__DATA_DIRTY,__bss) non-external _gmtptr
000000018b4f129c (__TEXT,__text) non-external _gmtsub
000000018b54ae55 (__TEXT,__const) non-external _gnuoptchar
00000001d71fc210 (__DATA,__bss) non-external _gottoprec
000000018b536fb0 (__TEXT,__text) external _grantpt
000000018b528d2c (__TEXT,__text) non-external _grouping_init
000000018b52c11c (__TEXT,__text) non-external _grouping_init
000000018b528df8 (__TEXT,__text) non-external _grouping_print
000000018b52c394 (__TEXT,__text) non-external _grouping_print
000000018b5181b4 (__TEXT,__text) non-external _handler
000000018b50d178 (__TEXT,__text) non-external _hash4
000000018b50bca0 (__TEXT,__text) non-external _hash_access
000000018b50b494 (__TEXT,__text) non-external _hash_close
000000018b536488 (__TEXT,__text) external _hash_create
000000018b50b4d8 (__TEXT,__text) non-external _hash_delete
000000018b5364f8 (__TEXT,__text) external _hash_destroy
000000018b50b55c (__TEXT,__text) non-external _hash_fd
000000018b50b594 (__TEXT,__text) non-external _hash_get
000000018b536760 (__TEXT,__text) external _hash_purge
000000018b50b5fc (__TEXT,__text) non-external _hash_put
000000018b5365d4 (__TEXT,__text) external _hash_search
000000018b50b688 (__TEXT,__text) non-external _hash_seq
000000018b5367e4 (__TEXT,__text) external _hash_stats
000000018b50b8d0 (__TEXT,__text) non-external _hash_sync
000000018b5366e4 (__TEXT,__text) external _hash_traverse
000000018b533c18 (__TEXT,__text) external _hcreate
000000018b50b37c (__TEXT,__text) non-external _hdestroy
000000018b533ce0 (__TEXT,__text) external _hdestroy
000000018b4d57d0 (__TEXT,__text) external _heapsort
000000018b537680 (__TEXT,__text) external _heapsort_b
000000018b54dc32 (__TEXT,__cstring) non-external _hexlist
00000001d71fbaf8 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
000000018b533d64 (__TEXT,__text) external _hsearch
00000001d71fc558 (__DATA,__bss) non-external _htable
00000001d71fc560 (__DATA,__bss) non-external _htablesize
                 (undefined) external _if_nametoindex (from libsystem_info)
000000018b54ae40 (__TEXT,__const) non-external _illoptchar
000000018b54aef6 (__TEXT,__const) non-external _illoptstring
000000018b533e34 (__TEXT,__text) external _imaxabs
000000018b533e40 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
000000018b5217a0 (__TEXT,__text) external _inet_addr
000000018b4f1c0c (__TEXT,__text) external _inet_aton
000000018b5217d8 (__TEXT,__text) external _inet_lnaof
000000018b521804 (__TEXT,__text) external _inet_makeaddr
000000018b521844 (__TEXT,__text) external _inet_net_ntop
000000018b521d60 (__TEXT,__text) external _inet_net_pton
000000018b548054 (__TEXT,__text) non-external _inet_net_pton.cold.1
000000018b548080 (__TEXT,__text) non-external _inet_net_pton.cold.2
000000018b5480ac (__TEXT,__text) non-external _inet_net_pton.cold.3
000000018b54aab9 (__TEXT,__const) non-external _inet_net_pton_ipv4.digits
000000018b54aaa8 (__TEXT,__const) non-external _inet_net_pton_ipv4.xdigits
000000018b54aac4 (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_l
000000018b54aad5 (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_u
000000018b522538 (__TEXT,__text) external _inet_neta
000000018b522608 (__TEXT,__text) external _inet_netof
000000018b522634 (__TEXT,__text) external _inet_network
000000018b522b4c (__TEXT,__text) external _inet_nsap_addr
000000018b522cb0 (__TEXT,__text) external _inet_nsap_ntoa
000000018b52282c (__TEXT,__text) external _inet_ntoa
00000001d95b9ba0 (__DATA_DIRTY,__bss) non-external _inet_ntoa.ret
000000018b4f9838 (__TEXT,__text) external _inet_ntop
000000018b4f6be0 (__TEXT,__text) external _inet_ntop4
000000018b539ce8 (__TEXT,__text) external _inet_ntop6
000000018b4ec88c (__TEXT,__text) external _inet_pton
000000018b4d9c30 (__TEXT,__text) non-external _inet_pton4
000000018b54afa1 (__TEXT,__const) non-external _inet_pton4.digits
000000018b54afac (__TEXT,__const) non-external _inet_pton6.xdigits_l
000000018b54afbd (__TEXT,__const) non-external _inet_pton6.xdigits_u
