000000019124bb84 (__TEXT,__text) non-external +[CalAlarm alarm]
00000001daede2c0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalAttendee
00000001daede500 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalCalendar
00000001daede8f0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalCalendarItem
00000001daede860 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalCalendarItemPredicate
00000001daede470 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalCalendarStore
00000001daede620 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalEvent
00000001daede230 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalEventPredicate
00000001daede350 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalGroup
00000001daede740 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalNthWeekDay
00000001daede1a0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalPredicate
00000001daede7d0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalRecurrenceEnd
00000001daede6b0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalRecurrenceRule
00000001daede980 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalTask
00000001daede3e0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalTaskPredicate
00000001d2248518 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_CalendarAgentClient
00000001d2248510 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001daede548 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalAlarm
00000001daede278 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalAttendee
00000001daede4b8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalCalendar
00000001daede8a8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalCalendarItem
00000001daede818 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalCalendarItemPredicate
00000001daede428 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalCalendarStore
00000001daede5d8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalEvent
00000001daede1e8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalEventPredicate
00000001daede308 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalGroup
00000001daede6f8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalNthWeekDay
00000001daede158 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalPredicate
00000001daede788 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalRecurrenceEnd
00000001daede668 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalRecurrenceRule
00000001daede938 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalTask
00000001daede398 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalTaskPredicate
00000001d6a77d00 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_CalendarAgentClient
00000001d6a77ca0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
                 (undefined) external __Unwind_Resume (from libSystem)
000000019124d41c (__TEXT,__text) non-external ___25-[CalGroup managedObject]_block_invoke
000000019124a4dc (__TEXT,__text) non-external ___40+[CalCalendarStore defaultCalendarStore]_block_invoke
0000000191256214 (__TEXT,__text) non-external ___46-[NSDate(CalStoreUtils) calStoreNSDateWithGMT]_block_invoke
000000019124eadc (__TEXT,__text) non-external ___48+[CalCalendarStore requestAccessForServiceName:]_block_invoke
000000019125608c (__TEXT,__text) non-external ___52-[NSDate(CalStoreUtils) calStoreNSDateWithTimeZone:]_block_invoke
000000019125177c (__TEXT,__text) non-external ___56-[CalCalendarStore calPersistanceNotification:userInfo:]_block_invoke
0000000191255efc (__TEXT,__text) non-external ___70+[NSDate(CalStoreUtils) calStoreDateInTimeZone:fromFloatingDateInGMT:]_block_invoke
000000019124b6cc (__TEXT,__text) non-external ___73-[CalStoreRemoteManagedEvent(CalStoreUtils) expandEventsFromDate:toDate:]_block_invoke
000000019124b6bc (__TEXT,__text) non-external ___Block_byref_object_copy_
0000000191255ee0 (__TEXT,__text) non-external ___Block_byref_object_copy_
0000000191256818 (__TEXT,__text) non-external ___Block_byref_object_copy_
000000019124b71c (__TEXT,__text) non-external ___Block_byref_object_dispose_
0000000191255ef0 (__TEXT,__text) non-external ___Block_byref_object_dispose_
0000000191256828 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001d22483f0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v12?0B8l
00000001daeddfd8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32o40r_e16_v16?0"NSDate"8l
00000001daede008 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32o40r_e17_v16?0"NSArray"8l
00000001daeddf28 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32o40r_e37_v16?0"CalStoreRemoteManagedObject"8l
00000001daeddf58 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32o40r_e8_v12?0C8l
00000001daeddfa8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32o40o48o_e5_v8?0l
00000001daeddf88 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001912517d0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40o48o
000000019124d46c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r
0000000191251830 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40o48o
000000019124d4bc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001d6a77d60 (__DATA,__bss) non-external __defaultCalendarStore
                 (undefined) external __dispatch_main_q (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _getStringUUID (from CalendarAgentLink)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kTCCServiceCalendar (from TCC)
                 (undefined) external _kTCCServiceReminders (from TCC)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
