00007ffa0fcc01c4 (__TEXT,__text) non-external +[Cube initialize]
00007ffa0fc6379b (__TEXT,__text) external _DrawFallingSlide
00007ffa0fc63b00 (__TEXT,__text) external _DrawFlippingSlide
00007ffa0fc62fac (__TEXT,__text) external _DrawRotatingSlide
00007ffa0fc643c2 (__TEXT,__text) external _ExitBounce
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
                 (undefined) external _ExtAudioFileRead (from AudioToolbox)
                 (undefined) external _ExtAudioFileSetProperty (from AudioToolbox)
00007ffa0fcb30f8 (__TEXT,__text) external _FixForFrameID
00007ffa0fa870ea (__TEXT,__text) external _FloorRect
00007ffa0fb12b92 (__TEXT,__text) external _Function
00007ffa0fb82366 (__TEXT,__text) external _Gaussian
00007ffa0fc60882 (__TEXT,__text) external _GenerateScenario0
00007ffa0fc60d1c (__TEXT,__text) external _GenerateScenario1
00007ffa0fc60e9c (__TEXT,__text) external _GenerateScenario2
00007ffa0fc6104f (__TEXT,__text) external _GenerateScenario3
00007ffa0fc61167 (__TEXT,__text) external _GenerateScenario4
00007ffa0fc61274 (__TEXT,__text) external _GenerateScenario5
                 (undefined) external _IOPPFGetProperty (from IOPlatformPluginFamily)
                 (undefined) external _IOSurfaceGetBytesPerRow (from IOSurface)
                 (undefined) external _IOSurfaceGetHeight (from IOSurface)
                 (undefined) external _IOSurfaceGetPixelFormat (from IOSurface)
                 (undefined) external _IOSurfaceGetWidth (from IOSurface)
00007ffa0fbea6c9 (__TEXT,__text) external _ImageKey
00007ffa40a7fed0 (__DATA_CONST,__const) non-external _ImageKey.strings
00007ffa0fccb902 (__TEXT,__text) external _IsZRotationCAMLString
00007ffa0fc83a61 (__TEXT,__text) external _LightboxOpacityProgress
00007ffa423a4610 (__DATA,__common) external _MCPlugParallelFlag
00007ffa423a4614 (__DATA,__common) external _MCSlideFlag
00007ffa0fbf54fd (__TEXT,__text) external _MCStringToVector
00007ffa0fbf55da (__TEXT,__text) external _MCVectorToString
                 (undefined) external _MDItemCopyAttribute (from CoreServices)
                 (undefined) external _MDItemCreate (from CoreServices)
                 (undefined) external _MLApertureAllPhotosTypeIdentifier (from MediaLibrary)
                 (undefined) external _MLFolderRootGroupTypeIdentifier (from MediaLibrary)
                 (undefined) external _MLGarageBandFolderGroupTypeIdentifier (from MediaLibrary)
                 (undefined) external _MLLogicProjectsGroupTypeIdentifier (from MediaLibrary)
                 (undefined) external _MLMediaLoadIncludeSourcesKey (from MediaLibrary)
                 (undefined) external _MLMediaObjectDurationKey (from MediaLibrary)
                 (undefined) external _MLMediaObjectKeywordsKey (from MediaLibrary)
                 (undefined) external _MLMediaObjectResolutionStringKey (from MediaLibrary)
                 (undefined) external _MLMediaSourceApertureIdentifier (from MediaLibrary)
                 (undefined) external _MLMediaSourceCustomFoldersIdentifier (from MediaLibrary)
                 (undefined) external _MLMediaSourceGarageBandIdentifier (from MediaLibrary)
                 (undefined) external _MLMediaSourceLogicIdentifier (from MediaLibrary)
                 (undefined) external _MLMediaSourceiMovieIdentifier (from MediaLibrary)
                 (undefined) external _MLMediaSourceiPhotoIdentifier (from MediaLibrary)
                 (undefined) external _MLMediaSourceiTunesIdentifier (from MediaLibrary)
                 (undefined) external _MLiMovieProjectGroupTypeIdentifier (from MediaLibrary)
                 (undefined) external _MLiPhotoLibraryAlbumTypeIdentifier (from MediaLibrary)
                 (undefined) external _MLiTunesMusicPlaylistTypeIdentifier (from MediaLibrary)
00007ffa423a2880 (__DATA,__data) external _MPEffectDidAddSlidesNotification
00007ffa423a2888 (__DATA,__data) external _MPEffectDidRemoveSlidesNotification
00007ffa423a4648 (__DATA,__bss) non-external _MPUtilitiesUnarchiverLog.log
00007ffa423a4698 (__DATA,__bss) non-external _MPUtilitiesUnarchiverLog.log
00007ffa423a46f0 (__DATA,__bss) non-external _MPUtilitiesUnarchiverLog.log
00007ffa423a9b10 (__DATA,__bss) non-external _MPUtilitiesUnarchiverLog.log
00007ffa423a9b28 (__DATA,__bss) non-external _MPUtilitiesUnarchiverLog.log
00007ffa423a4650 (__DATA,__bss) non-external _MPUtilitiesUnarchiverLog.onceToken
00007ffa423a46a0 (__DATA,__bss) non-external _MPUtilitiesUnarchiverLog.onceToken
00007ffa423a46f8 (__DATA,__bss) non-external _MPUtilitiesUnarchiverLog.onceToken
00007ffa423a9b18 (__DATA,__bss) non-external _MPUtilitiesUnarchiverLog.onceToken
00007ffa423a9b30 (__DATA,__bss) non-external _MPUtilitiesUnarchiverLog.onceToken
00007ffa0fbeee5f (__TEXT,__text) external _MRBreakOnTrue
00007ffa0fbee7eb (__TEXT,__text) external _MRCGPointRotatedByDegrees
00007ffa0fbee861 (__TEXT,__text) external _MRCGPointRotatedByRadians
00007ffa0fbeee51 (__TEXT,__text) external _MRFitHeightToAspectRatio
00007ffa0fbeede7 (__TEXT,__text) external _MRFitInToAspectRatio
00007ffa0fbeee1e (__TEXT,__text) external _MRFitOutToAspectRatio
00007ffa40a7fe58 (__DATA_CONST,__const) external _MRFittingFilter
00007ffa0fbeeab9 (__TEXT,__text) external _MRGetCurrentTime
00007ffa0fbecdb9 (__TEXT,__text) external _MRIsAppleTV
00007ffa423a9a98 (__DATA,__bss) non-external _MRIsAppleTV.gIsAppleTV
00007ffa423a9aa0 (__DATA,__bss) non-external _MRIsAppleTV.onceToken
00007ffa0fbecf11 (__TEXT,__text) external _MRMatrix_Clear
00007ffa0fbed9be (__TEXT,__text) external _MRMatrix_ConcatenateWithMatrix
00007ffa0fbeda2c (__TEXT,__text) external _MRMatrix_Determinant
00007ffa0fbee593 (__TEXT,__text) external _MRMatrix_Frustum
00007ffa0fbeceb6 (__TEXT,__text) external _MRMatrix_Identity
00007ffa423a9ab0 (__DATA,__bss) non-external _MRMatrix_Identity.sMRMatrixIdentity
00007ffa0fbedccc (__TEXT,__text) external _MRMatrix_Invert
00007ffa0fbed3fb (__TEXT,__text) external _MRMatrix_MultiplyWithMatrix
00007ffa0fbed788 (__TEXT,__text) external _MRMatrix_PostMultiply
00007ffa0fbed393 (__TEXT,__text) external _MRMatrix_PreMultiply
00007ffa0fbee652 (__TEXT,__text) external _MRMatrix_ProjectPoint
00007ffa0fbed903 (__TEXT,__text) external _MRMatrix_RotateVector
00007ffa0fbed325 (__TEXT,__text) external _MRMatrix_Scale
00007ffa0fbecf39 (__TEXT,__text) external _MRMatrix_SetDiagonal
00007ffa0fbed12e (__TEXT,__text) external _MRMatrix_SetRotationFromAnglesXYZDeg
00007ffa0fbed164 (__TEXT,__text) external _MRMatrix_SetRotationFromAnglesXYZRad
00007ffa0fbecf66 (__TEXT,__text) external _MRMatrix_SetRotationFromAnglesYXZDeg
00007ffa0fbecf9c (__TEXT,__text) external _MRMatrix_SetRotationFromAnglesYXZRad
00007ffa0fbed7f0 (__TEXT,__text) external _MRMatrix_TransformVector
00007ffa0fbed303 (__TEXT,__text) external _MRMatrix_Translate
00007ffa0fbee6c3 (__TEXT,__text) external _MRMatrix_UnprojectPoint
00007ffa0faebc5f (__TEXT,__text) external _MainProgressCallback
00007ffa0fbb83c4 (__TEXT,__text) external _MyCGImageBufferReleaseCallback
00007ffa0fbba3bf (__TEXT,__text) external _MyCVDisplayLinkOutputCallback
00007ffa0fcce165 (__TEXT,__text) non-external _MyErrorHandler
00007ffa0fbb5311 (__TEXT,__text) external _MyGLRectFromString
00007ffa0fb1addd (__TEXT,__text) external _MySpline
                 (undefined) external _NSAllocateObject (from Foundation)
                 (undefined) external _NSBackgroundColorAttributeName (from AppKit)
                 (undefined) external _NSBaselineOffsetAttributeName (from AppKit)
                 (undefined) external _NSBeep (from AppKit)
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSCalibratedRGBColorSpace (from AppKit)
                 (undefined) external _NSClassFromString (from Foundation)
                 (undefined) external _NSFileCreationDate (from Foundation)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSFontAttributeName (from AppKit)
                 (undefined) external _NSForegroundColorAttributeName (from AppKit)
00007ffa0fbea866 (__TEXT,__text) external _NSIntegerFromString
                 (undefined) external _NSIntegralRect (from Foundation)
                 (undefined) external _NSIntersectionRange (from Foundation)
                 (undefined) external _NSKernAttributeName (from AppKit)
                 (undefined) external _NSKeyValueChangeKindKey (from Foundation)
                 (undefined) external _NSKeyValueChangeNewKey (from Foundation)
                 (undefined) external _NSKeyValueChangeNotificationIsPriorKey (from Foundation)
                 (undefined) external _NSKeyValueChangeOldKey (from Foundation)
                 (undefined) external _NSLigatureAttributeName (from AppKit)
                 (undefined) external _NSLocaleIdentifier (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFileSizeDescription (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSParagraphStyleAttributeName (from AppKit)
                 (undefined) external _NSRangeFromString (from Foundation)
                 (undefined) external _NSRectFromString (from Foundation)
                 (undefined) external _NSSearchPathForDirectoriesInDomains (from Foundation)
                 (undefined) external _NSSelectorFromString (from Foundation)
                 (undefined) external _NSShadowAttributeName (from AppKit)
                 (undefined) external _NSStrikethroughColorAttributeName (from AppKit)
                 (undefined) external _NSStrikethroughStyleAttributeName (from AppKit)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSStringFromRange (from Foundation)
                 (undefined) external _NSStringFromSelector (from Foundation)
                 (undefined) external _NSStringFromSize (from Foundation)
00007ffa0fbea598 (__TEXT,__text) external _NSStringHasPrefix
00007ffa0fbea64a (__TEXT,__text) external _NSStringHasSuffix
00007ffa0fbea604 (__TEXT,__text) external _NSStringIsEqual
00007ffa0fbea746 (__TEXT,__text) external _NSStringWithInteger
                 (undefined) external _NSStrokeColorAttributeName (from AppKit)
                 (undefined) external _NSStrokeWidthAttributeName (from AppKit)
                 (undefined) external _NSSuperscriptAttributeName (from AppKit)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
                 (undefined) external _NSURLIsAliasFileKey (from CoreFoundation)
                 (undefined) external _NSUnderlineByWordMask (from AppKit)
                 (undefined) external _NSUnderlineColorAttributeName (from AppKit)
                 (undefined) external _NSUnderlineStyleAttributeName (from AppKit)
                 (undefined) external _NSUnderlyingErrorKey (from Foundation)
                 (undefined) external _NSZeroPoint (from Foundation)
                 (undefined) external _NSZeroRect (from Foundation)
                 (undefined) external _NSZeroSize (from Foundation)
00007ffa0fccb96c (__TEXT,__text) external _NewRotationFromCAMLString
00007ffa0fccba8e (__TEXT,__text) external _NewScaleFromCAMLString
00007ffa0fccba3b (__TEXT,__text) external _NewTranslationFromCAMLString
00007ffa0fccb924 (__TEXT,__text) external _NewZRotationFromCAMLString
                 (undefined) external _OBJC_CLASS_$_AVAsset (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVAssetExportSession (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVAssetImageGenerator (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVAssetReader (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVAssetReaderAudioMixOutput (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVAssetReaderTrackOutput (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVAssetWriter (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVAssetWriterInput (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVAssetWriterInputPixelBufferAdaptor (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMix (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMixInputParameters (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableComposition (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableMetadataItem (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVOutputSettingsAssistant (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVPlayer (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVPlayerItem (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVPlayerItemVideoOutput (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVURLAsset (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_CABasicAnimation (from QuartzCore)
                 (undefined) external _OBJC_CLASS_$_CAMediaTimingFunction (from QuartzCore)
                 (undefined) external _OBJC_CLASS_$_CAOpenGLLayer (from QuartzCore)
                 (undefined) external _OBJC_CLASS_$_CATransaction (from QuartzCore)
                 (undefined) external _OBJC_CLASS_$_CIDetector (from CoreImage)
                 (undefined) external _OBJC_CLASS_$_CIFilter (from CoreImage)
                 (undefined) external _OBJC_CLASS_$_CIImage (from CoreImage)
                 (undefined) external _OBJC_CLASS_$_CIVector (from CoreImage)
00007ffa423a1338 (__DATA,__objc_data) external _OBJC_CLASS_$_Cube
00007ffa423a1888 (__DATA,__objc_data) external _OBJC_CLASS_$_DDXMLDocument
00007ffa423a18d8 (__DATA,__objc_data) external _OBJC_CLASS_$_DDXMLElement
00007ffa423a1928 (__DATA,__objc_data) external _OBJC_CLASS_$_DDXMLNode
00007ffa4239f038 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAction
00007ffa4239f1a0 (__DATA,__objc_data) external _OBJC_CLASS_$_MCActionForEachPlug
00007ffa4239f088 (__DATA,__objc_data) external _OBJC_CLASS_$_MCActionGroup
00007ffa4239f240 (__DATA,__objc_data) external _OBJC_CLASS_$_MCActionTrigger
00007ffa4239f510 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAnimationKeyframe
00007ffa4239f538 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAnimationKeyframe1D
00007ffa4239f5d8 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAnimationKeyframe2D
00007ffa4239f588 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAnimationKeyframeFunction
00007ffa4239f628 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAnimationKeyframeVector
00007ffa4239f678 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAnimationPath
00007ffa4239f6c8 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAnimationPathCombo
00007ffa4239f740 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAnimationPathExpression
00007ffa4239f718 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAnimationPathKeyframed
00007ffa4239f7b8 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAnimationPathPhysics
00007ffa4239f128 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAnimationTrigger
00007ffa4239f808 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAsset
00007ffa4239f858 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAssetAudio
00007ffa4239f8a8 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAssetVideo
00007ffa4239f920 (__DATA,__objc_data) external _OBJC_CLASS_$_MCAudioPlaylist
00007ffa4239f0d8 (__DATA,__objc_data) external _OBJC_CLASS_$_MCConditionalAction
00007ffa4239f948 (__DATA,__objc_data) external _OBJC_CLASS_$_MCContainer
00007ffa4239f9c0 (__DATA,__objc_data) external _OBJC_CLASS_$_MCContainerEffect
00007ffa4239f9e8 (__DATA,__objc_data) external _OBJC_CLASS_$_MCContainerNavigator
00007ffa4239fa60 (__DATA,__objc_data) external _OBJC_CLASS_$_MCContainerParallelizer
00007ffa4239fab0 (__DATA,__objc_data) external _OBJC_CLASS_$_MCContainerSerializer
00007ffa4239fad8 (__DATA,__objc_data) external _OBJC_CLASS_$_MCFilter
00007ffa4239f150 (__DATA,__objc_data) external _OBJC_CLASS_$_MCGenericAction
00007ffa4239fb28 (__DATA,__objc_data) external _OBJC_CLASS_$_MCMontage
00007ffa4239f3d0 (__DATA,__objc_data) external _OBJC_CLASS_$_MCMotionTrigger
00007ffa4239f470 (__DATA,__objc_data) external _OBJC_CLASS_$_MCMotionTriggerExpression
00007ffa4239f420 (__DATA,__objc_data) external _OBJC_CLASS_$_MCMotionTriggerScalar
00007ffa4239fba0 (__DATA,__objc_data) external _OBJC_CLASS_$_MCObject
00007ffa4239fb78 (__DATA,__objc_data) external _OBJC_CLASS_$_MCObjectBase
00007ffa4239fc18 (__DATA,__objc_data) external _OBJC_CLASS_$_MCObjectLight
00007ffa4239fc90 (__DATA,__objc_data) external _OBJC_CLASS_$_MCPlug
00007ffa4239fd58 (__DATA,__objc_data) external _OBJC_CLASS_$_MCPlugHaven
00007ffa4239fdd0 (__DATA,__objc_data) external _OBJC_CLASS_$_MCPlugParallel
00007ffa4239fd08 (__DATA,__objc_data) external _OBJC_CLASS_$_MCPlugProxy
00007ffa4239fec0 (__DATA,__objc_data) external _OBJC_CLASS_$_MCPlugSerial
00007ffa4239fce0 (__DATA,__objc_data) external _OBJC_CLASS_$_MCPlugSlide
00007ffa4239ff10 (__DATA,__objc_data) external _OBJC_CLASS_$_MCSlide
00007ffa4239ff38 (__DATA,__objc_data) external _OBJC_CLASS_$_MCSlideAsset
00007ffa4239ffb0 (__DATA,__objc_data) external _OBJC_CLASS_$_MCSong
00007ffa4239f290 (__DATA,__objc_data) external _OBJC_CLASS_$_MCStateOperation
00007ffa4239f380 (__DATA,__objc_data) external _OBJC_CLASS_$_MCStateOperationExpression
00007ffa4239f2e0 (__DATA,__objc_data) external _OBJC_CLASS_$_MCStateOperationScalarSet
00007ffa4239f330 (__DATA,__objc_data) external _OBJC_CLASS_$_MCStateOperationStringSet
00007ffa4239ffd8 (__DATA,__objc_data) external _OBJC_CLASS_$_MCText
00007ffa423a0208 (__DATA,__objc_data) external _OBJC_CLASS_$_MCTextConversion
00007ffa4239f100 (__DATA,__objc_data) external _OBJC_CLASS_$_MCTransitionTrigger
00007ffa423a20a8 (__DATA,__objc_data) external _OBJC_CLASS_$_MEAVComposition
00007ffa423a20f8 (__DATA,__objc_data) external _OBJC_CLASS_$_MEAudioExporter
00007ffa423a0c08 (__DATA,__objc_data) external _OBJC_CLASS_$_MEAudioSupport
00007ffa423a0028 (__DATA,__objc_data) external _OBJC_CLASS_$_MEExporter
00007ffa423a0078 (__DATA,__objc_data) external _OBJC_CLASS_$_MEExporterManager
00007ffa423a07f8 (__DATA,__objc_data) external _OBJC_CLASS_$_MEImageExporter
00007ffa423a0190 (__DATA,__objc_data) external _OBJC_CLASS_$_MEJSONExporter
00007ffa423a00c8 (__DATA,__objc_data) external _OBJC_CLASS_$_MELoader
00007ffa423a0118 (__DATA,__objc_data) external _OBJC_CLASS_$_MEPlugin
00007ffa423a0168 (__DATA,__objc_data) external _OBJC_CLASS_$_MEPluginHTML5
00007ffa423a0398 (__DATA,__objc_data) external _OBJC_CLASS_$_MEPluginPDF
00007ffa423a2148 (__DATA,__objc_data) external _OBJC_CLASS_$_MEPluginVideoAVFoundation
00007ffa423a2198 (__DATA,__objc_data) external _OBJC_CLASS_$_MEPluginVideoImageSequence
00007ffa423a0348 (__DATA,__objc_data) external _OBJC_CLASS_$_MERenderer
00007ffa423a0bb8 (__DATA,__objc_data) external _OBJC_CLASS_$_METimeVol
                 (undefined) external _OBJC_CLASS_$_MLMediaLibrary (from MediaLibrary)
00007ffa4239bb68 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAction
00007ffa4239bd98 (__DATA,__objc_data) external _OBJC_CLASS_$_MPActionGroup
00007ffa4239bc08 (__DATA,__objc_data) external _OBJC_CLASS_$_MPActionTrigger
00007ffa4239bde8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAnimatedSet
00007ffa4239be38 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAnimationKeyframe
00007ffa4239be88 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAnimationKeyframe1D
00007ffa4239bed8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAnimationKeyframe2D
00007ffa4239bfc8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAnimationKeyframeFunction
00007ffa4239bf78 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAnimationKeyframeVector
00007ffa4239c018 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAnimationManager
00007ffa4239c090 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAnimationPath
00007ffa4239c0e0 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAnimationPathCombo
00007ffa4239c068 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAnimationPathKeyframed
00007ffa4239bbe0 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAnimationTrigger
00007ffa4239c180 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAssetManager
00007ffa4239c1f8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAudioPlaylist
00007ffa4239c248 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAuthoringController
00007ffa4239c2e8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPAuthoringUtilities
00007ffa4239c338 (__DATA,__objc_data) external _OBJC_CLASS_$_MPCluster
00007ffa4239c388 (__DATA,__objc_data) external _OBJC_CLASS_$_MPClusterController
00007ffa4239c3d8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPClusterSlide
00007ffa4239bb90 (__DATA,__objc_data) external _OBJC_CLASS_$_MPConditionalAction
00007ffa4239c428 (__DATA,__objc_data) external _OBJC_CLASS_$_MPCropController
00007ffa4239c478 (__DATA,__objc_data) external _OBJC_CLASS_$_MPDesktopAssetManager
00007ffa4239c568 (__DATA,__objc_data) external _OBJC_CLASS_$_MPDocument
00007ffa4239c4c8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPDocumentInternal
00007ffa4239c540 (__DATA,__objc_data) external _OBJC_CLASS_$_MPDocumentKeyedUnarchiver
00007ffa4239c5b8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPEffect
00007ffa4239c608 (__DATA,__objc_data) external _OBJC_CLASS_$_MPEffectContainer
00007ffa4239c680 (__DATA,__objc_data) external _OBJC_CLASS_$_MPEffectManager
00007ffa423a0578 (__DATA,__objc_data) external _OBJC_CLASS_$_MPFaceDetector
00007ffa4239c6d0 (__DATA,__objc_data) external _OBJC_CLASS_$_MPFileValidationManager
00007ffa4239c748 (__DATA,__objc_data) external _OBJC_CLASS_$_MPFilter
00007ffa4239c6f8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPFilterInternal
00007ffa4239c798 (__DATA,__objc_data) external _OBJC_CLASS_$_MPFilterManager
00007ffa4239c838 (__DATA,__objc_data) external _OBJC_CLASS_$_MPFrame
00007ffa4239c7e8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPFrameInternal
00007ffa4239c888 (__DATA,__objc_data) external _OBJC_CLASS_$_MPFrameManager
00007ffa4239bc30 (__DATA,__objc_data) external _OBJC_CLASS_$_MPGenericAction
00007ffa4239c8d8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPLayer
00007ffa4239c928 (__DATA,__objc_data) external _OBJC_CLASS_$_MPLayerEffect
00007ffa4239c9c8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPLayerGroup
00007ffa4239c978 (__DATA,__objc_data) external _OBJC_CLASS_$_MPLayerGroupInternal
00007ffa4239ca18 (__DATA,__objc_data) external _OBJC_CLASS_$_MPLayerInternal
00007ffa4239ca68 (__DATA,__objc_data) external _OBJC_CLASS_$_MPLayerSerializer
00007ffa4239cb08 (__DATA,__objc_data) external _OBJC_CLASS_$_MPNavigator
00007ffa4239cab8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPNavigatorInternal
00007ffa4239c1d0 (__DATA,__objc_data) external _OBJC_CLASS_$_MPPlaylistInternal
00007ffa4239cb58 (__DATA,__objc_data) external _OBJC_CLASS_$_MPSlide
00007ffa4239cbf8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPSong
00007ffa4239cbd0 (__DATA,__objc_data) external _OBJC_CLASS_$_MPSongInternal
00007ffa4239cc48 (__DATA,__objc_data) external _OBJC_CLASS_$_MPSongManager
00007ffa4239bcd0 (__DATA,__objc_data) external _OBJC_CLASS_$_MPStateOperation
00007ffa4239cc98 (__DATA,__objc_data) external _OBJC_CLASS_$_MPStyleManager
00007ffa4239cd38 (__DATA,__objc_data) external _OBJC_CLASS_$_MPText
00007ffa4239cce8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPTextInternal
00007ffa4239cd88 (__DATA,__objc_data) external _OBJC_CLASS_$_MPTransition
00007ffa4239bd48 (__DATA,__objc_data) external _OBJC_CLASS_$_MPTransitionAction
00007ffa4239cdd8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPTransitionManager
00007ffa4239ce78 (__DATA,__objc_data) external _OBJC_CLASS_$_MPUtilities
00007ffa4239bf28 (__DATA,__objc_data) external _OBJC_CLASS_$_MPVector
00007ffa4239cf18 (__DATA,__objc_data) external _OBJC_CLASS_$_MPWeighter
00007ffa4239cec8 (__DATA,__objc_data) external _OBJC_CLASS_$_MPWeighterConstraint
00007ffa423a1428 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAction
00007ffa4239e4f8 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAnimationContext
00007ffa4239cf90 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAnimationManager
00007ffa4239e520 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAnimationPathPhysics
00007ffa4239e4d0 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAnimationPathScalar
00007ffa4239ef98 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAnimationTrigger
00007ffa423a1dd8 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAssetMaster
00007ffa423a1ea0 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAssetPlayer
00007ffa423a1e28 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAssetPlayerMovie
00007ffa423a1e00 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAssetPlayerMovieForExport
00007ffa423a1f68 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAssetPlayerOptions
00007ffa423a1e50 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAssetPlayerStillImage
00007ffa423a0b18 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAudioDucker
00007ffa423a0b68 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAudioItem
00007ffa423a0ac8 (__DATA,__objc_data) external _OBJC_CLASS_$_MRAudioPlayer
00007ffa423a17e8 (__DATA,__objc_data) external _OBJC_CLASS_$_MRCAMLAnimation
00007ffa423a16f8 (__DATA,__objc_data) external _OBJC_CLASS_$_MRCAMLBezierData
00007ffa423a1838 (__DATA,__objc_data) external _OBJC_CLASS_$_MRCAMLKeyframe
00007ffa423a1748 (__DATA,__objc_data) external _OBJC_CLASS_$_MRCAMLLayer
00007ffa423a1798 (__DATA,__objc_data) external _OBJC_CLASS_$_MRCAMLTextLayer
00007ffa423a16d0 (__DATA,__objc_data) external _OBJC_CLASS_$_MRCAMLUtilities
00007ffa4239d008 (__DATA,__objc_data) external _OBJC_CLASS_$_MRContext
00007ffa4239cfb8 (__DATA,__objc_data) external _OBJC_CLASS_$_MRContextState
00007ffa4239d058 (__DATA,__objc_data) external _OBJC_CLASS_$_MRContextVertexAttributes
00007ffa4239d0f8 (__DATA,__objc_data) external _OBJC_CLASS_$_MRCroppingSprite
00007ffa4239d148 (__DATA,__objc_data) external _OBJC_CLASS_$_MRCroppingSpriteVBO
00007ffa4239d198 (__DATA,__objc_data) external _OBJC_CLASS_$_MREffect
