00000001d5b602f8 (__DATA,__data) non-external _.compoundliteral
0000000183c7fdcc (__TEXT,__text) non-external ___candidate_is_transposable_block_invoke
0000000183c7fb70 (__TEXT,__text) non-external ___candidate_list_add_multiple_block_invoke
0000000183c7ff7c (__TEXT,__text) non-external ___candidate_remove_common_condition_block_invoke
0000000183c839f8 (__TEXT,__text) non-external ___check_dependencies_block_invoke
0000000183c819c4 (__TEXT,__text) non-external ___check_instruction_block_invoke
0000000183c8ff24 (__TEXT,__text) non-external ___check_policy_block_invoke
                 (undefined) external ___chkstk_darwin (from libSystem)
0000000183c7ed8c (__TEXT,__text) non-external ___combine_conditions_block_invoke
0000000183c82d98 (__TEXT,__text) non-external ___combine_patterns_profile_block_invoke
0000000183c827d4 (__TEXT,__text) non-external ___combine_patterns_profile_block_invoke_2
0000000183c89ffc (__TEXT,__text) non-external ___compile_block_invoke
0000000183c89f5c (__TEXT,__text) non-external ___compile_block_invoke.4
0000000183c75c10 (__TEXT,__text) non-external ___compute_cost_estimate_block_invoke
0000000183c8a258 (__TEXT,__text) non-external ___compute_cost_estimate_block_invoke.26
0000000183c8180c (__TEXT,__text) non-external ___condition_is_contrary_with_any_in_list_block_invoke
0000000183c8d9a4 (__TEXT,__text) non-external ___condition_is_subset_of_all_block_invoke
0000000183c8d99c (__TEXT,__text) non-external ___condition_is_subset_of_any_block_invoke
0000000183c81350 (__TEXT,__text) non-external ___condition_is_subset_of_any_in_list_block_invoke
0000000183c817b8 (__TEXT,__text) non-external ___condition_is_superset_of_any_in_list_block_invoke
0000000183c8cce0 (__TEXT,__text) non-external ___condition_is_transposable_within_reference_block_invoke
0000000183c82140 (__TEXT,__text) non-external ___condition_list_is_ordered_by_cost_block_invoke
0000000183c834b4 (__TEXT,__text) non-external ___condition_with_patterns_combined_block_invoke
0000000183c8a278 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
0000000183c8f7ac (__TEXT,__text) non-external ___copy_helper_block_8_32b40r
0000000183c89f08 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
0000000183c8a86c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
0000000183c8c170 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
0000000183c9385c (__TEXT,__text) non-external ___copy_helper_block_8_32r40r48r56r64r
00000001d5b682f8 (__DATA,__common) [referenced dynamically] external ___crashreporter_info__
0000000183c8f7fc (__TEXT,__text) non-external ___create_pattern_disjunctions_block_invoke
0000000183c7f9b0 (__TEXT,__text) non-external ___cse_inferior_list_block_invoke
0000000183c8cb98 (__TEXT,__text) non-external ___cse_inferior_list_block_invoke.14
0000000183c8cc74 (__TEXT,__text) non-external ___cse_inferior_list_block_invoke.18
0000000183c7f214 (__TEXT,__text) non-external ___cse_multiple_block_invoke
0000000183c71af8 (__TEXT,__text) non-external ___define_action_block_invoke
0000000183c93298 (__TEXT,__text) non-external ___define_action_block_invoke.121
0000000183c786d0 (__TEXT,__text) non-external ___define_action_block_invoke_2
0000000183c773b4 (__TEXT,__text) non-external ___define_combination_filter_block_invoke
0000000183c90fe4 (__TEXT,__text) non-external ___define_error_handler_block_invoke
0000000183c912c8 (__TEXT,__text) non-external ___define_error_handler_block_invoke_2
0000000183c730f8 (__TEXT,__text) non-external ___define_filter_block_invoke
0000000183c85ac4 (__TEXT,__text) non-external ___define_network_filter_block_invoke
0000000183c72f68 (__TEXT,__text) non-external ___define_on_open_handler_block_invoke
0000000183c908c8 (__TEXT,__text) non-external ___define_wrapper_filter_block_invoke
0000000183c8a26c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
0000000183c8f768 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r
0000000183c89efc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
0000000183c8a828 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
0000000183c8c120 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
0000000183c937f4 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r48r56r64r
0000000183c7edf8 (__TEXT,__text) non-external ___eliminate_common_subexpressions_block_invoke
0000000183c8cd58 (__TEXT,__text) non-external ___eliminate_common_subexpressions_policy_block_invoke
0000000183c8de48 (__TEXT,__text) non-external ___eliminate_dead_code_policy_block_invoke
0000000183c8bdc8 (__TEXT,__text) non-external ___emit_modifier_list_block_invoke
0000000183c8be64 (__TEXT,__text) non-external ___emit_modifier_list_block_invoke.98
0000000183c842c0 (__TEXT,__text) non-external ___emit_profile_block_invoke
0000000183c8bac8 (__TEXT,__text) non-external ___emit_return_instruction_block_invoke
0000000183c8bb20 (__TEXT,__text) non-external ___emit_return_instruction_block_invoke.82
0000000183c8b268 (__TEXT,__text) non-external ___emit_variable_names_block_invoke
                 (undefined) external ___error (from libSystem)
0000000183c80bac (__TEXT,__text) non-external ___expand_logical_conditions_block_invoke
0000000183c86ac8 (__TEXT,__text) non-external ___expand_logical_conditions_block_invoke.17
0000000183c8eddc (__TEXT,__text) non-external ___expand_logical_conditions_policy_block_invoke
0000000183c822a8 (__TEXT,__text) non-external ___factor_block_invoke
0000000183c8e488 (__TEXT,__text) non-external ___factor_policy_block_invoke
0000000183c91320 (__TEXT,__text) non-external ___format_error_block_invoke
0000000183c93fb0 (__TEXT,__text) non-external ___generate_fcntl_syscallmask_block_invoke
0000000183c93f00 (__TEXT,__text) non-external ___generate_mach_syscallmask_block_invoke
0000000183c93f58 (__TEXT,__text) non-external ___generate_mig_syscallmask_block_invoke
0000000183c93b7c (__TEXT,__text) non-external ___generate_unix_syscallmask_block_invoke
0000000183c8c584 (__TEXT,__text) non-external ___iterate_string_operands_with_atom_namespaces_block_invoke
0000000183c8c5fc (__TEXT,__text) non-external ___iterate_string_operands_with_atom_namespaces_block_invoke_2
0000000183c7717c (__TEXT,__text) non-external ___list_cost_estimate_block_invoke
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
0000000183c7d5a0 (__TEXT,__text) non-external ___operation_can_return_action_block_invoke
0000000183c931d4 (__TEXT,__text) non-external ___operation_expand_block_invoke
0000000183c914a4 (__TEXT,__text) non-external ___output_backtrace_block_invoke
0000000183c8c65c (__TEXT,__text) non-external ___populate_pattern_variable_count_block_invoke
0000000183c81c10 (__TEXT,__text) non-external ___reorder_block_invoke
0000000183c82220 (__TEXT,__text) non-external ___reorder_condition_list_block_invoke
0000000183c904cc (__TEXT,__text) non-external ___reorder_policy_block_invoke
0000000183c8c7d0 (__TEXT,__text) non-external ___reserve_modifier_descriptors_block_invoke
0000000183c8c844 (__TEXT,__text) non-external ___reserve_modifier_descriptors_block_invoke.26
0000000183c818fc (__TEXT,__text) non-external ___resolve_jumps_block_invoke
                 (undefined) external ___sandbox_ms (from libSystem)
0000000183c89710 (__TEXT,__text) non-external ___sandbox_prepare_user_home_mount_block_invoke
0000000183c89cdc (__TEXT,__text) non-external ___sandbox_register_network_approval_policy_exemption_for_share_block_invoke
0000000183c90260 (__TEXT,__text) non-external ___sb_analyze_check_delegation_profile_block_invoke
0000000183c83618 (__TEXT,__text) non-external ___sb_analyze_check_dependencies_profile_block_invoke
0000000183c8abbc (__TEXT,__text) non-external ___sb_bitmask_is_subset_block_invoke
0000000183c7d9fc (__TEXT,__text) non-external ___sb_bytecode_output_profile_block_invoke
0000000183c8d32c (__TEXT,__text) non-external ___sb_condition_conjunction_block_invoke
0000000183c77fd0 (__TEXT,__text) non-external ___sb_condition_conjunction_block_invoke_2
0000000183c8d31c (__TEXT,__text) non-external ___sb_condition_disjunction_block_invoke
0000000183c771bc (__TEXT,__text) non-external ___sb_condition_disjunction_block_invoke_2
0000000183c86478 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke
0000000183c7c584 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_2
0000000183c86468 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_3
0000000183c7b3a4 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_4
0000000183c8dc74 (__TEXT,__text) non-external ___sb_condition_list_every_condition_matches_predicate_block_invoke
0000000183c740e8 (__TEXT,__text) non-external ___sb_filter_has_side_effects_block_invoke
0000000183c76558 (__TEXT,__text) non-external ___sb_fsa_disjunction_block_invoke
0000000183c81860 (__TEXT,__text) non-external ___sb_fsa_matches_disjoint_set_block_invoke
0000000183c816d0 (__TEXT,__text) non-external ___sb_fsa_matches_subset_block_invoke
0000000183c8a430 (__TEXT,__text) non-external ___sb_fsa_recognizer_byteset_block_invoke
0000000183c856d4 (__TEXT,__text) non-external ___sb_modifiers_apply_action_flags_block_invoke
0000000183c8f048 (__TEXT,__text) non-external ___sb_msgfilter_iterate_entry_points_block_invoke
0000000183c7127c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke
0000000183c7d168 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_10
0000000183c90af4 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_11
0000000183c9199c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_12
0000000183c90b9c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_13
0000000183c91974 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_14
0000000183c90c44 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_15
0000000183c918d0 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_16
0000000183c90cec (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_17
0000000183c90d8c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_18
0000000183c90f6c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_19
0000000183c86990 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_2
0000000183c915c8 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_20
0000000183c862ac (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_3
0000000183c78080 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_4
0000000183c78178 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_5
0000000183c90a04 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_6
0000000183c90a1c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_7
0000000183c90a34 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_8
0000000183c90a4c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_9
0000000183c90658 (__TEXT,__text) non-external ___sb_transform_resolve_jumps_policy_block_invoke
0000000183c8ea5c (__TEXT,__text) non-external ___sb_visitor_traverse_policy_postorder_block_invoke
0000000183c8ead4 (__TEXT,__text) non-external ___sb_visitor_traverse_policy_postorder_block_invoke_2
0000000183c8e9a4 (__TEXT,__text) non-external ___sb_visitor_traverse_policy_preorder_block_invoke
0000000183c8ea1c (__TEXT,__text) non-external ___sb_visitor_traverse_policy_preorder_block_invoke_2
0000000183c9186c (__TEXT,__text) non-external ___sbpl_filter_eqv_block_invoke
0000000183c91724 (__TEXT,__text) non-external ___sbpl_operation_eqv_block_invoke
                 (undefined) external ___srget (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
0000000183c8ecc8 (__TEXT,__text) non-external ___synthesize_logical_conditions_policy_block_invoke
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
0000000183c902f4 (__TEXT,__text) non-external ___visit_instructions_in_policy_block_invoke
0000000183c70eb0 (__TEXT,__text) non-external ___xpc2sc_block_invoke
00000001d5b5ffd8 (__DATA,__data) non-external __address_family_aliases_
0000000183c8c71c (__TEXT,__text) non-external __annotate_instruction_order
0000000183c8695c (__TEXT,__text) non-external __buffer_close
0000000183c86880 (__TEXT,__text) non-external __buffer_read
0000000183c86810 (__TEXT,__text) non-external __buffer_seek
0000000183c767a8 (__TEXT,__text) non-external __calculate_graft_position
0000000183c8e3d8 (__TEXT,__text) non-external __condition_list_diff
00000001d5b67b08 (__DATA,__data) non-external __csop_aliases_
00000001d5b62638 (__DATA,__data) non-external __csr_aliases_
0000000183c91fd0 (__TEXT,__text) non-external __define_filter
0000000183c707c4 (__TEXT,__text) non-external __define_list
0000000183c709a8 (__TEXT,__text) non-external __define_symbol
00000001d5b67c28 (__DATA,__data) non-external __errno_value_aliases_
00000001d5b665e8 (__DATA,__data) non-external __fcntl_command_aliases_
0000000183c76d7c (__TEXT,__text) non-external __flatten
0000000183c858e8 (__TEXT,__text) non-external __free_error_pool
00000001d5b60368 (__DATA,__data) non-external __fsctl_command_aliases_
00000001d5b62708 (__DATA,__data) non-external __host_special_port_aliases_
00000001d5b610b8 (__DATA,__data) non-external __ioctl_command_aliases_
00000001d5b64c88 (__DATA,__data) non-external __machtrap_aliases_
0000000183c70814 (__TEXT,__text) non-external __make_list_v
0000000183c86c14 (__TEXT,__text) non-external __mbuf_close
0000000183c8f4f4 (__TEXT,__text) non-external __mbuf_read
0000000183c8f494 (__TEXT,__text) non-external __mbuf_seek
0000000183c86b70 (__TEXT,__text) non-external __mbuf_write
00000001d5b67858 (__DATA,__data) non-external __memorystatus_control_cmd_aliases_
00000001d5b65068 (__DATA,__data) non-external __mig_routine_aliases_
00000001d5b67698 (__DATA,__data) non-external __necp_client_action_aliases_
0000000183c821bc (__TEXT,__text) non-external __order
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
0000000183c70fb0 (__TEXT,__text) non-external __parse_file
00000001d5b62f88 (__DATA,__data) non-external __persona_aliases_
0000000183c8af78 (__TEXT,__text) non-external __populate_atom_tables_profile
00000001d5b621d8 (__DATA,__data) non-external __privilege_aliases_
0000000183c853a8 (__TEXT,__text) non-external __push_match_byteset_instr
0000000183c6de6c (__TEXT,__text) non-external __s_return
0000000183c802a0 (__TEXT,__text) non-external __sb_condition_list_remove_index
0000000183c73ee4 (__TEXT,__text) non-external __sb_condition_pattern_of_type
0000000183c83910 (__TEXT,__text) non-external __sb_condition_traverse_filters
0000000183c8a4f8 (__TEXT,__text) non-external __sb_fsa_disjunction
0000000183c76178 (__TEXT,__text) non-external __sb_fsa_iterate_disjuncts
0000000183c8a288 (__TEXT,__text) non-external __sb_fsa_recognizer_terminal
0000000183c7b7dc (__TEXT,__text) non-external __sb_fsa_serialize
0000000183c8e128 (__TEXT,__text) non-external __sb_instr_error_with_formatv
0000000183c7af9c (__TEXT,__text) non-external __sb_pattern_is_literal
0000000183c69c2c (__TEXT,__text) non-external __sb_realloc_vector
0000000183c9441c (__TEXT,__text) non-external __sb_textbuf_with_string_transfer_with_length
0000000183c7b3b4 (__TEXT,__text) non-external __sb_value_is_equivalent
0000000183c8d510 (__TEXT,__text) non-external __sb_value_matches_subset
0000000183c8f33c (__TEXT,__text) non-external __set_modifier_string
00000001d5b628b8 (__DATA,__data) non-external __signal_aliases_
00000001d5b66ac8 (__DATA,__data) non-external __socket_option_level_aliases_
00000001d5b67168 (__DATA,__data) non-external __socket_option_name_aliases_
00000001d5b60298 (__DATA,__data) non-external __socket_type_aliases_
00000001d5b63008 (__DATA,__data) non-external __syscall_aliases_
00000001d5b67a68 (__DATA,__data) non-external __task_special_port_aliases_
00000001d5b62ca8 (__DATA,__data) non-external __usb_interface_class_aliases_
00000001d5b62db8 (__DATA,__data) non-external __usb_interface_subclass_aliases_
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_int64 (from libSystem)
                 (undefined) external __xpc_type_null (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _abort (from libSystem)
0000000183c780d0 (__TEXT,__text) non-external _all_args_pass_test
0000000183c6a894 (__TEXT,__text) non-external _alloc_cellseg
0000000183c79ab4 (__TEXT,__text) non-external _alloc_literal
0000000183c72744 (__TEXT,__text) non-external _arg_is_condition
0000000183c918f8 (__TEXT,__text) non-external _arg_is_message_filter
0000000183c78524 (__TEXT,__text) non-external _arg_is_modifier
0000000183c727c0 (__TEXT,__text) non-external _arg_is_operation
                 (undefined) external _asprintf (from libSystem)
0000000183c745e4 (__TEXT,__text) non-external _assert_is_mutable
0000000183c8dc1c (__TEXT,__text) non-external _assert_is_mutable.335
0000000183c87a84 (__TEXT,__text) non-external _atom2str
0000000183c94c44 (__TEXT,__text) non-external _atom2str.cold.1
0000000183c94c70 (__TEXT,__text) non-external _atom2str.cold.2
0000000183c94c9c (__TEXT,__text) non-external _atom2str.cold.3
0000000183c94cc8 (__TEXT,__text) non-external _atom2str.cold.4
0000000183c94cf4 (__TEXT,__text) non-external _atom2str.cold.5
0000000183c94d20 (__TEXT,__text) non-external _atom2str.cold.6
0000000183c94d4c (__TEXT,__text) non-external _atom2str.cold.7
0000000183c94d78 (__TEXT,__text) non-external _atom2str.cold.8
0000000183c6cc30 (__TEXT,__text) non-external _backchar
0000000183c71a1c (__TEXT,__text) non-external _backtrace_pop
0000000183c94b94 (__TEXT,__text) non-external _backtrace_pop.cold.1
0000000183c6b4e0 (__TEXT,__text) non-external _backtrace_push
0000000183c8aa84 (__TEXT,__text) non-external _bitmask_extend
                 (undefined) external _bootstrap_look_up (from libSystem)
                 (undefined) external _bootstrap_port (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
0000000183c7e848 (__TEXT,__text) non-external _can_combine_conjunction
0000000183c7e794 (__TEXT,__text) non-external _can_combine_disjunction
0000000183c7fb18 (__TEXT,__text) non-external _candidate_list_lookup
0000000183c80578 (__TEXT,__text) non-external _candidate_list_remove
0000000183c82fb8 (__TEXT,__text) non-external _candidate_set_release
0000000183c7267c (__TEXT,__text) non-external _car
0000000183c726e0 (__TEXT,__text) non-external _cdr
0000000183c836dc (__TEXT,__text) non-external _check_dependencies
0000000183c8fd4c (__TEXT,__text) non-external _check_instruction
0000000183c8fe74 (__TEXT,__text) non-external _check_policy
0000000183c93fd0 (__TEXT,__text) non-external _collect_filters_into_syscallmask
0000000183c8ebc0 (__TEXT,__text) non-external _combine_conditions
0000000183c678c0 (__TEXT,__text) non-external _compile
0000000183c735f8 (__TEXT,__text) non-external _compute_cost_estimate
0000000183c732f4 (__TEXT,__text) non-external _compute_hash
0000000183c8d178 (__TEXT,__text) non-external _compute_hash.242
0000000183c772bc (__TEXT,__text) non-external _condition_free_callback
0000000183c8d3e0 (__TEXT,__text) non-external _condition_is_subset_of_all
0000000183c8d454 (__TEXT,__text) non-external _condition_is_subset_of_any
0000000183c82878 (__TEXT,__text) non-external _condition_with_patterns_combined
0000000183c8985c (__TEXT,__text) non-external _connect_to_sandboxd_and_call
0000000183c7a1d8 (__TEXT,__text) non-external _construct_automaton
0000000183c83134 (__TEXT,__text) non-external _create_pattern_disjunctions
0000000183c7ef2c (__TEXT,__text) non-external _cse
0000000183c7f29c (__TEXT,__text) non-external _cse_inferior_list
0000000183c7f130 (__TEXT,__text) non-external _cse_multiple
0000000183c80dbc (__TEXT,__text) non-external _dce
0000000183c74a48 (__TEXT,__text) non-external _decorate_condition
0000000183c713a8 (__TEXT,__text) non-external _decorate_operation
0000000183c90758 (__TEXT,__text) non-external _define_action
0000000183c907ec (__TEXT,__text) non-external _define_combination_filter
0000000183c8e0d4 (__TEXT,__text) non-external _die_die_die
                 (undefined) external _dispatch_once (from libSystem)
00000001db066020 (__AUTH_CONST,__const) non-external _dispatch_table
0000000183c7d0f0 (__TEXT,__text) non-external _dump_stack_restore
0000000183c7d078 (__TEXT,__text) non-external _dump_stack_stash
0000000183c8cae4 (__TEXT,__text) non-external _eliminate_common_subexpressions_policy
0000000183c80c54 (__TEXT,__text) non-external _eliminate_dead_code
0000000183c8dd98 (__TEXT,__text) non-external _eliminate_dead_code_policy
0000000183c8519c (__TEXT,__text) non-external _emit
0000000183c8b194 (__TEXT,__text) non-external _emit_atom_table
0000000183c8b890 (__TEXT,__text) non-external _emit_bitmask
0000000183c84350 (__TEXT,__text) non-external _emit_instruction
0000000183c8bed8 (__TEXT,__text) non-external _emit_modifier_descriptor
0000000183c8b7d0 (__TEXT,__text) non-external _emit_network
0000000183c8b4cc (__TEXT,__text) non-external _emit_pattern
0000000183c8b600 (__TEXT,__text) non-external _emit_regex
0000000183c855cc (__TEXT,__text) non-external _emit_string
0000000183c8b0b4 (__TEXT,__text) non-external _emit_variable_names
0000000183c84d64 (__TEXT,__text) non-external _encode_address
0000000183c79b3c (__TEXT,__text) non-external _end_expression
0000000183c6fec0 (__TEXT,__text) non-external _eqv
0000000183c807f8 (__TEXT,__text) non-external _expand_logical_conditions
0000000183c8ed30 (__TEXT,__text) non-external _expand_logical_conditions_policy
0000000183c8e2bc (__TEXT,__text) non-external _factor_policy
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fileno (from libSystem)
0000000183c6ac90 (__TEXT,__text) non-external (was a private external) _fill_vector
00000001d392d690 (__DATA_CONST,__const) non-external _filter_info
0000000183c6abfc (__TEXT,__text) non-external _find_consecutive_cells
0000000183c6debc (__TEXT,__text) non-external _find_slot_in_env
0000000183c79fb0 (__TEXT,__text) non-external _fixup_unanchored_operand
                 (undefined) external _flockfile (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
0000000183c69abc (__TEXT,__text) non-external _free_bytes_in_buffer
                 (undefined) external _fseeko (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _ftello (from libSystem)
                 (undefined) external _funlockfile (from libSystem)
                 (undefined) external _funopen (from libSystem)
                 (undefined) external _fwrite (from libSystem)
0000000183c71524 (__TEXT,__text) non-external _gc
0000000183c70754 (__TEXT,__text) non-external (was a private external) _gc_protect
0000000183c70978 (__TEXT,__text) non-external (was a private external) _gc_unprotect
0000000183c94b3c (__TEXT,__text) non-external _gc_unprotect.cold.1
0000000183c93bd4 (__TEXT,__text) non-external _generate_syscallmask
0000000183c6fd80 (__TEXT,__text) non-external (was a private external) _gensym
0000000183c94b10 (__TEXT,__text) non-external _gensym.cold.1
0000000183c6ad94 (__TEXT,__text) non-external _get_cell
0000000183c85128 (__TEXT,__text) non-external _get_current_data_address
0000000183c935b8 (__TEXT,__text) non-external _has_pending_backtrack
0000000183c6ca8c (__TEXT,__text) non-external _inchar
0000000183ca88e1 (__TEXT,__const) non-external _init_scm
0000000183c89230 (__TEXT,__text) non-external _inspect_iterate_items
0000000183c6f9a8 (__TEXT,__text) non-external _is_any
0000000183c86cec (__TEXT,__text) non-external (was a private external) _is_bt_pointer
0000000183c772a8 (__TEXT,__text) non-external (was a private external) _is_character
0000000183c86d78 (__TEXT,__text) non-external (was a private external) _is_closure
0000000183c86da0 (__TEXT,__text) non-external (was a private external) _is_continuation
0000000183c86dc8 (__TEXT,__text) non-external (was a private external) _is_environment
0000000183c86d50 (__TEXT,__text) non-external (was a private external) _is_foreign
0000000183c86d64 (__TEXT,__text) non-external (was a private external) _is_foreign_block
0000000183c74af4 (__TEXT,__text) non-external (was a private external) _is_foreign_object
0000000183c72878 (__TEXT,__text) non-external (was a private external) _is_integer
0000000183c86d8c (__TEXT,__text) non-external (was a private external) _is_macro
0000000183c72ec8 (__TEXT,__text) non-external _is_nonneg
0000000183c88430 (__TEXT,__text) non-external _is_num_integer
0000000183c6fe68 (__TEXT,__text) non-external (was a private external) _is_number
0000000183c6ea84 (__TEXT,__text) non-external (was a private external) _is_pair
0000000183c86d28 (__TEXT,__text) non-external (was a private external) _is_port
0000000183c7c938 (__TEXT,__text) non-external _is_position_at_end_of_sequence
0000000183c86d3c (__TEXT,__text) non-external (was a private external) _is_proc
0000000183c86db4 (__TEXT,__text) non-external (was a private external) _is_promise
0000000183c72eb4 (__TEXT,__text) non-external (was a private external) _is_string
0000000183c730e4 (__TEXT,__text) non-external (was a private external) _is_symbol
0000000183c86c48 (__TEXT,__text) non-external (was a private external) _is_vector
                 (undefined) external _isalnum (from libSystem)
                 (undefined) external _isalpha (from libSystem)
                 (undefined) external _isblank (from libSystem)
                 (undefined) external _iscntrl (from libSystem)
                 (undefined) external _isdigit (from libSystem)
                 (undefined) external _isgraph (from libSystem)
                 (undefined) external _islower (from libSystem)
                 (undefined) external _isprint (from libSystem)
                 (undefined) external _ispunct (from libSystem)
                 (undefined) external _isspace (from libSystem)
                 (undefined) external _isupper (from libSystem)
                 (undefined) external _isxdigit (from libSystem)
0000000183c72880 (__TEXT,__text) non-external (was a private external) _ivalue
0000000183c76fcc (__TEXT,__text) non-external _list_cost_estimate
0000000183c771e0 (__TEXT,__text) non-external _list_star
                 (undefined) external _mach_msg (from libSystem)
                 (undefined) external _mach_msg_destroy (from libSystem)
                 (undefined) external _mach_port_deallocate (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_good_size (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
0000000183c71868 (__TEXT,__text) non-external _mark
                 (undefined) external _matchCombine (from libMatch)
                 (undefined) external _matchCompile (from libMatch)
                 (undefined) external _matchExec (from libMatch)
                 (undefined) external _matchFree (from libMatch)
                 (undefined) external _matchInit (from libMatch)
                 (undefined) external _matchPack (from libMatch)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmem (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _mergesort_b (from libSystem)
                 (undefined) external _mig_dealloc_reply_port (from libSystem)
                 (undefined) external _mig_get_reply_port (from libSystem)
                 (undefined) external _mig_put_reply_port (from libSystem)
                 (undefined) external _mig_strncpy (from libSystem)
                 (undefined) weak external _mig_strncpy_zerofill (from libSystem)
0000000183c6dc68 (__TEXT,__text) non-external _mk_atom
0000000183c7c7f8 (__TEXT,__text) non-external (was a private external) _mk_counted_string
0000000183c87eb4 (__TEXT,__text) non-external _mk_empty_string
0000000183c70ad4 (__TEXT,__text) non-external (was a private external) _mk_foreign_block
0000000183c70b1c (__TEXT,__text) non-external (was a private external) _mk_foreign_func
0000000183c74ab8 (__TEXT,__text) non-external (was a private external) _mk_foreign_object
0000000183c71408 (__TEXT,__text) non-external (was a private external) _mk_integer
0000000183c6e840 (__TEXT,__text) non-external _mk_sharp_const
0000000183c86a2c (__TEXT,__text) non-external _mk_sharp_integer
0000000183c6b094 (__TEXT,__text) non-external (was a private external) _mk_string
0000000183c6ae48 (__TEXT,__text) non-external (was a private external) _mk_symbol
0000000183c6aa48 (__TEXT,__text) non-external _mk_vector
0000000183c94bc0 (__TEXT,__text) non-external _mk_vector.cold.1
00000001d392e250 (__DATA_CONST,__const) non-external _modifier_info
0000000183c7c98c (__TEXT,__text) non-external _move_to_next_node
0000000183c91d90 (__TEXT,__text) non-external _msgfilter_free_callback
0000000183c7ebb0 (__TEXT,__text) non-external _negate_instruction
