00000001db33d14c (__TEXT,__text) non-external +[Cube initialize]
00000001ec6ccb0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAnimationPathScalar.time
00000001ec6ccb14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAnimationPathScalar.value
00000001ec6cd0a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAnimationTrigger._action
00000001ec6cd0b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAnimationTrigger._animationAttributes
00000001ec6cd0ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAnimationTrigger._lastValue
00000001ec6cd0a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAnimationTrigger._startValue
00000001ec6cdddc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetMaster._imageManager
00000001ec6cddcc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetMaster._isEmbeddedAsset
00000001ec6cddd4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetMaster._isSupportedMovie
00000001ec6cddd0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetMaster._isValid
00000001ec6cdde8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetMaster._originalSize
00000001ec6cddd8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetMaster._path
00000001ec6cddc4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetMaster._players
00000001ec6cdde0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetMaster._thumbnail
00000001ec6cdde4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetMaster._timestamp
00000001ec6cddc8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetMaster._unusedPlayers
00000001ec6cde00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAssetPlayer._delegate
00000001ec6cde0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAssetPlayer._generatesMipmap
00000001ec6cddf8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAssetPlayer._image
00000001ec6cde08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAssetPlayer._isMonochromatic
00000001ec6cde14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAssetPlayer._isStill
00000001ec6cddfc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAssetPlayer._master
00000001ec6cddec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayer._retainByUserCount
00000001ec6cddf0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAssetPlayer._size
00000001ec6cde04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAssetPlayer._thumbnailIsOK
00000001ec6cddf4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAssetPlayer._time
00000001ec6cde10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAssetPlayer._usesPowerOfTwo
00000001ec6cde30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._avPlayer
00000001ec6cde28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._dispatchQueue
00000001ec6cde50 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._duration
00000001ec6cde5c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._fadeInDuration
00000001ec6cde60 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._fadeOutDuration
00000001ec6cde58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._imageIsThumbnail
00000001ec6cde44 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._isMuted
00000001ec6cde3c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._isPlaying
00000001ec6cde38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._movieDuration
00000001ec6cde40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._movieIsReadyToPlay
00000001ec6cde48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._newImageIsAvailable
00000001ec6cde54 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._orientation
00000001ec6cde34 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._playerItem
00000001ec6cde24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._semaphore
00000001ec6cde4c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._startTime
00000001ec6cde2c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._videoOutput
00000001ec6cde64 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovie._volume
00000001ec6cde78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._assetReader
00000001ec6cde80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._duration
00000001ec6cde8c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._fadeInDuration
00000001ec6cde90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._fadeOutDuration
00000001ec6cdea0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._isLoaded
00000001ec6cde98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._isMuted
00000001ec6cde88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._isPlaying
00000001ec6cde68 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._loadingSemaphore
00000001ec6cde74 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._nextSampleBuffer
00000001ec6cde6c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._nextSampleBufferTimestamp
00000001ec6cde84 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._orientation
00000001ec6cde7c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._startTime
00000001ec6cde9c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._timeLimitForCurrentImage
00000001ec6cde70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._trackOutput
00000001ec6cde94 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerMovieForExport._volume
00000001ec6cdea4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._initialImage
00000001ec6cdec4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._introDuration
00000001ec6cdeb4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._isForExport
00000001ec6cdec8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._mainDuration
00000001ec6cdecc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._outroDuration
00000001ec6cdec0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._playerHint
00000001ec6cded0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._resolutionIfEmbeddedAsset
00000001ec6cdebc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._stillTime
00000001ec6cdeb8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._thumbnailIsOK
00000001ec6cdeac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._wantsMipmap
00000001ec6cdea8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._wantsMonochromatic
00000001ec6cdeb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerOptions._wantsPowerOfTwo
00000001ec6cde1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerStillImage._isLoaded
00000001ec6cde20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerStillImage._isLoadingOrLoaded
00000001ec6cde18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAssetPlayerStillImage._semaphore
00000001ec6cd710 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioDucker._duckInDuration
00000001ec6cd728 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioDucker._duckInTime
00000001ec6cd718 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioDucker._duckLevel
00000001ec6cd714 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioDucker._duckOutDuration
00000001ec6cd72c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioDucker._duckOutTime
00000001ec6cd70c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioDucker._duration
00000001ec6cd720 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioDucker._parentDuration
00000001ec6cd724 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioDucker._priority
00000001ec6cd71c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioDucker._time
00000001ec6cd738 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioItem._avPlayerItem
00000001ec6cd750 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioItem._duckInDuration
00000001ec6cd734 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioItem._duckLevel
00000001ec6cd754 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioItem._duckOutDuration
00000001ec6cd740 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioItem._duration
00000001ec6cd748 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioItem._fadeInDuration
00000001ec6cd74c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioItem._fadeOutDuration
00000001ec6cd744 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioItem._localTimeOffset
00000001ec6cd73c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioItem._startTime
00000001ec6cd730 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioItem._volume
00000001ec6cd6d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRAudioPlayer._audioItems
00000001ec6cd6dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._avPlayer
00000001ec6cd708 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._currentVolume
00000001ec6cd6fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._duckInDuration
00000001ec6cd6f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._duckLevel
00000001ec6cd700 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._duckOutDuration
00000001ec6cd6e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._duration
00000001ec6cd6f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._fadeInDuration
00000001ec6cd6f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._fadeOutDuration
00000001ec6cd6d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._isMuted
00000001ec6cd6e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._localTime
00000001ec6cd6e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._parentDuration
00000001ec6cd704 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._priority
00000001ec6cd6d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._shouldBePlaying
00000001ec6cd6ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRAudioPlayer._volume
00000001ec6cdc18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLAnimation.duration
00000001ec6cdce0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLAnimation.keyPath
00000001ec6cdce4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLAnimation.keyframes
00000001ec6cdcdc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLAnimation.removedOnCompletion
00000001ec6cdc14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLAnimation.startTime
00000001ec6cdc28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLBezierData.ax
00000001ec6cdc34 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLBezierData.ay
00000001ec6cdc2c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLBezierData.bx
00000001ec6cdc38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLBezierData.by
00000001ec6cdc30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLBezierData.cx
00000001ec6cdc3c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLBezierData.cy
00000001ec6cdce8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLKeyframe.spline
00000001ec6cdc24 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLKeyframe.time
00000001ec6cdc1c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLKeyframe.value0
00000001ec6cdc20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLKeyframe.value1
00000001ec6cdc64 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.anchorPoint
00000001ec6cdcc4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.animations
00000001ec6cdc54 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.color
00000001ec6cdcbc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.contents
00000001ec6cdc50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.duration
00000001ec6cdc58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.hasColor
00000001ec6cdcb4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.hasOpacity
00000001ec6cdc5c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.hasSublayerTransform
00000001ec6cdc60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.hasTransform
00000001ec6cdc4c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.height
00000001ec6cdcd0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.masks
00000001ec6cdcb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.masksToBounds
00000001ec6cdcc0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.name
00000001ec6cdcb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.opacity
00000001ec6cdc98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.rX
00000001ec6cdc9c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.rY
00000001ec6cdca0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.rZ
00000001ec6cdc8c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.scaleX
00000001ec6cdc90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.scaleY
00000001ec6cdc94 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.scaleZ
00000001ec6cdccc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.states
00000001ec6cdc74 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.subRX
00000001ec6cdc78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.subRY
00000001ec6cdc7c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.subRZ
00000001ec6cdc68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.subScaleX
00000001ec6cdc6c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.subScaleY
00000001ec6cdc70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.subScaleZ
00000001ec6cdc80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.subTX
00000001ec6cdc84 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.subTY
00000001ec6cdc88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.subTZ
00000001ec6cdcc8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.sublayers
00000001ec6cdca4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.tX
00000001ec6cdca8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.tY
00000001ec6cdcac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.tZ
00000001ec6cdc48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.width
00000001ec6cdc40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.x
00000001ec6cdc44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLLayer.y
00000001ec6cdcd4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLTextLayer.textImage
00000001ec6cdcd8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCAMLTextLayer.textRenderer
00000001ec6cc13c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRContext._dimensionalMode
00000001ec6cc138 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRContext._meshIsBound
00000001ec6cc12c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mActiveTextureUnit
00000001ec6cc0f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mAssetManager
00000001ec6cc0cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mBaseContext
00000001ec6cc134 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mBlackImage
00000001ec6cc0d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mCGLPixelFormat
00000001ec6cc124 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mCurrentShader
00000001ec6cc114 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mCurrentVBOWasUpdated
00000001ec6cc0e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mFieldOfViewFactor
00000001ec6cc118 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mForceShaderUpdate
00000001ec6cc0d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mGLContext
00000001ec6cc0fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mImageManager
00000001ec6cc10c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mInnerState
00000001ec6cc104 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mIsFlipped
00000001ec6cc100 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mIsLocalContext
00000001ec6cc11c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mLocalAspectRatio
00000001ec6cc0e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mMaxTextureSize
00000001ec6cc0f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mOrientation
00000001ec6cc108 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mOuterState
00000001ec6cc0d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mPixelOffset
00000001ec6cc0dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mPixelSize
00000001ec6cc0ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mProjectionMatrix
00000001ec6cc0f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mProjectionMatrixWithOrientationCorrection
00000001ec6cc130 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mRenderBuffer
00000001ec6cc120 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mScissorRect
00000001ec6cc128 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mTextureUnitImages
00000001ec6cc0e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mVRAM
00000001ec6cc110 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContext.mVertexAttributes
00000001ec6cc0b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRContextState._shaderArguments
00000001ec6cc0b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRContextState._shaderID
00000001ec6cc0bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRContextState._temporaryUniforms
00000001ec6cc0b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRContextState._vertexAttributes
00000001ec6cc08c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.backColor
00000001ec6cc09c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.blendingIsEnabled
00000001ec6cc0a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.blendingType
00000001ec6cc05c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.colorsPointer
00000001ec6cc0a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.cullFrontfacing
00000001ec6cc0a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.cullingIsEnabled
00000001ec6cc0ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.depthTestIsEnabled
00000001ec6cc088 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.foreColor
00000001ec6cc078 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.foreColorArrayIsEnabled
00000001ec6cc084 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.inSpriteCoordinatesArrayIsEnabled
00000001ec6cc068 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.inSpriteCoordinatesPointer
00000001ec6cc048 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.modelViewMatrix
00000001ec6cc050 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.normal
00000001ec6cc07c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.normalArrayIsEnabled
00000001ec6cc060 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.normalsPointer
00000001ec6cc080 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.textureCoordinatesArrayIsEnabled
00000001ec6cc064 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.textureCoordinatesPointer
00000001ec6cc04c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.textureMatrix
00000001ec6cc094 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.textureNameOnUnit
00000001ec6cc090 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.textureTargetOnUnit
00000001ec6cc098 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.textureTimestampOnUnit
00000001ec6cc054 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.vbo
00000001ec6cc074 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.vertexArrayIsEnabled
00000001ec6cc070 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.vertexFlags
00000001ec6cc058 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.vertexPointer
00000001ec6cc06c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextState.vertexStride
00000001ec6cc0c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextVertexAttributes.enabled
00000001ec6cc0c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextVertexAttributes.pointer
00000001ec6cc0c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRContextVertexAttributes.size
00000001ec6cc168 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite._usesOwnMatrixForHitTest
00000001ec6cc178 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mHalfSize
00000001ec6cc160 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mHitIsActive
00000001ec6cc184 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mInnerRect
00000001ec6cc16c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mMeshType
00000001ec6cc158 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mModelViewProjectionMatrix
00000001ec6cc164 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mNeedsInSpriteCoordinates
00000001ec6cc188 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mOuterRect
00000001ec6cc174 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mPosition
00000001ec6cc15c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mPreservesImageAspectRatio
00000001ec6cc170 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mRotation
00000001ec6cc17c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mSpriteCoordinatesFactor
00000001ec6cc180 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRCroppingSprite.mSpriteCoordinatesOffset
00000001ec6cc190 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mHalfSize
