00000001df32cbe8 (__DATA,__data) external _NDR_record
00000001802b47e8 (__TEXT,__text) external _mkdirat
00000001802db9f8 (__TEXT,__text) external _mkfifo
00000001802dba24 (__TEXT,__text) external _mknod
00000001802ba14c (__TEXT,__text) external _mlock
00000001802dba50 (__TEXT,__text) external _mlockall
00000001802b1a0c (__TEXT,__text) external _mmap
00000001802bc56c (__TEXT,__text) external _mount
00000001802b4c74 (__TEXT,__text) external _mprotect
00000001802dba7c (__TEXT,__text) external _mremap_encrypted
00000001802bed40 (__TEXT,__text) external _msg_receive
00000001802bed30 (__TEXT,__text) external _msg_rpc
00000001802bed38 (__TEXT,__text) external _msg_send
00000001802da7d4 (__TEXT,__text) external _msgctl
00000001802dbaa8 (__TEXT,__text) external _msgget
00000001802dbad4 (__TEXT,__text) external _msgrcv
00000001802da800 (__TEXT,__text) external _msgrcv$NOCANCEL
00000001802dbb00 (__TEXT,__text) external _msgsnd
00000001802da82c (__TEXT,__text) external _msgsnd$NOCANCEL
00000001802c6374 (__TEXT,__text) external _msgsys
00000001802b70c4 (__TEXT,__text) external _msync
00000001802da884 (__TEXT,__text) external _msync$NOCANCEL
00000001802ba178 (__TEXT,__text) external _munlock
00000001802dbb2c (__TEXT,__text) external _munlockall
00000001802b46f4 (__TEXT,__text) external _munmap
00000001802b5050 (__TEXT,__text) external _necp_client_action
00000001802bb1b8 (__TEXT,__text) external _necp_match_policy
00000001802b4ff8 (__TEXT,__text) external _necp_open
00000001802dbb58 (__TEXT,__text) external _necp_session_action
00000001802dbb84 (__TEXT,__text) external _necp_session_open
00000001802dbbb0 (__TEXT,__text) external _net_qos_guideline
00000001802dbbdc (__TEXT,__text) external _netagent_trigger
00000001802d1c18 (__TEXT,__text) external _netname_check_in
00000001802d1f7c (__TEXT,__text) external _netname_check_out
00000001802d1d84 (__TEXT,__text) external _netname_look_up
00000001802d20e4 (__TEXT,__text) external _netname_version
00000001802dbc08 (__TEXT,__text) external _nfsclnt
00000001802dbc34 (__TEXT,__text) external _nfssvc
00000001df32cc08 (__DATA,__data) external _non_boost_assertion_token
00000001df32cc00 (__DATA,__data) external _normal_boost_assertion_token
00000001802dbc60 (__TEXT,__text) external _ntp_adjtime
00000001802dbc8c (__TEXT,__text) external _ntp_gettime
00000001802bbb64 (__TEXT,__text) external _open
00000001802bfeac (__TEXT,__text) external _open$NOCANCEL
00000001802b6644 (__TEXT,__text) external _open_dprotected_np
00000001802c51f4 (__TEXT,__text) external _openat
00000001802bff70 (__TEXT,__text) external _openat$NOCANCEL
00000001802dbcb8 (__TEXT,__text) external _openbyid_np
00000001802be21c (__TEXT,__text) external _os_buflet_get_data_address
00000001802be1ec (__TEXT,__text) external _os_buflet_get_data_length
00000001802be224 (__TEXT,__text) external _os_buflet_get_data_limit
00000001802be1e4 (__TEXT,__text) external _os_buflet_get_data_offset
00000001802be20c (__TEXT,__text) external _os_buflet_get_object_address
00000001802be214 (__TEXT,__text) external _os_buflet_get_object_limit
00000001802be200 (__TEXT,__text) external _os_buflet_set_data_length
00000001802be1f4 (__TEXT,__text) external _os_buflet_set_data_offset
00000001802c20d8 (__TEXT,__text) external _os_channel_advance_slot
00000001802c2960 (__TEXT,__text) external _os_channel_attr_clone
00000001802c2924 (__TEXT,__text) external _os_channel_attr_create
00000001802c2aa4 (__TEXT,__text) external _os_channel_attr_destroy
00000001802c2c5c (__TEXT,__text) external _os_channel_attr_get
00000001802c2df8 (__TEXT,__text) external _os_channel_attr_get_key
00000001802c2ae8 (__TEXT,__text) external _os_channel_attr_set
00000001802c29d4 (__TEXT,__text) external _os_channel_attr_set_key
00000001802c2080 (__TEXT,__text) external _os_channel_available_slot_count
00000001802c3cd0 (__TEXT,__text) external _os_channel_buflet_alloc
00000001802dd200 (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.1
00000001802dd228 (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.2
00000001802dd250 (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.3
00000001802dd270 (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.4
00000001802c3e6c (__TEXT,__text) external _os_channel_buflet_free
00000001802dd298 (__TEXT,__text) non-external _os_channel_buflet_free.cold.1
00000001802dd2c0 (__TEXT,__text) non-external _os_channel_buflet_free.cold.2
00000001802dd2e0 (__TEXT,__text) non-external _os_channel_buflet_free.cold.3
00000001802c3c9c (__TEXT,__text) external _os_channel_configure_interface_advisory
00000001802c1d50 (__TEXT,__text) external _os_channel_create
00000001802c166c (__TEXT,__text) external _os_channel_create_extended
00000001802dc9c4 (__TEXT,__text) non-external _os_channel_create_extended.cold.1
00000001802dc9ec (__TEXT,__text) non-external _os_channel_create_extended.cold.2
00000001802dca14 (__TEXT,__text) non-external _os_channel_create_extended.cold.3
00000001802dca3c (__TEXT,__text) non-external _os_channel_create_extended.cold.4
00000001802dca64 (__TEXT,__text) non-external _os_channel_create_extended.cold.5
00000001802c1ed8 (__TEXT,__text) external _os_channel_destroy
00000001802c3c20 (__TEXT,__text) external _os_channel_event_free
00000001802c62e8 (__TEXT,__text) external _os_channel_event_get_event_data
00000001802c6218 (__TEXT,__text) external _os_channel_event_get_next_event
00000001802c272c (__TEXT,__text) external _os_channel_flow_admissible
00000001802c2708 (__TEXT,__text) external _os_channel_get_advisory_region
00000001802c1d60 (__TEXT,__text) external _os_channel_get_fd
00000001802c3c24 (__TEXT,__text) external _os_channel_get_interface_advisory
00000001802c38d4 (__TEXT,__text) external _os_channel_get_next_event_handle
00000001802dd170 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.1
00000001802dd17c (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.2
00000001802dd188 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.3
00000001802dd194 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.4
00000001802dd1a0 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.5
00000001802dd1ac (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.6
00000001802dd1b8 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.7
00000001802dd1e0 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.8
00000001802c2164 (__TEXT,__text) external _os_channel_get_next_slot
00000001802dcb90 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.1
00000001802dcc48 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.10
00000001802dcb9c (__TEXT,__text) non-external _os_channel_get_next_slot.cold.2
00000001802dcba8 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.3
00000001802dcbb4 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.4
00000001802dcbc0 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.5
00000001802dcbcc (__TEXT,__text) non-external _os_channel_get_next_slot.cold.6
00000001802dcbd8 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.7
00000001802dcc00 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.8
00000001802dcc20 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.9
00000001802c2684 (__TEXT,__text) external _os_channel_get_stats_region
00000001802c1b88 (__TEXT,__text) non-external _os_channel_info2attr
00000001802c1c94 (__TEXT,__text) non-external _os_channel_init_ring
00000001802dcb20 (__TEXT,__text) non-external _os_channel_init_ring.cold.1
00000001802dcb40 (__TEXT,__text) non-external _os_channel_init_ring.cold.2
00000001802dcb68 (__TEXT,__text) non-external _os_channel_init_ring.cold.3
00000001802c1f30 (__TEXT,__text) external _os_channel_is_defunct
00000001802c2e74 (__TEXT,__text) external _os_channel_packet_alloc
00000001802dcd58 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.1
00000001802dcd64 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.2
00000001802dcd70 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.3
00000001802dcd7c (__TEXT,__text) non-external _os_channel_packet_alloc.cold.4
00000001802dcd88 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.5
00000001802dcd94 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.6
00000001802dcda0 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.7
00000001802dcdc8 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.8
00000001802dcde8 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.9
00000001802c319c (__TEXT,__text) external _os_channel_packet_free
00000001802dce10 (__TEXT,__text) non-external _os_channel_packet_free.cold.1
00000001802dce38 (__TEXT,__text) non-external _os_channel_packet_free.cold.2
00000001802dce58 (__TEXT,__text) non-external _os_channel_packet_free.cold.3
00000001802c3544 (__TEXT,__text) external _os_channel_packet_pool_purge
00000001802dcfa8 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.1
00000001802dd100 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.10
00000001802dd120 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.11
00000001802dd148 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.12
00000001802dcfc8 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.2
00000001802dcff0 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.3
00000001802dd018 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.4
00000001802dd040 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.5
00000001802dd068 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.6
00000001802dd088 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.7
00000001802dd0b0 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.8
00000001802dd0d8 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.9
00000001802c2050 (__TEXT,__text) external _os_channel_pending
00000001802c1d68 (__TEXT,__text) external _os_channel_read_attr
00000001802c1e88 (__TEXT,__text) external _os_channel_read_nexus_extension_info
00000001802c1f44 (__TEXT,__text) external _os_channel_ring_id
00000001802c2074 (__TEXT,__text) external _os_channel_ring_notify_time
00000001802c2068 (__TEXT,__text) external _os_channel_ring_sync_time
00000001802c1ff4 (__TEXT,__text) external _os_channel_rx_ring
00000001802c2460 (__TEXT,__text) external _os_channel_set_slot_properties
00000001802dcc70 (__TEXT,__text) non-external _os_channel_set_slot_properties.cold.1
00000001802dcc90 (__TEXT,__text) non-external _os_channel_set_slot_properties.cold.2
00000001802dccb8 (__TEXT,__text) non-external _os_channel_set_slot_properties.cold.3
00000001802c32dc (__TEXT,__text) external _os_channel_slot_attach_packet
00000001802dce80 (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.1
00000001802dcea0 (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.2
00000001802dcec8 (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.3
00000001802dcef0 (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.4
00000001802c3400 (__TEXT,__text) external _os_channel_slot_detach_packet
00000001802dcf18 (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.1
00000001802dcf40 (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.2
00000001802dcf60 (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.3
00000001802dcf80 (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.4
00000001802c2560 (__TEXT,__text) external _os_channel_slot_get_packet
00000001802dcce0 (__TEXT,__text) non-external _os_channel_slot_get_packet.cold.1
00000001802dcd08 (__TEXT,__text) non-external _os_channel_slot_get_packet.cold.2
00000001802dcd30 (__TEXT,__text) non-external _os_channel_slot_get_packet.cold.3
00000001802c1eac (__TEXT,__text) external _os_channel_sync
00000001802c1fac (__TEXT,__text) external _os_channel_tx_ring
00000001802c1dbc (__TEXT,__text) external _os_channel_write_attr
00000001802be1b0 (__TEXT,__text) external _os_copy_and_inet_checksum
00000001802c57a0 (__TEXT,__text) external _os_cpu_copy_in_cksum
00000001802c59f0 (__TEXT,__text) external _os_cpu_in_cksum
00000001802be2e0 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
00000001802dbce4 (__TEXT,__text) external _os_fault_with_payload
00000001802be1ac (__TEXT,__text) external _os_inet_checksum
00000001802c45f0 (__TEXT,__text) external _os_nexus_attr_clone
00000001802c45b4 (__TEXT,__text) external _os_nexus_attr_create
00000001802c4958 (__TEXT,__text) external _os_nexus_attr_destroy
00000001802c47e0 (__TEXT,__text) external _os_nexus_attr_get
00000001802c4634 (__TEXT,__text) external _os_nexus_attr_set
00000001802c4c70 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
00000001802c4c90 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
00000001802c495c (__TEXT,__text) external _os_nexus_controller_create
00000001802c4c64 (__TEXT,__text) external _os_nexus_controller_deregister_provider
00000001802c4f08 (__TEXT,__text) external _os_nexus_controller_destroy
00000001802c4c84 (__TEXT,__text) external _os_nexus_controller_free_provider_instance
00000001802c49f4 (__TEXT,__text) external _os_nexus_controller_get_fd
00000001802c4df4 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
00000001802c49fc (__TEXT,__text) external _os_nexus_controller_register_provider
00000001802c4d84 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
00000001802be0a4 (__TEXT,__text) external _os_packet_add_buflet
00000001802bd930 (__TEXT,__text) external _os_packet_clear_flow_uuid
00000001802be158 (__TEXT,__text) external _os_packet_decrement_use_count
00000001802bdedc (__TEXT,__text) external _os_packet_finalize
00000001802dc694 (__TEXT,__text) non-external _os_packet_finalize.cold.1
00000001802be180 (__TEXT,__text) external _os_packet_get_aggregation_type
00000001802bddf8 (__TEXT,__text) external _os_packet_get_buflet_count
00000001802bd658 (__TEXT,__text) external _os_packet_get_compression_generation_count
00000001802bddec (__TEXT,__text) external _os_packet_get_data_length
00000001802bda04 (__TEXT,__text) external _os_packet_get_expire_time
00000001802bd880 (__TEXT,__text) external _os_packet_get_flow_uuid
00000001802bd9d4 (__TEXT,__text) external _os_packet_get_group_end
00000001802bd970 (__TEXT,__text) external _os_packet_get_group_start
00000001802bd100 (__TEXT,__text) external _os_packet_get_headroom
00000001802dc5f0 (__TEXT,__text) non-external _os_packet_get_headroom.cold.1
00000001802bd83c (__TEXT,__text) external _os_packet_get_inet_checksum
00000001802bd1d4 (__TEXT,__text) external _os_packet_get_link_broadcast
00000001802dc608 (__TEXT,__text) non-external _os_packet_get_link_broadcast.cold.1
00000001802bd2a4 (__TEXT,__text) external _os_packet_get_link_ethfcs
00000001802dc638 (__TEXT,__text) non-external _os_packet_get_link_ethfcs.cold.1
00000001802bd170 (__TEXT,__text) external _os_packet_get_link_header_length
00000001802bd23c (__TEXT,__text) external _os_packet_get_link_multicast
00000001802dc620 (__TEXT,__text) non-external _os_packet_get_link_multicast.cold.1
00000001802bde30 (__TEXT,__text) external _os_packet_get_next_buflet
00000001802dc688 (__TEXT,__text) non-external _os_packet_get_next_buflet.cold.1
00000001802bdbf8 (__TEXT,__text) external _os_packet_get_packetid
00000001802bdeb0 (__TEXT,__text) external _os_packet_get_segment_count
00000001802bd540 (__TEXT,__text) external _os_packet_get_service_class
00000001802bdaa4 (__TEXT,__text) external _os_packet_get_token
00000001802dc644 (__TEXT,__text) non-external _os_packet_get_token.cold.1
00000001802bd71c (__TEXT,__text) external _os_packet_get_traffic_class
00000001802bd3dc (__TEXT,__text) external _os_packet_get_transport_retransmit
00000001802bd30c (__TEXT,__text) external _os_packet_get_transport_traffic_background
00000001802bd374 (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
00000001802bddbc (__TEXT,__text) external _os_packet_get_truncated
00000001802dc67c (__TEXT,__text) non-external _os_packet_get_truncated.cold.1
00000001802bddac (__TEXT,__text) external _os_packet_get_vlan_id
00000001802bddb4 (__TEXT,__text) external _os_packet_get_vlan_priority
00000001802bdd58 (__TEXT,__text) external _os_packet_get_vlan_tag
00000001802dc670 (__TEXT,__text) non-external _os_packet_get_vlan_tag.cold.1
00000001802be12c (__TEXT,__text) external _os_packet_increment_use_count
00000001802be254 (__TEXT,__text) external _os_packet_is_traced
00000001802bd628 (__TEXT,__text) external _os_packet_set_compression_generation_count
00000001802bda54 (__TEXT,__text) external _os_packet_set_expire_time
00000001802bd8d4 (__TEXT,__text) external _os_packet_set_flow_uuid
00000001802bd9a0 (__TEXT,__text) external _os_packet_set_group_end
00000001802bd93c (__TEXT,__text) external _os_packet_set_group_start
00000001802bd0bc (__TEXT,__text) external _os_packet_set_headroom
00000001802dc5e4 (__TEXT,__text) non-external _os_packet_set_headroom.cold.1
00000001802bd804 (__TEXT,__text) external _os_packet_set_inet_checksum
00000001802bd19c (__TEXT,__text) external _os_packet_set_link_broadcast
00000001802dc5fc (__TEXT,__text) non-external _os_packet_set_link_broadcast.cold.1
00000001802bd26c (__TEXT,__text) external _os_packet_set_link_ethfcs
00000001802dc62c (__TEXT,__text) non-external _os_packet_set_link_ethfcs.cold.1
00000001802bd12c (__TEXT,__text) external _os_packet_set_link_header_length
00000001802bd204 (__TEXT,__text) external _os_packet_set_link_multicast
00000001802dc614 (__TEXT,__text) non-external _os_packet_set_link_multicast.cold.1
00000001802bdc80 (__TEXT,__text) external _os_packet_set_packetid
00000001802bd444 (__TEXT,__text) external _os_packet_set_service_class
00000001802bdb4c (__TEXT,__text) external _os_packet_set_token
00000001802bd684 (__TEXT,__text) external _os_packet_set_traffic_class
00000001802bd40c (__TEXT,__text) external _os_packet_set_transport_last_packet
00000001802bd3a4 (__TEXT,__text) external _os_packet_set_transport_retransmit
00000001802bd2d4 (__TEXT,__text) external _os_packet_set_transport_traffic_background
00000001802bd33c (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
00000001802bdd0c (__TEXT,__text) external _os_packet_set_vlan_tag
00000001802dc664 (__TEXT,__text) non-external _os_packet_set_vlan_tag.cold.1
00000001802be240 (__TEXT,__text) external _os_packet_trace_end
00000001802be264 (__TEXT,__text) external _os_packet_trace_event
00000001802be22c (__TEXT,__text) external _os_packet_trace_start
00000001802bf290 (__TEXT,__text) external _os_proc_available_memory
00000001802bec70 (__TEXT,__text) external _panic
00000001802bec64 (__TEXT,__text) external _panic_init
00000001802b895c (__TEXT,__text) external _pathconf
00000001802dbd10 (__TEXT,__text) external _peeloff
00000001802b0e80 (__TEXT,__text) external _pid_for_task
00000001802dbd3c (__TEXT,__text) external _pid_hibernate
00000001802dbd68 (__TEXT,__text) external _pid_resume
00000001802c4110 (__TEXT,__text) external _pid_shutdown_networking
00000001802dbd94 (__TEXT,__text) external _pid_shutdown_sockets
00000001802dbdc0 (__TEXT,__text) external _pid_suspend
00000001802b70f0 (__TEXT,__text) external _pipe
00000001802dbdec (__TEXT,__text) external _pivot_root
00000001802bd06c (__TEXT,__text) external _pkt_subtype_assert_fail
00000001802bd094 (__TEXT,__text) external _pkt_type_assert_fail
00000001802b8f78 (__TEXT,__text) external _poll
00000001802daa10 (__TEXT,__text) external _poll$NOCANCEL
00000001802bcfcc (__TEXT,__text) non-external _port_for_id_internal
00000001802becc0 (__TEXT,__text) external _port_obj_init
00000001df32cc30 (__DATA,__common) external _port_obj_table
00000001df32cbf0 (__DATA,__data) external _port_obj_table_size
00000001802b3a14 (__TEXT,__text) external _posix_madvise
00000001802b7a80 (__TEXT,__text) external _posix_spawn
00000001802bb958 (__TEXT,__text) non-external _posix_spawn_appendportaction_np
00000001802c0978 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
00000001802c0a20 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
00000001802bc734 (__TEXT,__text) external _posix_spawn_file_actions_addclose
00000001802b75d4 (__TEXT,__text) external _posix_spawn_file_actions_adddup2
00000001802c0acc (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
00000001802bc6a4 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
00000001802bbe20 (__TEXT,__text) external _posix_spawn_file_actions_addopen
00000001802b7d94 (__TEXT,__text) external _posix_spawn_file_actions_destroy
00000001802b7574 (__TEXT,__text) external _posix_spawn_file_actions_init
00000001802b7cb4 (__TEXT,__text) external _posix_spawnattr_destroy
00000001802c0918 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
00000001802c0e28 (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
00000001802c0de4 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
00000001802c06a4 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
00000001802c063c (__TEXT,__text) external _posix_spawnattr_getbinpref_np
00000001802c0b7c (__TEXT,__text) external _posix_spawnattr_getcpumonitor
00000001802c05ac (__TEXT,__text) external _posix_spawnattr_getflags
00000001802b780c (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
00000001802c0718 (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
00000001802c05f4 (__TEXT,__text) external _posix_spawnattr_getpgroup
00000001802c073c (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
00000001802c05d0 (__TEXT,__text) external _posix_spawnattr_getsigdefault
00000001802c0618 (__TEXT,__text) external _posix_spawnattr_getsigmask
00000001802b7704 (__TEXT,__text) external _posix_spawnattr_init
00000001802b7884 (__TEXT,__text) non-external _posix_spawnattr_macpolicyinfo_lookup
00000001802c0ffc (__TEXT,__text) external _posix_spawnattr_set_csm_np
00000001802c0e08 (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
00000001802c10cc (__TEXT,__text) external _posix_spawnattr_set_gid_np
00000001802c1148 (__TEXT,__text) external _posix_spawnattr_set_groups_np
00000001802c0bc8 (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
00000001802c12b0 (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
00000001802dd520 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_buckets_msecs
00000001802dd52c (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
00000001802c1208 (__TEXT,__text) external _posix_spawnattr_set_login_np
00000001802c0fb8 (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
00000001802c0f08 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
00000001802c0f44 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
00000001802c0e4c (__TEXT,__text) external _posix_spawnattr_set_persona_np
00000001802c0ed0 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
00000001802c08f8 (__TEXT,__text) external _posix_spawnattr_set_platform_np
00000001802c0ce4 (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
00000001802c0db4 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
00000001802c0c58 (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
00000001802c0868 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
00000001802c0ba8 (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
00000001802c1054 (__TEXT,__text) external _posix_spawnattr_set_uid_np
00000001802c0780 (__TEXT,__text) external _posix_spawnattr_setarchpref_np
00000001802bb920 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
00000001802bbf0c (__TEXT,__text) external _posix_spawnattr_setbinpref_np
00000001802c0d1c (__TEXT,__text) external _posix_spawnattr_setcoalition_np
00000001802c0b5c (__TEXT,__text) external _posix_spawnattr_setcpumonitor
00000001802bbdc0 (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
00000001802bc7c4 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
00000001802b77ec (__TEXT,__text) external _posix_spawnattr_setflags
00000001802b8fa4 (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
00000001802b78ec (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
00000001802c0fd8 (__TEXT,__text) external _posix_spawnattr_setnosmt_np
00000001802c0828 (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
00000001802c0760 (__TEXT,__text) external _posix_spawnattr_setpgroup
00000001802c0848 (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
00000001802b77c8 (__TEXT,__text) external _posix_spawnattr_setsigdefault
00000001802b77a4 (__TEXT,__text) external _posix_spawnattr_setsigmask
00000001802bbde8 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
00000001802c0940 (__TEXT,__text) external _posix_spawnattr_setsuidcredport_np
00000001802b26fc (__TEXT,__text) external _pread
00000001802daa3c (__TEXT,__text) external _pread$NOCANCEL
00000001802dbe18 (__TEXT,__text) external _preadv
00000001802daa68 (__TEXT,__text) external _preadv$NOCANCEL
00000001802c0174 (__TEXT,__text) non-external _prepare_times_array_and_attrs
00000001802bf988 (__TEXT,__text) external _proc_clear_cpulimits
00000001802bfafc (__TEXT,__text) external _proc_clear_delayidlesleep
00000001802bf688 (__TEXT,__text) external _proc_clear_dirty
00000001802bfa18 (__TEXT,__text) external _proc_clear_vmpressure
00000001802ba3ec (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
00000001802ba49c (__TEXT,__text) external _proc_denap_assertion_complete
00000001802bfb48 (__TEXT,__text) external _proc_disable_apptype
00000001802bb634 (__TEXT,__text) external _proc_disable_cpumon
00000001802ba118 (__TEXT,__text) external _proc_disable_wakemon
00000001802bf9d4 (__TEXT,__text) external _proc_donate_importance_boost
00000001802bfba8 (__TEXT,__text) external _proc_enable_apptype
00000001802ba0a0 (__TEXT,__text) external _proc_get_cpumon_params
00000001802bf620 (__TEXT,__text) external _proc_get_dirty
00000001802bf894 (__TEXT,__text) external _proc_get_wakemon_params
00000001802ba3f4 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
00000001802ba4a0 (__TEXT,__text) external _proc_importance_assertion_complete
00000001802bf530 (__TEXT,__text) external _proc_kmsgbuf
00000001802bf600 (__TEXT,__text) external _proc_libversion
00000001802bf904 (__TEXT,__text) external _proc_list_dynkqueueids
00000001802bf8e8 (__TEXT,__text) external _proc_list_uptrs
00000001802bf294 (__TEXT,__text) external _proc_listallpids
00000001802bf30c (__TEXT,__text) external _proc_listchildpids
00000001802bf348 (__TEXT,__text) external _proc_listcoalitions
00000001802bf2d0 (__TEXT,__text) external _proc_listpgrppids
00000001802ba39c (__TEXT,__text) external _proc_listpids
00000001802c5adc (__TEXT,__text) external _proc_listpidspath
00000001802b6c6c (__TEXT,__text) external _proc_name
00000001802b841c (__TEXT,__text) external _proc_pid_rusage
00000001802bf444 (__TEXT,__text) external _proc_piddynkqueueinfo
00000001802bf3d4 (__TEXT,__text) external _proc_pidfdinfo
00000001802bf40c (__TEXT,__text) external _proc_pidfileportinfo
00000001802b2194 (__TEXT,__text) external _proc_pidinfo
00000001802b80b8 (__TEXT,__text) external _proc_pidoriginatorinfo
00000001802b29b8 (__TEXT,__text) external _proc_pidpath
00000001802bf568 (__TEXT,__text) external _proc_pidpath_audittoken
00000001802bf498 (__TEXT,__text) external _proc_regionfilename
00000001802bf97c (__TEXT,__text) external _proc_reset_footprint_interval
00000001802bf73c (__TEXT,__text) external _proc_resume_cpumon
00000001802b8e34 (__TEXT,__text) external _proc_rlimit_control
00000001802b83d0 (__TEXT,__text) external _proc_set_cpumon_defaults
00000001802b8358 (__TEXT,__text) external _proc_set_cpumon_params
00000001802bf75c (__TEXT,__text) external _proc_set_cpumon_params_fatal
00000001802bfcb0 (__TEXT,__text) external _proc_set_csm
00000001802bfab0 (__TEXT,__text) external _proc_set_delayidlesleep
00000001802b41b8 (__TEXT,__text) external _proc_set_dirty
00000001802bfc10 (__TEXT,__text) external _proc_set_no_smt
00000001802bfa64 (__TEXT,__text) external _proc_set_owner_vmpressure
00000001802ba1a4 (__TEXT,__text) external _proc_set_wakemon_defaults
00000001802bf864 (__TEXT,__text) external _proc_set_wakemon_params
00000001802bf920 (__TEXT,__text) external _proc_setcpu_percentage
00000001802b32ac (__TEXT,__text) external _proc_setpcontrol
