0000000182cbeea8 (__DATA,__data) non-external _C
                 (undefined) external _flsl (from libsystem_platform)
0000000180b38f50 (__TEXT,__text) non-external _flush_meta
0000000180b712f4 (__TEXT,__text) external _fmemopen
0000000180b71660 (__TEXT,__text) non-external _fmemopen_close
0000000180b714f0 (__TEXT,__text) non-external _fmemopen_read
0000000180b715d8 (__TEXT,__text) non-external _fmemopen_seek
0000000180b7154c (__TEXT,__text) non-external _fmemopen_write
0000000180c9d680 (__DATA_CONST,__const) non-external _fmt_padding
0000000180b420fc (__TEXT,__text) external _fmtcheck
0000000180b42614 (__TEXT,__text) external _fmtmsg
0000000180b42ba4 (__TEXT,__text) external _fnmatch
0000000180b5654c (__TEXT,__text) external _fopen
0000000180b8d640 (__TEXT,__text) external _fopen$DARWIN_EXTSN
0000000180b3349c (__TEXT,__text) external _fork
0000000180b56708 (__TEXT,__text) external _fprintf
0000000180b56758 (__TEXT,__text) external _fprintf_l
0000000182cbfc38 (__DATA,__data) non-external _fptr
0000000180b56784 (__TEXT,__text) external _fpurge
0000000180b56814 (__TEXT,__text) external _fputc
0000000180b568a0 (__TEXT,__text) external _fputs
0000000180b56adc (__TEXT,__text) external _fputwc
0000000180b56b5c (__TEXT,__text) external _fputwc_l
0000000180b56d40 (__TEXT,__text) external _fputws
0000000180b56bec (__TEXT,__text) external _fputws_l
0000000180b56f10 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
0000000180b31b14 (__TEXT,__text) external _free_printf_comp
0000000180b31f38 (__TEXT,__text) external _free_printf_domain
0000000180b3076c (__TEXT,__text) external _freelocale
0000000180b57260 (__TEXT,__text) external _freopen
0000000180b57690 (__TEXT,__text) external _fscanf
0000000180b57764 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
0000000180b5784c (__TEXT,__text) external _fseek
0000000180b57c54 (__TEXT,__text) external _fseeko
0000000180b57ce0 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
0000000180b292d4 (__TEXT,__text) external _fstatvfs
0000000182cbe848 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
0000000180b33c54 (__TEXT,__text) external _fsync_volume_np
0000000180b57cec (__TEXT,__text) external _ftell
0000000180b57cf0 (__TEXT,__text) external _ftello
0000000180b68c6c (__TEXT,__text) external _ftime
0000000180b4384c (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
0000000180b54d84 (__TEXT,__text) external _ftrylockfile
0000000180b2bd04 (__TEXT,__text) non-external _fts_alloc
0000000180b2aebc (__TEXT,__text) non-external _fts_build
0000000180b8e980 (__TEXT,__text) non-external _fts_build.cold.1
0000000180b8e980 (__TEXT,__text) non-external _fts_build.cold.2
0000000180b8e980 (__TEXT,__text) non-external _fts_build.cold.3
0000000180b8e980 (__TEXT,__text) non-external _fts_build.cold.4
0000000180b8e980 (__TEXT,__text) non-external _fts_build.cold.5
0000000180b8e980 (__TEXT,__text) non-external _fts_build.cold.6
0000000180b2bb0c (__TEXT,__text) external _fts_children
0000000180b2a724 (__TEXT,__text) external _fts_close
0000000180b2a89c (__TEXT,__text) non-external _fts_fchdir
0000000180b2a848 (__TEXT,__text) non-external _fts_free
0000000180b2ba2c (__TEXT,__text) non-external _fts_load
0000000180b2a350 (__TEXT,__text) external _fts_open
0000000180b2a66c (__TEXT,__text) external _fts_open_b
0000000180b2bc7c (__TEXT,__text) non-external _fts_palloc
0000000180b2a8b4 (__TEXT,__text) external _fts_read
0000000180b2ad10 (__TEXT,__text) non-external _fts_safe_changedir
0000000180b2bad0 (__TEXT,__text) external _fts_set
0000000180b2bdac (__TEXT,__text) non-external _fts_sort
0000000180b2bf20 (__TEXT,__text) non-external _fts_stat2
0000000180b2d468 (__TEXT,__text) external _ftw
0000000180b54dcc (__TEXT,__text) external _funlockfile
0000000180b57ed8 (__TEXT,__text) external _funopen
0000000180b58398 (__TEXT,__text) external _fwide
0000000180b58400 (__TEXT,__text) external _fwprintf
0000000180b58450 (__TEXT,__text) external _fwprintf_l
0000000180b5847c (__TEXT,__text) external _fwrite
0000000180b5861c (__TEXT,__text) external _fwscanf
0000000180b5866c (__TEXT,__text) external _fwscanf_l
0000000180b319b8 (__TEXT,__text) external _fxprintf
0000000180b323d0 (__TEXT,__text) external _fxprintf_exec
0000000182cbe698 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180b7af58 (__TEXT,__text) external _gcvt
0000000180b40358 (__TEXT,__text) non-external _gdtoa_freelist_free
0000000182cc0be8 (__DATA,__bss) non-external _gdtoa_tsd_key
0000000182cbf480 (__DATA,__data) non-external _gdtoa_tsd_lock
0000000180b28194 (__TEXT,__text) non-external _generalSlowpath
0000000180b8e718 (__TEXT,__text) non-external _generalSlowpath.cold.1
0000000180b8e8a4 (__TEXT,__text) non-external _generalSlowpath.cold.10
0000000180b8e8d0 (__TEXT,__text) non-external _generalSlowpath.cold.11
0000000180b8e8fc (__TEXT,__text) non-external _generalSlowpath.cold.12
0000000180b8e928 (__TEXT,__text) non-external _generalSlowpath.cold.13
0000000180b8e744 (__TEXT,__text) non-external _generalSlowpath.cold.2
0000000180b8e770 (__TEXT,__text) non-external _generalSlowpath.cold.3
0000000180b8e79c (__TEXT,__text) non-external _generalSlowpath.cold.4
0000000180b8e7c8 (__TEXT,__text) non-external _generalSlowpath.cold.5
0000000180b8e7f4 (__TEXT,__text) non-external _generalSlowpath.cold.6
0000000180b8e820 (__TEXT,__text) non-external _generalSlowpath.cold.7
0000000180b8e84c (__TEXT,__text) non-external _generalSlowpath.cold.8
0000000180b8e878 (__TEXT,__text) non-external _generalSlowpath.cold.9
0000000182cc0b64 (__DATA,__bss) non-external _get_clock.adjustment
0000000182cc0b78 (__DATA,__bss) non-external _get_clock.clock_seq
0000000182cc0b68 (__DATA,__bss) non-external _get_clock.last
0000000180b4217c (__TEXT,__text) non-external _get_next_format
0000000180b42310 (__TEXT,__text) non-external _get_next_format_from_precision
0000000180b422b0 (__TEXT,__text) non-external _get_next_format_from_width
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
0000000180b438b4 (__TEXT,__text) external _getbsize
0000000182cc0c38 (__DATA,__bss) non-external _getbsize.header
0000000180b58698 (__TEXT,__text) external _getc
0000000180b586fc (__TEXT,__text) external _getc_unlocked
0000000180b58728 (__TEXT,__text) external _getchar
0000000180b58794 (__TEXT,__text) external _getchar_unlocked
0000000180b451fc (__TEXT,__text) external _getcwd
0000000180b31434 (__TEXT,__text) external _getdate
0000000182cc0b18 (__DATA,__bss) non-external _getdate.tm
0000000182ccb8b8 (__DATA,__common) external _getdate_err
0000000180b587cc (__TEXT,__text) external _getdelim
0000000180b29c34 (__TEXT,__text) external _getdiskbyname
0000000182cc0a20 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
0000000180b43bc4 (__TEXT,__text) non-external _getent
0000000180b72c3c (__TEXT,__text) external _getenv
0000000180b72c9c (__TEXT,__text) external _getenv_copy_np
                 (undefined) external _getfsstat (from libsystem_kernel)
0000000180b33f64 (__TEXT,__text) external _gethostid
0000000180b45204 (__TEXT,__text) external _gethostname
0000000180b58a94 (__TEXT,__text) external _getline
0000000180b2c480 (__TEXT,__text) external _getloadavg
0000000180b45314 (__TEXT,__text) external _getmntinfo
0000000182cc0c80 (__DATA,__bss) non-external _getmntinfo.vars
0000000180b4534c (__TEXT,__text) non-external _getmntinfo_internal
0000000180b45428 (__TEXT,__text) external _getmntinfo_r_np
0000000180b46c48 (__TEXT,__text) external _getmode
0000000180b6b210 (__TEXT,__text) non-external _getoffset
0000000180b72dbc (__TEXT,__text) external _getopt
0000000182cbfbe0 (__DATA,__data) non-external _getopt.place
0000000180b73044 (__TEXT,__text) non-external _getopt_internal
0000000180b8fd58 (__TEXT,__text) non-external _getopt_internal.cold.1
0000000182cbfbe8 (__DATA,__data) non-external _getopt_internal.posixly_correct
0000000180b7303c (__TEXT,__text) external _getopt_long
0000000180b736ac (__TEXT,__text) external _getopt_long_only
0000000180b45490 (__TEXT,__text) external _getpagesize
0000000182cc0c98 (__DATA,__bss) non-external _getpagesize.value
0000000180b45530 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
0000000180b455bc (__TEXT,__text) external _getprogname
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180b6b264 (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
0000000180b58aa0 (__TEXT,__text) external _gets
0000000180b91e38 (__TEXT,__const) non-external _gets.w
0000000182cc2708 (__DATA,__bss) non-external _gets.warned
0000000180b6b698 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsockopt (from libsystem_kernel)
0000000180b73b3c (__TEXT,__text) external _getsubopt
0000000180b335dc (__TEXT,__text) external _gettimeofday
0000000182cc0bdc (__DATA,__bss) non-external _gettimeofday.cached_tz.0
0000000182cc0be0 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
0000000182cc0bd8 (__DATA,__bss) non-external _gettimeofday.validtz
0000000180b2c6bc (__TEXT,__text) external _getttyent
0000000182cc0a70 (__DATA,__bss) non-external _getttyent.line
0000000180c9cf78 (__DATA_CONST,__const) non-external _getttyent.nonexistent
0000000182cc0a30 (__DATA,__bss) non-external _getttyent.tty
0000000180b2c550 (__TEXT,__text) external _getttynam
0000000180b2a2c0 (__TEXT,__text) non-external _gettype
0000000180b2ce50 (__TEXT,__text) external _getusershell
0000000180b2d110 (__TEXT,__text) external _getvfsbyname
0000000180b58b88 (__TEXT,__text) external _getw
0000000180b58bc8 (__TEXT,__text) external _getwc
0000000180b58bec (__TEXT,__text) external _getwc_l
0000000180b58bf0 (__TEXT,__text) external _getwchar
0000000180b58c20 (__TEXT,__text) external _getwchar_l
0000000180b33ff0 (__TEXT,__text) external _getwd
0000000180b6b168 (__TEXT,__text) non-external _getzname
0000000180b9208c (__TEXT,__const) non-external _gmt
0000000180b6b7c8 (__TEXT,__text) non-external _gmt_init
0000000182cbfb78 (__DATA,__data) non-external _gmt_once
0000000180b6a858 (__TEXT,__text) external _gmtime
0000000182cc7040 (__DATA,__bss) non-external _gmtime_key
0000000182cc703c (__DATA,__bss) non-external _gmtime_key_error
0000000180b6a93c (__TEXT,__text) non-external _gmtime_key_init
0000000182cbfb68 (__DATA,__data) non-external _gmtime_once
0000000180b6aa08 (__TEXT,__text) external _gmtime_r
0000000180b69d48 (__TEXT,__text) non-external _gmtload
0000000182cc7080 (__DATA,__bss) non-external _gmtmem
0000000180b6a980 (__TEXT,__text) non-external _gmtsub
0000000180b921b7 (__TEXT,__const) non-external _gnuoptchar
0000000182cc0c60 (__DATA,__bss) non-external _gottoprec
0000000180b7ab18 (__TEXT,__text) external _grantpt
0000000180b60888 (__TEXT,__text) non-external _grouping_init
0000000180b65974 (__TEXT,__text) non-external _grouping_init
0000000180b60a7c (__TEXT,__text) non-external _grouping_print
0000000180b65bdc (__TEXT,__text) non-external _grouping_print
0000000182ccb8a0 (__DATA,__bss) non-external _handlers
0000000180b3a4f0 (__TEXT,__text) non-external _hash4
0000000180b390ec (__TEXT,__text) non-external _hash_access
0000000180b388e0 (__TEXT,__text) non-external _hash_close
0000000180b78fbc (__TEXT,__text) external _hash_create
0000000180b38924 (__TEXT,__text) non-external _hash_delete
0000000180b79050 (__TEXT,__text) external _hash_destroy
0000000180b389a8 (__TEXT,__text) non-external _hash_fd
0000000180b389f0 (__TEXT,__text) non-external _hash_get
0000000180b792e8 (__TEXT,__text) external _hash_purge
0000000180b38a58 (__TEXT,__text) non-external _hash_put
0000000180b7912c (__TEXT,__text) external _hash_search
0000000180b38ae4 (__TEXT,__text) non-external _hash_seq
0000000180b79370 (__TEXT,__text) external _hash_stats
0000000180b38d28 (__TEXT,__text) non-external _hash_sync
0000000180b79264 (__TEXT,__text) external _hash_traverse
0000000180b73cb0 (__TEXT,__text) external _hcreate
0000000180b387c8 (__TEXT,__text) non-external _hdestroy
0000000180b73d88 (__TEXT,__text) external _hdestroy
0000000180b73eec (__TEXT,__text) external _heapsort
0000000180b7b29c (__TEXT,__text) external _heapsort_b
0000000180b90de8 (__TEXT,__const) non-external _hexdigit
0000000180b94bbe (__TEXT,__cstring) non-external _hexlist
0000000182cc0ad8 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
0000000180b73e10 (__TEXT,__text) external _hsearch
0000000182ccb838 (__DATA,__bss) non-external _htable
0000000182ccb840 (__DATA,__bss) non-external _htablesize
0000000180b921a2 (__TEXT,__const) non-external _illoptchar
0000000180b92258 (__TEXT,__const) non-external _illoptstring
0000000180b74184 (__TEXT,__text) external _imaxabs
0000000180b74190 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
0000000180b28898 (__TEXT,__text) non-external _infinity
0000000180b28b54 (__TEXT,__text) non-external _initMPFromDigits
0000000180b90ee8 (__TEXT,__const) non-external _initMPFromDigits.powersOfTen
0000000180b2ce94 (__TEXT,__text) non-external _initshells
0000000180b77be8 (__TEXT,__text) external _initstate
0000000180b74b14 (__TEXT,__text) non-external _insertionsort
0000000180b7cb88 (__TEXT,__text) non-external _insertionsort
0000000180b741bc (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
0000000180b2e2dc (__TEXT,__text) external _isalnum
0000000180b2eb7c (__TEXT,__text) external _isalnum_l
0000000180b2e354 (__TEXT,__text) external _isalpha
0000000180b2ebf8 (__TEXT,__text) external _isalpha_l
0000000180b2e2d0 (__TEXT,__text) external _isascii
0000000180b455d8 (__TEXT,__text) external _isatty
0000000180b2e3c4 (__TEXT,__text) external _isblank
0000000180b2ec6c (__TEXT,__text) external _isblank_l
0000000180b2e434 (__TEXT,__text) external _iscntrl
0000000180b2ece0 (__TEXT,__text) external _iscntrl_l
0000000180b2e4a4 (__TEXT,__text) external _isdigit
0000000180b2ed54 (__TEXT,__text) external _isdigit_l
0000000180b2e4cc (__TEXT,__text) external _isgraph
0000000180b2edc8 (__TEXT,__text) external _isgraph_l
0000000180b2e878 (__TEXT,__text) external _ishexnumber
0000000180b2ee3c (__TEXT,__text) external _ishexnumber_l
0000000180b2e8e8 (__TEXT,__text) external _isideogram
0000000180b2eeb0 (__TEXT,__text) external _isideogram_l
0000000180b2e53c (__TEXT,__text) external _islower
0000000180b2ef24 (__TEXT,__text) external _islower_l
0000000180b2e958 (__TEXT,__text) external _isnumber
0000000180b2ef98 (__TEXT,__text) external _isnumber_l
0000000180b2e9c8 (__TEXT,__text) external _isphonogram
0000000180b2f00c (__TEXT,__text) external _isphonogram_l
0000000180b2e5ac (__TEXT,__text) external _isprint
0000000180b2f080 (__TEXT,__text) external _isprint_l
0000000180b2e61c (__TEXT,__text) external _ispunct
0000000180b2f0f4 (__TEXT,__text) external _ispunct_l
0000000180b2ea38 (__TEXT,__text) external _isrune
0000000180b2f168 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
0000000180b2e68c (__TEXT,__text) external _isspace
0000000180b2f1f4 (__TEXT,__text) external _isspace_l
0000000180b2eaac (__TEXT,__text) external _isspecial
0000000180b2f268 (__TEXT,__text) external _isspecial_l
0000000180b49674 (__TEXT,__text) non-external _istrsenvisx
0000000180b8f5b4 (__TEXT,__text) non-external _istrsenvisx.cold.1
0000000180b8f5e0 (__TEXT,__text) non-external _istrsenvisx.cold.2
0000000180b8f60c (__TEXT,__text) non-external _istrsenvisx.cold.3
0000000180b8f638 (__TEXT,__text) non-external _istrsenvisx.cold.4
0000000180b49d18 (__TEXT,__text) non-external _istrsenvisxl
0000000180b2e6fc (__TEXT,__text) external _isupper
0000000180b2f2dc (__TEXT,__text) external _isupper_l
0000000180b2f414 (__TEXT,__text) external _iswalnum
0000000180b2f958 (__TEXT,__text) external _iswalnum_l
0000000180b2f48c (__TEXT,__text) external _iswalpha
0000000180b2f9d4 (__TEXT,__text) external _iswalpha_l
0000000180b2ffa4 (__TEXT,__text) external _iswascii
0000000180b2ff34 (__TEXT,__text) external _iswblank
0000000180b30254 (__TEXT,__text) external _iswblank_l
0000000180b2f4fc (__TEXT,__text) external _iswcntrl
0000000180b2fa48 (__TEXT,__text) external _iswcntrl_l
0000000180b2f56c (__TEXT,__text) external _iswctype
0000000180b2fabc (__TEXT,__text) external _iswctype_l
0000000180b2f5e8 (__TEXT,__text) external _iswdigit
0000000180b2fb54 (__TEXT,__text) external _iswdigit_l
0000000180b2f610 (__TEXT,__text) external _iswgraph
0000000180b2fbc8 (__TEXT,__text) external _iswgraph_l
0000000180b2ffb0 (__TEXT,__text) external _iswhexnumber
0000000180b302c8 (__TEXT,__text) external _iswhexnumber_l
0000000180b30020 (__TEXT,__text) external _iswideogram
0000000180b3033c (__TEXT,__text) external _iswideogram_l
0000000180b2f680 (__TEXT,__text) external _iswlower
0000000180b2fc3c (__TEXT,__text) external _iswlower_l
0000000180b30090 (__TEXT,__text) external _iswnumber
0000000180b303b0 (__TEXT,__text) external _iswnumber_l
0000000180b30100 (__TEXT,__text) external _iswphonogram
0000000180b30424 (__TEXT,__text) external _iswphonogram_l
0000000180b2f6f0 (__TEXT,__text) external _iswprint
0000000180b2fcb0 (__TEXT,__text) external _iswprint_l
0000000180b2f760 (__TEXT,__text) external _iswpunct
0000000180b2fd24 (__TEXT,__text) external _iswpunct_l
0000000180b30170 (__TEXT,__text) external _iswrune
0000000180b30498 (__TEXT,__text) external _iswrune_l
0000000180b2f7d0 (__TEXT,__text) external _iswspace
0000000180b2fd98 (__TEXT,__text) external _iswspace_l
0000000180b301e4 (__TEXT,__text) external _iswspecial
0000000180b30524 (__TEXT,__text) external _iswspecial_l
0000000180b2f840 (__TEXT,__text) external _iswupper
0000000180b2fe0c (__TEXT,__text) external _iswupper_l
0000000180b2f8b0 (__TEXT,__text) external _iswxdigit
0000000180b2fe80 (__TEXT,__text) external _iswxdigit_l
0000000180b2e76c (__TEXT,__text) external _isxdigit
0000000180b2f350 (__TEXT,__text) external _isxdigit_l
0000000180b4569c (__TEXT,__text) external _jrand48
0000000180c9d1d0 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
0000000180b34038 (__TEXT,__text) external _killpg
0000000180b7ace8 (__TEXT,__text) external _l64a
0000000182ccb890 (__DATA,__bss) non-external _l64a.buf
0000000180b741e0 (__TEXT,__text) external _labs
0000000180b4be4c (__TEXT,__text) non-external _largesearch
0000000182ccb7e8 (__DATA,__bss) non-external _last_default_tzload_mtimespec
0000000182cbfa28 (__DATA,__data) non-external _lastglue
0000000180b29138 (__TEXT,__text) external _lchflags
0000000180b29180 (__TEXT,__text) external _lchmod
0000000182cc27c4 (__DATA,__bss) non-external _lcl_TZname
0000000182cc27c0 (__DATA,__bss) non-external _lcl_is_set
0000000182cbfa80 (__DATA,__data) non-external (was a private external) _lcl_rwlock
0000000182cc28c8 (__DATA,__bss) non-external _lclmem
0000000180b456e0 (__TEXT,__text) external _lcong48
0000000180b741ec (__TEXT,__text) external _ldiv
0000000180b742e8 (__TEXT,__text) external _lfind
0000000180b5bff4 (__TEXT,__text) non-external _lflush
0000000182ccb8c8 (__DATA,__common) non-external (was a private external) _libc_hooks
0000000180b33cc4 (__TEXT,__text) external _libc_set_introspection_hooks
0000000180b8e9d4 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.1
0000000180b8ea00 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.2
0000000180b8ea2c (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.3
0000000180b8ea58 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.4
0000000180b53fbc (__TEXT,__text) external _link_addr
0000000180b5415c (__TEXT,__text) external _link_ntoa
0000000182cc0ed4 (__DATA,__bss) non-external _link_ntoa.obuf
0000000180b74218 (__TEXT,__text) external _llabs
0000000180b74224 (__TEXT,__text) external _lldiv
0000000180b54688 (__TEXT,__text) non-external _loadCat
0000000180b50924 (__TEXT,__text) non-external _loadlocale
0000000180b4ee5c (__TEXT,__text) external _localeconv
0000000180b4ed08 (__TEXT,__text) external _localeconv_l
0000000180b8f76c (__TEXT,__text) non-external _localeconv_l.cold.1
0000000180b8f788 (__TEXT,__text) non-external _localeconv_l.cold.2
0000000180b6a6bc (__TEXT,__text) external _localtime
0000000182cc7038 (__DATA,__bss) non-external _localtime_key
0000000182cc7030 (__DATA,__bss) non-external _localtime_key_error
0000000180b6a7b0 (__TEXT,__text) non-external _localtime_key_init
0000000182cbfb58 (__DATA,__data) non-external _localtime_once
0000000180b6a7f4 (__TEXT,__text) external _localtime_r
0000000180b8c9a8 (__TEXT,__text) external _lockf
0000000180b45724 (__TEXT,__text) external _lockf$NOCANCEL
0000000180b32534 (__TEXT,__text) external _login_tty
0000000180b4bea0 (__TEXT,__text) non-external _lookup_substsearch
0000000180b8f664 (__TEXT,__text) non-external _lookup_substsearch.cold.1
0000000180b45804 (__TEXT,__text) external _lrand48
0000000180b74250 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
0000000180b291cc (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc_type_calloc (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _malloc_type_realloc (from libsystem_malloc)
0000000180c9cfd0 (__DATA_CONST,__const) non-external _mapping
0000000180b4ef04 (__TEXT,__text) external _mblen
0000000180b4ee80 (__TEXT,__text) external _mblen_l
0000000180b4efd8 (__TEXT,__text) external _mbrlen
0000000180b4ef88 (__TEXT,__text) external _mbrlen_l
0000000180b4f06c (__TEXT,__text) external _mbrtowc
0000000180b4f02c (__TEXT,__text) external _mbrtowc_l
0000000180b4f0e4 (__TEXT,__text) external _mbsinit
0000000180b4f0b0 (__TEXT,__text) external _mbsinit_l
0000000180b4f15c (__TEXT,__text) external _mbsnrtowcs
0000000180b4f11c (__TEXT,__text) external _mbsnrtowcs_l
0000000180b4f324 (__TEXT,__text) external _mbsrtowcs
0000000180b4f2d8 (__TEXT,__text) external _mbsrtowcs_l
0000000180b4f41c (__TEXT,__text) external _mbstowcs
0000000180b4f374 (__TEXT,__text) external _mbstowcs_l
0000000180b4f53c (__TEXT,__text) external _mbtowc
0000000180b4f4c4 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
0000000180b6ea94 (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
0000000180b81930 (__TEXT,__text) external _memset_s
0000000180b53fa0 (__TEXT,__text) non-external _memstream_close
0000000180b53f0c (__TEXT,__text) non-external _memstream_seek
0000000180b8f7d0 (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180b8f7fc (__TEXT,__text) non-external _memstream_seek.cold.2
0000000180b53dc4 (__TEXT,__text) non-external _memstream_update
0000000180b8f7a4 (__TEXT,__text) non-external _memstream_update.cold.1
0000000180b53df8 (__TEXT,__text) non-external _memstream_write
0000000180b74360 (__TEXT,__text) external _mergesort
0000000180b7c310 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
0000000180b5965c (__TEXT,__text) external _mkdtemp
0000000180b596e8 (__TEXT,__text) external _mkdtempat_np
0000000180b59578 (__TEXT,__text) external _mkostemp
0000000180b590c0 (__TEXT,__text) external _mkostemps
0000000180b59454 (__TEXT,__text) external _mkostempsat_np
0000000180b329f4 (__TEXT,__text) external _mkpath_np
0000000180b32a08 (__TEXT,__text) external _mkpathat_np
0000000180b59600 (__TEXT,__text) external _mkstemp
0000000180b59848 (__TEXT,__text) external _mkstemp_dprotected_np
0000000180b594cc (__TEXT,__text) external _mkstemps
0000000180b59528 (__TEXT,__text) external _mkstempsat_np
0000000180b597f0 (__TEXT,__text) external _mktemp
0000000180b6adf4 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
0000000180b92098 (__TEXT,__const) non-external _mon_lengths
0000000180b2e2b8 (__TEXT,__text) external _monaddition
0000000180b2e2c8 (__TEXT,__text) external _moncontrol
0000000180b2e2cc (__TEXT,__text) external _moncount
0000000180b2e2b0 (__TEXT,__text) external _moninit
0000000180b2e2c4 (__TEXT,__text) external _monitor
0000000180b2e2c0 (__TEXT,__text) external _monoutput
0000000180b2e2bc (__TEXT,__text) external _monreset
0000000180b2e2b4 (__TEXT,__text) external _monstartup
0000000180b561d0 (__TEXT,__text) non-external _moreglue
0000000180b3bf8c (__TEXT,__text) non-external _mpool_bkt
0000000180b3c248 (__TEXT,__text) external _mpool_close
0000000180b3bedc (__TEXT,__text) external _mpool_filter
0000000180b3c084 (__TEXT,__text) external _mpool_get
0000000180b3beec (__TEXT,__text) external _mpool_new
0000000180b8eeb0 (__TEXT,__text) non-external _mpool_new.cold.1
0000000180b3bde0 (__TEXT,__text) external _mpool_open
0000000180b3c22c (__TEXT,__text) external _mpool_put
0000000180b3c2a4 (__TEXT,__text) external _mpool_sync
0000000180b3c31c (__TEXT,__text) non-external _mpool_write
0000000180b45838 (__TEXT,__text) external _mrand48
0000000180b34434 (__TEXT,__text) non-external _mswap
0000000180b28d00 (__TEXT,__text) non-external _multiplyByFiveToTheN
                 (undefined) external _munmap (from libsystem_kernel)
0000000180b8cc38 (__TEXT,__text) external _nanosleep
0000000180b2d2ac (__TEXT,__text) external _nanosleep$NOCANCEL
0000000182cc0d00 (__DATA,__bss) non-external _new_categories
0000000180b31b98 (__TEXT,__text) external _new_printf_comp
0000000180b31f78 (__TEXT,__text) external _new_printf_domain
0000000180b3080c (__TEXT,__text) external _newlocale
0000000182cbfc18 (__DATA,__data) non-external _next
0000000180b42b2c (__TEXT,__text) non-external _nextcomp
0000000182cc0c10 (__DATA,__bss) non-external _nextcomp.lmsgverb
0000000182cc0c30 (__DATA,__bss) non-external _nextcomp.state
0000000180b4f99c (__TEXT,__text) external _nextwctype
0000000180b4f824 (__TEXT,__text) external _nextwctype_l
0000000180b2d8f4 (__TEXT,__text) external _nftw
0000000180b4586c (__TEXT,__text) external _nice
0000000180b4fdf0 (__TEXT,__text) external _nl_langinfo
0000000180b4f9c0 (__TEXT,__text) external _nl_langinfo_l
0000000182cc0cf8 (__DATA,__bss) non-external _nl_langinfo_l.csym
0000000180b9220b (__TEXT,__const) non-external _noarg
0000000180b91de8 (__TEXT,__const) non-external _nogrouping
0000000182cbfbec (__DATA,__data) non-external _nonopt_end
