00000001d85324a4 (__TEXT,__text) non-external +[NFPromise new]
00000001f5104b38 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8d16l
00000001f51048f8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<?>16l
00000001f51049e8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v?>16l
00000001f5104748 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
00000001f5104aa8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e83_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v??<v?>?<v?"NSError">>16l
00000001f5104928 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_16?08l
00000001f51047b8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_v16?08l
00000001f5104c78 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e30_v16?0"NSObject<OS_nw_path>"8l
00000001f5104d58 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e17_v16?0"NSError"8l
00000001f5104d88 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e5_v8?0l
00000001f5104d28 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e8_16?08l
00000001f5104cc8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40r_e5_v8?0l
00000001f5104c28 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e23_v32?0Q816"NSError"24l
00000001f5104a18 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e34_v24?0?<v?>8?<v?"NSError">16l
00000001f5104b68 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e5_v8?0l
00000001f5104cf8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e14_v16?0?<v?>8l
00000001f5104b08 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s_e8_16?08l
00000001f5104bc8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e23_v32?0Q816"NSError"24l
00000001f5104878 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e34_v24?0?<v?>8?<v?"NSError">16l
00000001f51046c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e16_"NFPromise"8?0l
00000001f51046f8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e8_16?08l
00000001f5104b98 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001f5104848 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40bs48bs56bs_e8_v16?08l
00000001f5104818 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48bs56bs_e5_v8?0l
00000001f5104658 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f5104778 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f5104c58 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f5104db8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f5104dd8 (__AUTH_CONST,__const) non-external ___block_literal_global.16
00000001f51048a8 (__AUTH_CONST,__const) non-external ___block_literal_global.28
00000001f5104678 (__AUTH_CONST,__const) non-external ___block_literal_global.3
00000001f5104798 (__AUTH_CONST,__const) non-external ___block_literal_global.4
00000001f5104728 (__AUTH_CONST,__const) non-external ___block_literal_global.54
00000001f5104ca8 (__AUTH_CONST,__const) non-external ___block_literal_global.7
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001d85334d4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001d8536194 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40b
00000001d8535fd0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40r
00000001d852f590 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001d8533450 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001d8534824 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00000001d8532b18 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b56b
00000001d8536060 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00000001d8533d14 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00000001d8532b80 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00000001d8532a6c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b56b
00000001d85317ec (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00000001d85350bc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00000001d852f598 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001d8536020 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00000001d8533498 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001d8531830 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001d8532acc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00000001d85350c8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
                 (undefined) external ___kCFBooleanTrue (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001d8532050 (__TEXT,__text) non-external ___zalgoIfMain_block_invoke
00000001d8531fa0 (__TEXT,__text) non-external ___zalgo_block_invoke
                 (undefined) external __dispatch_main_q (from libSystem)
00000001d85373ec (__TEXT,__text) non-external __getNSValueBytes
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external _dispatch_after (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
00000001ec527aa0 (__DATA,__data) external _kNFPromiseErrorDomain
00000001ec527a90 (__DATA,__data) external _kNFPromiseSealingErrorCode
00000001ec527a98 (__DATA,__data) external _kNFPromiseTimeoutErrorCode
00000001e8a190c8 (__DATA_CONST,__const) external _kNFReachabilityChangedNotification
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _nw_path_get_status (from Network)
                 (undefined) external _nw_path_is_constrained (from Network)
                 (undefined) external _nw_path_is_equal (from Network)
                 (undefined) external _nw_path_is_expensive (from Network)
                 (undefined) external _nw_path_monitor_cancel (from Network)
                 (undefined) external _nw_path_monitor_create (from Network)
                 (undefined) external _nw_path_monitor_set_queue (from Network)
                 (undefined) external _nw_path_monitor_set_update_handler (from Network)
                 (undefined) external _nw_path_monitor_start (from Network)
                 (undefined) external _nw_path_uses_interface_type (from Network)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_exception_throw (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
00000001d853c340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUID
00000001d853c360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUIDString
00000001d853c380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_currentNetworkStatus
00000001d853c3a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_statusFromNetworkPath:
00000001d853c3c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_updateCurrentNetworkPath:
00000001d853c3e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$activate
00000001d853c400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000001d853c420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allValues
00000001d853c440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$alwaysOn:always:
00000001d853c460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
00000001d853c480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendString:
00000001d853c4a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
00000001d853c4c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:onQueue:withError:
00000001d853c4e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:onQueue:withValue:
00000001d853c500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:withValue:
00000001d853c520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asVoid
00000001d853c540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asVoid:
00000001d853c560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$attemptTriggersForCurrentEvent:
00000001d853c580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$block
00000001d853c5a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bytes
00000001d853c5c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$canTry:withOwner:
00000001d853c5e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$canTryBlock
00000001d853c600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$characterAtIndex:
00000001d853c620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$children
00000001d853c640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$code
00000001d853c660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
00000001d853c680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$constructor
00000001d853c6a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$containsObject:
00000001d853c6c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$context
00000001d853c6e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
00000001d853c700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000001d853c720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000001d853c740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currentNetworkPath
00000001d853c760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataUsingEncoding:
00000001d853c780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithContentsOfFile:
00000001d853c7a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$deactivate
00000001d853c7c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeObjectOfClass:forKey:
00000001d853c7e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeObjectOfClasses:forKey:
00000001d853c800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultCenter
00000001d853c820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultManager
00000001d853c840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$delegateProtocol
00000001d853c860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$destinationState
00000001d853c880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObject:forKey:
00000001d853c8a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
00000001d853c8c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didEnter:withOwner:
00000001d853c8e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didEnterBlock
00000001d853c900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didExit:withOwner:
00000001d853c920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didExitBlock
00000001d853c940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$domain
00000001d853c960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$error
00000001d853c980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$errorOn:error:
00000001d853c9a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$errorWithDomain:code:userInfo:
00000001d853c9c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$event
00000001d853c9e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$events
00000001d853ca00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$exceptionWithName:reason:userInfo:
00000001d853ca20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fc_createStateMachineErrorForCode:userInfo:
00000001d853ca40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fileSystemRepresentation
00000001d853ca60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireBlock
00000001d853ca80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireOnAny
00000001d853caa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireOnce
00000001d853cac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fired:withOwner:
00000001d853cae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$firstly:
00000001d853cb00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fromState
00000001d853cb20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$getValue:
00000001d853cb40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handleAlwaysTrigger:event:
00000001d853cb60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handleOnceTrigger:event:
00000001d853cb80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handlers
00000001d853cba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
00000001d853cbc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hashTableWithOptions:
00000001d853cbe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$init
00000001d853cc00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initForReadingFromData:error:
00000001d853cc20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDelegate:delegateProtocol:options:
00000001d853cc40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDomain:code:userInfo:
00000001d853cc60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithError:
00000001d853cc80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFormat:
00000001d853cca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithKey:fireOnce:fireOnAny:events:block:
00000001d853ccc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithOptions:
00000001d853cce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithResolver:
00000001d853cd00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithStateMachine:event:fromState:toState:context:
00000001d853cd20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUTF8String:
00000001d853cd40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithValue:
00000001d853cd60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$invokeWithTarget:
00000001d853cd80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqual:
00000001d853cda0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
00000001d853cdc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isMainThread
00000001d853cde0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$key
00000001d853ce00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$length
00000001d853ce20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lock
00000001d853ce40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$methodSignatureForSelector:
00000001d853ce60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$name
00000001d853ce80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClass:
00000001d853cea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClass:withData:
00000001d853cec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClasses:withData:
00000001d853cee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
00000001d853cf00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithUnsignedInteger:
00000001d853cf20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objCType
00000001d853cf40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKey:
00000001d853cf60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$owner
00000001d853cf80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$performWithLockSync:
00000001d853cfa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$postNotificationName:object:
00000001d853cfc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$registerHandler:
00000001d853cfe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$reject:
00000001d853d000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeAllObjects
00000001d853d020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeObject:
00000001d853d040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeObjectForKey:
00000001d853d060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$resolve:
00000001d853d080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$resolveOn:reject:resolve:
00000001d853d0a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$seal
00000001d853d0c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$seal:error:resolution:
00000001d853d0e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$selector
00000001d853d100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCanTryBlock:
00000001d853d120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCurrentNetworkPath:
00000001d853d140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCurrentReachabilityStatus:
00000001d853d160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDidEnterBlock:
00000001d853d180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDidExitBlock:
00000001d853d1a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setError:
00000001d853d1c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setFireBlock:
00000001d853d1e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKey:
00000001d853d200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setSeal:
00000001d853d220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setState:
00000001d853d240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setStatus:
00000001d853d260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setStatusToken:
00000001d853d280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setValue:
00000001d853d2a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWillEnterBlock:
00000001d853d2c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWillExitBlock:
00000001d853d2e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWithObject:
00000001d853d300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$state
00000001d853d320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$states
00000001d853d340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$status
00000001d853d360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$statusToken
00000001d853d380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithCapacity:
00000001d853d3a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFileSystemRepresentation:length:
00000001d853d3c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFormat:
00000001d853d3e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$then:
00000001d853d400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$thenOn:then:
00000001d853d420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeoutAfter:on:
00000001d853d440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$toState
00000001d853d460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$triggerOnAnyEvent:block:
00000001d853d480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$triggers
00000001d853d4a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unlock
00000001d853d4c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
00000001d853d4e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$valueWithBytes:objCType:
00000001d853d500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willEnter:withOwner:
00000001d853d520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willEnterBlock
00000001d853d540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willExit:withOwner:
00000001d853d560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willExitBlock
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_terminate (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_assert_not_owner (from libSystem)
                 (undefined) external _os_unfair_lock_assert_owner (from libSystem)
                 (undefined) external _os_unfair_lock_lock_with_options (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _os_variant_has_internal_content (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _qos_class_self (from libSystem)
00000001ed788370 (__DATA_DIRTY,__bss) non-external _sharedInstance.onceToken
00000001ed788368 (__DATA_DIRTY,__bss) non-external _sharedInstance.s_reachability
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001d8531f5c (__TEXT,__text) external _zalgo
00000001d8537f14 (__TEXT,__text) non-external _zalgo.cold.1
00000001ed788360 (__DATA_DIRTY,__bss) non-external _zalgo.queue
00000001ed788358 (__DATA_DIRTY,__bss) non-external _zalgo.token
00000001d853200c (__TEXT,__text) external _zalgoIfMain
00000001d8537f28 (__TEXT,__text) non-external _zalgoIfMain.cold.1
00000001ed788350 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.queue
00000001ed788348 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.token
