00000001d9428c20 (__DATA,__data) external _NDR_record
00000001803919f8 (__TEXT,__text) external _munmap
000000018039221c (__TEXT,__text) external _necp_client_action
00000001803990fc (__TEXT,__text) external _necp_match_policy
00000001803921c4 (__TEXT,__text) external _necp_open
000000018039caf8 (__TEXT,__text) external _necp_session_action
000000018039cb24 (__TEXT,__text) external _necp_session_open
000000018039cb50 (__TEXT,__text) external _net_qos_guideline
000000018039cb7c (__TEXT,__text) external _netagent_trigger
00000001803b6a90 (__TEXT,__text) external _netname_check_in
00000001803b6e98 (__TEXT,__text) external _netname_check_out
00000001803b6c3c (__TEXT,__text) external _netname_look_up
00000001803b7040 (__TEXT,__text) external _netname_version
00000001803a1d3c (__TEXT,__text) external _nfsclnt
000000018039cba8 (__TEXT,__text) external _nfssvc
00000001d9428c10 (__DATA,__data) external _non_boost_assertion_token
00000001d9428c08 (__DATA,__data) external _normal_boost_assertion_token
000000018039cbd4 (__TEXT,__text) external _ntp_adjtime
000000018039cc00 (__TEXT,__text) external _ntp_gettime
000000018039cc2c (__TEXT,__text) external _objc_bp_assist_cfg_np
0000000180399b88 (__TEXT,__text) external _open
00000001803a1dc4 (__TEXT,__text) external _open$NOCANCEL
00000001803939e0 (__TEXT,__text) external _open_dprotected_np
00000001803a8e1c (__TEXT,__text) external _openat
00000001803a1e8c (__TEXT,__text) external _openat$NOCANCEL
00000001803a9678 (__TEXT,__text) external _openat_authenticated_np
00000001803a9618 (__TEXT,__text) external _openat_dprotected_np
000000018039cc58 (__TEXT,__text) external _openbyid_np
000000018039fb88 (__TEXT,__text) external _os_buflet_get_data_address
000000018039fb58 (__TEXT,__text) external _os_buflet_get_data_length
000000018039fb90 (__TEXT,__text) external _os_buflet_get_data_limit
000000018039fb50 (__TEXT,__text) external _os_buflet_get_data_offset
000000018039fba0 (__TEXT,__text) external _os_buflet_get_gro_len
000000018039fba8 (__TEXT,__text) external _os_buflet_get_next_buf
000000018039fb78 (__TEXT,__text) external _os_buflet_get_object_address
000000018039fb80 (__TEXT,__text) external _os_buflet_get_object_limit
000000018039fb98 (__TEXT,__text) external _os_buflet_get_object_offset
000000018039fb6c (__TEXT,__text) external _os_buflet_set_data_length
000000018039fb60 (__TEXT,__text) external _os_buflet_set_data_offset
00000001803a4a3c (__TEXT,__text) external _os_channel_advance_slot
00000001803a54f8 (__TEXT,__text) external _os_channel_attr_clone
00000001803a5464 (__TEXT,__text) external _os_channel_attr_create
00000001803a5724 (__TEXT,__text) external _os_channel_attr_destroy
00000001803a5988 (__TEXT,__text) external _os_channel_attr_get
00000001803a5b3c (__TEXT,__text) external _os_channel_attr_get_key
00000001803a57f8 (__TEXT,__text) external _os_channel_attr_set
00000001803a558c (__TEXT,__text) external _os_channel_attr_set_key
00000001803a49e4 (__TEXT,__text) external _os_channel_available_slot_count
00000001803a715c (__TEXT,__text) external _os_channel_buflet_alloc
00000001803a6a84 (__TEXT,__text) external _os_channel_buflet_free
00000001803a7128 (__TEXT,__text) external _os_channel_configure_interface_advisory
00000001803a4624 (__TEXT,__text) external _os_channel_create
00000001803a3c64 (__TEXT,__text) external _os_channel_create_extended
00000001803a47ac (__TEXT,__text) external _os_channel_destroy
00000001803a7090 (__TEXT,__text) external _os_channel_event_free
00000001803aa344 (__TEXT,__text) external _os_channel_event_get_event_data
00000001803aa290 (__TEXT,__text) external _os_channel_event_get_next_event
00000001803a5268 (__TEXT,__text) external _os_channel_flow_admissible
00000001803a5244 (__TEXT,__text) external _os_channel_get_advisory_region
00000001803a4634 (__TEXT,__text) external _os_channel_get_fd
00000001803a7094 (__TEXT,__text) external _os_channel_get_interface_advisory
00000001803a6c2c (__TEXT,__text) external _os_channel_get_next_event_handle
00000001803a4ac8 (__TEXT,__text) external _os_channel_get_next_slot
00000001803a51c0 (__TEXT,__text) external _os_channel_get_stats_region
00000001803a43fc (__TEXT,__text) non-external _os_channel_info2attr
00000001803a4514 (__TEXT,__text) non-external _os_channel_init_ring
00000001803a4894 (__TEXT,__text) external _os_channel_is_defunct
00000001803a5bb4 (__TEXT,__text) external _os_channel_packet_alloc
00000001803a6030 (__TEXT,__text) external _os_channel_packet_free
00000001803a6500 (__TEXT,__text) external _os_channel_packet_pool_purge
00000001803a49b4 (__TEXT,__text) external _os_channel_pending
00000001803a463c (__TEXT,__text) external _os_channel_read_attr
00000001803a475c (__TEXT,__text) external _os_channel_read_nexus_extension_info
00000001803a48a8 (__TEXT,__text) external _os_channel_ring_id
00000001803a49d8 (__TEXT,__text) external _os_channel_ring_notify_time
00000001803a49cc (__TEXT,__text) external _os_channel_ring_sync_time
00000001803a4958 (__TEXT,__text) external _os_channel_rx_ring
00000001803a4f10 (__TEXT,__text) external _os_channel_set_slot_properties
00000001803a61d0 (__TEXT,__text) external _os_channel_slot_attach_packet
00000001803a6358 (__TEXT,__text) external _os_channel_slot_detach_packet
00000001803a5054 (__TEXT,__text) external _os_channel_slot_get_packet
00000001803a4780 (__TEXT,__text) external _os_channel_sync
00000001803a4910 (__TEXT,__text) external _os_channel_tx_ring
00000001803a4690 (__TEXT,__text) external _os_channel_write_attr
000000018039fb1c (__TEXT,__text) external _os_copy_and_inet_checksum
000000018039ab40 (__TEXT,__text) external _os_cpu_copy_in_cksum
00000001803a951c (__TEXT,__text) external _os_cpu_in_cksum
000000018039a8a0 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
000000018039cc84 (__TEXT,__text) external _os_fault_with_payload
000000018039fb18 (__TEXT,__text) external _os_inet_checksum
00000001803a7b5c (__TEXT,__text) external _os_nexus_attr_clone
00000001803a7ac8 (__TEXT,__text) external _os_nexus_attr_create
00000001803a7ef0 (__TEXT,__text) external _os_nexus_attr_destroy
00000001803a7da4 (__TEXT,__text) external _os_nexus_attr_get
00000001803a7bb8 (__TEXT,__text) external _os_nexus_attr_set
00000001803a8618 (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
00000001803a8324 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
00000001803a8344 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
00000001803a7f3c (__TEXT,__text) external _os_nexus_controller_create
00000001803a8318 (__TEXT,__text) external _os_nexus_controller_deregister_provider
00000001803a89d8 (__TEXT,__text) external _os_nexus_controller_destroy
00000001803a8338 (__TEXT,__text) external _os_nexus_controller_free_provider_instance
00000001803a8030 (__TEXT,__text) external _os_nexus_controller_get_fd
00000001803a8800 (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
00000001803a84bc (__TEXT,__text) external _os_nexus_controller_read_provider_attr
00000001803a8038 (__TEXT,__text) external _os_nexus_controller_register_provider
00000001803a8768 (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
00000001803a8440 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
000000018039f9ec (__TEXT,__text) external _os_packet_add_buflet
000000018039f0a4 (__TEXT,__text) external _os_packet_clear_flow_uuid
000000018039fac4 (__TEXT,__text) external _os_packet_decrement_use_count
000000018039f824 (__TEXT,__text) external _os_packet_finalize
000000018039faec (__TEXT,__text) external _os_packet_get_aggregation_type
000000018039f72c (__TEXT,__text) external _os_packet_get_buflet_count
000000018039ee30 (__TEXT,__text) external _os_packet_get_compression_generation_count
000000018039f720 (__TEXT,__text) external _os_packet_get_data_length
000000018039f178 (__TEXT,__text) external _os_packet_get_expire_time
000000018039f20c (__TEXT,__text) external _os_packet_get_expiry_action
000000018039eff4 (__TEXT,__text) external _os_packet_get_flow_uuid
000000018039f148 (__TEXT,__text) external _os_packet_get_group_end
000000018039f0e4 (__TEXT,__text) external _os_packet_get_group_start
000000018039e890 (__TEXT,__text) external _os_packet_get_headroom
000000018039efac (__TEXT,__text) external _os_packet_get_inet_checksum
000000018039f654 (__TEXT,__text) external _os_packet_get_keep_alive
000000018039e98c (__TEXT,__text) external _os_packet_get_link_broadcast
000000018039eaac (__TEXT,__text) external _os_packet_get_link_ethfcs
000000018039e914 (__TEXT,__text) external _os_packet_get_link_header_length
000000018039ea1c (__TEXT,__text) external _os_packet_get_link_multicast
000000018039f768 (__TEXT,__text) external _os_packet_get_next_buflet
000000018039f410 (__TEXT,__text) external _os_packet_get_packetid
000000018039f7f8 (__TEXT,__text) external _os_packet_get_segment_count
000000018039ed3c (__TEXT,__text) external _os_packet_get_service_class
000000018039f2ac (__TEXT,__text) external _os_packet_get_token
000000018039fc78 (__TEXT,__text) external _os_packet_get_trace_id
000000018039eeac (__TEXT,__text) external _os_packet_get_traffic_class
000000018039ebf8 (__TEXT,__text) external _os_packet_get_transport_retransmit
000000018039eb28 (__TEXT,__text) external _os_packet_get_transport_traffic_background
000000018039eb90 (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
000000018039f6a0 (__TEXT,__text) external _os_packet_get_truncated
000000018039f5d0 (__TEXT,__text) external _os_packet_get_vlan_id
000000018039f5d8 (__TEXT,__text) external _os_packet_get_vlan_priority
000000018039f568 (__TEXT,__text) external _os_packet_get_vlan_tag
000000018039f644 (__TEXT,__text) external _os_packet_get_wake_flag
000000018039fa98 (__TEXT,__text) external _os_packet_increment_use_count
000000018039f5e0 (__TEXT,__text) external _os_packet_set_app_metadata
000000018039ee00 (__TEXT,__text) external _os_packet_set_compression_generation_count
000000018039f1c8 (__TEXT,__text) external _os_packet_set_expire_time
000000018039f25c (__TEXT,__text) external _os_packet_set_expiry_action
000000018039f04c (__TEXT,__text) external _os_packet_set_flow_uuid
000000018039f114 (__TEXT,__text) external _os_packet_set_group_end
000000018039f0b0 (__TEXT,__text) external _os_packet_set_group_start
000000018039e838 (__TEXT,__text) external _os_packet_set_headroom
000000018039ef70 (__TEXT,__text) external _os_packet_set_inet_checksum
000000018039f664 (__TEXT,__text) external _os_packet_set_keep_alive
000000018039f6e4 (__TEXT,__text) external _os_packet_set_l4s_flag
000000018039e940 (__TEXT,__text) external _os_packet_set_link_broadcast
000000018039ea60 (__TEXT,__text) external _os_packet_set_link_ethfcs
000000018039e8d0 (__TEXT,__text) external _os_packet_set_link_header_length
000000018039e9d0 (__TEXT,__text) external _os_packet_set_link_multicast
000000018039f48c (__TEXT,__text) external _os_packet_set_packetid
000000018039fd38 (__TEXT,__text) external _os_packet_set_protocol_segment_size
000000018039ec60 (__TEXT,__text) external _os_packet_set_service_class
000000018039f36c (__TEXT,__text) external _os_packet_set_token
000000018039fc98 (__TEXT,__text) external _os_packet_set_trace_id
000000018039ee7c (__TEXT,__text) external _os_packet_set_traffic_class
000000018039ec28 (__TEXT,__text) external _os_packet_set_transport_last_packet
000000018039ebc0 (__TEXT,__text) external _os_packet_set_transport_retransmit
000000018039eaf0 (__TEXT,__text) external _os_packet_set_transport_traffic_background
000000018039eb58 (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
000000018039fd68 (__TEXT,__text) external _os_packet_set_tso_flags
000000018039f508 (__TEXT,__text) external _os_packet_set_vlan_tag
000000018039fcc4 (__TEXT,__text) external _os_packet_trace_event
00000001803a0ab0 (__TEXT,__text) external _os_proc_available_memory
00000001803a034c (__TEXT,__text) external _panic
00000001803a0340 (__TEXT,__text) external _panic_init
00000001803962d0 (__TEXT,__text) external _pathconf
000000018039ccb0 (__TEXT,__text) external _peeloff
000000018038e03c (__TEXT,__text) external _pid_for_task
000000018039ccdc (__TEXT,__text) external _pid_hibernate
000000018039cd08 (__TEXT,__text) external _pid_resume
00000001803a7428 (__TEXT,__text) external _pid_shutdown_networking
000000018039cd34 (__TEXT,__text) external _pid_shutdown_sockets
000000018039cd60 (__TEXT,__text) external _pid_suspend
00000001803945b8 (__TEXT,__text) external _pipe
000000018039cd8c (__TEXT,__text) external _pivot_root
000000018039e7e8 (__TEXT,__text) external _pkt_subtype_assert_fail
000000018039e810 (__TEXT,__text) external _pkt_type_assert_fail
0000000180396970 (__TEXT,__text) external _poll
000000018039b900 (__TEXT,__text) external _poll$NOCANCEL
000000018039e714 (__TEXT,__text) non-external _port_for_id_internal
00000001803a039c (__TEXT,__text) external _port_obj_init
00000001d9428c80 (__DATA,__common) external _port_obj_table
00000001d9428bf8 (__DATA,__data) external _port_obj_table_size
0000000180390cd0 (__TEXT,__text) external _posix_madvise
00000001803950a8 (__TEXT,__text) external _posix_spawn
0000000180399908 (__TEXT,__text) non-external _posix_spawn_appendportaction_np
00000001803a2a98 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
00000001803a2b44 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
000000018039a7c4 (__TEXT,__text) external _posix_spawn_file_actions_addclose
0000000180394b28 (__TEXT,__text) external _posix_spawn_file_actions_adddup2
00000001803a2bfc (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
000000018039a734 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
0000000180399e58 (__TEXT,__text) external _posix_spawn_file_actions_addopen
00000001803955b4 (__TEXT,__text) external _posix_spawn_file_actions_destroy
0000000180394a44 (__TEXT,__text) external _posix_spawn_file_actions_init
00000001d9428cb8 (__DATA,__bss) non-external _posix_spawn_with_filter
0000000180395314 (__TEXT,__text) external _posix_spawnattr_destroy
00000001803a29e8 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
00000001803a2f9c (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
00000001803a2f58 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
00000001803a26ac (__TEXT,__text) external _posix_spawnattr_getarchpref_np
00000001803a2648 (__TEXT,__text) external _posix_spawnattr_getbinpref_np
00000001803a2cac (__TEXT,__text) external _posix_spawnattr_getcpumonitor
00000001803a25b8 (__TEXT,__text) external _posix_spawnattr_getflags
0000000180394dec (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
00000001803a271c (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
00000001803a2600 (__TEXT,__text) external _posix_spawnattr_getpgroup
00000001803a2740 (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
00000001803a25dc (__TEXT,__text) external _posix_spawnattr_getsigdefault
00000001803a2624 (__TEXT,__text) external _posix_spawnattr_getsigmask
0000000180394c8c (__TEXT,__text) external _posix_spawnattr_init
00000001803a2a10 (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
00000001803a2a58 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
00000001803a2a38 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
00000001803a2a78 (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
00000001803a3190 (__TEXT,__text) external _posix_spawnattr_set_csm_np
00000001803a2f7c (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
00000001803a358c (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
00000001803a32a0 (__TEXT,__text) external _posix_spawnattr_set_gid_np
00000001803a3364 (__TEXT,__text) external _posix_spawnattr_set_groups_np
00000001803a2cf8 (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
00000001803a35ac (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
00000001803c09c0 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
00000001803a3648 (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
00000001803a3468 (__TEXT,__text) external _posix_spawnattr_set_login_np
00000001803a314c (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
00000001803a30b4 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
00000001803a30e8 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
00000001803a2fc0 (__TEXT,__text) external _posix_spawnattr_set_persona_np
00000001803a3084 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
00000001803a29c8 (__TEXT,__text) external _posix_spawnattr_set_platform_np
00000001803a356c (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
00000001803a2e20 (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
00000001803a2f30 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
00000001803a2d8c (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
00000001803a2868 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
00000001803a2cd8 (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
00000001803a31e0 (__TEXT,__text) external _posix_spawnattr_set_uid_np
00000001803a2784 (__TEXT,__text) external _posix_spawnattr_setarchpref_np
00000001803998d0 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
0000000180399f50 (__TEXT,__text) external _posix_spawnattr_setbinpref_np
00000001803a2e58 (__TEXT,__text) external _posix_spawnattr_setcoalition_np
00000001803a2c8c (__TEXT,__text) external _posix_spawnattr_setcpumonitor
0000000180399e00 (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
000000018039a854 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
0000000180394dcc (__TEXT,__text) external _posix_spawnattr_setflags
000000018039699c (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
0000000180394ea4 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
00000001803a316c (__TEXT,__text) external _posix_spawnattr_setnosmt_np
00000001803a2828 (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
00000001803a2764 (__TEXT,__text) external _posix_spawnattr_setpgroup
00000001803a2848 (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
0000000180394da8 (__TEXT,__text) external _posix_spawnattr_setsigdefault
0000000180394d84 (__TEXT,__text) external _posix_spawnattr_setsigmask
0000000180399e28 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
000000018038f95c (__TEXT,__text) external _pread
000000018039b92c (__TEXT,__text) external _pread$NOCANCEL
000000018039cdb8 (__TEXT,__text) external _preadv
000000018039b958 (__TEXT,__text) external _preadv$NOCANCEL
00000001803a209c (__TEXT,__text) non-external _prepare_times_array_and_attrs
00000001803a1730 (__TEXT,__text) external _proc_clear_cpulimits
00000001803a1908 (__TEXT,__text) external _proc_clear_delayidlesleep
00000001803a1358 (__TEXT,__text) external _proc_clear_dirty
00000001803a17e8 (__TEXT,__text) external _proc_clear_vmpressure
00000001803a1210 (__TEXT,__text) external _proc_current_thread_schedinfo
0000000180398180 (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
0000000180398240 (__TEXT,__text) external _proc_denap_assertion_complete
00000001803a1968 (__TEXT,__text) external _proc_disable_apptype
0000000180399578 (__TEXT,__text) external _proc_disable_cpumon
0000000180397e30 (__TEXT,__text) external _proc_disable_wakemon
00000001803a1790 (__TEXT,__text) external _proc_donate_importance_boost
00000001803a19dc (__TEXT,__text) external _proc_enable_apptype
0000000180397db4 (__TEXT,__text) external _proc_get_cpumon_params
00000001803a12dc (__TEXT,__text) external _proc_get_dirty
00000001803a162c (__TEXT,__text) external _proc_get_wakemon_params
0000000180398188 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
0000000180398244 (__TEXT,__text) external _proc_importance_assertion_complete
00000001803a1114 (__TEXT,__text) external _proc_kmsgbuf
00000001803a12bc (__TEXT,__text) external _proc_libversion
00000001803a1698 (__TEXT,__text) external _proc_list_dynkqueueids
00000001803a167c (__TEXT,__text) external _proc_list_uptrs
00000001803a0e20 (__TEXT,__text) external _proc_listallpids
00000001803a0e98 (__TEXT,__text) external _proc_listchildpids
00000001803a0ed4 (__TEXT,__text) external _proc_listcoalitions
00000001803a0e5c (__TEXT,__text) external _proc_listpgrppids
0000000180398130 (__TEXT,__text) external _proc_listpids
00000001803a96e0 (__TEXT,__text) external _proc_listpidspath
0000000180394088 (__TEXT,__text) external _proc_name
0000000180395d24 (__TEXT,__text) external _proc_pid_rusage
00000001803a0fc8 (__TEXT,__text) external _proc_piddynkqueueinfo
00000001803a0f58 (__TEXT,__text) external _proc_pidfdinfo
00000001803a0f90 (__TEXT,__text) external _proc_pidfileportinfo
000000018038f3cc (__TEXT,__text) external _proc_pidinfo
0000000180395970 (__TEXT,__text) external _proc_pidoriginatorinfo
000000018038fc14 (__TEXT,__text) external _proc_pidpath
00000001803a114c (__TEXT,__text) external _proc_pidpath_audittoken
00000001803a101c (__TEXT,__text) external _proc_regionfilename
00000001803a1724 (__TEXT,__text) external _proc_reset_footprint_interval
00000001803a14a8 (__TEXT,__text) external _proc_resume_cpumon
0000000180396834 (__TEXT,__text) external _proc_rlimit_control
0000000180395cd8 (__TEXT,__text) external _proc_set_cpumon_defaults
0000000180395c60 (__TEXT,__text) external _proc_set_cpumon_params
00000001803a14c8 (__TEXT,__text) external _proc_set_cpumon_params_fatal
00000001803a1b20 (__TEXT,__text) external _proc_set_csm
00000001803a18a8 (__TEXT,__text) external _proc_set_delayidlesleep
0000000180391488 (__TEXT,__text) external _proc_set_dirty
00000001803a1a58 (__TEXT,__text) external _proc_set_no_smt
00000001803a1848 (__TEXT,__text) external _proc_set_owner_vmpressure
0000000180397ebc (__TEXT,__text) external _proc_set_wakemon_defaults
00000001803a15f8 (__TEXT,__text) external _proc_set_wakemon_params
00000001803a16b4 (__TEXT,__text) external _proc_setcpu_percentage
0000000180390514 (__TEXT,__text) external _proc_setpcontrol
00000001803a0f0c (__TEXT,__text) external _proc_setthread_cpupercent
00000001803a1be8 (__TEXT,__text) external _proc_setthread_csm
00000001803a1abc (__TEXT,__text) external _proc_setthread_no_smt
00000001803a1a50 (__TEXT,__text) external _proc_suppress
00000001803a13b8 (__TEXT,__text) external _proc_terminate
00000001803a1434 (__TEXT,__text) external _proc_terminate_all_rsr
000000018039cde4 (__TEXT,__text) external _proc_trace_log
0000000180391428 (__TEXT,__text) external _proc_track_dirty
00000001803a1000 (__TEXT,__text) external _proc_udata_info
000000018039ce10 (__TEXT,__text) external _proc_uuid_policy
00000001803b67fc (__TEXT,__text) external _processor_assign
00000001803b6698 (__TEXT,__text) external _processor_control
00000001803b6370 (__TEXT,__text) external _processor_exit
00000001803b6930 (__TEXT,__text) external _processor_get_assignment
00000001803b6484 (__TEXT,__text) external _processor_info
00000001803aefd4 (__TEXT,__text) external _processor_set_create
00000001803aee74 (__TEXT,__text) external _processor_set_default
00000001803b5420 (__TEXT,__text) external _processor_set_destroy
00000001803b5ebc (__TEXT,__text) external _processor_set_info
00000001803b5538 (__TEXT,__text) external _processor_set_max_priority
00000001803b5bb4 (__TEXT,__text) external _processor_set_policy_control
00000001803b5780 (__TEXT,__text) external _processor_set_policy_disable
00000001803b565c (__TEXT,__text) external _processor_set_policy_enable
00000001803b5d2c (__TEXT,__text) external _processor_set_stack_usage
00000001803b5240 (__TEXT,__text) external _processor_set_statistics
00000001803b58a4 (__TEXT,__text) external _processor_set_tasks
00000001803b60c4 (__TEXT,__text) external _processor_set_tasks_with_flavor
00000001803b5a2c (__TEXT,__text) external _processor_set_threads
00000001803b625c (__TEXT,__text) external _processor_start
00000001803a77b0 (__TEXT,__text) external _pselect
00000001803941b8 (__TEXT,__text) external _pselect$DARWIN_EXTSN
00000001803a05f4 (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
00000001803a793c (__TEXT,__text) external _pselect$NOCANCEL
000000018038fb90 (__TEXT,__text) external _pthread_getugid_np
0000000180397728 (__TEXT,__text) external _pthread_setugid_np
0000000180396cf0 (__TEXT,__text) external _ptrace
0000000180391768 (__TEXT,__text) external _pwrite
000000018039bae4 (__TEXT,__text) external _pwrite$NOCANCEL
000000018039ce3c (__TEXT,__text) external _pwritev
000000018039bb10 (__TEXT,__text) external _pwritev$NOCANCEL
00000001803a02e0 (__TEXT,__text) external _quota
0000000180394344 (__TEXT,__text) external _quotactl
000000018038ec04 (__TEXT,__text) external _read
000000018038ffbc (__TEXT,__text) external _read$NOCANCEL
0000000180390470 (__TEXT,__text) external _readlink
000000018039ce68 (__TEXT,__text) external _readlinkat
000000018039ce94 (__TEXT,__text) external _readv
000000018039bb3c (__TEXT,__text) external _readv$NOCANCEL
000000018039d5dc (__TEXT,__text) non-external _reallocf
000000018039fda0 (__TEXT,__text) external _reboot
000000018039fda8 (__TEXT,__text) external _reboot_np
00000001803a77ac (__TEXT,__text) external _record_system_event_as_kernel
00000001803925d8 (__TEXT,__text) external _recvfrom
00000001803924a0 (__TEXT,__text) external _recvfrom$NOCANCEL
0000000180392a08 (__TEXT,__text) external _recvmsg
000000018039bbc0 (__TEXT,__text) external _recvmsg$NOCANCEL
000000018039cec0 (__TEXT,__text) external _recvmsg_x
000000018039ceec (__TEXT,__text) external _register_uexc_handler
0000000180392f20 (__TEXT,__text) external _removexattr
0000000180391b98 (__TEXT,__text) external _rename
00000001803a2574 (__TEXT,__text) external _rename_ext
000000018039fe3c (__TEXT,__text) external _renameat
00000001803a2508 (__TEXT,__text) external _renameatx_np
00000001803a2534 (__TEXT,__text) external _renamex_np
000000018039cf18 (__TEXT,__text) external _revoke
0000000180391c04 (__TEXT,__text) external _rmdir
000000018039cf44 (__TEXT,__text) external _searchfs
00000001803926e0 (__TEXT,__text) external _select
0000000180399128 (__TEXT,__text) external _select$DARWIN_EXTSN
0000000180392474 (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
0000000180392440 (__TEXT,__text) external _select$NOCANCEL
00000001803979d0 (__TEXT,__text) external _sem_close
00000001803a73b0 (__TEXT,__text) external _sem_destroy
00000001803a73d8 (__TEXT,__text) external _sem_getvalue
00000001803a7400 (__TEXT,__text) external _sem_init
000000018039ad90 (__TEXT,__text) external _sem_open
000000018039cf70 (__TEXT,__text) external _sem_post
000000018039cf9c (__TEXT,__text) external _sem_trywait
000000018039cfc8 (__TEXT,__text) external _sem_unlink
000000018039cff4 (__TEXT,__text) external _sem_wait
000000018039bc44 (__TEXT,__text) external _sem_wait$NOCANCEL
0000000180390f70 (__TEXT,__text) external _semaphore_create
0000000180391304 (__TEXT,__text) external _semaphore_destroy
00000001803910e0 (__TEXT,__text) external _semaphore_signal
00000001803a0400 (__TEXT,__text) external _semaphore_signal_all
000000018038dfac (__TEXT,__text) external _semaphore_signal_all_trap
00000001803a0404 (__TEXT,__text) external _semaphore_signal_thread
000000018038dfb8 (__TEXT,__text) external _semaphore_signal_thread_trap
000000018038dfa0 (__TEXT,__text) external _semaphore_signal_trap
0000000180392c98 (__TEXT,__text) external _semaphore_timedwait
00000001803a040c (__TEXT,__text) external _semaphore_timedwait_signal
000000018038dfe8 (__TEXT,__text) external _semaphore_timedwait_signal_trap
000000018038dfdc (__TEXT,__text) external _semaphore_timedwait_trap
00000001803910dc (__TEXT,__text) external _semaphore_wait
00000001803a0408 (__TEXT,__text) external _semaphore_wait_signal
000000018038dfd0 (__TEXT,__text) external _semaphore_wait_signal_trap
000000018038dfc4 (__TEXT,__text) external _semaphore_wait_trap
000000018039ae14 (__TEXT,__text) external _semctl
000000018039d020 (__TEXT,__text) external _semget
000000018039d04c (__TEXT,__text) external _semop
000000018039adf0 (__TEXT,__text) external _semsys
000000018039d078 (__TEXT,__text) external _sendfile
0000000180393bc8 (__TEXT,__text) external _sendmsg
00000001803924f8 (__TEXT,__text) external _sendmsg$NOCANCEL
000000018039d0a4 (__TEXT,__text) external _sendmsg_x
00000001803925ac (__TEXT,__text) external _sendto
0000000180392414 (__TEXT,__text) external _sendto$NOCANCEL
00000001803917c0 (__TEXT,__text) external _setattrlist
000000018039d0d0 (__TEXT,__text) external _setattrlistat
00000001803aa8b4 (__TEXT,__text) external _setaudit
000000018039d0fc (__TEXT,__text) external _setaudit_addr
000000018039d128 (__TEXT,__text) external _setauid
0000000180397780 (__TEXT,__text) external _setegid
0000000180397754 (__TEXT,__text) external _seteuid
00000001803974b4 (__TEXT,__text) external _setgid
000000018039d154 (__TEXT,__text) external _setgroups
0000000180395b74 (__TEXT,__text) external _setiopolicy_np
000000018039688c (__TEXT,__text) external _setitimer
0000000180399b04 (__TEXT,__text) external _setpgid
