00000001d98fb4a4 (__TEXT,__text) non-external +[NFPromise new]
00000001f56a41d0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?0d8l
00000001f56a3fc0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<?>8l
00000001f56a40b0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<v?>8l
00000001f56a3d90 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001f56a4170 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"16?0?<v??<v?>?<v?"NSError">>8l
00000001f56a4080 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"816l
00000001f56a4230 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8d16l
00000001f56a3ff0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<?>16l
00000001f56a40e0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v?>16l
00000001f56a3e40 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
00000001f56a41a0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e83_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v??<v?>?<v?"NSError">>16l
00000001f56a4020 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_16?08l
00000001f56a3eb0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_v16?08l
00000001f56a4370 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e30_v16?0"NSObject<OS_nw_path>"8l
00000001f56a4450 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e17_v16?0"NSError"8l
00000001f56a4480 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e5_v8?0l
00000001f56a4420 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e8_16?08l
00000001f56a43c0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40r_e5_v8?0l
00000001f56a4320 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e23_v32?0Q816"NSError"24l
00000001f56a4110 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e34_v24?0?<v?>8?<v?"NSError">16l
00000001f56a4260 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e5_v8?0l
00000001f56a43f0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e14_v16?0?<v?>8l
00000001f56a4200 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s_e8_16?08l
00000001f56a42c0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e23_v32?0Q816"NSError"24l
00000001f56a3f70 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e34_v24?0?<v?>8?<v?"NSError">16l
00000001f56a3dc0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e16_"NFPromise"8?0l
00000001f56a3df0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e8_16?08l
00000001f56a4290 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001f56a3f40 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40bs48bs56bs_e8_v16?08l
00000001f56a3f10 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48bs56bs_e5_v8?0l
00000001f56a3d50 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f56a3e70 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f56a4350 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f56a44b0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f56a44d0 (__AUTH_CONST,__const) non-external ___block_literal_global.16
00000001f56a3fa0 (__AUTH_CONST,__const) non-external ___block_literal_global.28
00000001f56a3d70 (__AUTH_CONST,__const) non-external ___block_literal_global.3
00000001f56a3e90 (__AUTH_CONST,__const) non-external ___block_literal_global.4
00000001f56a3e20 (__AUTH_CONST,__const) non-external ___block_literal_global.54
00000001f56a43a0 (__AUTH_CONST,__const) non-external ___block_literal_global.7
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001d98fc4d4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001d98ff194 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40b
00000001d98fefd0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40r
00000001d98f8590 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001d98fc450 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001d98fd824 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00000001d98fbb18 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b56b
00000001d98ff060 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00000001d98fcd14 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00000001d98fbb80 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00000001d98fba6c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b56b
00000001d98fa7ec (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00000001d98fe0bc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00000001d98f8598 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001d98ff020 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00000001d98fc498 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001d98fa830 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001d98fbacc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00000001d98fe0c8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
                 (undefined) external ___kCFBooleanTrue (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001d98fb050 (__TEXT,__text) non-external ___zalgoIfMain_block_invoke
00000001d98fafa0 (__TEXT,__text) non-external ___zalgo_block_invoke
                 (undefined) external __dispatch_main_q (from libSystem)
00000001d99003ec (__TEXT,__text) non-external __getNSValueBytes
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external _dispatch_after (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
00000001ecb32560 (__DATA,__data) external _kNFPromiseErrorDomain
00000001ecb32550 (__DATA,__data) external _kNFPromiseSealingErrorCode
00000001ecb32558 (__DATA,__data) external _kNFPromiseTimeoutErrorCode
00000001e86df268 (__DATA_CONST,__const) external _kNFReachabilityChangedNotification
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _nw_path_get_status (from Network)
                 (undefined) external _nw_path_is_constrained (from Network)
                 (undefined) external _nw_path_is_equal (from Network)
                 (undefined) external _nw_path_is_expensive (from Network)
                 (undefined) external _nw_path_monitor_cancel (from Network)
                 (undefined) external _nw_path_monitor_create (from Network)
                 (undefined) external _nw_path_monitor_set_queue (from Network)
                 (undefined) external _nw_path_monitor_set_update_handler (from Network)
                 (undefined) external _nw_path_monitor_start (from Network)
                 (undefined) external _nw_path_uses_interface_type (from Network)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_exception_throw (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
00000001d9905340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUID
00000001d9905360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUIDString
00000001d9905380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_currentNetworkStatus
00000001d99053a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_statusFromNetworkPath:
00000001d99053c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_updateCurrentNetworkPath:
00000001d99053e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$activate
00000001d9905400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000001d9905420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allValues
00000001d9905440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$alwaysOn:always:
00000001d9905460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
00000001d9905480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendString:
00000001d99054a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
00000001d99054c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:onQueue:withError:
00000001d99054e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:onQueue:withValue:
00000001d9905500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:withValue:
00000001d9905520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asVoid
00000001d9905540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asVoid:
00000001d9905560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$attemptTriggersForCurrentEvent:
00000001d9905580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$block
00000001d99055a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bytes
00000001d99055c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$canTry:withOwner:
00000001d99055e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$canTryBlock
00000001d9905600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$characterAtIndex:
00000001d9905620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$children
00000001d9905640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$code
00000001d9905660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
00000001d9905680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$constructor
00000001d99056a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$containsObject:
00000001d99056c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$context
00000001d99056e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
00000001d9905700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000001d9905720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000001d9905740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currentNetworkPath
00000001d9905760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataUsingEncoding:
00000001d9905780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithContentsOfFile:
00000001d99057a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$deactivate
00000001d99057c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeObjectOfClass:forKey:
00000001d99057e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeObjectOfClasses:forKey:
00000001d9905800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultCenter
00000001d9905820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultManager
00000001d9905840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$delegateProtocol
00000001d9905860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$destinationState
00000001d9905880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObject:forKey:
00000001d99058a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
00000001d99058c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didEnter:withOwner:
00000001d99058e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didEnterBlock
00000001d9905900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didExit:withOwner:
00000001d9905920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didExitBlock
00000001d9905940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$domain
00000001d9905960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$error
00000001d9905980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$errorOn:error:
00000001d99059a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$errorWithDomain:code:userInfo:
00000001d99059c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$event
00000001d99059e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$events
00000001d9905a00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$exceptionWithName:reason:userInfo:
00000001d9905a20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fc_createStateMachineErrorForCode:userInfo:
00000001d9905a40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fileSystemRepresentation
00000001d9905a60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireBlock
00000001d9905a80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireOnAny
00000001d9905aa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireOnce
00000001d9905ac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fired:withOwner:
00000001d9905ae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$firstly:
00000001d9905b00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fromState
00000001d9905b20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$getValue:
00000001d9905b40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handleAlwaysTrigger:event:
00000001d9905b60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handleOnceTrigger:event:
00000001d9905b80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handlers
00000001d9905ba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
00000001d9905bc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hashTableWithOptions:
00000001d9905be0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$init
00000001d9905c00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initForReadingFromData:error:
00000001d9905c20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDelegate:delegateProtocol:options:
00000001d9905c40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDomain:code:userInfo:
00000001d9905c60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithError:
00000001d9905c80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFormat:
00000001d9905ca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithKey:fireOnce:fireOnAny:events:block:
00000001d9905cc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithOptions:
00000001d9905ce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithResolver:
00000001d9905d00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithStateMachine:event:fromState:toState:context:
00000001d9905d20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUTF8String:
00000001d9905d40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithValue:
00000001d9905d60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$invokeWithTarget:
00000001d9905d80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqual:
00000001d9905da0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
00000001d9905dc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isMainThread
00000001d9905de0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$key
00000001d9905e00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$length
00000001d9905e20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lock
00000001d9905e40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$methodSignatureForSelector:
00000001d9905e60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$name
00000001d9905e80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClass:
00000001d9905ea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClass:withData:
00000001d9905ec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClasses:withData:
00000001d9905ee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
00000001d9905f00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithUnsignedInteger:
00000001d9905f20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objCType
00000001d9905f40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKey:
00000001d9905f60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$owner
00000001d9905f80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$performWithLockSync:
00000001d9905fa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$postNotificationName:object:
00000001d9905fc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$registerHandler:
00000001d9905fe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$reject:
00000001d9906000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeAllObjects
00000001d9906020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeObject:
00000001d9906040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeObjectForKey:
00000001d9906060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$resolve:
00000001d9906080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$resolveOn:reject:resolve:
00000001d99060a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$seal
00000001d99060c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$seal:error:resolution:
00000001d99060e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$selector
00000001d9906100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCanTryBlock:
00000001d9906120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCurrentNetworkPath:
00000001d9906140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCurrentReachabilityStatus:
00000001d9906160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDidEnterBlock:
00000001d9906180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDidExitBlock:
00000001d99061a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setError:
00000001d99061c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setFireBlock:
00000001d99061e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKey:
00000001d9906200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setSeal:
00000001d9906220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setState:
00000001d9906240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setStatus:
00000001d9906260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setStatusToken:
00000001d9906280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setValue:
00000001d99062a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWillEnterBlock:
00000001d99062c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWillExitBlock:
00000001d99062e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWithObject:
00000001d9906300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$state
00000001d9906320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$states
00000001d9906340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$status
00000001d9906360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$statusToken
00000001d9906380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithCapacity:
00000001d99063a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFileSystemRepresentation:length:
00000001d99063c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFormat:
00000001d99063e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$then:
00000001d9906400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$thenOn:then:
00000001d9906420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeoutAfter:on:
00000001d9906440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$toState
00000001d9906460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$triggerOnAnyEvent:block:
00000001d9906480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$triggers
00000001d99064a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unlock
00000001d99064c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
00000001d99064e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$valueWithBytes:objCType:
00000001d9906500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willEnter:withOwner:
00000001d9906520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willEnterBlock
00000001d9906540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willExit:withOwner:
00000001d9906560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willExitBlock
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_terminate (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_assert_not_owner (from libSystem)
                 (undefined) external _os_unfair_lock_assert_owner (from libSystem)
                 (undefined) external _os_unfair_lock_lock_with_options (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _os_variant_has_internal_content (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _qos_class_self (from libSystem)
00000001edcec2e8 (__DATA_DIRTY,__bss) non-external _sharedInstance.onceToken
00000001edcec2e0 (__DATA_DIRTY,__bss) non-external _sharedInstance.s_reachability
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001d98faf5c (__TEXT,__text) external _zalgo
00000001d9900f14 (__TEXT,__text) non-external _zalgo.cold.1
00000001edcec2d8 (__DATA_DIRTY,__bss) non-external _zalgo.queue
00000001edcec2d0 (__DATA_DIRTY,__bss) non-external _zalgo.token
00000001d98fb00c (__TEXT,__text) external _zalgoIfMain
00000001d9900f28 (__TEXT,__text) non-external _zalgoIfMain.cold.1
00000001edcec2c8 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.queue
00000001edcec2c0 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.token
