0000000182bbf1d8 (__DATA,__data) external _NDR_record
0000000180acc248 (__TEXT,__text) external _mach_voucher_debug_info
0000000180acbd94 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
0000000180acb8fc (__TEXT,__text) external _mach_voucher_extract_attr_content
0000000180ab102c (__TEXT,__text) external _mach_voucher_extract_attr_recipe
0000000180a9a570 (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
0000000180a9a5ac (__TEXT,__text) external _mach_wait_until
0000000180ab7170 (__TEXT,__text) external _mach_zone_force_gc
0000000180ab8080 (__TEXT,__text) external _mach_zone_get_btlog_records
0000000180ab7ef0 (__TEXT,__text) external _mach_zone_get_zlog_zones
0000000180ab6fa4 (__TEXT,__text) external _mach_zone_info
0000000180ab7d44 (__TEXT,__text) external _mach_zone_info_for_largest_zone
0000000180ab7bd4 (__TEXT,__text) external _mach_zone_info_for_zone
0000000180a9a528 (__TEXT,__text) external _macx_backing_store_recovery
0000000180a9a51c (__TEXT,__text) external _macx_backing_store_suspend
0000000180a9a4f8 (__TEXT,__text) external _macx_swapoff
0000000180a9a4ec (__TEXT,__text) external _macx_swapon
0000000180a9a510 (__TEXT,__text) external _macx_triggers
0000000180a9e3a0 (__TEXT,__text) external _madvise
0000000180a9f748 (__TEXT,__text) non-external _malloc
0000000180a9f87c (__TEXT,__text) non-external _malloc_type_malloc
0000000180a9f924 (__TEXT,__text) non-external _malloc_type_realloc
0000000182bbf238 (__DATA,__bss) non-external _master_host_port
0000000180a9f9f0 (__TEXT,__text) non-external _memcpy
0000000180a9e3cc (__TEXT,__text) external _memorystatus_control
0000000180a9e3f8 (__TEXT,__text) external _memorystatus_get_level
0000000180aa3280 (__TEXT,__text) external _mig_allocate
0000000180aa34d4 (__TEXT,__text) external _mig_dealloc_reply_port
0000000180ab0af8 (__TEXT,__text) external _mig_dealloc_special_reply_port
0000000180aa32dc (__TEXT,__text) external _mig_deallocate
0000000180aa3440 (__TEXT,__text) external _mig_get_reply_port
0000000180ab0abc (__TEXT,__text) external _mig_get_special_reply_port
0000000180aa354c (__TEXT,__text) external _mig_put_reply_port
0000000180aa340c (__TEXT,__text) external _mig_reply_setup
0000000180aa3550 (__TEXT,__text) external _mig_strncpy
0000000180aa359c (__TEXT,__text) external _mig_strncpy_zerofill
0000000180a9e424 (__TEXT,__text) external _mincore
0000000180a9e450 (__TEXT,__text) external _minherit
0000000180a9a5d0 (__TEXT,__text) external _mk_timer_arm
0000000180a9a5e8 (__TEXT,__text) external _mk_timer_arm_leeway
0000000180a9a5dc (__TEXT,__text) external _mk_timer_cancel
0000000180a9a5b8 (__TEXT,__text) external _mk_timer_create
0000000180a9a5c4 (__TEXT,__text) external _mk_timer_destroy
0000000180a9e47c (__TEXT,__text) external _mkdir
0000000180a9e4a8 (__TEXT,__text) external _mkdirat
0000000180a9e4d4 (__TEXT,__text) external _mkfifo
0000000180a9e500 (__TEXT,__text) external _mkfifoat
0000000180a9e52c (__TEXT,__text) external _mknod
0000000180a9e558 (__TEXT,__text) external _mknodat
0000000180a9e584 (__TEXT,__text) external _mlock
0000000180a9e5b0 (__TEXT,__text) external _mlockall
0000000180aad0fc (__TEXT,__text) external _mmap
0000000180a9e5dc (__TEXT,__text) external _mount
0000000180a9ba20 (__TEXT,__text) external _mprotect
0000000180a9e608 (__TEXT,__text) external _mremap_encrypted
0000000180aa3708 (__TEXT,__text) external _msg_receive
0000000180aa36f8 (__TEXT,__text) external _msg_rpc
0000000180aa3700 (__TEXT,__text) external _msg_send
0000000180a9ba4c (__TEXT,__text) external _msgctl
0000000180a9e634 (__TEXT,__text) external _msgget
0000000180a9e660 (__TEXT,__text) external _msgrcv
0000000180a9ba78 (__TEXT,__text) external _msgrcv$NOCANCEL
0000000180a9e68c (__TEXT,__text) external _msgsnd
0000000180a9baa4 (__TEXT,__text) external _msgsnd$NOCANCEL
0000000180a9a8a4 (__TEXT,__text) external _msgsys
0000000180a9bafc (__TEXT,__text) external _msync
0000000180a9bb28 (__TEXT,__text) external _msync$NOCANCEL
0000000180a9e6b8 (__TEXT,__text) external _munlock
0000000180a9e6e4 (__TEXT,__text) external _munlockall
0000000180ab1d38 (__TEXT,__text) external _munmap
0000000180a9e710 (__TEXT,__text) external _necp_client_action
0000000180a9e73c (__TEXT,__text) external _necp_match_policy
0000000180a9e768 (__TEXT,__text) external _necp_open
0000000180a9e794 (__TEXT,__text) external _necp_session_action
0000000180a9e7c0 (__TEXT,__text) external _necp_session_open
0000000180a9e7ec (__TEXT,__text) external _net_qos_guideline
0000000180a9e818 (__TEXT,__text) external _netagent_trigger
0000000180abfefc (__TEXT,__text) external _netname_check_in
0000000180ac02ec (__TEXT,__text) external _netname_check_out
0000000180ac00a0 (__TEXT,__text) external _netname_look_up
0000000180ac048c (__TEXT,__text) external _netname_version
0000000180aa5f58 (__TEXT,__text) external _nfsclnt
0000000180a9e844 (__TEXT,__text) external _nfssvc
0000000182bbf1c8 (__DATA,__data) external _non_boost_assertion_token
0000000182bbf1c0 (__DATA,__data) external _normal_boost_assertion_token
0000000180a9e870 (__TEXT,__text) external _ntp_adjtime
0000000180a9e89c (__TEXT,__text) external _ntp_gettime
0000000180a9e8c8 (__TEXT,__text) external _objc_bp_assist_cfg_np
0000000180aaeee8 (__TEXT,__text) external _open
0000000180aa5fe4 (__TEXT,__text) external _open$NOCANCEL
0000000180aaf9c4 (__TEXT,__text) external _open_dprotected_np
0000000180aaef1c (__TEXT,__text) external _openat
0000000180aa6018 (__TEXT,__text) external _openat$NOCANCEL
0000000180aafa88 (__TEXT,__text) external _openat_authenticated_np
0000000180aafa24 (__TEXT,__text) external _openat_dprotected_np
0000000180a9e8f4 (__TEXT,__text) external _openbyid_np
0000000180aa1490 (__TEXT,__text) external _os_buflet_get_data_address
0000000180aa1460 (__TEXT,__text) external _os_buflet_get_data_length
0000000180aa1498 (__TEXT,__text) external _os_buflet_get_data_limit
0000000180aa1458 (__TEXT,__text) external _os_buflet_get_data_offset
0000000180aa1480 (__TEXT,__text) external _os_buflet_get_object_address
0000000180aa1488 (__TEXT,__text) external _os_buflet_get_object_limit
0000000180aa1474 (__TEXT,__text) external _os_buflet_set_data_length
0000000180aa1468 (__TEXT,__text) external _os_buflet_set_data_offset
0000000180aaa4c0 (__TEXT,__text) external _os_channel_advance_slot
0000000180aab108 (__TEXT,__text) external _os_channel_attr_clone
0000000180aab06c (__TEXT,__text) external _os_channel_attr_create
0000000180aab334 (__TEXT,__text) external _os_channel_attr_destroy
0000000180aab5a4 (__TEXT,__text) external _os_channel_attr_get
0000000180aab758 (__TEXT,__text) external _os_channel_attr_get_key
0000000180aab414 (__TEXT,__text) external _os_channel_attr_set
0000000180aab19c (__TEXT,__text) external _os_channel_attr_set_key
0000000180aaa468 (__TEXT,__text) external _os_channel_available_slot_count
0000000180aaccc0 (__TEXT,__text) external _os_channel_buflet_alloc
0000000180aac67c (__TEXT,__text) external _os_channel_buflet_free
0000000180aacc8c (__TEXT,__text) external _os_channel_configure_interface_advisory
0000000180aaa0bc (__TEXT,__text) external _os_channel_create
0000000180aa9674 (__TEXT,__text) external _os_channel_create_extended
0000000180aaa244 (__TEXT,__text) external _os_channel_destroy
0000000180aacbf0 (__TEXT,__text) external _os_channel_event_free
0000000180ab0658 (__TEXT,__text) external _os_channel_event_get_event_data
0000000180ab05a4 (__TEXT,__text) external _os_channel_event_get_next_event
0000000180aaacb8 (__TEXT,__text) external _os_channel_flow_admissible
0000000180aaae90 (__TEXT,__text) external _os_channel_flow_adv_get_ce_count
0000000180aaac94 (__TEXT,__text) external _os_channel_get_advisory_region
0000000180aaa0cc (__TEXT,__text) external _os_channel_get_fd
0000000180aacbf4 (__TEXT,__text) external _os_channel_get_interface_advisory
0000000180aac80c (__TEXT,__text) external _os_channel_get_next_event_handle
0000000180aaa54c (__TEXT,__text) external _os_channel_get_next_slot
0000000180aaac24 (__TEXT,__text) external _os_channel_get_stats_region
0000000180aa9e84 (__TEXT,__text) non-external _os_channel_info2attr
0000000180aa9fa0 (__TEXT,__text) non-external _os_channel_init_ring
0000000180aaa338 (__TEXT,__text) external _os_channel_is_defunct
0000000180aabc38 (__TEXT,__text) external _os_channel_large_packet_alloc
0000000180aab7d4 (__TEXT,__text) external _os_channel_packet_alloc
0000000180aab7dc (__TEXT,__text) non-external _os_channel_packet_alloc_common
0000000180aabc40 (__TEXT,__text) external _os_channel_packet_free
0000000180aac0f4 (__TEXT,__text) external _os_channel_packet_pool_purge
0000000180aaa438 (__TEXT,__text) external _os_channel_pending
0000000180aac3d8 (__TEXT,__text) non-external _os_channel_purge_packet_alloc_ring_common
0000000180aaa0d4 (__TEXT,__text) external _os_channel_read_attr
0000000180aaa1f4 (__TEXT,__text) external _os_channel_read_nexus_extension_info
0000000180aaa34c (__TEXT,__text) external _os_channel_ring_id
0000000180aaa45c (__TEXT,__text) external _os_channel_ring_notify_time
0000000180aaa450 (__TEXT,__text) external _os_channel_ring_sync_time
0000000180aaa3dc (__TEXT,__text) external _os_channel_rx_ring
0000000180aaa984 (__TEXT,__text) external _os_channel_set_slot_properties
0000000180aabdc8 (__TEXT,__text) external _os_channel_slot_attach_packet
0000000180aabf54 (__TEXT,__text) external _os_channel_slot_detach_packet
0000000180aaaac0 (__TEXT,__text) external _os_channel_slot_get_packet
0000000180aaa218 (__TEXT,__text) external _os_channel_sync
0000000180aaa398 (__TEXT,__text) external _os_channel_tx_ring
0000000180aaa128 (__TEXT,__text) external _os_channel_write_attr
0000000180aa141c (__TEXT,__text) external _os_copy_and_inet_checksum
0000000180a9a600 (__TEXT,__text) external _os_cpu_copy_in_cksum
0000000180aaf8d0 (__TEXT,__text) external _os_cpu_in_cksum
0000000180a9a000 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
0000000180a9e920 (__TEXT,__text) external _os_fault_with_payload
0000000180aa1418 (__TEXT,__text) external _os_inet_checksum
0000000180aa8d70 (__TEXT,__text) external _os_log_coprocessor_as_kernel
0000000180aa8d74 (__TEXT,__text) external _os_log_coprocessor_register_as_kernel
0000000180aadba8 (__TEXT,__text) external _os_nexus_attr_clone
0000000180aadb0c (__TEXT,__text) external _os_nexus_attr_create
0000000180aade24 (__TEXT,__text) external _os_nexus_attr_destroy
0000000180aaddf0 (__TEXT,__text) external _os_nexus_attr_get
0000000180aadc04 (__TEXT,__text) external _os_nexus_attr_set
0000000180aae598 (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
0000000180aae268 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
0000000180aae288 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
0000000180aade74 (__TEXT,__text) external _os_nexus_controller_create
0000000180aae25c (__TEXT,__text) external _os_nexus_controller_deregister_provider
0000000180aae984 (__TEXT,__text) external _os_nexus_controller_destroy
0000000180aae27c (__TEXT,__text) external _os_nexus_controller_free_provider_instance
0000000180aadf74 (__TEXT,__text) external _os_nexus_controller_get_fd
0000000180aae798 (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
0000000180aae434 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
0000000180aadf7c (__TEXT,__text) external _os_nexus_controller_register_provider
0000000180aae6fc (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
0000000180aae3b4 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
0000000180aaed2c (__TEXT,__text) external _os_nexus_flow_set_wake_from_sleep
0000000180aa12e8 (__TEXT,__text) external _os_packet_add_buflet
0000000180aa08d4 (__TEXT,__text) external _os_packet_add_inet_csum_flags
0000000180aa0a0c (__TEXT,__text) external _os_packet_clear_flow_uuid
0000000180aa1394 (__TEXT,__text) external _os_packet_decrement_use_count
0000000180aa113c (__TEXT,__text) external _os_packet_finalize
0000000180aa13bc (__TEXT,__text) external _os_packet_get_aggregation_type
0000000180aa104c (__TEXT,__text) external _os_packet_get_buflet_count
0000000180aa0758 (__TEXT,__text) external _os_packet_get_compression_generation_count
0000000180aa1040 (__TEXT,__text) external _os_packet_get_data_length
0000000180aa0ad0 (__TEXT,__text) external _os_packet_get_expire_time
0000000180aa0b5c (__TEXT,__text) external _os_packet_get_expiry_action
0000000180aa095c (__TEXT,__text) external _os_packet_get_flow_uuid
0000000180aa0aa4 (__TEXT,__text) external _os_packet_get_group_end
0000000180aa0a48 (__TEXT,__text) external _os_packet_get_group_start
0000000180aa01e0 (__TEXT,__text) external _os_packet_get_headroom
0000000180aa0910 (__TEXT,__text) external _os_packet_get_inet_checksum
0000000180aa0f84 (__TEXT,__text) external _os_packet_get_keep_alive
0000000180aa02d4 (__TEXT,__text) external _os_packet_get_link_broadcast
0000000180aa03f4 (__TEXT,__text) external _os_packet_get_link_ethfcs
0000000180aa0260 (__TEXT,__text) external _os_packet_get_link_header_length
0000000180aa0364 (__TEXT,__text) external _os_packet_get_link_multicast
0000000180aa1088 (__TEXT,__text) external _os_packet_get_next_buflet
0000000180aa0d4c (__TEXT,__text) external _os_packet_get_packetid
0000000180aa1114 (__TEXT,__text) external _os_packet_get_segment_count
0000000180aa0668 (__TEXT,__text) external _os_packet_get_service_class
0000000180aa0bf0 (__TEXT,__text) external _os_packet_get_token
0000000180aa14a0 (__TEXT,__text) external _os_packet_get_trace_id
0000000180aa07d0 (__TEXT,__text) external _os_packet_get_traffic_class
0000000180aa052c (__TEXT,__text) external _os_packet_get_transport_retransmit
0000000180aa046c (__TEXT,__text) external _os_packet_get_transport_traffic_background
0000000180aa04cc (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
0000000180aa0fcc (__TEXT,__text) external _os_packet_get_truncated
0000000180aa0f04 (__TEXT,__text) external _os_packet_get_vlan_id
0000000180aa0f0c (__TEXT,__text) external _os_packet_get_vlan_priority
0000000180aa0e9c (__TEXT,__text) external _os_packet_get_vlan_tag
0000000180aa0f74 (__TEXT,__text) external _os_packet_get_wake_flag
0000000180aa1368 (__TEXT,__text) external _os_packet_increment_use_count
0000000180aa0f14 (__TEXT,__text) external _os_packet_set_app_metadata
0000000180aa072c (__TEXT,__text) external _os_packet_set_compression_generation_count
0000000180aa0b1c (__TEXT,__text) external _os_packet_set_expire_time
0000000180aa0ba8 (__TEXT,__text) external _os_packet_set_expiry_action
0000000180aa09b4 (__TEXT,__text) external _os_packet_set_flow_uuid
0000000180aa0a74 (__TEXT,__text) external _os_packet_set_group_end
0000000180aa0a18 (__TEXT,__text) external _os_packet_set_group_start
0000000180aa0188 (__TEXT,__text) external _os_packet_set_headroom
0000000180aa0894 (__TEXT,__text) external _os_packet_set_inet_checksum
0000000180aa0f94 (__TEXT,__text) external _os_packet_set_keep_alive
0000000180aa1010 (__TEXT,__text) external _os_packet_set_l4s_flag
0000000180aa0288 (__TEXT,__text) external _os_packet_set_link_broadcast
0000000180aa03a8 (__TEXT,__text) external _os_packet_set_link_ethfcs
0000000180aa0220 (__TEXT,__text) external _os_packet_set_link_header_length
0000000180aa0318 (__TEXT,__text) external _os_packet_set_link_multicast
0000000180aa0dc8 (__TEXT,__text) external _os_packet_set_packetid
0000000180aa155c (__TEXT,__text) external _os_packet_set_protocol_segment_size
0000000180aa058c (__TEXT,__text) external _os_packet_set_service_class
0000000180aa0ca8 (__TEXT,__text) external _os_packet_set_token
0000000180aa14c0 (__TEXT,__text) external _os_packet_set_trace_id
0000000180aa07a0 (__TEXT,__text) external _os_packet_set_traffic_class
0000000180aa0558 (__TEXT,__text) external _os_packet_set_transport_last_packet
0000000180aa04f8 (__TEXT,__text) external _os_packet_set_transport_retransmit
0000000180aa0438 (__TEXT,__text) external _os_packet_set_transport_traffic_background
0000000180aa0498 (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
0000000180aa1588 (__TEXT,__text) external _os_packet_set_tso_flags
0000000180aa13e4 (__TEXT,__text) external _os_packet_set_tx_timestamp
0000000180aa0e3c (__TEXT,__text) external _os_packet_set_vlan_tag
0000000180aa14e8 (__TEXT,__text) external _os_packet_trace_event
0000000180aa3fa8 (__TEXT,__text) external _os_proc_available_memory
0000000180aa3620 (__TEXT,__text) external _panic
0000000180aa3614 (__TEXT,__text) external _panic_init
0000000180a9e94c (__TEXT,__text) external _panic_with_data
0000000180a9e978 (__TEXT,__text) external _pathconf
0000000180a9e9a4 (__TEXT,__text) external _peeloff
0000000180a9a4d4 (__TEXT,__text) external _pid_for_task
0000000180a9e9d0 (__TEXT,__text) external _pid_hibernate
0000000180a9e9fc (__TEXT,__text) external _pid_resume
0000000180aacf68 (__TEXT,__text) external _pid_shutdown_networking
0000000180a9ea28 (__TEXT,__text) external _pid_shutdown_sockets
0000000180a9ea54 (__TEXT,__text) external _pid_suspend
0000000180a9be6c (__TEXT,__text) external _pipe
0000000180a9ea80 (__TEXT,__text) external _pivot_root
0000000180aa0138 (__TEXT,__text) external _pkt_subtype_assert_fail
0000000180aa0160 (__TEXT,__text) external _pkt_type_assert_fail
0000000180a9eaac (__TEXT,__text) external _poll
0000000180a9bea4 (__TEXT,__text) external _poll$NOCANCEL
0000000180aa0060 (__TEXT,__text) non-external _port_for_id_internal
0000000180aa3670 (__TEXT,__text) external _port_obj_init
0000000182bbf2a0 (__DATA,__common) external _port_obj_table
0000000182bbf1b0 (__DATA,__data) external _port_obj_table_size
0000000180a9e3a0 (__TEXT,__text) external _posix_madvise
0000000180aa8b98 (__TEXT,__text) external _posix_spawn
0000000180aa77b8 (__TEXT,__text) non-external _posix_spawn_appendportaction_np
0000000180aa7ce0 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
0000000180aa7e30 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
0000000180aa7b90 (__TEXT,__text) external _posix_spawn_file_actions_addclose
0000000180aa7c2c (__TEXT,__text) external _posix_spawn_file_actions_adddup2
0000000180aa7ef8 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
0000000180aa7d94 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
0000000180aa7a28 (__TEXT,__text) external _posix_spawn_file_actions_addopen
0000000180aa7994 (__TEXT,__text) external _posix_spawn_file_actions_destroy
0000000180aa7938 (__TEXT,__text) external _posix_spawn_file_actions_init
0000000180aa6e18 (__TEXT,__text) external _posix_spawnattr_destroy
0000000180aa76d8 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
0000000180aa851c (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
0000000180aa84d8 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
0000000180aa7254 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
0000000180aa71ec (__TEXT,__text) external _posix_spawnattr_getbinpref_np
0000000180aa7fdc (__TEXT,__text) external _posix_spawnattr_getcpumonitor
0000000180aa715c (__TEXT,__text) external _posix_spawnattr_getflags
0000000180aa81b4 (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
0000000180aa72c8 (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
0000000180aa71a4 (__TEXT,__text) external _posix_spawnattr_getpgroup
0000000180aa72ec (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
0000000180aa7180 (__TEXT,__text) external _posix_spawnattr_getsigdefault
0000000180aa71c8 (__TEXT,__text) external _posix_spawnattr_getsigmask
0000000180aa6d40 (__TEXT,__text) external _posix_spawnattr_init
0000000180aa7700 (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
0000000180aa89a8 (__TEXT,__text) external _posix_spawnattr_set_conclave_id_np
0000000180aa7748 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
0000000180aa7728 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
0000000180aa7768 (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
0000000180aa86e8 (__TEXT,__text) external _posix_spawnattr_set_csm_np
0000000180aa84fc (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
0000000180aa8a7c (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
0000000180aa87f4 (__TEXT,__text) external _posix_spawnattr_set_gid_np
0000000180aa8854 (__TEXT,__text) external _posix_spawnattr_set_groups_np
0000000180aa8054 (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
0000000180aa8abc (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
0000000180acd0e0 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
0000000180aa8a9c (__TEXT,__text) external _posix_spawnattr_set_kqworklooplimit_ext
0000000180aa8b78 (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
0000000180aa88f4 (__TEXT,__text) external _posix_spawnattr_set_login_np
0000000180aa86a4 (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
0000000180aa8608 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
0000000180aa863c (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
0000000180aa8540 (__TEXT,__text) external _posix_spawnattr_set_persona_np
0000000180aa85d8 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
0000000180aa76b8 (__TEXT,__text) external _posix_spawnattr_set_platform_np
0000000180aa8a5c (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
0000000180aa817c (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
0000000180aa84a8 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
0000000180aa80e8 (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
0000000180aa7574 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
0000000180aa8034 (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
0000000180aa8740 (__TEXT,__text) external _posix_spawnattr_set_uid_np
0000000180aa7538 (__TEXT,__text) external _posix_spawnattr_set_use_sec_transition_shims_np
0000000180aa7420 (__TEXT,__text) external _posix_spawnattr_setarchpref_np
0000000180aa7900 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
0000000180aa7378 (__TEXT,__text) external _posix_spawnattr_setbinpref_np
0000000180aa83fc (__TEXT,__text) external _posix_spawnattr_setcoalition_np
0000000180aa7fbc (__TEXT,__text) external _posix_spawnattr_setcpumonitor
0000000180aa7f94 (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
0000000180aa750c (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
0000000180aa78cc (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
0000000180aa713c (__TEXT,__text) external _posix_spawnattr_setflags
0000000180aa8008 (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
0000000180aa8278 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
0000000180aa86c4 (__TEXT,__text) external _posix_spawnattr_setnosmt_np
0000000180aa74cc (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
0000000180aa7334 (__TEXT,__text) external _posix_spawnattr_setpgroup
0000000180aa74ec (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
0000000180aa7310 (__TEXT,__text) external _posix_spawnattr_setsigdefault
0000000180aa7354 (__TEXT,__text) external _posix_spawnattr_setsigmask
0000000180aa7788 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
0000000180a9ead8 (__TEXT,__text) external _pread
0000000180a9befc (__TEXT,__text) external _pread$NOCANCEL
0000000180a9eb04 (__TEXT,__text) external _preadv
0000000180a9bf28 (__TEXT,__text) external _preadv$NOCANCEL
0000000180aa6180 (__TEXT,__text) non-external _prepare_times_array_and_attrs
0000000180aa5618 (__TEXT,__text) external _proc_clear_cpulimits
0000000180aa5930 (__TEXT,__text) external _proc_clear_delayidlesleep
0000000180aa4e5c (__TEXT,__text) external _proc_clear_dirty
0000000180aa5810 (__TEXT,__text) external _proc_clear_vmpressure
0000000180aa4bd4 (__TEXT,__text) external _proc_current_thread_schedinfo
0000000180aa5804 (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
0000000180aa580c (__TEXT,__text) external _proc_denap_assertion_complete
0000000180aa5990 (__TEXT,__text) external _proc_disable_apptype
0000000180aa52c8 (__TEXT,__text) external _proc_disable_cpumon
0000000180aa5530 (__TEXT,__text) external _proc_disable_wakemon
0000000180aa5678 (__TEXT,__text) external _proc_donate_importance_boost
0000000180aa5a08 (__TEXT,__text) external _proc_enable_apptype
0000000180aa51dc (__TEXT,__text) external _proc_get_cpumon_params
0000000180aa4de0 (__TEXT,__text) external _proc_get_dirty
0000000180aa54ac (__TEXT,__text) external _proc_get_wakemon_params
0000000180aa56d0 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
0000000180aa578c (__TEXT,__text) external _proc_importance_assertion_complete
0000000180aa4a14 (__TEXT,__text) external _proc_kmsgbuf
0000000180aa4c80 (__TEXT,__text) external _proc_libversion
0000000180aa5580 (__TEXT,__text) external _proc_list_dynkqueueids
0000000180aa5564 (__TEXT,__text) external _proc_list_uptrs
0000000180aa459c (__TEXT,__text) external _proc_listallpids
0000000180aa4614 (__TEXT,__text) external _proc_listchildpids
0000000180aa46e0 (__TEXT,__text) external _proc_listcoalitions
0000000180aa45d8 (__TEXT,__text) external _proc_listpgrppids
0000000180aa4564 (__TEXT,__text) external _proc_listpids
0000000180aafaf0 (__TEXT,__text) external _proc_listpidspath
0000000180aa4840 (__TEXT,__text) external _proc_name
0000000180aa4718 (__TEXT,__text) external _proc_pid_rusage
0000000180aa47ec (__TEXT,__text) external _proc_piddynkqueueinfo
0000000180aa477c (__TEXT,__text) external _proc_pidfdinfo
0000000180aa47b4 (__TEXT,__text) external _proc_pidfileportinfo
0000000180aa4650 (__TEXT,__text) external _proc_pidinfo
0000000180aa4688 (__TEXT,__text) external _proc_pidoriginatorinfo
0000000180aa4a4c (__TEXT,__text) external _proc_pidpath
0000000180aa4b0c (__TEXT,__text) external _proc_pidpath_audittoken
0000000180aa4918 (__TEXT,__text) external _proc_regionfilename
0000000180aa560c (__TEXT,__text) external _proc_reset_footprint_interval
0000000180aa52a8 (__TEXT,__text) external _proc_resume_cpumon
0000000180a9eb30 (__TEXT,__text) external _proc_rlimit_control
0000000180aa525c (__TEXT,__text) external _proc_set_cpumon_defaults
0000000180aa5190 (__TEXT,__text) external _proc_set_cpumon_params
0000000180aa5314 (__TEXT,__text) external _proc_set_cpumon_params_fatal
0000000180aa5b50 (__TEXT,__text) external _proc_set_csm
0000000180aa58d0 (__TEXT,__text) external _proc_set_delayidlesleep
0000000180aa4d80 (__TEXT,__text) external _proc_set_dirty
0000000180aa5a88 (__TEXT,__text) external _proc_set_no_smt
0000000180aa5870 (__TEXT,__text) external _proc_set_owner_vmpressure
0000000180aa54fc (__TEXT,__text) external _proc_set_wakemon_defaults
0000000180aa5478 (__TEXT,__text) external _proc_set_wakemon_params
0000000180aa559c (__TEXT,__text) external _proc_setcpu_percentage
0000000180aa4ca0 (__TEXT,__text) external _proc_setpcontrol
0000000180aa4734 (__TEXT,__text) external _proc_setthread_cpupercent
0000000180aa5c14 (__TEXT,__text) external _proc_setthread_csm
0000000180aa5aec (__TEXT,__text) external _proc_setthread_no_smt
0000000180aa4f38 (__TEXT,__text) external _proc_signal_delegate
0000000180aa503c (__TEXT,__text) external _proc_signal_with_audittoken
0000000180aa5a80 (__TEXT,__text) external _proc_suppress
0000000180aa4ebc (__TEXT,__text) external _proc_terminate
0000000180aa5118 (__TEXT,__text) external _proc_terminate_all_rsr
0000000180aa4fa8 (__TEXT,__text) external _proc_terminate_delegate
0000000180aa5098 (__TEXT,__text) external _proc_terminate_with_audittoken
0000000180a9eb5c (__TEXT,__text) external _proc_trace_log
0000000180aa4d20 (__TEXT,__text) external _proc_track_dirty
0000000180aa4824 (__TEXT,__text) external _proc_udata_info
0000000180a9eb88 (__TEXT,__text) external _proc_uuid_policy
0000000180abfc74 (__TEXT,__text) external _processor_assign
