00000001ebf7b8d0 (__DATA,__data) external _NDR_record
00000001804375e8 (__TEXT,__text) non-external _malloc
00000001ebf7b910 (__DATA,__bss) non-external _master_host_port
0000000180430eec (__TEXT,__text) non-external _memcpy
0000000180430eec (__TEXT,__text) non-external _memmove
0000000180439a90 (__TEXT,__text) external _memorystatus_control
000000018043f3d8 (__TEXT,__text) external _memorystatus_get_level
00000001804434d8 (__TEXT,__text) external _mig_allocate
0000000180433e18 (__TEXT,__text) external _mig_dealloc_reply_port
000000018044e398 (__TEXT,__text) external _mig_dealloc_special_reply_port
000000018043676c (__TEXT,__text) external _mig_deallocate
0000000180430efc (__TEXT,__text) external _mig_get_reply_port
0000000180432360 (__TEXT,__text) external _mig_get_special_reply_port
0000000180435f8c (__TEXT,__text) external _mig_put_reply_port
00000001804355ac (__TEXT,__text) external _mig_reply_setup
0000000180435f90 (__TEXT,__text) external _mig_strncpy
000000018043239c (__TEXT,__text) external _mig_strncpy_zerofill
000000018043f404 (__TEXT,__text) external _mincore
000000018043f430 (__TEXT,__text) external _minherit
0000000180430d1c (__TEXT,__text) external _mk_timer_arm
0000000180430d34 (__TEXT,__text) external _mk_timer_arm_leeway
0000000180430d28 (__TEXT,__text) external _mk_timer_cancel
0000000180430d04 (__TEXT,__text) external _mk_timer_create
0000000180430d10 (__TEXT,__text) external _mk_timer_destroy
0000000180432640 (__TEXT,__text) external _mkdir
0000000180434664 (__TEXT,__text) external _mkdirat
000000018043f45c (__TEXT,__text) external _mkfifo
000000018043f488 (__TEXT,__text) external _mkfifoat
000000018043f4b4 (__TEXT,__text) external _mknod
000000018043f4e0 (__TEXT,__text) external _mknodat
000000018043a978 (__TEXT,__text) external _mlock
000000018043f50c (__TEXT,__text) external _mlockall
000000018043182c (__TEXT,__text) external _mmap
000000018043d028 (__TEXT,__text) external _mount
00000001804349bc (__TEXT,__text) external _mprotect
000000018043f538 (__TEXT,__text) external _mremap_encrypted
0000000180443678 (__TEXT,__text) external _msg_receive
0000000180443668 (__TEXT,__text) external _msg_rpc
0000000180443670 (__TEXT,__text) external _msg_send
000000018043e130 (__TEXT,__text) external _msgctl
000000018043f564 (__TEXT,__text) external _msgget
000000018043f590 (__TEXT,__text) external _msgrcv
000000018043e15c (__TEXT,__text) external _msgrcv$NOCANCEL
000000018043f5bc (__TEXT,__text) external _msgsnd
000000018043e188 (__TEXT,__text) external _msgsnd$NOCANCEL
000000018043d810 (__TEXT,__text) external _msgsys
00000001804370f8 (__TEXT,__text) external _msync
000000018043e1e0 (__TEXT,__text) external _msync$NOCANCEL
000000018043a9a4 (__TEXT,__text) external _munlock
000000018043f5e8 (__TEXT,__text) external _munlockall
0000000180434578 (__TEXT,__text) external _munmap
0000000180434d94 (__TEXT,__text) external _necp_client_action
000000018043bbf8 (__TEXT,__text) external _necp_match_policy
0000000180434d3c (__TEXT,__text) external _necp_open
000000018043f614 (__TEXT,__text) external _necp_session_action
000000018043f640 (__TEXT,__text) external _necp_session_open
000000018043f66c (__TEXT,__text) external _net_qos_guideline
000000018043f698 (__TEXT,__text) external _netagent_trigger
000000018045ac54 (__TEXT,__text) external _netname_check_in
000000018045b044 (__TEXT,__text) external _netname_check_out
000000018045adf8 (__TEXT,__text) external _netname_look_up
000000018045b1e4 (__TEXT,__text) external _netname_version
0000000180445614 (__TEXT,__text) external _nfsclnt
000000018043f6c4 (__TEXT,__text) external _nfssvc
00000001ebf7b8c0 (__DATA,__data) external _non_boost_assertion_token
00000001ebf7b8b8 (__DATA,__data) external _normal_boost_assertion_token
000000018043f6f0 (__TEXT,__text) external _ntp_adjtime
000000018043f71c (__TEXT,__text) external _ntp_gettime
000000018043f748 (__TEXT,__text) external _objc_bp_assist_cfg_np
000000018043c664 (__TEXT,__text) external _open
000000018044569c (__TEXT,__text) external _open$NOCANCEL
0000000180436554 (__TEXT,__text) external _open_dprotected_np
000000018044cdf4 (__TEXT,__text) external _openat
0000000180445764 (__TEXT,__text) external _openat$NOCANCEL
000000018044d66c (__TEXT,__text) external _openat_authenticated_np
000000018044d608 (__TEXT,__text) external _openat_dprotected_np
000000018043f774 (__TEXT,__text) external _openbyid_np
0000000180442790 (__TEXT,__text) external _os_buflet_get_data_address
0000000180442760 (__TEXT,__text) external _os_buflet_get_data_length
0000000180442798 (__TEXT,__text) external _os_buflet_get_data_limit
0000000180442758 (__TEXT,__text) external _os_buflet_get_data_offset
0000000180442780 (__TEXT,__text) external _os_buflet_get_object_address
0000000180442788 (__TEXT,__text) external _os_buflet_get_object_limit
0000000180442774 (__TEXT,__text) external _os_buflet_set_data_length
0000000180442768 (__TEXT,__text) external _os_buflet_set_data_offset
0000000180448964 (__TEXT,__text) external _os_channel_advance_slot
00000001804495a4 (__TEXT,__text) external _os_channel_attr_clone
0000000180449510 (__TEXT,__text) external _os_channel_attr_create
00000001804497c4 (__TEXT,__text) external _os_channel_attr_destroy
0000000180449a2c (__TEXT,__text) external _os_channel_attr_get
0000000180449be0 (__TEXT,__text) external _os_channel_attr_get_key
000000018044989c (__TEXT,__text) external _os_channel_attr_set
0000000180449638 (__TEXT,__text) external _os_channel_attr_set_key
000000018044890c (__TEXT,__text) external _os_channel_available_slot_count
000000018044b148 (__TEXT,__text) external _os_channel_buflet_alloc
000000018044ab04 (__TEXT,__text) external _os_channel_buflet_free
000000018044b114 (__TEXT,__text) external _os_channel_configure_interface_advisory
0000000180448568 (__TEXT,__text) external _os_channel_create
0000000180447b48 (__TEXT,__text) external _os_channel_create_extended
00000001804486f0 (__TEXT,__text) external _os_channel_destroy
000000018044b078 (__TEXT,__text) external _os_channel_event_free
000000018044e318 (__TEXT,__text) external _os_channel_event_get_event_data
000000018044e264 (__TEXT,__text) external _os_channel_event_get_next_event
000000018044915c (__TEXT,__text) external _os_channel_flow_admissible
0000000180449334 (__TEXT,__text) external _os_channel_flow_adv_get_ce_count
0000000180449138 (__TEXT,__text) external _os_channel_get_advisory_region
0000000180448578 (__TEXT,__text) external _os_channel_get_fd
000000018044b07c (__TEXT,__text) external _os_channel_get_interface_advisory
000000018044ac94 (__TEXT,__text) external _os_channel_get_next_event_handle
00000001804489f0 (__TEXT,__text) external _os_channel_get_next_slot
00000001804490c8 (__TEXT,__text) external _os_channel_get_stats_region
0000000180448340 (__TEXT,__text) non-external _os_channel_info2attr
0000000180448458 (__TEXT,__text) non-external _os_channel_init_ring
00000001804487dc (__TEXT,__text) external _os_channel_is_defunct
000000018044a0c0 (__TEXT,__text) external _os_channel_large_packet_alloc
0000000180449c5c (__TEXT,__text) external _os_channel_packet_alloc
0000000180449c64 (__TEXT,__text) non-external _os_channel_packet_alloc_common
000000018044a0c8 (__TEXT,__text) external _os_channel_packet_free
000000018044a57c (__TEXT,__text) external _os_channel_packet_pool_purge
00000001804488dc (__TEXT,__text) external _os_channel_pending
000000018044a860 (__TEXT,__text) non-external _os_channel_purge_packet_alloc_ring_common
0000000180448580 (__TEXT,__text) external _os_channel_read_attr
00000001804486a0 (__TEXT,__text) external _os_channel_read_nexus_extension_info
00000001804487f0 (__TEXT,__text) external _os_channel_ring_id
0000000180448900 (__TEXT,__text) external _os_channel_ring_notify_time
00000001804488f4 (__TEXT,__text) external _os_channel_ring_sync_time
0000000180448880 (__TEXT,__text) external _os_channel_rx_ring
0000000180448e28 (__TEXT,__text) external _os_channel_set_slot_properties
000000018044a250 (__TEXT,__text) external _os_channel_slot_attach_packet
000000018044a3dc (__TEXT,__text) external _os_channel_slot_detach_packet
0000000180448f64 (__TEXT,__text) external _os_channel_slot_get_packet
00000001804486c4 (__TEXT,__text) external _os_channel_sync
000000018044883c (__TEXT,__text) external _os_channel_tx_ring
00000001804485d4 (__TEXT,__text) external _os_channel_write_attr
000000018044271c (__TEXT,__text) external _os_copy_and_inet_checksum
000000018043d580 (__TEXT,__text) external _os_cpu_copy_in_cksum
000000018044d514 (__TEXT,__text) external _os_cpu_in_cksum
000000018043d2e0 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
000000018043f7a0 (__TEXT,__text) external _os_fault_with_payload
0000000180442718 (__TEXT,__text) external _os_inet_checksum
0000000180447508 (__TEXT,__text) external _os_log_coprocessor_as_kernel
000000018044750c (__TEXT,__text) external _os_log_coprocessor_register_as_kernel
000000018044bb58 (__TEXT,__text) external _os_nexus_attr_clone
000000018044bac4 (__TEXT,__text) external _os_nexus_attr_create
000000018044bdd4 (__TEXT,__text) external _os_nexus_attr_destroy
000000018044bda0 (__TEXT,__text) external _os_nexus_attr_get
000000018044bbb4 (__TEXT,__text) external _os_nexus_attr_set
000000018044c51c (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
000000018044c200 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
000000018044c220 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
000000018044be20 (__TEXT,__text) external _os_nexus_controller_create
000000018044c1f4 (__TEXT,__text) external _os_nexus_controller_deregister_provider
000000018044c8e8 (__TEXT,__text) external _os_nexus_controller_destroy
000000018044c214 (__TEXT,__text) external _os_nexus_controller_free_provider_instance
000000018044bf14 (__TEXT,__text) external _os_nexus_controller_get_fd
000000018044c710 (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
000000018044c3c0 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
000000018044bf1c (__TEXT,__text) external _os_nexus_controller_register_provider
000000018044c678 (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
000000018044c344 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
000000018044cc70 (__TEXT,__text) external _os_nexus_flow_set_wake_from_sleep
00000001804425e8 (__TEXT,__text) external _os_packet_add_buflet
0000000180441bd4 (__TEXT,__text) external _os_packet_add_inet_csum_flags
0000000180441d0c (__TEXT,__text) external _os_packet_clear_flow_uuid
0000000180442694 (__TEXT,__text) external _os_packet_decrement_use_count
000000018044243c (__TEXT,__text) external _os_packet_finalize
00000001804426bc (__TEXT,__text) external _os_packet_get_aggregation_type
000000018044234c (__TEXT,__text) external _os_packet_get_buflet_count
0000000180441a58 (__TEXT,__text) external _os_packet_get_compression_generation_count
0000000180442340 (__TEXT,__text) external _os_packet_get_data_length
0000000180441dd0 (__TEXT,__text) external _os_packet_get_expire_time
0000000180441e5c (__TEXT,__text) external _os_packet_get_expiry_action
0000000180441c5c (__TEXT,__text) external _os_packet_get_flow_uuid
0000000180441da4 (__TEXT,__text) external _os_packet_get_group_end
0000000180441d48 (__TEXT,__text) external _os_packet_get_group_start
00000001804414e0 (__TEXT,__text) external _os_packet_get_headroom
0000000180441c10 (__TEXT,__text) external _os_packet_get_inet_checksum
0000000180442284 (__TEXT,__text) external _os_packet_get_keep_alive
00000001804415d4 (__TEXT,__text) external _os_packet_get_link_broadcast
00000001804416f4 (__TEXT,__text) external _os_packet_get_link_ethfcs
0000000180441560 (__TEXT,__text) external _os_packet_get_link_header_length
0000000180441664 (__TEXT,__text) external _os_packet_get_link_multicast
0000000180442388 (__TEXT,__text) external _os_packet_get_next_buflet
000000018044204c (__TEXT,__text) external _os_packet_get_packetid
0000000180442414 (__TEXT,__text) external _os_packet_get_segment_count
0000000180441968 (__TEXT,__text) external _os_packet_get_service_class
0000000180441ef0 (__TEXT,__text) external _os_packet_get_token
00000001804427a0 (__TEXT,__text) external _os_packet_get_trace_id
0000000180441ad0 (__TEXT,__text) external _os_packet_get_traffic_class
000000018044182c (__TEXT,__text) external _os_packet_get_transport_retransmit
000000018044176c (__TEXT,__text) external _os_packet_get_transport_traffic_background
00000001804417cc (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
00000001804422cc (__TEXT,__text) external _os_packet_get_truncated
0000000180442204 (__TEXT,__text) external _os_packet_get_vlan_id
000000018044220c (__TEXT,__text) external _os_packet_get_vlan_priority
000000018044219c (__TEXT,__text) external _os_packet_get_vlan_tag
0000000180442274 (__TEXT,__text) external _os_packet_get_wake_flag
0000000180442668 (__TEXT,__text) external _os_packet_increment_use_count
0000000180442214 (__TEXT,__text) external _os_packet_set_app_metadata
0000000180441a2c (__TEXT,__text) external _os_packet_set_compression_generation_count
0000000180441e1c (__TEXT,__text) external _os_packet_set_expire_time
0000000180441ea8 (__TEXT,__text) external _os_packet_set_expiry_action
0000000180441cb4 (__TEXT,__text) external _os_packet_set_flow_uuid
0000000180441d74 (__TEXT,__text) external _os_packet_set_group_end
0000000180441d18 (__TEXT,__text) external _os_packet_set_group_start
0000000180441488 (__TEXT,__text) external _os_packet_set_headroom
0000000180441b94 (__TEXT,__text) external _os_packet_set_inet_checksum
0000000180442294 (__TEXT,__text) external _os_packet_set_keep_alive
0000000180442310 (__TEXT,__text) external _os_packet_set_l4s_flag
0000000180441588 (__TEXT,__text) external _os_packet_set_link_broadcast
00000001804416a8 (__TEXT,__text) external _os_packet_set_link_ethfcs
0000000180441520 (__TEXT,__text) external _os_packet_set_link_header_length
0000000180441618 (__TEXT,__text) external _os_packet_set_link_multicast
00000001804420c8 (__TEXT,__text) external _os_packet_set_packetid
000000018044285c (__TEXT,__text) external _os_packet_set_protocol_segment_size
000000018044188c (__TEXT,__text) external _os_packet_set_service_class
0000000180441fa8 (__TEXT,__text) external _os_packet_set_token
00000001804427c0 (__TEXT,__text) external _os_packet_set_trace_id
0000000180441aa0 (__TEXT,__text) external _os_packet_set_traffic_class
0000000180441858 (__TEXT,__text) external _os_packet_set_transport_last_packet
00000001804417f8 (__TEXT,__text) external _os_packet_set_transport_retransmit
0000000180441738 (__TEXT,__text) external _os_packet_set_transport_traffic_background
0000000180441798 (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
0000000180442888 (__TEXT,__text) external _os_packet_set_tso_flags
00000001804426e4 (__TEXT,__text) external _os_packet_set_tx_timestamp
000000018044213c (__TEXT,__text) external _os_packet_set_vlan_tag
00000001804427e8 (__TEXT,__text) external _os_packet_trace_event
0000000180443ce8 (__TEXT,__text) external _os_proc_available_memory
00000001804435a0 (__TEXT,__text) external _panic
0000000180443594 (__TEXT,__text) external _panic_init
000000018043f7cc (__TEXT,__text) external _panic_with_data
0000000180438df4 (__TEXT,__text) external _pathconf
000000018043f7f8 (__TEXT,__text) external _peeloff
0000000180430c20 (__TEXT,__text) external _pid_for_task
000000018043f824 (__TEXT,__text) external _pid_hibernate
000000018043f850 (__TEXT,__text) external _pid_resume
000000018044b3e8 (__TEXT,__text) external _pid_shutdown_networking
000000018043f87c (__TEXT,__text) external _pid_shutdown_sockets
000000018043f8a8 (__TEXT,__text) external _pid_suspend
0000000180437124 (__TEXT,__text) external _pipe
000000018043f8d4 (__TEXT,__text) external _pivot_root
0000000180441438 (__TEXT,__text) external _pkt_subtype_assert_fail
0000000180441460 (__TEXT,__text) external _pkt_type_assert_fail
0000000180439490 (__TEXT,__text) external _poll
000000018043e3c4 (__TEXT,__text) external _poll$NOCANCEL
0000000180441364 (__TEXT,__text) non-external _port_for_id_internal
00000001804435f0 (__TEXT,__text) external _port_obj_init
00000001ebf7b8e8 (__DATA,__common) external _port_obj_table
00000001ebf7b8a8 (__DATA,__data) external _port_obj_table_size
0000000180433868 (__TEXT,__text) external _posix_madvise
0000000180437bf8 (__TEXT,__text) external _posix_spawn
000000018043c3d8 (__TEXT,__text) non-external _posix_spawn_appendportaction_np
0000000180446790 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
0000000180446844 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
000000018043d1f8 (__TEXT,__text) external _posix_spawn_file_actions_addclose
0000000180437638 (__TEXT,__text) external _posix_spawn_file_actions_adddup2
0000000180446908 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
000000018043d15c (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
000000018043c87c (__TEXT,__text) external _posix_spawn_file_actions_addopen
000000018043816c (__TEXT,__text) external _posix_spawn_file_actions_destroy
0000000180437554 (__TEXT,__text) external _posix_spawn_file_actions_init
00000001ebf7b928 (__DATA,__bss) non-external _posix_spawn_with_filter
0000000180437e68 (__TEXT,__text) external _posix_spawnattr_destroy
00000001804466e0 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
0000000180446cc8 (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
0000000180446c84 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
0000000180446324 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
00000001804462bc (__TEXT,__text) external _posix_spawnattr_getbinpref_np
00000001804469c4 (__TEXT,__text) external _posix_spawnattr_getcpumonitor
000000018044622c (__TEXT,__text) external _posix_spawnattr_getflags
0000000180437924 (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
0000000180446398 (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
0000000180446274 (__TEXT,__text) external _posix_spawnattr_getpgroup
00000001804463bc (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
0000000180446250 (__TEXT,__text) external _posix_spawnattr_getsigdefault
0000000180446298 (__TEXT,__text) external _posix_spawnattr_getsigmask
00000001804377ac (__TEXT,__text) external _posix_spawnattr_init
0000000180446708 (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
00000001804472e0 (__TEXT,__text) external _posix_spawnattr_set_conclave_id_np
0000000180446750 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
0000000180446730 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
0000000180446770 (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
0000000180446ecc (__TEXT,__text) external _posix_spawnattr_set_csm_np
0000000180446ca8 (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
00000001804473ec (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
0000000180446ff4 (__TEXT,__text) external _posix_spawnattr_set_gid_np
00000001804470c8 (__TEXT,__text) external _posix_spawnattr_set_groups_np
0000000180446a10 (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
000000018044742c (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
0000000180464ed8 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
000000018044740c (__TEXT,__text) external _posix_spawnattr_set_kqworklooplimit_ext
00000001804474e8 (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
00000001804471d0 (__TEXT,__text) external _posix_spawnattr_set_login_np
0000000180446e88 (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
0000000180446dec (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
0000000180446e20 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
0000000180446cec (__TEXT,__text) external _posix_spawnattr_set_persona_np
0000000180446dbc (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
00000001804466c0 (__TEXT,__text) external _posix_spawnattr_set_platform_np
00000001804473cc (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
0000000180446b38 (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
0000000180446c54 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
0000000180446aa4 (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
0000000180446554 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
00000001804469f0 (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
0000000180446f24 (__TEXT,__text) external _posix_spawnattr_set_uid_np
0000000180446518 (__TEXT,__text) external _posix_spawnattr_set_use_sec_transition_shims_np
0000000180446400 (__TEXT,__text) external _posix_spawnattr_setarchpref_np
000000018043c3a0 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
000000018043c980 (__TEXT,__text) external _posix_spawnattr_setbinpref_np
0000000180446b70 (__TEXT,__text) external _posix_spawnattr_setcoalition_np
00000001804469a4 (__TEXT,__text) external _posix_spawnattr_setcpumonitor
000000018043c824 (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
00000001804464ec (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
000000018043d294 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
0000000180437904 (__TEXT,__text) external _posix_spawnattr_setflags
00000001804394bc (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
00000001804379e4 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
0000000180446ea8 (__TEXT,__text) external _posix_spawnattr_setnosmt_np
00000001804464ac (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
00000001804463e0 (__TEXT,__text) external _posix_spawnattr_setpgroup
00000001804464cc (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
00000001804378e0 (__TEXT,__text) external _posix_spawnattr_setsigdefault
00000001804378bc (__TEXT,__text) external _posix_spawnattr_setsigmask
000000018043c84c (__TEXT,__text) external _posix_spawnattr_setspecialport_np
0000000180432508 (__TEXT,__text) external _pread
000000018043e3f0 (__TEXT,__text) external _pread$NOCANCEL
000000018043f900 (__TEXT,__text) external _preadv
000000018043e41c (__TEXT,__text) external _preadv$NOCANCEL
0000000180445970 (__TEXT,__text) non-external _prepare_times_array_and_attrs
0000000180444dc8 (__TEXT,__text) external _proc_clear_cpulimits
0000000180444fa0 (__TEXT,__text) external _proc_clear_delayidlesleep
00000001804447d8 (__TEXT,__text) external _proc_clear_dirty
0000000180444e80 (__TEXT,__text) external _proc_clear_vmpressure
0000000180444690 (__TEXT,__text) external _proc_current_thread_schedinfo
000000018043ac8c (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
000000018043ad50 (__TEXT,__text) external _proc_denap_assertion_complete
0000000180445000 (__TEXT,__text) external _proc_disable_apptype
000000018043c064 (__TEXT,__text) external _proc_disable_cpumon
000000018043a944 (__TEXT,__text) external _proc_disable_wakemon
0000000180444e28 (__TEXT,__text) external _proc_donate_importance_boost
0000000180445078 (__TEXT,__text) external _proc_enable_apptype
000000018043a8c4 (__TEXT,__text) external _proc_get_cpumon_params
000000018044475c (__TEXT,__text) external _proc_get_dirty
0000000180444cc4 (__TEXT,__text) external _proc_get_wakemon_params
000000018043ac94 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
000000018043ad54 (__TEXT,__text) external _proc_importance_assertion_complete
0000000180444594 (__TEXT,__text) external _proc_kmsgbuf
000000018044473c (__TEXT,__text) external _proc_libversion
0000000180444d30 (__TEXT,__text) external _proc_list_dynkqueueids
0000000180444d14 (__TEXT,__text) external _proc_list_uptrs
00000001804442a4 (__TEXT,__text) external _proc_listallpids
000000018044431c (__TEXT,__text) external _proc_listchildpids
0000000180444358 (__TEXT,__text) external _proc_listcoalitions
00000001804442e0 (__TEXT,__text) external _proc_listpgrppids
000000018043ac3c (__TEXT,__text) external _proc_listpids
000000018044d6d4 (__TEXT,__text) external _proc_listpidspath
0000000180436bfc (__TEXT,__text) external _proc_name
0000000180438880 (__TEXT,__text) external _proc_pid_rusage
0000000180444448 (__TEXT,__text) external _proc_piddynkqueueinfo
00000001804443d8 (__TEXT,__text) external _proc_pidfdinfo
0000000180444410 (__TEXT,__text) external _proc_pidfileportinfo
0000000180431f90 (__TEXT,__text) external _proc_pidinfo
0000000180438530 (__TEXT,__text) external _proc_pidoriginatorinfo
00000001804327c0 (__TEXT,__text) external _proc_pidpath
00000001804445cc (__TEXT,__text) external _proc_pidpath_audittoken
000000018044449c (__TEXT,__text) external _proc_regionfilename
0000000180444dbc (__TEXT,__text) external _proc_reset_footprint_interval
0000000180444b0c (__TEXT,__text) external _proc_resume_cpumon
0000000180439354 (__TEXT,__text) external _proc_rlimit_control
0000000180438834 (__TEXT,__text) external _proc_set_cpumon_defaults
00000001804387bc (__TEXT,__text) external _proc_set_cpumon_params
0000000180444b2c (__TEXT,__text) external _proc_set_cpumon_params_fatal
00000001804451c0 (__TEXT,__text) external _proc_set_csm
0000000180444f40 (__TEXT,__text) external _proc_set_delayidlesleep
000000018043400c (__TEXT,__text) external _proc_set_dirty
00000001804450f8 (__TEXT,__text) external _proc_set_no_smt
0000000180444ee0 (__TEXT,__text) external _proc_set_owner_vmpressure
000000018043a9d0 (__TEXT,__text) external _proc_set_wakemon_defaults
0000000180444c90 (__TEXT,__text) external _proc_set_wakemon_params
0000000180444d4c (__TEXT,__text) external _proc_setcpu_percentage
00000001804330b8 (__TEXT,__text) external _proc_setpcontrol
0000000180444390 (__TEXT,__text) external _proc_setthread_cpupercent
0000000180445284 (__TEXT,__text) external _proc_setthread_csm
000000018044515c (__TEXT,__text) external _proc_setthread_no_smt
00000001804448b4 (__TEXT,__text) external _proc_signal_delegate
00000001804449b8 (__TEXT,__text) external _proc_signal_with_audittoken
00000001804450f0 (__TEXT,__text) external _proc_suppress
0000000180444838 (__TEXT,__text) external _proc_terminate
0000000180444a94 (__TEXT,__text) external _proc_terminate_all_rsr
0000000180444924 (__TEXT,__text) external _proc_terminate_delegate
0000000180444a14 (__TEXT,__text) external _proc_terminate_with_audittoken
000000018043f92c (__TEXT,__text) external _proc_trace_log
0000000180433fac (__TEXT,__text) external _proc_track_dirty
0000000180444480 (__TEXT,__text) external _proc_udata_info
000000018043f958 (__TEXT,__text) external _proc_uuid_policy
000000018045a9cc (__TEXT,__text) external _processor_assign
000000018045a874 (__TEXT,__text) external _processor_control
000000018045a550 (__TEXT,__text) external _processor_exit
000000018045aaf8 (__TEXT,__text) external _processor_get_assignment
000000018045a660 (__TEXT,__text) external _processor_info
0000000180452d98 (__TEXT,__text) external _processor_set_create
0000000180452c3c (__TEXT,__text) external _processor_set_default
0000000180459628 (__TEXT,__text) external _processor_set_destroy
000000018045a0a4 (__TEXT,__text) external _processor_set_info
000000018045973c (__TEXT,__text) external _processor_set_max_priority
0000000180459da4 (__TEXT,__text) external _processor_set_policy_control
000000018045997c (__TEXT,__text) external _processor_set_policy_disable
000000018045985c (__TEXT,__text) external _processor_set_policy_enable
0000000180459f18 (__TEXT,__text) external _processor_set_stack_usage
0000000180459444 (__TEXT,__text) external _processor_set_statistics
0000000180459a9c (__TEXT,__text) external _processor_set_tasks
000000018045a2ac (__TEXT,__text) external _processor_set_tasks_with_flavor
0000000180459c20 (__TEXT,__text) external _processor_set_threads
000000018045a440 (__TEXT,__text) external _processor_start
000000018044b7ac (__TEXT,__text) external _pselect
0000000180436d28 (__TEXT,__text) external _pselect$DARWIN_EXTSN
0000000180443820 (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
000000018044b938 (__TEXT,__text) external _pselect$NOCANCEL
000000018043273c (__TEXT,__text) external _pthread_getugid_np
000000018043a258 (__TEXT,__text) external _pthread_setugid_np
000000018043980c (__TEXT,__text) external _ptrace
00000001804342e8 (__TEXT,__text) external _pwrite
000000018043e5a8 (__TEXT,__text) external _pwrite$NOCANCEL
000000018043f984 (__TEXT,__text) external _pwritev
000000018043e5d4 (__TEXT,__text) external _pwritev$NOCANCEL
0000000180443534 (__TEXT,__text) external _quota
0000000180436eb4 (__TEXT,__text) external _quotactl
00000001804317d4 (__TEXT,__text) external _read
0000000180432b64 (__TEXT,__text) external _read$NOCANCEL
0000000180433014 (__TEXT,__text) external _readlink
000000018043f9b0 (__TEXT,__text) external _readlinkat
000000018043f9dc (__TEXT,__text) external _readv
000000018043e600 (__TEXT,__text) external _readv$NOCANCEL
0000000180440124 (__TEXT,__text) non-external _reallocf
00000001804428bc (__TEXT,__text) external _reboot
00000001804428c4 (__TEXT,__text) external _reboot_np
000000018044b7a8 (__TEXT,__text) external _record_system_event_as_kernel
0000000180435150 (__TEXT,__text) external _recvfrom
0000000180435018 (__TEXT,__text) external _recvfrom$NOCANCEL
0000000180435580 (__TEXT,__text) external _recvmsg
000000018043e684 (__TEXT,__text) external _recvmsg$NOCANCEL
000000018043fa08 (__TEXT,__text) external _recvmsg_x
000000018043fa34 (__TEXT,__text) external _register_uexc_handler
0000000180435aa4 (__TEXT,__text) external _removexattr
